current_name,recommended_name,current_params,recommended_params,confidence,notes
method1892,sendStreamingActiveState,"i: Int, bool: Boolean","flushThreshold: Int, isActive: Boolean",medium,"Writes a small outbound packet: opcode 2 if bool else opcode 3, followed by a zero medium value, flushed to the socket only when flushThreshold < -66. On IOException, tears down the connection (nulls aSocketStreamWorker_3209, bumps the error counter anInt3213, sets state anInt3214=-2). Call sites in ByteBufferStatics.kt toggle this exactly when the client transitions into/out of the login-screen game state, passing bool=false when entering that state and bool=true when leaving it - i.e. this looks like an on-demand/streaming-fetcher 'pause while on login screen, resume once in-game' notification sent to the file server."
method1893,pumpConnection,i: Byte,minReadBudget: Byte,high,"The main per-frame streaming pump. First does housekeeping: computes elapsed time via GameClock.method599, accumulates an idle timer (anInt3210) and force-disconnects if idle > 30000ms. If disconnected, returns whether both request queues (priority via method1902, normal via method1894) are empty. Otherwise: flushes any pending priority (aLinkedNodeListIterator_3197) and normal (aLinkedNodeListIterator_3205) StreamingResourceRequest entries to the socket as outbound 'fetch this file' packets (writing opcode 1 for priority / opcode 0 for normal, then the (archive<<16|file) key), moving each from its pending list to its 'in-flight' counterpart list (3204/3206); then reads up to 100 chunks of incoming file data from the socket, routing bytes into either the current in-progress StreamingResourceRequest (aClass348_Sub42_Sub16_Sub1_3215) or a small header buffer (aClass348_Sub49_3211) used to parse the next response's (archive,file) key and completion, decrypting bytes with a rolling XOR key (aByte3212) if one is set, and completing/removing requests as their expected byte counts are reached. On IOException, disconnects and returns the same 'both queues empty' check. This is the classic on-demand/JS5 streaming request-and-response pump."
method1894,getNormalPriorityRequestCount,i: Int,decoy: Int,high,"Returns the combined size of the normal-priority pending (aLinkedNodeListIterator_3205) and in-flight (aLinkedNodeListIterator_3206) request lists. Guard `if (i != 4350) return 29` is dead in practice - every call site (all internal, plus method1899) passes the literal 4350."
method1896,sendPendingModeHandshake,i: Int,decoy: Int,medium,"When i <= -58 (true at its only call site, method1903 passing -92), sends a small packet: opcode 6 followed by medium value 3. On failure, disconnects with error state -2. Called once during (re)connection setup (method1903), before request queues are flushed - reads as an initial 'streaming mode/handshake' packet sent right after establishing a new socket."
method1898,shutdownOrDisconnect,bool: Boolean,keepAlive: Boolean,medium,"Notifies the underlying SocketStreamWorker via method1468(72) (a priority/shutdown-mode call per its literal argument), and if !keepAlive, fully disconnects via method1904(99). Called from ConfigArchiveLoader.kt with keepAlive=true after a disconnect+resend sequence, suggesting this signals 'no more requests coming, but keep the socket' vs 'tear down entirely'."
method1899,isNormalPriorityQueueFull,i: Int,decoy: Int,high,"Returns `method1894(4350) >= 20` - true once 20 or more normal-priority requests are pending/in-flight. Used by ArchiveResourceProvider and Client.kt to throttle/back off further normal-priority file requests; the Int param is unused apart from an unrelated side assignment (`this.anInt3214 = -39`) gated on a condition that doesn't affect the return value."
method1900,isPriorityQueueFull,i: Int,decoy: Int,high,"Returns `method1902(4) >= 20` - true once 20 or more high-priority requests are pending/in-flight. Mirror of method1899 for the priority queue; used pervasively in ArchiveResourceProvider/RsaPacketDecoder to gate calls to method1906 (create a new streaming request) and avoid overflowing the queue (which would otherwise throw)."
method1901,closeSocket,i: Int,decoy: Int,low,"Closes the current SocketStreamWorker via method1476 if one is set (without clearing the aSocketStreamWorker_3209 reference itself, unlike method1904's full disconnect), then increments anInt3200. Contains a self-recursive branch `if (i > -27) method1901(21)` that, if ever taken, recurses unconditionally forever (the recursive call always re-passes 21, which is itself > -27) - a likely latent bug/dead branch. All but one call site pass literals <= -27 (e.g. ConfigArchiveLoader.kt: -83), avoiding it; Client.kt:1268 passes a runtime-XOR'd value whose safety could not be fully confirmed from static analysis."
method1902,getPriorityRequestCount,i: Int,decoy: Int,high,"Returns the combined size of the priority pending (aLinkedNodeListIterator_3197) and in-flight (aLinkedNodeListIterator_3204) request lists. Guard `if (i != 4) this.anInt3213 = 18` (bumps the error counter) is dead in practice since every call site passes the literal 4."
method1903,connect,"bool: Boolean, bool_28_: Boolean, socketStreamWorker: SocketStreamWorker?","resetTimer: Boolean, sendActiveState: Boolean, worker: SocketStreamWorker?",medium,"(Re)initializes the connection: closes/replaces any existing SocketStreamWorker, sends the mode handshake (method1896) and active-state notification (method1892(-92, sendActiveState)), clears the header-parse buffer and in-progress request, optionally resets the idle timer (aLong3207 = -35 when resetTimer), then re-queues every in-flight request back onto its pending list (draining 3204->3197 and 3206->3205, the latter with a possibly-inverted priority flag `!bool`) so they'll be re-sent from scratch. If an XOR decryption key (aByte3212) is set, also sends an initial keyed handshake packet (opcode 4 + key byte + zero short). Only call site is Client.kt:612."
method1904,disconnect,i: Int,errorState: Int,high,"Closes the SocketStreamWorker (swallowing errors), nulls the reference, increments the error counter anInt3213, picks a new random 1-255 XOR key byte (aByte3212) for the next connection, and records the given error/state code into anInt3214. Central teardown routine called from every failure path in this class (method1892/1893/1898) as well as externally (ArchiveResourceProvider.kt)."
method1905,sendFlushSignal,i: Int,length: Int,medium,"When connected, writes a small packet: opcode 7, medium value 0, then flushes with an inverted length parameter (i.inv()) as the requested-length argument to the socket write call - distinct from the fixed-size sends elsewhere in this class. On failure, disconnects with error state -2. Only call site (ConfigArchiveLoader.kt, passing 0) follows a disconnect+shutdown sequence, suggesting this is a final 'flush/close' notification to the server."
