current_name,recommended_name,current_params,recommended_params,confidence,notes
method2386,buildModel,"i: Int, var_renderer: Renderer?","orientation: Int, renderer: Renderer?",medium,"Override of `SceneEntity.method2386`. Builds/fetches the entity's model via the private `buildRawModel`/method2465 helper, applies a UV/texture animation offset (`class64.a(anInt10334 * 2048)`) when `anInt10334 != 0` (the current WidgetComponent animation frame index, set in `method2470`), transforms it into camera space, links it into a `SceneGraphContainer` for shadow/lighting via the private `registerModelGraph`/method2467, and caches derived scalar fields (`aBoolean10338`, `anInt10331`, `anInt10356`) read back from the built model. Matches `SceneEntity.method2386(i: Int, renderer): SceneEntityModel?` abstract signature."
method2394,getHitboxSize,bool: Boolean,useCachedSize: Boolean,medium,"Override of `SceneEntity.method2394`. Returns the fixed constant 18 when `useCachedSize` is false, otherwise returns `anInt10331` (a size/height value cached from the built model in `buildModel`/method2386, via the model's `fa()` accessor). Cross-referencing other `SceneEntity` subclasses (see `ActiveMapRegion.csv` notes on `method2376`/`method2377`), these `SceneEntity` overrides form a family of per-entity-type geometry/flag queries whose exact combined meaning is only partially confirmed."
method2380,renderInteractive,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_0_: Int, i_1_: Byte, i_2_: Int","renderer: Renderer?, i: Int, bool: Boolean, other: SceneEntity?, i_0_: Int, unusedGuard: Byte, i_2_: Int",low,"Override of `SceneEntity.method2380`. Body unconditionally throws `IllegalStateException()` (the `i_1_ > -106` branch just flips `aBoolean10345` first) - i.e. this scene-entity operation is deliberately unsupported/unreachable for ground-decor entities. Kept generic name/low confidence since the real behaviour (this override) is 'always fail', and the abstract method's true purpose is defined by other, working overrides elsewhere."
method2392,setWidgetDefinition,bool: Boolean,clearDefinition: Boolean,low,"Override of `SceneEntity.method2392`. Nulls `aWidgetDefinition_10332` when `clearDefinition` is true, then unconditionally throws `IllegalStateException()` - same 'unsupported operation for this entity type' shape as `method2380`."
method2376,tickOrIsExpired,i: Int,unusedDecoyId: Int,low,"Override of `SceneEntity.method2376`. Always returns `false` (the `i > -12` branch is a no-op early return, also `false`); only side effect is an internal counter increment. Cross-file comparison (`DynamicSceneObjectEntity.kt` has an analogous override with the same `i >= -12` shape but different field writes) suggests this is a shared per-tick lifecycle hook whose real logic lives in other subclasses - flagged low confidence since this particular override is effectively a no-op stub."
method2465,buildRawModel,"var_renderer: Renderer?, i: Int, i_26_: Int, i_27_: Byte","renderer: Renderer?, locId: Int, renderFlags: Int, unusedGuard: Byte",medium,"Private. Looks up the loc's `LocConfigModelBuilder` via `ConstantColourTextureNode.aMapElementDefinitionCache_9245!!.method2543(122, locId)` (the `getModelBuilder`-equivalent method on `MapElementDefinitionCache`, see that file's CSV), then calls `.method3565(...)` with either the current widget/animation-frame indices (`anInt10339`/`anInt10335`) or `(0, -1)` when `aBoolean10345` (a 'no animation'/'static' flag set in `init` when the loc has no associated `WidgetDefinition`) is true, passing along neighbouring `TerrainTileShape` tile-shape data for correct ground-clipping. Reads as 'get this decor's (possibly animated) 3D model for the current frame'."
method2466,releaseSceneGraphOnHide,bool: Boolean,isVisible: Boolean,medium,"Releases the cached `SceneGraphContainer` (`aClass318_Sub10_10341!!.method2534()`, a dispose/unregister call also used in `finalize`) when `isVisible == false`. Reads as an entity-hidden/culled cleanup hook."
method2377,isOpaque,i: Byte,unusedDecoyByte: Byte,medium,"Override of `SceneEntity.method2377`. Returns `aBoolean10338`, a flag cached from the built model (`class64.F()`) in `buildModel`/method2386 - consistent with other `SceneEntity` implementers returning a per-entity boolean flag field from this override (see `DynamicSceneObjectEntity.method2377` returning its own analogous boolean). Decoy self-call `if (i.toInt() != 122) method2388(-40)` - the one real internal read passes 122.toByte(), so it never fires."
method2467,registerModelGraph,"abstractModel: AbstractModel?, var_renderer: Renderer?, i: Int, abstractCameraTransform: AbstractCameraTransform?","model: AbstractModel?, renderer: Renderer?, mode: Int, cameraTransform: AbstractCameraTransform?",medium,"Private. Transforms `model` into camera space (`model.method620(cameraTransform)`), then when `mode == -1`, lazily creates (or reuses, if not marked dirty via `aBoolean6470`) a `SceneGraphContainer` and feeds it the model's shadow-caster/light data (`model.method619()`/`method604()`) plus this entity's plane/bounds (`aShort8743` etc.) - registering the decor's model into the scene's shadow/lighting graph. Called from both `buildModel`/method2386 and the render entry point `render`/method2387."
method2379,getCachedModelHeight,i: Int,unusedDecoyId: Int,medium,"Override of `SceneEntity.method2379`. Returns `anInt10356` (cached from the built model's `ma()` accessor in `buildModel`/method2386); also sets `anInt10334` (the UV-animation offset index) to 73 as a side effect of the (mostly dead) `i != -25675` decoy guard."
method2381,getClickHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, unusedDecoyId: Int",low,"Override of `SceneEntity.method2381`. Always returns `null`; when `i == 7` it first triggers a render pass via `render`/method2387 as a side effect (building the model/scene-graph) before returning null regardless. Reads as 'no dedicated click-hitbox for ground decor, but ensure the model is built as a side effect' - low confidence on the exact intent of the `i == 7` branch."
method2388,isAnimatedOrHidden,i: Int,unusedDecoyId: Int,low,"Override of `SceneEntity.method2388`. Always returns `false` (early-return branch is also false); only observable effect is an internal counter increment - effectively a no-op stub for this entity type, matching the pattern of several other overrides in this file."
method2387,render,"var_renderer: Renderer?, i: Int","renderer: Renderer?, unusedDecoyId: Int",medium,"Override of `SceneEntity.method2387`. Builds the model via the private `buildRawModel`/method2465 (with render-flag 0 instead of the animated flags used in `buildModel`), transforms the camera into local space, and registers it into the scene graph via `registerModelGraph`/method2467 - the actual per-frame draw entry point for this decor entity."
method2391,handleClick,"var_renderer: Renderer?, i: Int, i_29_: Int, i_30_: Int","renderer: Renderer?, i: Int, i_29_: Int, actionIndex: Int",low,"Override of `SceneEntity.method2391`. Always returns `false` regardless of inputs (early-return on `actionIndex != 0` is also false) - ground decor never reports handling a click/menu-action in this override; matches the other 'stub, always false/throws' overrides in this class."
