current_name,recommended_name,current_params,recommended_params,confidence,notes
method3695,isFeatureDSupported,,,high,"Overrides Renderer.method3695 (matches OpenGlRenderer.csv / NativeRenderer.csv naming). Stub returning true."
GA,clearColorBuffer,i: Int,colorArgb: Int,high,"Overrides Renderer.GA (matches OpenGlRenderer.GA). Delegates to aa(0,0,width,height,colorArgb,0) - fills the whole framebuffer with a flat color."
na,readPixelRegion,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int","x: Int, y: Int, width: Int, height: Int",high,"Overrides Renderer.na (matches OpenGlRenderer.na). Copies a (width x height) block of pixels out of the framebuffer (anIntArray7483) row by row into a returned IntArray - confirmed identical semantics to the GL override's glReadPixels-based readback."
method3628,drawRectOutline,"i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int","x: Int, y: Int, width: Int, height: Int, color: Int, blendMode: Int",high,"Overrides Renderer.method3628. NOTE: contradicts OpenGlRenderer.csv's row for this same abstract method ('drawOffsetLineSegment', a single 2-vertex line). This Software body instead draws a full rectangle border: two horizontal spans via U() (top row, bottom row at y+height-1) and two vertical spans via P() (left/right columns, inset by 1px top/bottom to avoid double-drawing corners) - unambiguously a rect-outline routine, confirmed by its real call site SolidFillComponent.method178 which passes (x-2,y,width+4,height+2,color,tag) to draw a border slightly larger than a text label's bounds. Flagging the GL/Software naming mismatch for reconciliation in a later pass rather than silently picking one; Software's behavior was directly traced and is unambiguous."
pa,endSpriteRegion,,,high,"Overrides Renderer.pa (matches OpenGlRenderer.pa/endSpriteRegion). Software's body differs from GL's simple flag-clear: iterates all active particle/shadow-caster states (aParticleSystemStateArray7480) copying anInt2205 into anInt2192 and clearing aBoolean2195 - i.e. finalizing/committing each caster's snapshot distance at the end of a sprite/shadow render pass. Paired with ra()/beginSpriteRegion below which sets up the same fields at the start of a pass."
method3703,drawTiledTexturedQuadStrip,"i: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int, var_sprite: Sprite?, i_17_: Int, i_18_: Int, i_19_: Int, i_20_: Int, i_21_: Int","x0: Int, y0: Int, x1: Int, y1: Int, color: Int, blendMode: Int, sprite: Sprite?, spriteOffsetX: Int, tileLength: Int, gapLength: Int, phase: Int",high,"Overrides Renderer.method3703 (matches OpenGlRenderer.method3703, same 12-param shape). Body fully traced: a general-angle (not just axis-aligned) Bresenham-style line walker from (x0,y0) to (x1,y1) that draws repeating tileLength-on/gapLength-off segments of the given Sprite's raster data (RasterSprite.anIntArray5201/5202), honoring blendMode 0/1/2 (opaque/alpha/additive) - a dashed *textured* line/arrow path, confirming the GL-side name."
method3661,renderModelSnapshotToSprite,"i: Int, i_63_: Int, `is`: IntArray?, is_64_: IntArray?","width: Int, height: Int, pixels: IntArray?, rowWidths: IntArray?",medium,"Overrides Renderer.method3661 (matches OpenGlRenderer.method3661's abstract contract). Software's body is much simpler than GL's (which delegates to a full model-to-texture render): it just constructs and returns `RasterSprite(width, height, pixels, rowWidths)` directly from caller-supplied arrays - i.e. this backend expects the model snapshot to already be rendered elsewhere and only wraps the raw pixel/row-width data as a Sprite."
method3685,renderGroundDecorNodes,"nodeDequeHolder: NodeDequeHolder, i: Int","nodeDequeHolder: NodeDequeHolder, tag: Int",high,"Overrides Renderer.method3685 (matches OpenGlRenderer.method3685, same 2-param shape). Iterates the PositionedSceneNode linked list, projects each via the active MatrixCameraTransform (aClass101_Sub1_7492), and for visible nodes (within near/far and screen bounds) calls the private method3712/renderProjectedGroundDecorNode helper. Structurally identical to method3684 below aside from using `tag` as a divisor instead of the projected depth float."
method3642,setPendingTileShapes,"i: Int, class348_sub1s: Array<AbstractTileShape?>?","count: Int, shapes: Array<AbstractTileShape?>?",high,"Overrides Renderer.method3642 (matches OpenGlRenderer.method3642's abstract contract). Empty body (`/* empty */`) - software rasterizer doesn't support GL point-light tile shapes, consistent with GL doing real work here and Software being a no-op stub."
method3693,isFeatureKSupported,,,high,"Overrides Renderer.method3693 (matches OpenGlRenderer.method3693). Stub returning false (GL returns true)."
