current_name,recommended_name,current_params,recommended_params,confidence,notes
method178,drawIcon,"i: Int, bool: Boolean, i_0_: Byte, i_1_: Int","x: Int, isHighlighted: Boolean, decoy: Byte, y: Int",low,"Abstract. Called from method9/render as `method178(x, forceRedraw, (-84).toByte(), y)` where x/y are the computed label screen position and `forceRedraw` is threaded straight through from the Lifecycle.render(decoy, forceRedraw) override. No live subclass override was found in this batch to confirm the exact drawing behaviour; named by analogy with method182/drawIconBackground below and the fact this is called first in render()."
method8,isLoaded,i: Byte,decoy: Byte,high,"Lifecycle override (see commonMain/Lifecycle.csv: method8 -> isLoaded). Returns true only if both Js5Archive refs (aJs5Archive_4632 and the constructor-captured aJs5Archive_4631) report method421(false, iconId) true for the associated WorldMapLabel's icon id (anInt4965, confirmed field mapping - see WorldMapLabel.csv <init> notes). `val i_2_ = -94 % ((i - 25) / 52)` is dead arithmetic filler, result unused."
method7,update,i: Int,decoy: Int,high,"Lifecycle override (see commonMain/Lifecycle.csv: method7 -> update, a per-tick hook gated by a per-caller decoy constant). Only does real work when `decoy == 10286`: lazily loads/caches aRSFont_4637 (via RangedGraphicsOptionState.method1766 + FacingDirectionNode.aRenderer6654!!.method3686), matching the Lifecycle.csv note that WorldMapElement is the concrete example cited for this pattern."
method182,drawIconBackground,"i: Int, i_6_: Int, i_7_: Int, bool: Boolean","decoy: Int, y: Int, x: Int, isHighlighted: Boolean",low,"Abstract. Called from method9/render as `method182(63, y, x, forceRedraw)` - the first arg is always the literal 63 at this (sole) call site, suggesting it may be a fixed opcode/type constant rather than a real decoy; x/y are passed in reversed order relative to method178's call. No live override found to confirm."
method183,calculateLoadProgressPercent,i: Int,decoy: Int,high,"Computes a 0-10000-scale (returned as `100 * loadedCount` baseline, further refined) loading-progress estimate for the element's associated resource loader thread (ActorEntity.aResourceLoaderThread_897), using method2320/getLoadedCount and method2315/getTotalCount-style calls plus elapsed time (GameClock.method599) to extrapolate progress when the count hasn't advanced since the last poll - i.e. a smoothed/interpolated loading-bar percentage, same pattern as other loading-screen progress calculators in this codebase. `decoy<=16` resets aWorldMapLabel_4635 to null as a side effect (odd for a supposedly pure calculator - possibly intentional 'detach label once fully loaded' behaviour, low sub-confidence on that specific branch)."
method9,render,"i: Byte, bool: Boolean","decoy: Byte, forceRedraw: Boolean",high,"Lifecycle override (see commonMain/Lifecycle.csv: method9 -> render). Gated on `decoy.toInt() == -49` (matches the Lifecycle.csv note that WorldMapElement's override requires exactly -49). Computes the label's screen X/Y from the WorldMapLabel's anchor alignment + tile render state + stored offsets (see WorldMapLabel.csv <init> notes), calls method178/drawIcon and method182/drawIconBackground, builds a status string via ActorEntity.aResourceLoaderThread_897!!.method2318, appends an elapsed-time suffix once loading has taken over 10 seconds, and draws it with aRSFont_4637."
<init>,<init>,"js5Archive: Js5Archive?, js5Archive_15_: Js5Archive, worldMapLabel: WorldMapLabel?","js5Archive: Js5Archive?, iconArchive: Js5Archive, worldMapLabel: WorldMapLabel?",medium,"Stores js5Archive -> aJs5Archive_4632 and worldMapLabel -> aWorldMapLabel_4635; the second archive param (js5Archive_15_) is captured directly into the `aJs5Archive_4631` val, used alongside aJs5Archive_4632 in method8/isLoaded as a second required-ready archive."
method179,decodeAreaLabel,"i: Int, class348_sub49: ByteBuffer","decoy: Int, buffer: ByteBuffer",high,"@JvmStatic. Decodes a base WorldMapLabel via PcmStreamBuffer.method2834 (name mismatch - unrelated to audio, likely another decompiler class-name collision) then 3 extra fields (2 ints + 1 unsigned short) and constructs a WorldMapAreaLabel from the combined fields - the standard decode-from-buffer factory pattern for this label-type hierarchy."
method180,clearModelFacePriorityCache,i: Int,decoy: Int,medium,"@JvmStatic. `decoy!=-19960` triggers a dead self-recursive call method180(-71) (discarded - decoy pattern, confirmed: the only traced call site, WorldMapElement.method181, passes 54). Real effect is `ModelFacePriorityNode.aLruByteCache_4636 = null` - clears an LRU cache belonging to an unrelated class (ModelFacePriorityNode), consistent with this codebase's companion decompiler-content-mixing pattern."
method181,clearNpcOverheadGraphic,"bool: Boolean, npc: Npc?","decoy: Boolean, npc: Npc?",medium,"@JvmStatic. `decoy!=true` triggers method180/clearModelFacePriorityCache(54) first (a cross-method decoy chain - note for PLAN.md: decoy params sometimes chain into other companions' decoy-gated cleanup methods). Searches Client.aNodeDeque_5185 (a queue of CharacterRenderState nodes) for the entry referencing `npc`, clears its aClass348_Sub16_Sub5_6676 (likely an overhead graphic/hitsplat node, releasing it via SpriteDefinition.aClass348_Sub16_Sub4_7065!!.method2880) and calls the render state's method2715(27.toByte()) (likely a 'remove from render queue' tag, same method family as SpriteRenderEntry.method2715 seen in WidgetTextConfig.method362)."
