current_name,recommended_name,current_params,recommended_params,confidence,notes
sa,nativeCreateFrameBuffer,"var_oa: oa?, canvas: Canvas?, i: Int, i_0_: Int","renderer: oa?, canvas: Canvas?, width: Int, height: Int",high,"Private external called from init with the primary constructor args (renderer, canvas, width, height). Class header names this NativeFrameBuffer (extends LinkedListNode, so instances are chained/looked up in oa's aHashtable_5126 keyed by canvas hash)."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool); called from method3436 (releaseSurface) with true, and would be queued via RequestGate from finalize()."
H,nativeBlitFull,"i: Int, i_1_: Int, i_2_: Int, i_3_: Int","x: Int, y: Int, width: Int, height: Int",medium,"Private external backing method3433; called with (x, y, current canvas width, current canvas height) — a full-surface present/blit to the AWT Canvas."
oa,nativeResize,"canvas: Canvas?, i: Int, i_4_: Int","canvas: Canvas?, width: Int, height: Int",high,"Private external backing method3435 (resize), which also updates anInt5145/anInt5148 (stored width/height) before calling this."
method3432,handleBlitFailure,exception: Exception,exception: Exception,medium,"Private helper invoked from the catch blocks of method3433/method3434. Tracks a timestamp (aLong5146) the first time it's hit; if called again within 30 seconds it falls back to canvas.repaint() (AWT repaint), otherwise rethrows as a RuntimeException. Effectively a retry/backoff guard around native blit failures."
K,nativeBlitRect,"i: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int","x: Int, y: Int, width: Int, height: Int, canvasWidth: Int, canvasHeight: Int",medium,"Private external backing method3434, called once per dirty Rectangle (only when width/height > 0), with the current canvas size passed as the trailing two ints."
method3433,presentFrame,"i: Int, i_10_: Int","x: Int, y: Int",medium,"Public: locks the canvas's AWT tree lock, reads the canvas size, calls H(x, y, canvasWidth, canvasHeight) (a full-surface blit), and clears the aBoolean5144 failure flag on success; falls back to handleBlitFailure on exception."
finalize,finalize,(none),(none),high,"Standard finalizer; queues native disposal via RequestGate.method1947(0, this)."
method3434,presentDirtyRects,"rectangles: Array<Rectangle?>, i: Int, i_12_: Int, i_13_: Int","rectangles: Array<Rectangle?>, count: Int, canvasWidth: Int, canvasHeight: Int",high,"Public: locks the canvas tree lock and blits only the given dirty rectangles via K(...), skipping empty ones; falls back to handleBlitFailure on exception. Matches Renderer.method3657/oa.method3707 call chain (checkNotNull(aP5137){\"off\"}; aP5137.method3434(rectangles, i, 0, 0))."
method3435,resize,"canvas: Canvas?, i: Int, i_15_: Int","canvas: Canvas?, width: Int, height: Int",high,"Public: stores width/height into anInt5145/anInt5148 and calls nativeResize (oa)."
method3436,releaseSurface,(none),(none),high,"Public: calls dispose(true) (w(true)), clears nativeid and detaches the AWT canvas reference. Called from oa.method3701 when destroying a frame buffer for a canvas."
