current_name,recommended_name,current_params,recommended_params,confidence,notes
method1716,validateValue,bool: Boolean,force: Boolean,high,"Override of abstract GraphicsOptionState.method1716/validateValue (cross-referenced from jvmMain/GraphicsOptionState.csv - same signature/role). Re-clamps anInt3138 to [0,2] via method1710/getDefaultValue when out of range, and additionally forces anInt3138=0 whenever the owning display's detected texture quality (via aClass348_Sub51_3136.method3428(...).method1458(-23688), a hardware-capability query) is below 96 - i.e. this option is clamped to 'off/low' on hardware that can't support higher texture quality. Decoy: `if (bool != false) method1783(...)` calls the unrelated Bresenham line drawer (see method1783 below) and discards its void result."
method1714,getOptionKind,"i: Int, i_1_: Int","tag: Int, value: Int",high,"Override of abstract GraphicsOptionState.method1714/getOptionKind (cross-referenced). Returns 3 (computed/read-only per GraphicsOptionState.csv's settable-vs-computed convention) when hardware texture-quality capability < 96, else 1 (user-settable). Decoy: `if (tag != 3) method1784(99)` (getDefaultValue... actually calls the instance getter method1784, see below) discards its result."
method1710,getDefaultValue,i: Int,tag: Int,high,"Override of abstract GraphicsOptionState.method1710/getDefaultValue (cross-referenced). Returns 0 when hardware texture-quality capability < 96, else 2 - the option's default/max-allowed value gated by hardware support. Decoy: `if (tag != 20014) method1782(-76,-103)` (see companion method1782 below) discards its result."
method1712,setValue,"i: Int, i_20_: Int","tag: Int, value: Int",high,"Override of abstract GraphicsOptionState.method1712/setValue (cross-referenced). Sets anInt3138 = value, then calls Crc64Hashable.method1114(anInt3138, -122) (a settings-changed/hash-invalidation notification, per the naming convention already used at both constructors below). `tag` only feeds a dead discarded division `33 % ((tag - 82) / 35)`."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Secondary constructor (explicit initial value) matching GraphicsOptionState's documented two-constructor pattern. Notifies Crc64Hashable.method1114(anInt3138, -122) after super-init."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Primary constructor (derives initial value via the abstract method1710) matching GraphicsOptionState's documented pattern. Notifies Crc64Hashable.method1114(anInt3138, -120) after super-init (note the different tag literal, -120 vs -122 in the other constructor - likely just distinct decoy/call-site tags, not meaningfully different)."
method1784,getValue,i: Int,tag: Int,high,"Getter for anInt3138 (the current option value), consistent with GraphicsOptionState subclasses' `get*`/getValue accessor convention. Decoy `if (tag != -32350) return -82`."
method1786,isHighTextureQualitySupported,i: Int,unused: Int,high,"Returns true when the owning display's hardware texture-quality capability (same aClass348_Sub51_3136.method3428(...).method1458(-23688) query used throughout this class) is >= 96 - the underlying hardware-capability predicate that methods 1710/1714/1716 all gate on. Decoy: `if (unused < 85) method1784(-69)` discards its result."
method1782,getSystemFontForQualityTier,"i: Int, i_0_: Int","tier: Int, tag: Int",medium,"@JvmStatic, SEMANTICALLY UNRELATED to texture-quality option management - a decompiler-merged grab-bag static (per PLAN.md's recurring pattern). Decoy `if (tag != 10144) return null`. Dispatches on `tier` (0/1/2) and MapRegionLoader.aFloat1247 (a build/version-like float, compared against 3.0/4.0/6.0/8.0 thresholds) to return one of several classes' cached SystemFontGlyphs statics (MinimapSpriteRenderer, GlRectangleTexture, GlShaderObjectHandle, HeapDiagnosticsHolder, PingHostListHolder, GlBufferObject, ModelVertexColorBuffer, WorldMapRenderer) - reads as a 'pick the appropriate system font resource for this UI tier at this client version/build' lookup table, nothing to do with texture quality settings."
method1783,drawLine,"i: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","x0: Int, dxCheck: Int, x1: Int, y1: Int, y0: Int, color: Int",medium,"@JvmStatic, SEMANTICALLY UNRELATED to texture-quality option management - a decompiler-merged grab-bag static (per PLAN.md's recurring pattern), structurally a classic Bresenham line-rasterizer writing into WidgetDefinition.anIntArrayArray255 (a shared 2D pixel/row buffer, same target used by CircleRasterizer.drawRing's octant loop per jvmMain/CircleRasterizer.csv), with axis-swap steep/shallow-slope handling. `dxCheck` is checked via `if ((y1-x1).inv() == dxCheck)` as a special-case early-exit (vertical-ish line shortcut delegating to SoundCacheState.method2641), otherwise a horizontal-line shortcut delegates to SolidFillComponent.method223, else falls through to the general Bresenham loop."
method1785,clearInboundPacketHeader,i: Int,unused: Int,medium,"@JvmStatic, SEMANTICALLY UNRELATED to texture-quality option management - nulls InboundPacketHeader.aInboundPacketHeader_5997. Another decompiler-merged grab-bag static; `unused` plays no role in the body."
method1787,activateTimedTileQueueEntry,"i: Int, i_22_: Int","x: Int, y: Int",low,"@JvmStatic, SEMANTICALLY UNRELATED to texture-quality option management - a decompiler-merged grab-bag static. Gets-or-creates a TimedTileQueueEntry via NamedTimedNode.method2516(x, 105.toByte(), y) (the shared 'timed tile/node queue' factory keyed by a packed x/y long, per NamedTimedNode.kt) then calls its own method3251(-16058) (purpose not traced in this pass, likely an 'activate/enqueue' step)."
