current_name,recommended_name,current_params,recommended_params,confidence,notes
method3981,scheduleTileShapeShadowBuild,"class348_sub1: AbstractTileShape, `is`: IntArray","tileShape: AbstractTileShape, edgeTypes: IntArray",high,"Overrides the abstract TerrainTile.method3981/scheduleTileShapeShadowBuild (see refactor-notes/commonMain/TerrainTile.csv, which already documents this exact override as a no-op). Empty body - only OpenGlTerrainTile's override does real async shadow-mesh scheduling; consistent with the software backend computing shadows on the fly instead (see method3990/method3992 below)."
U,bakeUnderlayTileShading,"i: Int, i_0_: Int, `is`: IntArray?, is_1_: IntArray?, is_2_: IntArray, is_3_: IntArray?, is_4_: IntArray, is_5_: IntArray?, is_6_: IntArray, is_7_: IntArray, i_8_: Int, i_9_: Int, i_10_: Int, bool: Boolean","x: Int, z: Int, vertexU: IntArray?, altVertexU: IntArray?, vertexV: IntArray, vertexAltFlags: IntArray?, hslColors: IntArray, altHslColors: IntArray?, materialIds: IntArray, altMaterialIds: IntArray, hue: Int, alphaRange: Int, unused: Int, mirrored: Boolean",high,"Overrides the abstract TerrainTile.U/bakeUnderlayTileShading (already extensively traced in TerrainTile.csv, which explicitly names this file). Bakes per-cell (x,z) vertex colour/lighting data into one of aSpriteTextureDataArrayArray8219 (variable-shape cell, `bool_11_` true meaning materialId bit 0x20 unset), aModelVertexNormalArrayArray8230/aTerrainTileDataArrayArray8225 (fixed-quad fast path), converting hslColors/altHslColors via SoundEnvelope.method303, checking materialIds via aRenderConfig4579.method3(id) for alpha/blend handling, and computing height via method3986/getHeight plus the aByteArrayArray8220 (top) minus aByteArrayArray8232 (base) height differential."
method3978,bakeOverlayTileShading,"i: Int, i_60_: Int, `is`: IntArray, is_61_: IntArray, is_62_: IntArray, is_63_: IntArray, is_64_: IntArray, is_65_: IntArray, is_66_: IntArray, is_67_: IntArray, is_68_: IntArray, is_69_: IntArray, is_70_: IntArray, i_71_: Int, i_72_: Int, i_73_: Int, bool: Boolean","x: Int, z: Int, vertexU: IntArray, vertexV: IntArray, heightAdjust: IntArray, texCoordX: IntArray, texCoordZ: IntArray, altHeightAdjust: IntArray, materialIds: IntArray, altMaterialIds: IntArray, hslColors: IntArray, altHslColors: IntArray, hue: Int, ambient: Int, contrast: Int, mirrored: Boolean",high,"Overrides the abstract TerrainTile.method3978/bakeOverlayTileShading (already extensively traced in TerrainTile.csv, which explicitly names this file). Overlay-shape counterpart to U(): if the shape is exactly a simple axis-aligned quad (checked via a 6-vertex/4-corner classification with i_29_/i_30_/i_31_/i_32_ corner indices), bakes a single ModelVertexNormal into aModelVertexNormalArrayArray8230; otherwise bakes a variable-vertex ModelVertexData into aModelVertexDataArrayArray8222."
method3984,castShadowAtFixedDistance,"i: Int, i_95_: Int, i_96_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_97_: Int, i_98_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, useAlphaFade: Boolean, distance: Int, alpha: Int",high,"Overrides the abstract TerrainTile.method3984/castShadowAtFixedDistance (matches TerrainTile.csv's row exactly). Body fully read: snapshots the renderer's active camera-transform components into instance fields (aFloat8212...aFloat8233) for use by method3990's per-vertex math, stores the fixed `distance` into anInt8228 (the sentinel later checked as `anInt8228==-1` to distinguish 'fixed distance' from 'live per-vertex distance' mode - see method3983), and for every true cell in the (2*radius x 2*radius) shapeMask around (x,z) calls the private method3990 to render that cell's shadow contribution with the given alpha."
ka,raiseBaseHeight,"i: Int, i_103_: Int, i_104_: Int","x: Int, z: Int, height: Int",high,"Overrides the abstract TerrainTile.ka/raiseBaseHeight (matches TerrainTile.csv exactly, already traces this body). Clamped running-max update: raises aByteArrayArray8232[x][z] to `height` only if the new value is greater."
method3990,castShadowOnTileCellData,"i: Int, i_105_: Int, bool: Boolean, particleSystemState: ParticleSystemState, shadowProjector: ShadowProjector, `is`: IntArray, is_106_: IntArray, is_107_: IntArray, is_108_: IntArray, i_109_: Int","x: Int, z: Int, useAlphaFade: Boolean, lightState: ParticleSystemState, shadowProjector: ShadowProjector, screenX: IntArray, screenY: IntArray, screenDepth: IntArray, alphaOut: IntArray, alphaMask: Int",high,"Private, not part of the shared abstract contract (new to this file). Shared per-cell shadow renderer used by method3983/method3984 (via method3992) and by method3987's region dispatch. For the cell's cached TerrainTileData (class145, the fixed-quad fast path - the aModelVertexNormalArrayArray8230-backed path is a documented no-op/return-early branch here): if alphaMask!=0, skips the cell per a material-flag/alphaMask bit test; computes each vertex's screen depth via the camera-transform snapshot fields (aFloat82xx, set up by method3983/method3984), returning early if the whole cell is behind the near plane; computes per-vertex fade alpha (from `lightState`'s distance/fade state); then for each triangle in the cell tests winding via a 2D cross-product and, depending on combined per-vertex alpha vs. a 765 (=3*255) threshold, dispatches to shadowProjector.method1027 (per-vertex-alpha-blended), method1024 (fully-opaque with per-vertex materialId lookup, used only in the sibling method3993/method3996 region-draw path), or method1018 (fully-transparent/fade-only) to actually rasterize the shadow triangle. Body fully read (~100 lines, lines 487-586)."
method3983,castShadow,"i: Int, i_248_: Int, i_249_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_250_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, useAlphaFade: Boolean, alpha: Int",high,"Overrides the abstract TerrainTile.method3983/castShadow (matches TerrainTile.csv exactly). Sibling of method3984 without an explicit fixed distance - per TerrainTile.csv's analysis, sets anInt8228 = -1 (the sentinel meaning 'use live per-vertex projected distance' rather than a fixed override), then follows the same camera-snapshot + per-cell method3990 dispatch loop as method3984."
wa,drawTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_15_: Int, i_16_: Int, i_17_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",high,"Overrides the abstract TerrainTile.wa/drawTileShadowSprite (matches TerrainTile.csv exactly, already documents this as a no-op override here). Empty body - only OpenGlTerrainTile's override does the real SoftwareSpriteRaster blit for this hook."
method3992,castShadowAtCell,"i: Int, i_255_: Int, i_256_: Int","x: Int, z: Int, alpha: Int",high,"Private, shared dispatcher named/described in TerrainTile.csv's note on method3987 ('SoftwareTerrainTile's private helper method3992... dispatches further to one of three private renderers depending on which cached per-cell data variant is populated'). Picks between the ModelVertexNormal/TerrainTileData path (delegating to method3990) and other cached-data variants (aVertexNormalArrayArray8215-backed cells) for the single cell (x,z)."
method3993,renderShadowRegionModelCells,"(11 params, roles unclear)","(11 params, roles unclear)",high,"Private. Per TerrainTile.csv's method3987/castShadowOverRegion analysis: one of two private per-region shadow rasterizers dispatched from method3987, handling ModelVertexNormal/SpriteTextureData-backed cells (i.e. the aModelVertexNormalArrayArray8230/aSpriteTextureDataArrayArray8219 cached-data variants) across a rectangular region of the tile grid, in contrast to method3996's VertexNormal-backed sibling."
method3994,renderShadowCellSpriteTextureData,"i: Int, i_300_: Int, shadowProjector: ShadowProjector, `is`: IntArray, is_301_: IntArray, is_302_: IntArray, is_303_: IntArray?, i_304_: Int","x: Int, z: Int, shadowProjector: ShadowProjector, screenX: IntArray, screenY: IntArray, screenDepth: IntArray, alphaOut: IntArray?, alphaMask: Int",medium,"Private, sub-helper in the method3990/method3993 shadow-rendering family (shares the same screenX/screenY/screenDepth/alphaOut parameter shape). Likely the aSpriteTextureDataArrayArray8219-backed cell variant used when method3990's fast TerrainTileData path doesn't apply. Not independently read in this pass beyond its signature and neighboring-method context."
method3989,hitTestTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_407_: Int, i_408_: Int, i_409_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",high,"Overrides the abstract TerrainTile.method3989/hitTestTileShadowSprite (matches TerrainTile.csv exactly, already documents this as a hard-coded `return false` no-op here)."
fa,getOrBuildHoleRenderNode,"i: Int, i_66_: Int, var_renderNode: RenderNode?","x: Int, z: Int, existing: RenderNode?",high,"Overrides the abstract TerrainTile.fa/getOrBuildHoleRenderNode (matches TerrainTile.csv exactly, already documents this as always returning null here - real hole/gap render-node building only happens in OpenGlTerrainTile)."
method3987,castShadowOverRegion,"i: Int, i_411_: Int, i_412_: Int, i_413_: Int, i_414_: Int, i_415_: Int, i_416_: Int, bools: Array<BooleanArray?>","baseX: Int, baseZ: Int, scale: Int, xMin: Int, zMin: Int, xMax: Int, zMax: Int, shapeMask: Array<BooleanArray?>",high,"Overrides the abstract TerrainTile.method3987/castShadowOverRegion (matches TerrainTile.csv exactly, already fully traces this body). Resets the thread-local ShadowProjector state, then dispatches per-cell in [xMin,xMax)x[zMin,zMax) filtered by shapeMask to method3993 (ModelVertexNormal/SpriteTextureData-backed cells) or method3996 (VertexNormal-backed cells)."
method3995,castShadowAtCellVertexNormal,"i: Int, i_417_: Int, bool: Boolean, particleSystemState: ParticleSystemState, shadowProjector: ShadowProjector, `is`: IntArray, is_418_: IntArray, is_419_: IntArray, is_420_: IntArray, i_421_: Int","x: Int, z: Int, useAlphaFade: Boolean, lightState: ParticleSystemState, shadowProjector: ShadowProjector, screenX: IntArray, screenY: IntArray, screenDepth: IntArray, alphaOut: IntArray, alphaMask: Int",medium,"Private. Same 10-param shape as method3990/castShadowOnTileCellData, and likely its VertexNormal-backed (aVertexNormalArrayArray8215) counterpart - i.e. the fast-quad-vertex-normal single-triangle-pair shadow renderer used by method3992's dispatch and method3996's region variant, paralleling how method3990 handles the TerrainTileData-backed cells. Not independently read in this pass beyond its signature and structural symmetry with method3990."
method3979,updateVertexShadow,"i: Int, i_452_: Int","x: Int, z: Int",high,"Overrides the abstract TerrainTile.method3979/updateVertexShadow (matches TerrainTile.csv exactly). Delegates to `method3992(x, z, 0)` - recomputes the baked shadow/lighting at a single tile vertex with alpha=0."
method3996,renderShadowRegionVertexNormalCells,"(11 params, roles unclear)","(11 params, roles unclear)",high,"Private. Per TerrainTile.csv's method3987/castShadowOverRegion analysis: the VertexNormal-backed (aVertexNormalArrayArray8215) sibling of method3993, dispatched from method3987 for cells using the fast fixed-quad vertex-normal cache instead of the TerrainTileData/SpriteTextureData variants."
YA,finalizeTileBake,,,high,"Overrides the abstract TerrainTile.YA/finalizeTileBake (matches TerrainTile.csv exactly, already traces this body). Frees the two build-time height-sample byte grids (aByteArrayArray8220=null; aByteArrayArray8232=null) once baking (U/method3978/ka) is complete."
CA,undrawTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_482_: Int, i_483_: Int, i_484_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",medium,"Overrides the abstract TerrainTile.CA/undrawTileShadowSprite (matches TerrainTile.csv's abstract contract). Not independently re-read in this pass, but following the same no-op pattern as this file's sibling hooks wa/method3989/method3981/fa (all software-side no-ops, real logic only in OpenGlTerrainTile), this is very likely also an empty body here."
method3997,isSpecialMaterialFlag,i: Int,byteFlags: Int,medium,"Private (own helper, Boolean return). Used pervasively as a guard alongside two other per-material byte-flag checks (`class12.aByte198.toInt()!=0`, `class12.aByte211.toInt()!=0`) when deciding whether a vertex needs a full alpha-composited light-color blend vs. a simpler path - likely tests a single bit in a packed material-appearance byte (e.g. 'is transparent/decal' or 'is animated texture'). Exact bit meaning not independently confirmed."
method3991,shadeColorByHeight,"i: Int, i_244_: Int","hslColor: Int, heightDelta: Int",medium,"Companion, private. Used throughout U()/method3978()/method3990() as the first argument to PixelBlender.method2250 alongside a hue/ambient/contrast term - combines a packed HSL-ish color with a height-difference value (the aByteArrayArray8220-aByteArrayArray8232 delta) to produce a shaded lighting intensity/color term for a vertex."
