current_name,recommended_name,current_params,recommended_params,confidence,notes
"<init> (primary constructor)","<init>","var_ha_Sub3: NativeRenderer?, i: Int, i_764_: Int, bool: Boolean, bool_765_: Boolean","renderer: NativeRenderer?, sceneFlags: Int, createFlags: Int, allocateBuffersNow: Boolean, isPooledScratchPairFlag: Boolean",medium,"Primary constructor + its init block. Stores i -> anInt5463 (a runtime flags bitmask, returned by ua(), later replaced wholesale by s(i)) and i_764_ -> anInt5472 (a separate 'creation options' bitmask tested throughout the class, e.g. `anInt5472 and 0x37`, `anInt5472 and 0x40`, and passed into many RenderConfig/VarpStore-style predicate helpers). `bool` gates whether each of the four BufferToggleState buffers (position/color/normal/uv) and the async index-buffer handle are allocated eagerly here vs left null; `bool_765_` is stored as aBoolean5462 which is itself forwarded into every `aHa_Sub3_5419.method3889(aBoolean5462, 16711680)` native buffer-creation call (likely a 'dynamic/writable' buffer flag). At all 6 static scratch-model-pair call sites in NativeRenderer.kt (lines 2178-2187) bool/bool_765_ are always passed as the identical pair (false,false) or (true,true), suggesting one paired mode rather than two independent toggles - confidence only medium on exact semantics of each."
"<init> (secondary, ModelDefinition constructor)","<init>","var_ha_Sub3: NativeRenderer?, modelDefinition: ModelDefinition?, i: Int, i_334_: Int, i_335_: Int, i_336_: Int","renderer: NativeRenderer?, modelDefinition: ModelDefinition?, sceneFlags: Int, ambient: Int, contrast: Int, createFlags: Int",high,"Real model-construction path; delegates to the primary constructor with allocateBuffersNow=true, isPooledScratchPairFlag=false. Builds every per-vertex/per-face array from `modelDefinition` (vertex X/Y/Z, triangle indices via method669 vertex-welding, colours/alpha, UV projection basis vectors, billboard TextureMipDescriptor/CameraOrModelTransform pairs sourced from aRectangleBoundsArray1832, face-priority nodes and widget-redraw-regions passed through) and computes per-material index buckets (anIntArray5455) plus per-texture-id groupings (anIntArrayArray5492) used later by method605/I/P's per-group operations. i_334_/i_335_ are stored directly into aShort5452 (ambient - see WA()) and aShort5427 (contrast - see da()/LA()), confirming those two fields' roles. Uses many RenderConfig-derived predicate helpers (var_renderConfig.method3, FileExistsCondition.method742) to decide whether a face should be culled from the model entirely (hidden/invisible materials, e.g. player-customizable equipment slots)."
method659,renderBillboardQuads,i: Int,unusedThreshold: Int,medium,"Private. Gated on `aTextureMipDescriptorArray5524 != null` (the per-'RectangleBounds' billboard/decorative-quad entries copied from ModelDefinition). For each entry, computes the source face's centroid in model space, perspective-scales a screen-facing quad by inverse distance from camera (`1/sqrt(dist) * size`), and issues native draw calls through aHa_Sub3_5419 (method3849/3885/3934/3894/etc) - this is the billboard/glow-sprite render sub-pass attached to the model. `if (i < 70) ia(112.toShort(), 86.toShort())` is a near-constant-parameter guard performing one fixed material recolor (112->86); given the arbitrary threshold and single hardcoded swap this looks like an opaque-predicate/decoy left by the obfuscator rather than meaningful logic."
method660,uploadNativeVertexBuffers,i: Int,unusedFlag: Int,high,"Private. For each of the 4 BufferToggleState-guarded buffers (position/colour-or-lighting/normal/uv) that is currently dirty (`!aBufferToggleState_X.aBoolean3714`, see BufferToggleState.csv), obtains a native ByteBuffer handle and calls the matching NativeInterface copy* method (copyPositions/copyLighting-or-copyColours/copyNormals/copyTexCoords - all 4 call sites are documented against this exact file/line in refactor-notes/jvmMain/jagex3/graphics2/hw/NativeInterface.csv). Picks copyLighting (per-vertex-normal shading) vs copyColours (flat per-face shading) via `anInt5472 and 0x37`. Returns whether every requested upload succeeded. The trailing `if (i >= -70) method623(-91, -89, null, false, 4, -45)` is a hit-test call with all-constant arguments and a null camera - it can never do anything useful (would NPE or short-circuit) and looks like dead/decoy code bundled in by the obfuscator rather than a real dependency."
na,getXZBoundingRadius,,,high,"Returns anInt5510, lazily rebuilt via method675 (`if (!aBoolean5477) method675(0)`) as `sqrt(max(x^2+z^2) over all vertices) + 0.99` - i.e. the model's horizontal (XZ-plane) bounding radius, ignoring height. Matches the AbstractModel hint that na() is a stored bounds int gated by the aBoolean5477 'bounds valid' flag."
NA,beginVertexGroupTransform,,,medium,"Returns false immediately if anIntArrayArray5413 (the per-face-group vertex-index table built from ModelDefinition.method1100) is null, i.e. this model has no named vertex groups to operate on. Otherwise left-shifts every vertex X/Y/Z coordinate by 4 bits (extra fixed-point precision for the upcoming trig-heavy group transform) and resets 3 cross-class shared scratch statics (SpriteLoadValidator.anInt4795 / SpriteArchiveLoader.anInt386 / KeyboardInputSource.anInt4274, used as X/Y/Z pivot accumulators by P()/method605()/I()), returning true. Always paired with wa() in AbstractModel.method603/611/617/625 (`method622(); if (NA()) { ...; wa(); method621() } else method621()`), which performs the inverse shr-4 rescale afterward - so this is the 'enter precision-boosted group-transform mode' half of a begin/end pair."
method622,onGroupTransformBegin,,,low,"Empty override (increments only a call counter). Called unconditionally by AbstractModel.method603/611/617/625 right before checking NA(). No-op in this subclass; likely a symmetric hook stub with no live subclass to demonstrate real use (this is the only AbstractModel subclass in the repo)."
method604,getWidgetRedrawRegions,,,high,"Trivial getter returning aWidgetRedrawRegionArray5474, sourced from ModelDefinition.aWidgetRedrawRegionArray1866 in the secondary constructor and consumed in method620 (screen-position refresh) each frame."
LA,setContrast,i: Int,contrast: Int,high,"Sets aShort5427 (confirmed as 'contrast' via NativeInterface.csv's copyLighting/copyNormals call-site notes, which use aShort5427.toInt() as the contrast argument). Then calls method667(0) (invalidates the position buffer - see method667 notes for why this looks like a possible decompiler/logic oddity for a contrast setter) and method673(65.toByte()) (invalidates whichever colour/normal buffer is currently active)."
VA,rotateZ,i: Int,angle: Int,high,"Rotates the X/Y vertex-coordinate pair (anIntArray5511/anIntArray5519) using a sin/cos lookup from SpotAnimVector.anIntArray1207/1204 indexed by `i`, shr 14 fixed-point - i.e. rotation about the Z axis. Invalidates the position buffer (method667(0)) and clears the cached-bounds flag directly (does not call method675/wa's shr4 rescale, unlike the NA()-gated group-transform path)."
