current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,arg0: hb?,peerContext: hb?,medium,"Primary constructor stores `arg0` in private field `b` and delegates to `IUnknown(b)`. Wraps the real Direct3D9 `IDirect3DDevice9` COM interface - by far the largest class in `jagdx`, mirroring dozens of `IDirect3DDevice9` methods. Only ever constructed by `IDirect3D`'s `createDevice`/native code, never directly by client code."
b,createEventQuery,,,high,"Allocates a fresh `IDirect3DEventQuery(this.b)`, calls private native `_CreateEventQuery`, returns the query on success (`ue.a(result, false)`, this codebase's success/failure check) or `null` on failure - unlike every other `_CreateX` wrapper in this file, this one swallows the failure instead of throwing `fda`. Matches real D3D9 `IDirect3DDevice9::CreateQuery(D3DQUERYTYPE_EVENT, ppQuery)` semantics (event queries are optional/may fail silently on older hardware, hence no-throw). No confirmed call site found in D3dRenderDevice.kt via grep, but its presence alongside `IDirect3DEventQuery`/`TestCooperativeLevel` suggests GPU-idle/vsync-fence polling support."
b,getSwapChain,arg0: Int,swapChainIndex: Int,high,"Wraps private native `_GetSwapChain`, throwing `fda` on failure. Matches real D3D9 `IDirect3DDevice9::GetSwapChain(iSwapChain, pSwapChain)`. Confirmed at D3dRenderDevice.kt:552/837 `idirect3ddevice.b(0)` used to build the `D3dSwapChainWrapper` for the primary swap chain."
SetStreamSource,SetStreamSource,"arg0: Int, arg1: IDirect3DVertexBuffer?, arg2: Int, arg3: Int","streamNumber: Int, vertexBuffer: IDirect3DVertexBuffer?, offsetInBytes: Int, stride: Int",high,"Native name already matches real D3D9 API `IDirect3DDevice9::SetStreamSource(StreamNumber, pStreamData, OffsetInBytes, Stride)` exactly. Confirmed at D3dRenderDevice.kt:759 `SetStreamSource(i_89_, d3dVertexBuffer.anIDirect3DVertexBuffer8511, 0, d3dVertexBuffer.method3519(3545))` where the 4th arg resolves the buffer's per-vertex byte stride."
_CreateEventQuery,nativeCreateEventQuery,arg0: IDirect3DEventQuery?,eventQuery: IDirect3DEventQuery?,high,"Private external backing the public `b`/`createEventQuery` wrapper above."
a,setVertexShaderConstants,"arg0: Int, arg1: FloatArray","register: Int, values: FloatArray",high,"Thin wrapper computing `values.size / 4` (vec4 count) and delegating to `SetVertexShaderConstantF`. Matches real D3D9 `IDirect3DDevice9::SetVertexShaderConstantF(Register, pConstantData, Vector4fCount)` with the count inferred from array length instead of passed explicitly."
_CreateCubeTexture,nativeCreateCubeTexture,"arg0: Int, arg1: Int, arg2: Int, arg3: Int, arg4: Int, arg5: IDirect3DCubeTexture?","edgeLength: Int, levels: Int, usage: Int, format: Int, pool: Int, texture: IDirect3DCubeTexture?",high,"Private external backing the public `a`/`createCubeTexture` wrapper (see below). Param order/names match real D3D9 `IDirect3DDevice9::CreateCubeTexture(EdgeLength, Levels, Usage, Format, Pool, ppCubeTexture, pSharedHandle)`."
a,setRenderStateBool,"arg0: Int, arg1: Boolean","state: Int, value: Boolean",high,"Convenience boolean overload delegating to private `SetRenderStateb`. Distinguished here from the real single `SetRenderState(State, Value)` (DWORD-value overload, see below) only by this wrapper's Kotlin-side boolean parameter; both ultimately map to the same native `IDirect3DDevice9::SetRenderState`. Confirmed at many D3dRenderDevice.kt call sites, e.g. line 122 `this.anIDirect3DDevice9810!!.a(14, (aBoolean8124 && aBoolean8118))` (state 14 = likely D3DRS_LIGHTING or similar boolean render state), line 606 `a(174, this.aBoolean8209)`, etc. - all pass a literal render-state ID plus a Kotlin Boolean."
SetRenderStateb,nativeSetRenderStateBool,"arg0: Int, arg1: Boolean","state: Int, value: Boolean",high,"Private external backing the public `a`/`setRenderStateBool` wrapper above."
Clear,clear,"arg0: Int, arg1: Int, arg2: Float, arg3: Int","flags: Int, color: Int, z: Float, stencil: Int",high,"Simplified wrapper over real D3D9 `IDirect3DDevice9::Clear(Count, pRects, Flags, Color, Z, Stencil)` with `Count`/`pRects` fixed to 0/NULL (always clears the full viewport, no dirty-rect support). Confirmed at D3dRenderDevice.kt:434 `Clear(1, i, 0.0f, 0)` (flags=1=D3DCLEAR_TARGET, color=i, z unused, stencil=0) and line 764 `Clear(2, 0, 1.0f, 0)` (flags=2=D3DCLEAR_ZBUFFER, color unused, z=1.0f clears depth to far plane, stencil=0)."
