current_name,recommended_name,current_params,recommended_params,confidence,notes
method2618,beginScan,i: Int,startY: Int,high,"Private. If no edges are queued (anInt4105 < 0, i.e. edge count sentinel unset), resets all scan cursors to defaults with an 'empty' end marker (anInt4103 = 2147483646). Otherwise sorts queued edges by top-Y via method2625/sortEdgesByStartY, clamps the first scanline to at least `startY`, and pre-steps every edge's fixed-point x/slope (16.16 format: `(x shl 16) + 32768` plus `dx = (x2-x1 shl 16)/(y2-y1)`) forward to that first scanline - classic active-edge-table (AET) initialization for a scanline polygon rasterizer."
method2619,fillPolygonClipped,"var_renderer: Renderer, is: IntArray, i: Int, is_9_: IntArray?, is_10_: IntArray","renderer: Renderer, points: IntArray, color: Int, clipLeftPerRow: IntArray?, clipWidthPerRow: IntArray",high,"Public entry point; delegates to method2623/rasterizePolygon with the whole `points` array. Sole external caller (FlipTextureNode.kt:596) passes a widget's per-row clip-left/clip-width arrays (widgetComponent.anIntArray677/anIntArray772), consistent with clipping a filled polygon/list of quads to a scrollable widget's visible rows."
method2620,fillPolygonUnclipped,"var_renderer: Renderer, is: IntArray, i: Int","renderer: Renderer, points: IntArray, color: Int",high,"Public entry point; same as fillPolygonClipped but with null clip-bound arrays (unclipped fill). Sole external caller MapRegionLoader.kt:89 passes a loc/struct's colour field (structConfig.anInt582) as `color` and a flat rect/quad list as `points`, e.g. for painting a scene object's footprint onto the minimap."
method2621,clearEdgeBuffer,(none),(none),high,"Companion. Nulls the static anIntArray4107 edge-table buffer."
method2622,appendPolygonEdges,"is: IntArray, i: Int, i_11_: Int","points: IntArray, offset: Int, count: Int",high,"Private. Grows anIntArray4107 if needed, then converts each consecutive pair of (x,y) points in `points[offset..offset+count)` into a 4-int edge record (x1,y1,x2,y2) ordered so y1 <= y2 (swapping the pair otherwise), appending to the edge buffer and advancing anInt4105 (edge count) - standard 'polygon vertices to Y-sorted edge list' step of a scanline fill."
method2623,rasterizePolygon,"var_renderer: Renderer, is: IntArray, i: Int, i_19_: Int, i_20_: Int, is_21_: IntArray?, is_22_: IntArray?","renderer: Renderer, points: IntArray, offset: Int, count: Int, color: Int, clipLeftPerRow: IntArray?, clipWidthPerRow: IntArray?",high,"Private core shared by fillPolygonClipped/fillPolygonUnclipped. Queries the renderer's current clip rect (var_renderer.K), builds edges (appendPolygonEdges), begins the scan (beginScan) and repeatedly advances scanlines (method2627/advanceScanline) drawing one horizontal span per line via var_renderer.U(x, y, width, color, 1), intersecting each span with the optional per-row clip bounds when supplied."
method2624,resetEdgeCount,(none),(none),high,"Private. Sets anInt4105 = 0."
method2625,sortEdgesByStartY,"i: Int, i_28_: Int","start: Int, end: Int",medium,"Private. Recursive in-place sort of 4-int edge records in anIntArray4107[start..end) keyed by each edge's y1 (offset+1) - a hand-rolled merge/selection-style sort (not a textbook quicksort/mergesort, but achieves the same Y-ascending ordering needed before scanning)."
method2626,sortActiveEdgesByX,"i: Int, i_36_: Int","start: Int, end: Int",medium,"Private. Repeated bubble-sort passes over the active-edge sub-range [start,end), swapping adjacent 4-int edge records (including their x/slope fields) when out of X order, shrinking the range each full pass with no swaps - keeps the active edge list left-to-right ordered so spans are emitted in correct X order per scanline."
method2627,advanceScanline,i: Int,maxY: Int,high,"Private. Core AET stepper: advances the current scanline (anInt4103), inserts newly-active edges starting at this Y (precomputing their fixed-point x/slope like beginScan), retires edges ending at this Y via a compaction pass, re-sorts the active list by X (sortActiveEdgesByX), and returns false once past `maxY` or once the active list is exhausted (anInt4105 reset to 0). On success, sets anInt4106/anInt4108 (span start/end X, right-shifted from 16.16 fixed point) from the first pair of active edges and advances their x by their slope for the next line."
