current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Secondary constructor delegating to GraphicsOptionState(initialValue, config), which stores anInt3138 = initialValue directly - the 'deserialize a saved setting value' constructor path, matching the same two-constructor convention documented across all sibling *OptionState classes (see GraphicsOptionState.csv)."
method1714,getSupportLevel,"i: Int, i_1_: Int","tag: Int, value: Int",medium,"Override of abstract GraphicsOptionState.method1714. Matches the getSupportLevel(tag, value) convention established in FogOptionState.csv/BooleanGraphicsOptionState.csv, where every real caller (GraphicsOptionState.method1718, and the ChatCommandProcessor CS2 opcode dispatcher) always passes tag=3, making `if (tag != 3) return -46` a dead decoy branch. Real logic: returns 3 ('unsupported/read-only') if `aClass348_Sub51_3136.method3425(-62)` (an unresolved multi-condition DisplaySettingsConfig hardware/state check shared across several option classes) is true; otherwise returns 1 if `value == 0` OR the sibling CustomCursorsOptionState's getValue (`aClass239_Sub9_7256.method1759(-32350)`) equals 1; otherwise returns 2 - i.e. a 3-tier light-detail support level gated partly by another, unrelated option's current value."
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Override of abstract GraphicsOptionState.method1710; always returns the constant 1 regardless of `sentinel`, matching the getDefaultValue(sentinel) convention (called with the fixed 20014 sentinel from the base constructor and from method1716/validateValue)."
method1800,getValue,i: Int,unused: Int,high,"Concrete getter returning `this.anInt3138` (current option value). `unused` is not referenced in the body at all. Confirmed real external call sites all pass the standard -32350 sentinel (ChatCommandProcessor.kt, Client.kt, DisplaySettingsConfig.kt, DelegatingRenderCanvas.kt, CustomCursorsOptionState.kt), matching the getValue(sentinel) convention used by every sibling *OptionState class."
method1716,validateValue,bool: Boolean,force: Boolean,medium,"Override of abstract GraphicsOptionState.method1716. `if (force == false) { if (aClass348_Sub51_3136.method3425(-94)) anInt3138 = 0; if (anInt3138 < 0 && anInt3138 > 2) anInt3138 = method1710(20014) }`. The out-of-range clamp condition (`< 0 && > 2`) is logically impossible to satisfy simultaneously - almost certainly meant to be `< 0 || > 2` and mangled by decompilation/obfuscation, so that fallback branch can never actually fire (same broken-clamp pattern flagged in DetailLevelOptionState.csv). Confirmed real call site: DisplaySettingsConfig.method3426's reflective 'revalidate every GraphicsOptionState field' pass, which always calls `.method1716(false)` - i.e. `force` is always false in practice, so the whole body's outer guard is always entered anyway (its name reflects the base-class convention rather than any confirmed 'skip when true' semantics)."
method1801,isSupported,i: Int,unused: Int,medium,"Public helper duplicating the hardware-restriction check used inside getSupportLevel/method1714 (`!aClass348_Sub51_3136.method3425(-70)`), similar in spirit to FogOptionState's isFogSupported/method1806. `if (unused <= 85) method1800(90)` calls getValue and discards the result - a dead decoy side-effect. No external call sites found in this pass, so the real caller/context is unconfirmed."
method1712,setValue,"i: Int, i_3_: Int","unusedTag: Int, value: Int",high,"Override of abstract GraphicsOptionState.method1712; sets `this.anInt3138 = value` unconditionally. `unusedTag` only feeds a discarded expression `65 / ((82 - unusedTag) / 35)`, matching the identical decoy shape documented for every sibling *OptionState's setValue override (see GraphicsOptionState.csv)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Secondary constructor delegating to GraphicsOptionState(config), which computes anInt3138 via getDefaultValue(20014) - the 'construct with default value' path, matching every sibling *OptionState class's second constructor."
method1799,clearCache,i: Int,unused: Int,medium,"Companion/@JvmStatic. Nulls PerlinNoiseTextureNode.anIntArray6035 (an unrelated class's field - decompiler-merged grab-bag static, per PLAN.md) and aConfigFlagUtil_6030 (this class's own ConfigFlagUtil companion field, purpose not traced further). `unused` only feeds a discarded expression `51 / ((unused - 33) / 40)`. Confirmed real call site: LightDetailOptionState.method1802/flushOutgoingPackets calls this internally as a dead decoy (`if (tag != 0) method1799(58)`, real callers of that method always pass 0)."
method1802,flushOutgoingPackets,i: Int,tag: Int,high,"Companion/@JvmStatic, semantically unrelated to LightDetailOptionState/graphics options - a decompiler-merged networking routine (per PLAN.md's recurring pattern). When `Client.aAbstractGameSocket_9165` is non-null and there are queued bytes (`IntPair.anInt6969 > 0`), drains the outgoing packet queue (`GrayscaleEffect.aNodeDeque_9201`, an OutgoingPacketNode deque) and writes each queued packet's bytes to the socket via `aAbstractGameSocket_9165.method1706`, updating byte counters (`FogState.anInt1433`) as it goes - i.e. this is the 'flush queued outgoing network packets to the socket' step of the network write loop. Confirmed via 5+ call sites across Client.kt, AbstractBloomEffect.kt, RegionSceneLoader.kt (x1), SceneNodeDeque.kt (x3), all of which pass the literal 0 - making `if (tag != 0) method1799(58)` (clearCache) a dead decoy branch in every observed call."
