current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aHa_Sub1_1666: SoftwareRenderer, aParticleSystemState_1670: ParticleSystemState","renderer: SoftwareRenderer, renderState: ParticleSystemState",high,"Primary constructor. Stores the owning SoftwareRenderer and per-thread ParticleSystemState, and aliases several of its own fields directly to the renderer's shared buffers: anIntArray1673 = renderer.anIntArray7483 (pixel framebuffer), aFloatArray1677 = renderer.aFloatArray7511 (reciprocal-depth/z-buffer), anInt1678 = renderer.anInt7477 (row stride in pixels). This class is instantiated once per ParticleSystemState (see ParticleSystemState.kt / SoftwareModel.kt: `aShadowProjector_2220 = ShadowProjector(aHa_Sub1_2191, this)`), i.e. one rasterizer-state object per render thread."
method1016,fillTexturedTintedSpan,"is: IntArray, is_0_: IntArray?, i: Int, i_1_: Int, i_2_: Int, f: Float, f_3_: Float, f_4_: Float, f_5_: Float, f_6_: Float, f_7_: Float, f_8_: Float, f_9_: Float, f_10_: Float, f_11_: Float, f_12_: Float, f_13_: Float, f_14_: Float, f_15_: Float, f_16_: Float, f_17_: Float","framebuffer: IntArray, texturePixels: IntArray?, row: Int, xStart: Int, xEnd: Int, invZ0: Float, invZ1: Float, uNum0: Float, uNum1: Float, vNum0: Float, vNum1: Float, alpha0: Float, alpha1: Float, red0: Float, red1: Float, green0: Float, green1: Float, blue0: Float, blue1: Float, extra0: Float, extra1: Float",low,"Private single-texture, per-scanline span filler used only by method1024 (the 'perspective-correct-per-vertex' textured triangle path, called from SoftwareModel/SoftwareTerrainTile via ShadowProjector.method1024). For each pixel: computes perspective-correct 1/z, samples anIntArray1698 (the currently-bound texture, set up in method1020/1024) at the perspective-divided (u,v), derives per-pixel alpha from anInt1683 (0 = fixed alpha value carried in one of the interpolants, 1 = binary/colour-key transparency, 2 = texture's own alpha channel), optionally blends the sampled colour with a solid tint colour anInt1696 by a per-pixel weight, z-tests against aFloatArray1677 and writes both colour and depth on pass. The 8 (start,end) float pairs are each linearly interpolated across the span by the function itself (delta = (end-start)/spanLength) rather than passed pre-differenced - exact channel identity of the last pair (extra0/extra1) could not be confirmed independently."
method1017,getClipRowOffset,(none),(none),medium,"Returns `anIntArray1676[0] / anInt1678` - anIntArray1676 is a per-row absolute-pixel-offset lookup table built by SoftwareRenderer (row i's offset = i*stride + xOrigin), and anInt1678 is the row stride, so this recovers the clip region's origin row/column contribution. Used together with method1028 in SoftwareRenderer.kt:1834-1835 (`i -= class109.method1028(); i_494_ -= class109.method1017()`) to convert an absolute framebuffer pixel index back into clip-relative (x,y) - i.e. this returns the Y-related origin component (method1028 returns the X-related one, see below)."
method1018,fillGouraudTriangleSingleColor,"f: Float, f_41_: Float, f_42_: Float, f_43_: Float, f_44_: Float, f_45_: Float, f_46_: Float, f_47_: Float, f_48_: Float, i: Int","x0: Float, x1: Float, x2: Float, y0: Float, y1: Float, y2: Float, z0: Float, z1: Float, z2: Float, color: Int",high,"Public triangle-fill entry point: sorts the 3 vertices by screen Y, computes edge slopes via the standard cross-product/area method, clips against the top/bottom scanline bounds (anInt1672/anInt1679), and for every scanline calls the private method1026(anIntArray1673, aFloatArray1677, row, color, ..., xLeft, xRight, z, dz) span filler - i.e. draws a single flat/solid-colour (no per-vertex colour, no texture) z-tested triangle. Confirmed real call sites: SoftwareModel.kt:383/2088/2151-2152 pass 3 screen x/y/z coords plus a single palette-resolved colour int (`SoundEnvelope.anIntArray4983!![...]`) when a face has no texture id - i.e. this is the flat-shaded model/terrain face path. If `aBoolean1675` (wireframe toggle, see method1023) is set, draws 3 lines via aHa_Sub1_1666.method3645 instead of filling."
method1019,fillTexturedFadeSpan,"is: IntArray, fs: FloatArray, i: Int, i_61_: Int, i_62_: Int, i_63_: Int, i_64_: Int, f: Float, f_65_: Float, f_66_: Float, f_67_: Float","framebuffer: IntArray, depthBuffer: FloatArray, rowStart: Int, texel: Int, count: Int, xStart: Int, xEnd: Int, u: Float, du: Float, z: Float, dz: Float",low,"Private per-scanline span filler used only by method1022 (single-texture path). Samples a colour-index texture via `SoundEnvelope.anIntArray4983!![u.toInt()]` (SoundEnvelope here is being reused purely as a static palette/lookup-table holder, unrelated to audio - consistent with the PLAN.md-documented pattern of jvmMain classes hosting unrelated static data), optionally cross-fades it with the existing framebuffer pixel by a fixed 0-256 weight (this.anInt1674), and z-tests/writes against fs (the depth buffer) only when the outer `aParticleSystemState_1670.aBoolean2202` flag is true - the two large near-duplicate code blocks (lines ~503-620 vs ~621-714) are identical except one updates the depth buffer and one does not, i.e. aBoolean2202 is an 'opaque pass writes depth / translucent pass tests-only' switch. The inner `this.aBoolean1669` branch additionally 4x-unrolls the same per-pixel logic purely for loop-unrolling performance, not a different visual mode."
method1020,fillMultiTextureTriangleAffine,"f: Float, f_88_: Float, f_89_: Float, f_90_: Float, f_91_: Float, f_92_: Float, f_93_: Float, f_94_: Float, f_95_: Float, f_96_: Float, f_97_: Float, f_98_: Float, f_99_: Float, f_100_: Float, f_101_: Float, i: Int, i_102_: Int, i_103_: Int, i_104_: Int, i_105_: Int, i_106_: Int, i_107_: Int, i_108_: Int, f_109_: Float, i_110_: Int, f_111_: Float, i_112_: Int, f_113_: Float","x0: Float, x1: Float, x2: Float, y0: Float, y1: Float, y2: Float, z0: Float, z1: Float, z2: Float, u0: Float, u1: Float, u2: Float, v0: Float, v1: Float, v2: Float, color0: Int, color1: Int, color2: Int, tintColor: Int, highlight0: Int, highlight1: Int, highlight2: Int, textureId1: Int, texScale1: Float, textureId2: Int, texScale2: Float, textureId3: Int, texScale3: Float",medium,"Public triangle-fill entry point supporting up to 3 blended texture layers (looks up/caches 3 separate texture pixel arrays anIntArray1698/1685/1692 keyed by textureId1/2/3 via aHa_Sub1_1666.method3718, invalidating the per-layer cache only when the id changes from anInt1697/1689/1687). Confirmed via SoftwareTerrainTile.kt:1856 sibling call to method1024 (identical param list, see method1024 notes) - method1020 is used instead of method1024 specifically when the 3 triangle corners do NOT share the same texture-coordinate scale (aShortArray2616), dividing all 3 vertices' UVs by one shared representative depth `f` (an affine/approximate texture-mapping fast path) rather than each vertex's own true depth. Delegates per-scanline work to the private method1025. Confidence medium: overall role (multi-texture terrain blend triangle, affine variant) is well evidenced by the SoftwareTerrainTile call site, but exact semantics of every individual float/int slot were inferred structurally rather than independently verified line-by-line given the ~1700-line size of this method."
method1021,fillGouraudSpan,"is: IntArray, fs: FloatArray, i: Int, i_168_: Int, i_169_: Int, i_170_: Int, i_171_: Int, f: Float, f_172_: Float, f_173_: Float, f_174_: Float, f_175_: Float, f_176_: Float, f_177_: Float, f_178_: Float","framebuffer: IntArray, depthBuffer: FloatArray, rowStart: Int, tintR: Int, tintG: Int, xStart: Int, xEnd: Int, z: Float, dz: Float, red: Float, dRed: Float, green: Float, dGreen: Float, blue: Float, dBlue: Float",low,"Private per-scanline span filler, structurally the untextured counterpart of method1016 (same z-test-and-write plus optional solid-tint-colour blend shape via anInt1696), used only by method1027's inner loops - i.e. fills one scanline of a per-vertex-coloured (Gouraud), non-textured, z-tested triangle. Exact identity of the two leading Int params (i_168_/i_169_, only ever read not clearly reassigned in the excerpted body) could not be fully confirmed - kept low confidence."
method1022,fillTexturedTriangleSingleLayer,"f: Float, f_314_: Float, f_315_: Float, f_316_: Float, f_317_: Float, f_318_: Float, f_319_: Float, f_320_: Float, f_321_: Float, f_322_: Float, f_323_: Float, f_324_: Float","x0: Float, x1: Float, x2: Float, y0: Float, y1: Float, y2: Float, alpha0: Float, alpha1: Float, alpha2: Float, texelIndex0: Float, texelIndex1: Float, texelIndex2: Float",high,"Public triangle-fill entry point for a single flat colour-index texture (no z-buffer texel sampling by (u,v) - instead each vertex directly carries a palette index into SoundEnvelope.anIntArray4983, interpolated across the triangle and looked up per-pixel in method1019). Confirmed real call sites: SoftwareModel.kt:395/2089/2154-2155 (`else aShadowProjector_5383!!.method1022(...)`, the textured-face sibling branch of method1018's flat-colour branch) and used identically to method1018 but for textured faces. Sorts vertices by Y, computes edge gradients via cross product, clips to anInt1672 bounds, and calls method1019 per scanline."
method1023,setWireframeMode,bool: Boolean,enabled: Boolean,high,"Trivial setter: `aBoolean1675 = bool`. This flag is checked at the top of every triangle-fill method (method1018/1020/1022/1024/1027) - when set, the triangle is drawn as 3 individual lines via aHa_Sub1_1666.method3645 instead of being scan-converted/filled, i.e. a debug wireframe-outline toggle for this rasterizer."
method1024,fillMultiTextureTrianglePerspective,"f: Float, f_341_: Float, f_342_: Float, f_343_: Float, f_344_: Float, f_345_: Float, f_346_: Float, f_347_: Float, f_348_: Float, f_349_: Float, f_350_: Float, f_351_: Float, f_352_: Float, f_353_: Float, f_354_: Float, i: Int, i_355_: Int, i_356_: Int, i_357_: Int, i_358_: Int, i_359_: Int, i_360_: Int, i_361_: Int","x0: Float, x1: Float, x2: Float, y0: Float, y1: Float, y2: Float, z0: Float, z1: Float, z2: Float, u0: Float, u1: Float, u2: Float, v0: Float, v1: Float, v2: Float, color0: Int, color1: Int, color2: Int, tintColor: Int, highlight0: Int, highlight1: Int, highlight2: Int, textureId: Int",high,"Public triangle-fill entry point, the true-perspective-correct sibling of method1020 (same parameter shape/roles), used when all 3 vertices share the same texture-coordinate scale so each vertex's (u,v) can be divided by its own true per-vertex depth instead of one shared approximate depth. Confirmed extensively: SoftwareModel.kt (drawing character/object model faces, both opaque and alpha-blended via aByteArray5325 fade bytes -> this.anInt1674) and SoftwareTerrainTile.kt (drawing ground/terrain faces, e.g. line 1831 `if (...same texcoord scale...) shadowProjector.method1024(...) else shadowProjector.method1020(...)`). Delegates per-scanline work to the private method1016 (see above)."
