current_name,recommended_name,current_params,recommended_params,confidence,notes
method1778,getValue,i: Int,tag: Int,high,"Matches the established GraphicsOptionState-family 'getValue' accessor pattern seen in sibling classes (cf. SceneryDetailOptionState.csv's method1820/getValue, same -32350 tag convention). Decoy `if (tag != -32350) aModelLightingConfig_5990 = null`; returns the live anInt3138 value field."
method1716,validateValue,bool: Boolean,force: Boolean,high,"Override of GraphicsOptionState.method1716/validateValue (see GraphicsOptionState.csv for the established project-wide convention). If a hardware/feature capability check (aClass348_Sub51_3136.aClass239_Sub3_7222.method1735(force)) is true and the current value equals 2, downgrades it to 1; then re-clamps anInt3138 to [0,2] via getDefaultValue/method1710(20014) if out of range. Unlike the confirmed-buggy `&&`-clamp in ParticleDetailOptionState.method1716 (noted in PLAN.md), this class's range check correctly uses `||` (`anInt3138 < 0 || anInt3138 > 2`), so the clamp is live/reachable here."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Secondary constructor matching the standard GraphicsOptionState two-constructor pattern (explicit initial value, see GraphicsOptionState.csv)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Secondary constructor matching the standard GraphicsOptionState two-constructor pattern (no explicit value - derives the initial value from getDefaultValue/method1710 via the superclass constructor, see GraphicsOptionState.csv)."
method1712,setValue,"i: Int, i_8_: Int","tag: Int, value: Int",high,"Override of GraphicsOptionState.method1712/setValue (see GraphicsOptionState.csv - established project-wide convention). Sets anInt3138 = value; `tag` only feeds a discarded decoy expression."
method1710,getDefaultValue,i: Int,tag: Int,high,"Override of GraphicsOptionState.method1710/getDefaultValue (see GraphicsOptionState.csv). Returns the fixed constant 2 (does not even guard on the 20014 tag convention documented for sibling overrides)."
method1714,getOptionKind,"i: Int, i_10_: Int","tag: Int, value: Int",high,"Override of GraphicsOptionState.method1714/getOptionKind (see GraphicsOptionState.csv - established tag==3 convention). Returns 23 (a non-standard sentinel not matching the base class's documented 1=settable/3=computed-readonly convention observed in other subclasses) when tag != 3, otherwise returns 1 (settable) - the 23 branch is dead at real call sites per the base class's tag==3 invariant, so in practice this option always reports as settable."
method1779,disposeLightingAndSceneCaches,i: Byte,unusedFlag: Byte,medium,"Companion, @JvmStatic. Broad teardown routine spanning several unrelated feature areas (matches this codebase's common grab-bag companion-reset pattern): calls NamedIdRecord.method3517, nulls NodeDequeStatics.aModelLightingConfigArrayArray3335, TerrainChunkBuilder.aRenderer1098, conditionally SceneryDetailOptionState.aCircleRasterizer_6098/HeapInfoRecord.aCircleRasterizer_4938/ParameterizedText.aCircleRasterizer_9571 - reads as a logout/scene-reload cleanup hook that happens to be parked on WaterDetailOptionState rather than being specific to water rendering."
method1780,disposeDisplaySettingsCaches,i: Int,unusedFlag: Int,medium,"Companion, @JvmStatic. Nulls InboundPacketHeader.aInboundPacketHeader_5992 (unrelated), this class's own aConfigFlagUtil_5989/anIntArrayArray5991/aKeyboardLayoutCache_5995/aModelLightingConfig_5990, and SceneEntity.aSoundEnvelopeArray5993 (unrelated) - another broad grab-bag teardown hook, likely paired with disposeLightingAndSceneCaches/method1779 as part of the same reset sequence."
method1781,benchmarkRenderPerformance,"i: Int, i_1_: Int, i_2_: Int","rendererType: Int, tag: Int, durationMs: Int",high,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to water-detail settings - a generic rendering-toolkit benchmark: repeatedly draws a shrinking triangle-fan of a test model (loaded via ParticleConfigParser.method2277) for up to `durationMs` milliseconds (or until 500 outer iterations complete), counting draws, then returns an estimated frames-per-second (`1000 * drawCount / elapsedMs`). Confirmed via ~9 call sites in ChatCommandProcessor.kt/ConfigArchiveLoader.kt passing `rendererType` values 0/1/2/3/5 alongside diagnostic labels 'Java toolkit'/'SSE toolkit'/'D3D toolkit'/'GL toolkit'/'GLX toolkit'/'Performance' - i.e. this is the client's startup graphics-toolkit auto-benchmark used to pick a default renderer/detail level, parked on WaterDetailOptionState by the decompiler rather than being water-specific. Early-out: returns 1 if AbstractFrameBufferSurface.anInt6923 == -1 (no active renderer format). `rendererType`'s exact effect on the draw path beyond gating an early-return comparison against IntHashSetStatics config state was not fully traced."
