current_name,recommended_name,current_params,recommended_params,confidence,notes
SetWindowLong,setWindowLong,"i: Int, i_0_: Int, i_1_: Int","hwnd: Int, index: Int, newValue: Int",high,"Real Win32 API `SetWindowLongA`/`SetWindowLongW`(HWND, nIndex, dwNewLong) -> returns previous value. Confirmed at call sites in DirectDrawDisplayMode.method1146: `SetWindowLong(hwnd, -16, -2147483648)` (index -16 = GWL_STYLE, forcing WS_POPUP via sign bit) and `SetWindowLong(hwnd, -20, 8)` (index -20 = GWL_EXSTYLE, WS_EX_TOPMOST); also NativeCursorCallback.method3622: `SetWindowLong(hwnd, -4, prevWndProcPtr)` (index -4 = GWL_WNDPROC, classic window-subclassing pattern). This external/native overload is the one actually invoked wherever the 3rd arg is a plain Int."
GetWindowLong,getWindowLong,"i: Int, i_2_: Int","hwnd: Int, index: Int",high,"Real Win32 `GetWindowLongA`/`GetWindowLongW`(HWND, nIndex). Call site NativeCursorCallback.method3623: `GetWindowLong(hwnd, -4)` (GWL_WNDPROC) retrieves the previously-installed window procedure pointer before subclassing/delegating to it via CallWindowProc."
CallWindowProc,callWindowProc,"callback: Callback?, i: Int, i_3_: Int, i_4_: Int, i_5_: Int","prevWndProc: Callback?, hwnd: Int, msg: Int, wParam: Int, lParam: Int",medium,"Real Win32 `CallWindowProcA/W`(lpPrevWndFunc, hWnd, Msg, wParam, lParam) -- this is the `external` (native-backed) overload taking a `Callback` function-pointer wrapper as the first arg. NOTE: grep of all call sites (NativeCursorCallback.method3623, both `CallWindowProc(i_6_, ...)` and `CallWindowProc(anInt7463, ...)`) shows the first argument is always a plain `Int` (a raw window-proc pointer from GetWindowLong/SetWindowLong), never a `Callback` instance -- so this overload appears to be DEAD CODE in practice; every real call resolves to the non-native `Int`-typed stub overload below instead, which unconditionally returns 0. Flagging as suspicious: window-proc chaining is effectively a no-op in this build."
SetCursor,setCursor,i: Int,hCursor: Int,high,"Real Win32 `SetCursor`(hCursor) -> returns handle of the previous cursor. Called from NativeCursorCallback.method3623 with either 0 (hide/no cursor) or the cached `LoadCursor` result, toggled by a visibility flag."
SetWindowLong,setWindowLong,"i: Int, i_6_: Int, callback: Callback?","hwnd: Int, index: Int, callback: Callback?",low,"Non-native Kotlin-only overload (body just `return 0`), presumably meant for the case where the new long value is itself a native callback/function pointer wrapper (e.g. installing a new WndProc via a `Callback` object rather than a raw int). No call site in the repo passes a `Callback` as the 3rd arg to `SetWindowLong` -- this overload appears unused/dead, a vestige of the original J/Direct API surface that was never wired up to real native code in this port."
SetCursorPos,setCursorPos,"i: Int, i_7_: Int",x: Int; y: Int,high,"Real Win32 `SetCursorPos`(X, Y): BOOL. Called from NativeCursorCallback.method3621 guarded by `if (i_0_ >= 65)` (an opaque-predicate-style byte flag whose real callers were not found in this batch -- likely a decoy/rarely-true gate)."
LoadCursor,loadCursor,"i: Int, i_8_: Int","hInstance: Int, cursorId: Int",high,"Real Win32 `LoadCursorA/W`(hInstance, lpCursorName). Called as `LoadCursor(0, 32512)` in NativeCursorCallback.method3622 -- hInstance=0 selects a predefined system cursor, and 32512 is the real Win32 value of IDC_ARROW."
SendMessage,sendMessage,"i: Int, i_9_: Int, i_10_: Int, `object`: Any?","hwnd: Int, msg: Int, wParam: Int, lParam: Any?",high,"Real Win32 `SendMessageA/W`(hWnd, Msg, wParam, lParam), with lParam typed as `Any?` so J/Direct can marshal an arbitrary object pointer through the native boundary rather than only an int. Called with msg=101024 (a custom/private message id, not a standard WM_* constant) from NativeCursorCallback -- looks like an app-defined cursor-refresh message posted to itself."
CallWindowProc,callWindowProc,"i: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int","prevWndProc: Int, hwnd: Int, msg: Int, wParam: Int, lParam: Int",high,"Non-native Kotlin stub (`return 0`), NOT the dead one -- this is the overload every real call site in NativeCursorCallback.method3623 actually resolves to (both call sites pass an `Int` window-proc pointer, not a `Callback`). Because it unconditionally returns 0 instead of forwarding to the previous window procedure, the window-subclass chain is effectively broken/no-op in this build; flagged as a notable functional gap versus the vendored `com.ms.*` API's original intent."
SetWindowLong,setWindowLong,"i: Int, i_15_: Int, `object`: Any?","hwnd: Int, index: Int, newValue: Any?",high,"Non-native Kotlin stub (`return 0`). This is the overload actually invoked at NativeCursorCallback.method3622's `SetWindowLong(hwnd, -4, this as Any)` (installing `this` NativeCursorCallback as the new GWL_WNDPROC target) -- since it just returns 0 rather than performing the real native subclass-install, the stored 'previous wndproc' value used later by CallWindowProc is always 0, reinforcing that this whole legacy Win32 cursor-subclassing path is a non-functional stub in this deobfuscated build (superseded by LWJGL/modern input handling elsewhere)."
