current_name,recommended_name,current_params,recommended_params,confidence,notes
method1714,validateValue,"i: Int, i_17_: Int","decoy: Int, candidate: Int",medium,"Override of GraphicsOptionState.method1714 (abstract fun method1714(i:Int,i_3_:Int):Int). Always returns the literal 1 regardless of inputs (this option type is a simple boolean/two-state toggle, so validation is trivial/always-pass); `decoy!=3` triggers a dead call to method1712(-55,59) whose result is discarded. Cross-referenced against GraphicsOptionState.method1718 which calls `method1714(3, i)` and treats a result `!=3` as 'invalid, needs re-apply' - since this override never returns 3, that generic caller always takes its 'invalid' branch for two-state options, which may be an intentional quirk (two-state options always re-normalize) or an inherited obfuscator artifact - flagged, not fully resolved."
method1716,normalizeValue,bool: Boolean,decoy: Boolean,high,"Override of GraphicsOptionState.method1716 (abstract fun method1716(bool:Boolean)). `decoy!=false` triggers a dead call to the unrelated companion method1847 (a string-array label builder, see below) whose result is discarded - decoy/opaque predicate. Core logic: if the stored option value (anInt3138) is neither 0 nor 1, resets it to the type's default via method1710(20014) (matches the constructor's own `method1710(20014)` default-init call, confirming 20014 is this class hierarchy's 'get default value' magic tag) - i.e. clamps/normalizes the two-state value back into {0,1}."
method1710,getDefaultValue,i: Int,gate: Int,high,"Override of GraphicsOptionState.method1710 (abstract fun method1710(i:Int):Int). `gate!=20014` short-circuits to dead literal 52; live path (gate==20014, the magic tag used by both of GraphicsOptionState's constructors and by this class's own method1716) returns the literal 1 - i.e. the default value for a two-state option is 'on' (1)."
method1845,getValue,i: Int,gate: Int,high,"Not an override (no 5-arg/1-arg abstract match on GraphicsOptionState by this name) - a plain getter. `gate!=-32350` short-circuits to dead literal -127; live path returns anInt3138, the option's current stored value (inherited field from GraphicsOptionState)."
method1712,setValue,"i: Int, i_22_: Int","decoy: Int, value: Int",high,"Override of GraphicsOptionState.method1712 (abstract fun method1712(i:Int,i_2_:Int)). Sets anInt3138 = value; `decoy` only feeds a dead unused local (`i_23_ = -89 / ((82-decoy)/35)`, a decoy computed-and-discarded division). Cross-referenced against GraphicsOptionState.method1718 which calls `method1712(124, i)` to push a new value through after a failed validate() - consistent with a plain value setter."
method1842,doRectanglesOverlap,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int","rectX: Int, rectY: Int, gate: Int, otherX: Int, otherY: Int, otherW: Int, otherH: Int, rectW: Int, rectH: Int",low,"@JvmStatic companion, thematically unrelated to TwoStateOptionState (a boolean graphics toggle) - this is a generic axis-aligned bounding-box overlap test: returns false unless `gate==-1`, then checks otherX-range vs [rectX,rectX+rectW) and rectY-range vs [otherY,otherY+otherH) style comparisons. No call sites found via grep for `method1842(` outside this file - parameter roles inferred purely from the arithmetic shape, not confirmed by any caller. Flag as likely decompiler-merged unrelated companion content per PLAN.md."
method1843,layoutWidgetComponent,"i: Int, i_8_: Int, widgetComponent: WidgetComponent, bool: Boolean, i_9_: Int","parentWidth: Int, decoy: Int, widgetComponent: WidgetComponent, notifyOnChange: Boolean, parentHeight: Int",high,"@JvmStatic companion, thematically unrelated to TwoStateOptionState - this is the widget-component resize/layout resolver used elsewhere in the codebase's widget system: computes widgetComponent.anInt709 (width) and anInt789 (height) from its resize-mode bytes (aByte778/aByte724: 0=fixed-from-anInt842/anInt728, 1=relative-to-parent-minus-offset, 2=percentage-of-parent via `shr 14` i.e. /16384, 4=aspect-locked-to-the-other-axis via a cross-multiply), applies a minimum-size clamp (5px) when TextureCubeProvider.aBoolean6327 is set and the widget has no fixed size/parent scroll, tracks the component as the 'hovered' widget when its id matches RangedGraphicsOptionState.anInt5943, and when `notifyOnChange` is true and the size actually changed, queues a WidgetActionEntry (resize-changed event) onto HashTileShape.aNodeDeque_8810. Definite instance of the 'decompiler merged unrelated companion content' pattern (per PLAN.md) - flag for the master notes list."
method1844,resetSharedRenderParams,"i: Int, i_12_: Int, bool: Boolean, i_13_: Int, bool_14_: Boolean, i_15_: Int, i_16_: Int","paramA: Int, paramB: Int, applyDerived: Boolean, matrixSize: Int, skip: Boolean, cubeSize: Int, offsetHeight: Int",low,"@JvmStatic companion, thematically unrelated to TwoStateOptionState - writes a batch of unrelated static fields across multiple classes (ShortMatrixNode.anInt9515, CollisionMapAccessor.anInt3550, TileTextureNode.anInt9406, this class's own TwoStateOptionState.anInt6981, GlTextureCubeMap.anInt8537, WeaveTextureNode.anInt9282, SequencedWallEntity.anInt10163, NativeLibraryState.anInt167) when `skip==false`, and conditionally (when `applyDerived` and cubeSize>=100) derives further values via CollisionMapAccessor.method2064 (a tile-height/collision query used elsewhere, e.g. TrackedGroundDecor.csv) - shape suggests a texture-cube/environment-map render parameter setup routine. Very low confidence on the specific semantics; flagged as another decompiler-merged-content case."
method1846,hasAnyMessageFlagSet,"i: Int, i_18_: Int, i_19_: Int","decoy: Int, flags: Int, gate: Int",low,"@JvmStatic companion, thematically unrelated. `gate<=42` short-circuits to `true`; otherwise ORs three flag checks: BufferedMessageQueue.method2075(flags,-126,decoy), a raw bitmask test `(flags and 0x40000)!=0`, and BoundsConstraintEntry.method2056(flags,122,decoy) - a composite flags predicate, exact domain (chat message filters, by the BufferedMessageQueue name) not independently confirmed here."
method1847,buildNumberedLabels,"strings: Array<String?>?, i: Int","existing: Array<String?>?, startIndex: Int",medium,"@JvmStatic companion. Builds a 5-element String array of `\"<index>: \"` labels starting at `startIndex`, appending any corresponding entry from `existing` when present - this is the one companion method plausibly on-theme with an options/settings UI (numbered choice labels, e.g. for a settings dropdown), though it is called from method1716 purely as a dead/discarded-result decoy rather than for real label-building, so its actual live call site (if any) was not found via grep."
