current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,arg0: Int,capacity: Int,high,"Primary (private) constructor; allocates the internal scratch ByteArray `e` of the given capacity. All other constructors delegate here."
<init>,<init>,,,high,"Secondary no-arg constructor: delegates to the primary with a default 4096-byte scratch capacity."
<init>,<init>,"arg0: Buffer, arg1: Int = 0, arg2: Int = arg0.getSize()","target: Buffer, offset: Int = 0, length: Int = target.getSize()",high,"@JvmOverloads constructor: picks a scratch capacity of min(4096, target.getSize()) via the primary constructor, then immediately calls the private bind(target, offset, length) to attach this Stream to the given native Buffer window."
a,writeShortLE,arg0: Int,value: Int,high,"Writes a 16-bit value as 2 bytes to the scratch buffer in little-endian order (low byte then high byte). Selected at call sites when `c()`/isBigEndian() returns false (host is little-endian) — see e.g. ModelVertexColorBuffer.method2737, TerrainChunkBuilder — as the counterpart to `d`/writeShortBE which is used when the host is big-endian. Auto-flushes via `a()`/flush() if the scratch buffer is full."
a,writeFloatBE,arg0: Float,value: Float,high,"Writes a 32-bit float (via floatToRawIntBits) as 4 bytes in big-endian order (MSB first). Selected at call sites when `c()`/isBigEndian() returns true — see NativeTerrainTile.kt lines ~268-278, paired with `b`/writeFloatLE used in the false branch. Auto-flushes if needed."
a,writeColorRgba,"arg0: Int, arg1: Int, arg2: Int, arg3: Int","r: Int, g: Int, b: Int, a: Int",medium,"Writes 4 raw bytes directly in the given argument order (no channel swap). Confirmed selected (via TerrainShadowBuilderGl3.kt / GroundDecorRenderer.kt, all gated on the same `var_ha_Sub3.anInt8178 != 0` flag) as the RGBA-order counterpart to `b`/writeColorBgra, which swaps the 1st/3rd args and is used when that flag == 0. Matches the packed-int pair `c`/writeColorRgba vs `b`/writeColorBgra (see below) which use the identical flag convention. Param names r/g/b/a are inferred from the channel-swap relationship, not confirmed against a color-channel source."
a,bind,arg0: Buffer,target: Buffer,high,"Convenience overload: delegates to the 3-arg bind(target, 0, target.getSize()) — attaches this Stream to the entire given native Buffer."
a,flush,,,high,"If any bytes are staged (`c > 0`): bounds-checks (address+staged <= base+staged, else throws), calls `b!!.a(...)`/Buffer.put to write the staged bytes into the bound target Buffer at the current base offset `d`, advances `d` by the staged count, and resets the staged count `c` to 0. This is the Stream's core flush-to-native-buffer operation, called from nearly every write* method when the scratch array is full and directly by callers after finishing a batch of writes."
a,bind,"arg0: Buffer, arg1: Int, arg2: Int","target: Buffer, offset: Int, length: Int",high,"Private: flushes any pending state, then sets the write window to [offset, offset+length) within `target` (throws if that exceeds target.getSize()), recording `target` as `b`, `offset` as the base `d`, and `offset+length` as the upper bound `a`. Invoked by the Buffer-taking constructors and by the no-arg `bind` overload."
b,writeColorBgra,"arg0: Int, arg1: Int, arg2: Int, arg3: Int","r: Int, g: Int, b: Int, a: Int",medium,"Writes 4 raw bytes with the 1st and 3rd arguments swapped (arg2, arg1, arg0, arg3) — i.e. channel-swapped relative to `a`/writeColorRgba. Selected at call sites when `var_ha_Sub3.anInt8178 == 0` (TerrainShadowBuilderGl3.kt / GroundDecorRenderer.kt), the opposite branch from writeColorRgba. See notes on `a`/writeColorRgba for the flag convention shared with the packed-int pair `b`/writeColorBgra vs `c`/writeColorRgba below."
c,writeColorRgba,arg0: Int,packedArgb: Int,medium,"Writes a packed 32-bit ARGB-style int (alpha in bits 24-31) as bytes in the order (bits 16-23, bits 8-15, bits 0-7, bits 24-31) — i.e. R,G,B,A memory order, keeping alpha last but swapping R/B relative to `b`/writeColorBgra. Confirmed selected in NativeTerrainTile.kt as `stream_46_.c(colorInt)` when `aHa_Sub3_8322!!.anInt8178 != 0`, the same flag/polarity used by the split-channel a()/writeColorRgba vs b()/writeColorBgra pair above (anInt8178==0 -> BGRA-named function, !=0 -> RGBA-named function) — this consistency across both the packed-int and split-int overloads is the main evidence for the RGBA/BGRA interpretation."
b,position,,,high,"Returns `d + c` — the total number of bytes logically written so far (bytes already flushed to the target Buffer plus bytes currently staged in the scratch array)."
d,writeShortBE,arg0: Int,value: Int,high,"Writes a 16-bit value as 2 bytes in big-endian order (high byte then low byte) — the counterpart to `a`/writeShortLE, selected when `c()`/isBigEndian() returns true. See ModelVertexColorBuffer.method2737 / TerrainChunkBuilder.kt for the `if (c()) ... d(...) else ... a(...)` selection pattern."
e,seek,arg0: Int,offset: Int,high,"Flushes any pending staged bytes, then sets the base write offset `d` to `offset` — repositions the stream's write cursor within the bound target Buffer."
b,writeFloatLE,arg0: Float,value: Float,high,"Writes a 32-bit float (via floatToRawIntBits) as 4 bytes in little-endian order (LSB first) — the counterpart to `a`/writeFloatBE, selected when `c()`/isBigEndian() returns false. See NativeTerrainTile.kt's `if (c()) ... a(...) else ... b(...)` float-write selection."
f,writeByte,arg0: Int,value: Int,high,"Writes a single raw byte to the scratch buffer, auto-flushing if full. Used e.g. by ModelVertexColorBuffer.method2741/method2744 to write individual RGB color bytes and a constant fill byte."
floatToRawIntBits,floatToRawIntBits,arg0: Float,value: Float,high,"@JvmStatic native method mirroring java.lang.Float.floatToRawIntBits, implemented natively presumably to guarantee identical bit-level float encoding across the JVM and the native rendering library. Already idiomatically named; re-exported via `Stream.Companion.floatToRawIntBits` and imported directly by several renderer files (FloatBuffer.kt, OpenGlModel.kt)."
getLSB,getFirstNativeByte,arg0: Int,value: Int,low,"Private native helper used only by `c()`/isBigEndian(). Presumably reinterprets the 4-byte int argument as raw native memory and returns the byte at the lowest address (not the mathematically-least-significant byte — getLSB(-65536)/0xFFFF0000 returning -1 only makes sense if it's reading memory order, which differs from arithmetic LSB depending on host endianness). Name is a best-effort description of its probing role, not a confirmed native contract."
c,isBigEndian,,,high,"Returns `getLSB(-65536).toInt() == -1` — true when the host platform stores multi-byte values in big-endian order. Imported directly (`Stream.Companion.c`) and called as a plain `c()` at every write call site in NativeTerrainTile.kt / ModelVertexColorBuffer.kt / TerrainChunkBuilder.kt / TerrainShadowBuilderGl3.kt / GroundDecorRenderer.kt / GlFontTextured.kt / VideoStreamDecoder.kt to choose between the LE- and BE-named write* overloads above, so that the bytes staged into the scratch buffer end up in the host's native in-memory representation regardless of the host's actual endianness."
