current_name,recommended_name,current_params,recommended_params,confidence,notes
method961,drawRotatedQuad,"f: Float, f_0_: Float, f_1_: Float, f_2_: Float, i: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","x: Float, y: Float, pivotX: Float, pivotY: Float, scale: Int, angle: Int, filterMode: Int, color: Int, blendMode: Int",high,"Private helper. Only runs when scale (i) != 0. Computes 3 corners of the (width x height) rect (dims from method966()/method980()) rotated by angle (16-bit Jagex angle unit: angle*2*pi/65536, literal 9.587379924285257E-5 constant) and scaled by scale (4096 = 1.0 in 12-bit fixed point, confirmed by callers passing literal 4096 for 'no scale'), pivoted about (pivotX,pivotY), then forwards to method978 (which forces smooth=1) -> abstract method962 to draw the renderer's currently-bound texture as a quad. Mirrors method967, which performs identical math but for an explicit Sprite. i_4_/i_5_/i_6_ pass straight through to filterMode/color/blendMode of the underlying draw (confirmed via GlSpriteRenderer.method962 override: color feeds glColor4ub, blendMode feeds a method3753 blend-function call)."
method962,drawQuad,"f: Float, f_15_: Float, f_16_: Float, f_17_: Float, f_18_: Float, f_19_: Float, i: Int, i_20_: Int, i_21_: Int, i_22_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, filterMode: Int, color: Int, blendMode: Int, smooth: Int",medium,"Abstract. Draws the renderer's current bound texture as a parallelogram given 3 corners (4th corner reconstructed by the GL override as x1-x0+x2, y1-y0+y2). GlSpriteRenderer.method962 uses filterMode via aHa_Sub2_8430.method3761(0,filterMode) to pick a GL texture-filter preset, color via glColor4ub (ARGB, alpha = top byte), blendMode via method3753, and smooth (bit 0) to toggle GL_NEAREST/GL_LINEAR sampling. The native JNI binding (external/j.kt, method 'b') just forwards all 10 args."
method963,drawSprite,"i: Int, i_23_: Int, var_sprite: Sprite?, i_24_: Int, i_25_: Int","x: Int, y: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",medium,"Abstract. Basic (non-rotated, non-scaled) blit of an externally supplied Sprite at (x,y); offsetX/offsetY shift the texture-coordinate anchor (seen used as a sub-pixel translate offset, e.g. GlSpriteRenderer/AnimatedModelRenderer overrides subtract them from position before computing tex coords)."
method964,draw,"i: Int, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int","x: Int, y: Int, filterMode: Int, color: Int, blendMode: Int",high,"Abstract. Draws the renderer's currently bound texture at (x,y) at its natural size (width/height incl. insets from method966/method980), tinted by color (ARGB via glColor4ub in the GL override) using the same filterMode/blendMode selector scheme as method962/965/982. Default wrapper method974 passes filterMode=1, color=0, blendMode=1 - color=0 looks like a 'don't care' sentinel since blendMode=1 likely bypasses vertex-color modulation in the GL path (not fully confirmed - method3753's branch on blendMode isn't fully visible here)."
method965,drawTiled,"i: Int, i_30_: Int, i_31_: Int, i_32_: Int, i_33_: Int, i_34_: Int, i_35_: Int","x: Int, y: Int, width: Int, height: Int, filterMode: Int, color: Int, blendMode: Int",high,"Abstract. Fills the (width x height) rectangle at (x,y) by repeating the currently-bound texture. GlSpriteRenderer.method965 contains an explicit nested-loop tiling implementation (full tiles plus partial edge tiles along both axes). Real call sites via the method972 convenience wrapper include ScrollbarComponent.kt / ProportionalScrollbarComponent.kt (track/thumb fill) and Tooltip.kt / SlotBinding.kt (panel backgrounds), confirming rectangle-fill semantics."
method966,getWidth,,,high,"Abstract, no params. Returns total drawable width including left+right insets (GlSpriteRenderer: anInt8447+textureWidth+anInt8449; AnimatedModelRenderer: anInt8416+anInt8400+anInt8411). Companion of method980 (total height) and method971 (content-only width, no insets)."
method967,drawRotatedSprite,"f: Float, f_36_: Float, f_37_: Float, f_38_: Float, i: Int, i_39_: Int, var_sprite: Sprite?, i_40_: Int, i_41_: Int","x: Float, y: Float, pivotX: Float, pivotY: Float, scale: Int, angle: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",high,"Concrete (not abstract/private). Same rotation/scale math as method961 but draws an explicit Sprite, forwarding to private method975 (forces smooth=1) -> abstract method983. The centered convenience wrapper method976 calls this with pivot = (width/2, height/2)."
method968,prepareMaskTexture,"i: Int, i_50_: Int, i_51_: Int","textureId: Int, level: Int, mode: Int",low,"Abstract; implementations diverge significantly, so semantics are uncertain. GlSpriteRenderer.method968 wraps an externally-supplied GL texture handle (i) as a second GlTexture2DRegion (aClass258_Sub3_Sub1_8431) via PerlinTextureProvider.method1401, and stores mode (i_51_) into anInt8429 - later consumed by private method991/method992 to select among 4 glTexEnvfv blend-constant presets (looks like an outline/shadow/recolor style selector). AnimatedModelRenderer.method968 instead reads back a native framebuffer pixel array via aHa_Sub3_8407.na(...) and, branching on mode 0..3, repacks ARGB channel bytes with WhirlpoolHash.method2057/method1166 (bit-shifts by 8/16/24) before uploading via private method986 - consistent with either a per-channel mask extraction or a directional outline/shadow generator. Flagging genuinely uncertain; param 2 name 'level' is a guess."
method969,getContentHeight,,,high,"Abstract, no params. Returns the 'raw' height without insets (GlSpriteRenderer: texture height anInt9939; AnimatedModelRenderer: anInt8417). Confirmed externally in WidgetComponent.kt: abstractModelRenderer.method971() * abstractModelRenderer.method969() * 4 computes a raw pixel-buffer byte size (width*height*4), i.e. content-only dimensions. Companion of method971 (content width) and method980 (total height incl. insets)."
method970,drawScaled,"i: Int, i_52_: Int, i_53_: Int, i_54_: Int, i_55_: Int, i_56_: Int, i_57_: Int","x: Int, y: Int, width: Int, height: Int, filterMode: Int, color: Int, blendMode: Int",high,"Concrete. Calls method982(x,y,width,height,filterMode,color,blendMode,smooth=1) - stretches the current texture to fit the given box, forcing smooth=1. Real call sites (HintArrowRenderer.kt, FlipTextureNode.kt, MapRegionLoader.kt, SlotBinding.kt) pass real ARGB colors confirming the color parameter's role."
