current_name,recommended_name,current_params,recommended_params,confidence,notes
method3520,deactivatePass,i: Byte,unused: Byte,medium,"Abstract 'end/tear down this pass' hook, always called with the literal `87.toByte()` from NativeRenderer's private pass-switch helper (method3875) whenever the previously-active render pass index changes: `aAbstractRenderPassArray8139[...]!!.method3520(87.toByte())`. NullRenderPass's override just increments a counter and has an always-true-but-empty `if (i.toInt() == 87)` block. D3dEnvMappedWaterPass's override unbinds its vertex/pixel shaders and clears its own 'active' flag when previously active, then a dead `if (i.toInt() != 87) method3531(true)` (never true at the only call sites). GlGroundShaderPass's override similarly unbinds its ARB vertex-program state. Consistent cross-subclass behavior: tear down GPU state bound by this pass before switching away from it."
method3521,syncPassEnabledState,"bool: Boolean, i: Byte","enabled: Boolean, unused: Byte",low,"Abstract hook always called as `(bool, -103.toByte())`, both immediately after activating a new pass (NativeRenderer.method3875, alongside method3525) and every frame the active pass stays the same (to re-sync `bool`). Every traced override (D3dEnvMappedWaterPass, GlGroundShaderPass) guards its real body with `if (i.toInt() != -103) ...`, which is always false at the only observed call sites, so in every traced subclass this method's real body is dead code - the state changes one would expect here (e.g. setting the 'active' flag) actually happen in method3525 instead. Recommended name/params are a best guess from the call-site shape (an enabled/underwater-style bool plus a sentinel byte); low confidence since no traced override has a live code path."
method3522,updatePassFogUniforms,i: Int,unused: Int,medium,"Open hook; base default is `anInt4484++` plus a dead `if (i != -16252) method3531(false)` (every call site - NativeRenderer's private method3856 and GlGroundShaderPass's own self-call - passes the literal -16252). D3dEnvMappedWaterPass's override sets Direct3D shader constant registers 16 (far-plane/fog-distance, derived from `aHa_Sub3_4479.aFloat8115`/`aFloat8173`) and 0 (an RGB color unpacked from `aHa_Sub3_4479.anInt8144`) whenever the pass is active - a per-frame fog color/distance uniform refresh. GlGroundShaderPass's override instead sets a screen-space-bounds-derived vertex-program constant and flips `aBoolean7411` via the same dead-literal check. Called once per frame after a pass activates or (re)binds its texture."
method3523,updatePassTexCoordUniforms,i: Byte,unused: Byte,low,"Open hook; base default is `anInt4482++` plus a dead `if (i.toInt() != 12) method3528(5)` (the only call site, NativeRenderer:716, passes the literal 12.toByte()). D3dEnvMappedWaterPass's override uploads a texture-coordinate transform matrix (`aFloatArray7342`) to vertex shader constant register 0 via `method924(11, aFloatArray7342)`, gated on the pass being active; it has the same dead-literal `if (i.toInt() != 12) aFloatArray7342 = null` pattern. D3dWaterShaderPass/D3dUnderwaterShaderPass override the same method with similarly-shaped per-frame UV-matrix logic (not individually traced). Likely called once per frame to refresh texture-coordinate uniforms just before drawing."
method3524,updatePassWaveUniform,i: Int,unused: Int,medium,"Open hook; base default is just `anInt4483++` (no logic). Only call site is NativeRenderer:2153 with the literal -14775. D3dEnvMappedWaterPass's override checks `if (i == -14775)` (always true at the only call site) and, when active, computes `aHa_Sub3_4479.method3835(aFloatArray7342, i + 14651)` (== -124, a wave-table-style lookup) and uploads the result to Direct3D vertex shader constant register 8 - a per-frame wave-height/animation uniform update specific to water rendering; no-op in passes that don't animate."
method3525,activatePass,"i: Int, bool: Boolean","token: Int, enabled: Boolean",medium,"Abstract 'activate this pass' entry point, always called as `(15192, bool)` from NativeRenderer.method3875 right when a pass becomes the active one. Both traced overrides (D3dEnvMappedWaterPass, GlGroundShaderPass) gate their entire body on `if (i == 15192)`, which is always true at the only call site - i.e. unlike most of this class's magic-number guards, `15192` behaves as a genuine dispatch token here rather than a dead decoy, since it is the only value ever observed. D3dEnvMappedWaterPass's override binds its vertex/pixel shaders, sets its own 'active' flag true, and immediately calls method3531(false)/method3532(10425)/method3524(-14775)/method3522(-16252) to prime all of its per-frame uniform state at once. GlGroundShaderPass's override stores `enabled` into `aBoolean7411` and rebinds its render targets. `enabled` is the pass's real mode/active flag (e.g. an underwater-variant switch)."
method3526,configurePass,"i: Int, i_0_: Int, i_1_: Int","token: Int, mode: Int, param: Int",medium,"Abstract 'update pass parameters' hook, called as `(10756, mode, param)` both right after activation and whenever mode/param change while the pass stays active (NativeRenderer.method3875). Every traced override (NullRenderPass, D3dEnvMappedWaterPass, GlGroundShaderPass) guards a decoy self-call with `if (i != 10756) method3527(...)`, always false/dead since 10756 is the only literal ever passed for the first param. D3dEnvMappedWaterPass's real body uses the second/third params to derive scroll-speed and scale float uniforms for the water texture animation, confirming these are genuine mode/param values despite the leading token being constant."
method3527,drawRenderable,"i: Int, renderable: Renderable?, i_2_: Int","id: Int, renderable: Renderable?, unused: Int",medium,"Abstract 'draw a renderable through this pass' entry point. The one real call site, NativeRenderer:330, passes an actual Renderable and the sentinel -16776; every other invocation in this file/its subclasses (`method3527(-80, null, 80)`, `method3527(-12, null, 67)`, `method3527(113, null, 113)`) is a dead decoy gated on `i_2_ != -16776`, which never holds. NullRenderPass's override binds the renderable then issues a draw call via the owning NativeRenderer (`method3850`/`method3923`). GlGroundShaderPass's override branches on `renderable != null`, drawing the given renderable or falling back to a default/ambient renderable (`anRenderable_8147`) when none is supplied, and also triggers a decoy call into method3525. D3dEnvMappedWaterPass's override is a pure decoy (its only line is the dead `if (i_5_ != -16776)` check) - the env-mapped water pass appears to ignore per-object draw calls entirely, consistent with a full-screen/whole-scene effect rather than a per-object one."
method3528,bindPassGroundTexture,i: Int,unused: Int,low,"Open hook; base default is just `anInt4481++`. Only meaningfully overridden by GlGroundShaderPass, whose body binds one of four precomputed ARB vertex-program textures (chosen by `aBoolean7411` and whether `method3941(102)` equals Int.MAX_VALUE) and uploads a vertex-program constant, then calls method3522(-16252) to refresh dependent uniforms; it also contains an `if (i <= 45) method3557(true)` branch that looks dead in practice (every observed call-site value - 75 from GlGroundShaderPass's own method3525, 102 from NativeRenderer:1460, and the unreachable 5 from AbstractRenderPass.method3523's decoy - is > 45). Given only one subclass implements real behavior (ground-ARB-texture binding), the base/default is effectively a no-op hook for passes that don't need a ground-texture rebind."
method3530,isPassReady,i: Int,unused: Int,high,"Abstract 'is this pass ready/supported' query, returns Boolean. NullRenderPass always returns false (with a dead self-recursive decoy `if (i >= -57) method3530(-90)`, never true along the one traced call chain). D3dEnvMappedWaterPass and GlGroundShaderPass both return a cached boolean (aBoolean7347/aBoolean7391) set once at construction time to reflect whether their GPU shaders/resources compiled successfully; both also contain a dead `if (i > -57) ...` branch (every observed call-site argument - -78, -58, -74, -104, -116, -90, -57 - is <= -57, so it never triggers). Used at NativeRenderer:1085 and 2202-2205 to decide whether to keep a render-pass-array slot or replace it with a fallback pass - a classic capability/fallback check."
