current_name,recommended_name,current_params,recommended_params,confidence,notes
"<init>",<init>,"var_renderer: Renderer?, npcConfig: NpcConfig, i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int, bool: Boolean, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int, bool_10_: Boolean","renderer: Renderer?, locDef: NpcConfig, plane: Int, tileLevelIndex: Int, x: Int, height: Int, y: Int, isSimplifiedShape: Boolean, orientation: Int, locId: Int, minPlaneUnused: Int, maxPlaneUnused: Int, modelType: Int, rotation: Int, mergeNormals: Boolean",medium,"Sibling of GroundDecorSceneEntity (batch 32, refactor-notes/jvmMain/GroundDecorSceneEntity.csv - same abstract SceneEntity/RenderTarget contract). Constructed from WorldMapSceneSoftware with a Loc definition record typed as `NpcConfig` (decompiler mis-type). aShort10032=locId (from npcConfig.anInt941), aByte10015=rotation (i_9_), aByte10024=modelType (i_8_), aBoolean10017=isSimplifiedShape, aBoolean10019=mergeNormals, aBoolean10003=`renderer.method3682() && locDef.aBoolean894 && !isSimplifiedShape && collision-set lookup != 0` (gates whether a RenderNode is eagerly built/cached, matching sibling's isRenderNodeCacheable flag). Builds/caches the model or sprite via buildLocModelOrSprite (method2417) in the init block."
method40,resetCubemapLighting,i: Int,resetTrigger: Int,medium,"RenderTarget override. Matches GroundDecorSceneEntity's method40 exactly (guard `i == -12031`; real call sites CubemapTextureImplSource.kt/GlCubemapLightPass.kt always pass the literal -12031). Calls the cached model's abstract method612() and increments the shared counter. Invoked from cubemap/light-probe update code, consistent with 'invalidate model lighting after an environment probe refresh'."
method2394,getModelHeightOffset,bool: Boolean,unusedAlwaysTrueFlag: Boolean,medium,"SceneEntity abstract override. Matches sibling's getModelHeightOffset. Decoy guard `bool != true -> return 109` instead of calling itself; every known GroundDecorEntity-family call site passes the literal `true` (per sibling's cross-file survey of ActorEntity/DynamicSceneObjectEntity/GroundDecorEntity/etc.), so the 109 branch is effectively dead. Otherwise returns the cached model's abstract fa() (vertical extent used to offset placement/camera height), or 0 if no model loaded yet."
method44,initMinimapRenderNode,"i: Int, var_renderer: Renderer?","resetOrientationId: Int, renderer: Renderer?",medium,"RenderTarget override. Builds-or-reuses the cached aRenderNode10036 (via buildLocModelOrSprite with cache flag 0x40000/262144) then draws it through an aliased companion call (ModelBatchBase.Companion.method1130 - likely a decompiler mis-attribution, matches sibling's identical import-aliasing pattern for its own method44). SUSPICIOUS: unlike the sibling class (which only resets an id field when `i != 836`), here `if (i != 836) method41(-125)` invokes getOrientation with the literal -125 - which is NOT the RenderTarget contract's usual -32228 sentinel, so it actually falls into getOrientation's own decoy branch and sets the cached model reference (aAbstractModel_10028) to null as a side effect. Two real call sites in WorldMapSceneSoftware.kt pass `i_3_ + 786` (not always 836), so this null-out is a real, non-dead code path, not merely a decoy - flagged as an interesting/fragile interaction between two obfuscated decoy checks."
method2379,getMinimapScaledHeight,i: Int,unusedDecoyId: Int,medium,"SceneEntity abstract override. Matches sibling exactly: decoy `i != -25675 -> return -120`; no confirmed non-decoy caller found in this pass. Otherwise returns cached model's abstract ma() (used elsewhere as a minimap icon height-scaling ratio), or 0 if no model."
method38,isRenderNodeCacheable,i: Int,unusedDecoyId: Int,high,"RenderTarget override. Matches sibling exactly (decoy `i != -18443 -> return false`; every real call site, e.g. WorldMapSceneSoftware.kt, passes the literal -18443). Returns aBoolean10003 (constructor-computed renderer/collision-set capability flag), gating whether method43/method44 may build and cache a RenderNode."
method2391,renderModelAt,"var_renderer: Renderer?, i: Int, i_12_: Int, i_13_: Int","renderer: Renderer?, seqId: Int, screenX: Int, unusedDecoyFlag: Int",low,"SceneEntity abstract override, matches sibling's renderModelAt shape (decoy `i_13_ != 0 -> return false`). Builds/refreshes a detail model via getOrBuildDetailModel(-1, renderer, 131072) then rasters it at a camera-space position via method623/method628 (branch on ParticleSystemRenderer.aBoolean3870, an occlusion-query-style toggle also seen in the sibling class). Exact call-site semantics of `screenX`/`seqId` not independently re-traced in this pass; names borrowed from the sibling's confirmed analysis of the identical abstract signature."
method2414,getOrBuildDetailModel,"i: Int, var_renderer: Renderer, i_14_: Int","triggerReset: Int, renderer: Renderer, modelFlags: Int",low,"Private helper, analogous to sibling's getOrBuildDetailModel/method2404 but NOT purely dead math here: `if (i != -1) method2392(false)` is a real conditional call to resetMergedNormals(false) before proceeding (sibling's version discards a dead arithmetic expression instead). Returns the cached model directly if format-compatible per renderer.method3667(model.ua(), modelFlags)==0, else rebuilds via buildLocModelOrSprite(0, renderer, modelFlags, false) and returns its model half."
method2387,onLowDetailStateChanged,"var_renderer: Renderer?, i: Int","renderer: Renderer?, unusedDecoyId: Int",low,"SceneEntity abstract override. Decoy guard `i > -125 -> aShort10032 = -95` (would corrupt the cached locId field via 0xffff and -95); the only two confirmed generic callers of this abstract slot (CharacterRenderState.kt:167 passes -128, SceneLoaderThread.kt:63 passes -127) are both <= -125, so the corrupting branch is dead in practice - matches sibling's conclusion that this override is 'effectively a no-op counter increment for real callers'. `renderer` param is unused in the body. Unlike the sibling (which resets a 'simplified tile shape' boolean), this class's version touches the locId short instead, so the two siblings' overrides of the same abstract method serve different per-class purposes."
method2416,getModelSizeHint,i: Int,unusedDecoyId: Int,low,"Not part of the SceneEntity/RenderTarget contract (no `override`) - a class-specific accessor. Decoy guard `i != 15 -> aByte10015 = 66` (would corrupt the rotation/orientation byte); sole confirmed call site WorldMapSceneSoftware.kt:93 passes the literal 15, so the corrupting branch is dead there. Otherwise returns the cached model's abstract na() divided by 4, or 15 if no model - result is used at the call site clamped to a max of 30, suggesting a bounding-radius/LOD-distance style hint (exact semantics of na() not independently confirmed, abstract in AbstractModel)."
