current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Primary constructor delegates to MaterialPass(renderer). The trailing `init` block (guarded by `var_ha_Sub2.aBoolean7863`, a GL-capability flag akin to CubeMapMaterialPass's constructor guard) bakes three 64x64x6 cube-face byte grids (specular exponents 96/36/12, `aBoolean6308` selecting a 48 vs 127 intensity ceiling for low- vs high-detail hardware) from a per-texel unit vector computed via `1/sqrt(...)`, wraps them into three `GlTextureCubeMap` instances stored in `aClass258_Sub2Array6317`, then calls `initializeSphereMapTextures` (method2176) to build the display-list-based texgen setup. This is the one-time environment-sphere-map lookup texture bake for this pass, matching CubeMapMaterialPass's analogous constructor-time cubemap bake."
method2133,deactivatePass,i: Int,decoy: Int,high,"Override of abstract MaterialPass.method2133 (see MaterialPass.csv: 'end/teardown this pass' hook, invoked by MinimapRenderer right before switching to another pass). Restores fixed-function texgen state (glDisable texgen S/T/R via glEnable/glDisable pairing already toggled elsewhere), re-binds a null texture on unit 0/1/2, advances the display-list font one frame, and resets aBoolean6316 (the 'reflection currently bound' flag). `i < -75` additionally resets a blend/alpha-test GL state - consistent with the sibling passes' teardown shape."
method2140,bindPassTexture,"glTexture: GlTexture?, i: Byte, i_5_: Int","texture: GlTexture?, decoyByte: Byte, textureUnit: Int",high,"Override of abstract MaterialPass.method2140 (bind an externally supplied texture into the active pass, per MaterialPass.csv/CubeMapMaterialPass.csv). Binds `texture` on `textureUnit` via aHa_Sub2_3684.method3771/method3761; `decoyByte >= -89` additionally clears the cached cubemap array aClass258_Sub2Array6317, matching the decoy-gated-clear pattern documented for sibling passes."
method2176,initializeSphereMapTextures,i: Int,decoy: Int,medium,"Private setup helper invoked once from the constructor's init block (with literal -88). Creates a GlDisplayListFont, configures GL_TEXTURE_GEN (S/T/R, sphere-map mode 9472/34065) and a 22.5-degree pre-rotation of the texture matrix, then draws two display-list passes (one per aBoolean6308 branch - low- vs high-detail/hardware path) to bake the environment reflection, restoring GL state afterward. `decoy >= -7` triggers an extra call to method2140(null, 112.toByte(), -64) whose effect (given the decoy-byte convention above) is presumably a no-op/near-no-op cache clear."
method2136,updateTextureAnimationState,"i: Int, i_6_: Int, i_7_: Byte","flags: Int, variant: Int, decoyByte: Byte",medium,"Override of abstract MaterialPass.method2136 (per MaterialPass.csv: animated-texture coordinate/state update, diffed frame to frame by the caller). Here: if a reflection is currently bound (aBoolean6316), rebinds aClass258_Sub2Array6317[flags-1] (one of the three baked cubemap textures) on unit 1. `decoyByte > -42` additionally calls method2134(true, true) (re-activate the pass), matching the decoy-gated-extra-call pattern seen throughout this Pass family."
method2137,isSupported,i: Int,decoy: Int,high,"Override of abstract MaterialPass.method2137 (capability probe, per MaterialPass.csv). Returns `decoy <= -5` unconditionally - a simple threshold test with no other side effects, consistent with 'supported on this hardware' semantics for a fixed-function sphere-mapping pass."
method2134,activatePass,"bool: Boolean, bool_8_: Boolean","active: Boolean, skipTeardown: Boolean",medium,"Override of abstract MaterialPass.method2134 (per MaterialPass.csv: activate this pass's per-frame GL state). Only runs when `skipTeardown == false`; if no display-list font exists yet or `active` is false, simply unbinds the reflection texture (falls back to plain texturing); otherwise (re)binds the renderer's own cubemap/reflection texture on unit 2 the first time (if !aBoolean6308) and advances the display-list font, setting aBoolean6316 true to mark the reflection as bound."
method2139,notifyFrameTick,"bool: Boolean, i: Byte","unusedFlag: Boolean, decoyByte: Byte",low,"Override of abstract MaterialPass.method2139 (per-frame hook, per MaterialPass.csv, left ambiguous there). Here it sets a fixed texture-env combine mode via aHa_Sub2_3684.method3729(8448, decoyByte, 7681) and computes a discarded expression `96 / ((decoyByte - -60) / 38)` - matching the dead/decoy-computation shape observed in sibling MaterialPass overrides (WaterMaterialPass, GlslMaterialPass), i.e. effectively inert here too."
method2174,checkSupportDecoy,"i: Byte, i_0_: Int, i_1_: Int","decoyByte: Byte, decoyA: Int, decoyB: Int",low,"Companion static. Computes a fully discarded expression `52 % ((decoyByte - 68) / 41)` then unconditionally `return false` - dead code with no observable effect regardless of inputs; no call sites found in-repo."
method2175,resolveEnvMapPaletteEntry,"i: Int, i_3_: Byte, i_4_: Int","index: Int, decoyByte: Byte, mode: Int",low,"Companion static. Returns 64 if `decoyByte >= -14`; otherwise selects between two external color/lookup tables (TextureTileRenderer.anIntArray6830 vs MapSceneCache.anIntArray1450) indexed by `index and 0x3`, chosen by whether `mode` is 1 or 3 vs anything else. No call sites found in-repo, so the exact semantic role (env-map tint lookup, by analogy to other palette-index helpers in this file) is inferred, not confirmed."
method2177,decodePlayerMovementUpdate,"i: Int, i_22_: Int, class348_sub49_sub2: CipheredPacketBuffer","bitCount: Int, playerIndex: Int, buffer: CipheredPacketBuffer",medium,"Mismatched content: this ~150-line companion method is a player-movement/appearance packet decoder (walks/runs/teleports a Player entry in LoadingBarRenderer.aPlayerArray5058, updates plane/facing via TerrainTileShape/RegionMapDecoder/ArbVertexProgram region-tile statics, and handles the local player's despawn/spawn bookkeeping) - entirely unrelated to a GL sphere-map material pass. Consistent with the project's recurring decompiler-merged-wrong-content pattern for jvmMain companion objects; not analyzed field-by-field given the scope of this pass, but the overall shape (bit-packed direction deltas of increasing precision: 3-bit, 4-bit, 12-bit, 30-bit fields) matches known RS2 player-update packet decoding."
