current_name,recommended_name,current_params,recommended_params,confidence,notes
method457,draw,"i: Int, i_12_: Int, i_13_: Int","t: Int, t2: Int, decoyThreshold: Int",medium,"Override of abstract MinimapShapeDrawer.method457 (active-drawing hook, mirrors MinimapLineDrawer.method457's role in the same RenderListTextureNode.kt driver loop). Computes seven 12-bit fixed-point interpolated coordinates from the drawer's stored per-instance ints (anInt5246/5250/5245/5247/5236/5237/5243/5249) scaled by t and t2, then calls BasicGlRenderPass.method3540 to render a filled polygon/marker shape on the minimap. The `if (i_13_ > -29) anInt5252 = -91` branch is dead at the only known call site (always passes literal -124 for this parameter) -- likely opaque-predicate leftover."
method456,onExpiredBeforeStart,"i: Int, i_31_: Int, i_32_: Int","threshold: Int, unusedA: Int, unusedB: Int",medium,"Override of abstract MinimapShapeDrawer.method456 (mirrors MinimapLineDrawer.method456's role). Increments anInt5244 and, when threshold < 87 (true at the only known call site, -124), resets anInt5247 to 18. i_31_/i_32_ unused."
method455,onPendingTick,"i: Int, i_35_: Int, i_36_: Int","progress: Int, a: Int, decoyThreshold: Int",medium,"Override of abstract MinimapShapeDrawer.method455 (mirrors MinimapLineDrawer.method455's role -- fires while the shape is still pending/not yet visible). Increments anInt5240 and, when decoyThreshold >= -98, calls Companion.method470(null, -17) (cloneShortArray with a null input, which just returns null harmlessly) -- at the only known call site this parameter is always -124 (< -98), so the branch is dead in practice; flagged as opaque-predicate/decoy."
method465,clearStaticCaches,"i: Int","sentinel: Int",high,"Companion cleanup: clears two Hashtable-like caches (HeapInfoRecord.aHashtable_4934 and HardKeyedCacheEntryReference.aHashtable_10442 via their method3481(0) = clear()), increments a call counter anInt5251, and conditionally resets anInt5252 to -40 unless sentinel == -1636518164 (a guarded dispose(), consistent with similar magic-guarded teardown elsewhere in this codebase)."
method466,queueContactEntry,"bool: Boolean, string: String?, i: Int, i_0_: Byte, bool_1_: Boolean, i_2_: Int, i_3_: Int, bool_4_: Boolean, i_5_: Int, l: Long, string_6_: String?, l_7_: Long, i_8_: Int","isOnline: Boolean, name: String?, world: Int, unusedByte: Byte, bool_1_: Boolean, worldFlags: Int, rank: Int, bool_4_: Boolean, iconOrType: Int, timestamp: Long, note: String?, l_7_: Long, i_8_: Int",low,"Builds a ContactEntry (friend/ignore/chat contact-list row) and passes it to OpenGlRenderer.method3743, guarded by !ScrollbarComponent.aBoolean8335 and a capacity check (FileExistsCondition.anInt4776 < 500). Wraps the body in try/catch rethrowing via TextureLoadException.method2929 with a diagnostic string naming the original obfuscated signature 'hc.B(...)'. This logic (friends/contacts list entries) looks unrelated to minimap polygon drawing -- almost certainly decompiler-merged content from a different original class landing in this companion object, per the pattern noted project-wide for jvmMain companion files. Parameter names are best-effort guesses based on the ContactEntry constructor call shape only."
method467,scheduleNamedTimedNode,"i: Int, i_9_: Int, i_10_: Int","id: Int, guardMagic: Int, value: Int",low,"Guarded by `i_9_ == -18075`: creates a NamedTimedNode via ConfigValueProvider.method2516(id, 105, 1), calls .method3246(-25490) on it, and sets its anInt9652 field to value. Increments anInt5248. Like queueContactEntry, this looks unrelated to minimap polygon rendering -- likely decompiler-merged content from a different original class."
method468,canParseAsLong,"string: String?, i: Int","value: String?, unusedMagic: Int",medium,"Thin wrapper delegating to isValidNumberString(true, true, 10, value) -- i.e. checks whether the string is a valid base-10 (long) integer literal. Increments anInt5239. The `i` parameter is unused except for a dead decoy computation (`-91 % ((-35 - i) / 52)`, discarded, and a potential division-by-zero trap)."
method1332,isValidNumberString,"bool: Boolean, bool_0_: Boolean, i: Int, string: String","allowNegative: Boolean, allowPlus: Boolean, radix: Int, value: String",high,"Reimplements the classic JDK-style numeric-string validation algorithm (as used internally by Long.parseLong/Integer.parseInt): validates radix is 2..36, allows a leading '-' (and '+' if allowPlus), maps each char to a digit value (0-9/'A'-'Z'/'a'-'z'), rejects out-of-radix digits, accumulates the value while checking for overflow (`i_7_ / i != i_3_`), and requires at least one digit consumed. Returns whether value is syntactically/numerically valid for the given radix -- it does not return the parsed value itself, only a boolean, so it's a 'canParse' check rather than an actual parser."
method469,disposeColorTables,"i: Byte","unused: Byte",high,"Nulls aColorArray5242 and anIntArray5241 (typical companion dispose()/unload() pattern). The `val i_33_ = -24 / ((i - -12) / 41)` local is computed but unused -- decoy/opaque-predicate arithmetic with a potential division-by-zero trap."
method470,cloneShortArray,"is: ShortArray?, i: Byte","source: ShortArray?, unused: Byte",high,"Defensive-copy helper: returns null if source is null, otherwise allocates a same-size ShortArray and copies via ArrayCopyUtil.method1576 (System.arraycopy-style). Increments anInt5253. Contains a dead self-recursive call `Companion.method470(null, -35.toByte())` guarded by `i >= -103` (true at at least one known call site, -17, but harmless since it always passes null and its result is discarded) -- flagged as an opaque-predicate/decoy call rather than meaningful recursion."
