current_name,recommended_name,current_params,recommended_params,confidence,notes
method1480,areAllTracksFinished,,,high,"Iterates anIntArray2682 (per-track saved buffer offsets); returns false if any entry is >=0 (still active/not finished). Called from MidiFileBuilder.kt and MidiSequencePlayer.kt right after advancing a track's position, to detect whole-sequence playback completion."
method1481,parseMetaOrRunningStatusEvent,"i: Int, i_1_: Int","trackIndex: Int, statusByte: Int",medium,"Private helper called from readNextEventRaw (method1489). When statusByte==255 (0xFF meta-event marker) reads the meta type + var-len length (aClass348_Sub49_2677.method3366 = readVarLen), special-cases 0x2F end-of-track (returns sentinel 1) and 0x51 set-tempo (reads a 3-byte tempo via readMedium into aLong2680/anInt2684, returns sentinel 2), otherwise skips the meta payload and returns sentinel 3. For any other status byte it reconstructs a MIDI channel event using aByteArray2676[statusByte-128] -- a 128-entry static table keyed by status byte 0x80-0xFF giving the extra-data-byte count (2 for note on/off, poly-AT, CC, pitch-bend; 1 for program-change, channel-AT, MTC quarter-frame, song-select; 0 for sysex/undefined) -- OR'ing in up to two following data bytes shifted into bits 8/16 to support MIDI running status. Return value is overloaded (1/2/3 = meta sentinels, anything else = packed channel-event data) -- unusual dual-purpose return worth flagging for future callers."
method1482,load,"is: ByteArray?","data: ByteArray?",high,"Parses a standard MIDI file byte array: installs it into the ByteBuffer, seeks to offset 10 (past the 8-byte 'MThd' chunk header + 2-byte format field), reads ntrks into i and division/ticks-per-quarter-note into anInt2683, resets tempo to the default 500000us/quarter, then scans chunks looking for 'MTrk' ids (0x4D54726B == 1297379947), recording each track's data start offset into anIntArray2679 and skipping other chunk types by their declared length. Also (re)allocates the per-track state arrays anIntArray2682 (positions), anIntArray2681 (delta accumulators) and anIntArray2678 (running-status cache)."
method1483,getTrackCount,,,high,"Returns anIntArray2682!!.size, the number of MTrk chunks discovered by load()."
method1484,resetToTime,"l: Long","microseconds: Long",medium,"Rewinds playback: sets aLong2680 to the given microsecond timestamp, then for every track resets its accumulated tick delta (anIntArray2681) and running-status cache (anIntArray2678) to 0, seeks to that track's start offset, reads its first delta-time via readTrackDeltaTime, and records the resulting buffer offset back into anIntArray2682. Used to restart or loop a MIDI sequence."
method1485,readTrackDeltaTime,"i: Int","trackIndex: Int",high,"Reads a MIDI variable-length delta-time value (aClass348_Sub49_2677.method3366 = readVarLen) at the buffer's current position and adds it to the track's accumulated tick count anIntArray2681[trackIndex]."
method1486,saveTrackPosition,"i: Int","trackIndex: Int",high,"Stores the ByteBuffer's current read offset into anIntArray2682[trackIndex]. When invoked right after markTrackEnded (method1495), which forces the buffer offset to -1, this is how a finished track's slot gets set to -1, which areAllTracksFinished/findNextTrackIndex rely on."
method1487,unload,,,high,"Clears the loaded byte array and all per-track state arrays (anIntArray2679/2682/2681/2678), releasing the parsed MIDI data."
method1488,ticksToMicros,"i: Int","ticks: Int",high,"Converts a tick count relative to the last tempo change into an absolute microsecond timestamp: aLong2680 + ticks * anInt2684 (anInt2684 is the current tempo in microseconds-per-quarter-note, set by the 0x51 meta event handled in parseMetaOrRunningStatusEvent)."
method1489,readNextEventRaw,"i: Int","trackIndex: Int",medium,"Private worker behind readEvent(). Reads the next status byte, handling MIDI running status (caches/reuses anIntArray2678[trackIndex] when the raw byte read isn't itself a fresh status byte), special-cases 0xF0/0xF7 SysEx (including the case where the byte following an 0xF7 continuation is actually a valid non-SysEx status such as 0xF1-0xF3/0xF6/0xF8/0xFA-0xFC/0xFE, treated as an embedded real event), and otherwise delegates to parseMetaOrRunningStatusEvent."
method1490,findNextTrackIndex,,,high,"Scans anIntArray2682 for tracks that are still active (offset >=0) and returns the index of the one with the smallest accumulated tick count in anIntArray2681 (i.e. the next event due to fire); returns -1 if no track is active. Classic multi-track MIDI event-merge-by-linear-scan pattern."
method1491,isLoaded,,,high,"Returns true while aClass348_Sub49_2677.aByteArray7154 (the underlying raw byte array) is non-null, i.e. a MIDI file is currently loaded."
method1492,seekTrack,"i: Int","trackIndex: Int",high,"Sets the ByteBuffer's read offset to the track's saved position anIntArray2682[trackIndex], preparing to read that track's next event."
method1494,readEvent,"i: Int","trackIndex: Int",high,"Public wrapper around readNextEventRaw(trackIndex); thin pass-through kept as a separate declared function (used throughout MidiFileBuilder.kt/MidiSequencePlayer.kt as the public entry point for pulling the next event of a track)."
method1495,markTrackEnded,,,medium,"Sets the ByteBuffer's read offset to -1. Always invoked immediately before saveTrackPosition at call sites, so the net effect is recording -1 as a track's saved position -- the sentinel areAllTracksFinished/findNextTrackIndex check for to treat a track as finished."
constructor,constructor,,,high,"No-arg constructor; only initializes the internal ByteBuffer(null) wrapper without loading any data."
constructor,constructor,"is: ByteArray?","data: ByteArray?",high,"Internal convenience constructor that initializes the ByteBuffer and immediately calls load(data) to parse the given MIDI byte array. Used by MidiFileBuilder.kt (`MidiTrackReader(...)`)."
method1493,disposeStatusByteTable,,,medium,"@JvmStatic companion cleanup: nulls out the static aByteArray2676 status-byte-to-extra-data-length lookup table used by parseMetaOrRunningStatusEvent. Matches the common dispose()/unload() pattern seen across this codebase's companion objects; called from Client.kt (line 1007) as part of a long chain of similar teardown calls (logout/shutdown sequence)."
