current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Trivial primary constructor. Stores the owning OpenGlRenderer (aHa_Sub2_290) and, if the renderer reports the required GL capability booleans (aBoolean7820/aBoolean7837 = FBO support, aBoolean7713>1/aBoolean7815/aBoolean7807 = MSAA support), allocates one or two FrameBufferObject instances (single-sample and, when MSAA available, a second resolve-target FBO)."
method272,blitAndCompositeBloom,i: Int,unused: Int,medium,"Called once per frame from OpenGlRenderer.method3698 (`aGlFramebufferBlitter_7720!!.method272(-53)`, the only call site). When aBoolean289 (blit pending, set by method275) is true: if using a separate MSAA FBO (aFrameBufferObject_285), resolves it into the single-sample FBO via glBlitFramebufferEXT (optionally including the stencil bit 0x100 when aBoolean303 is set), then iterates the active AbstractBloomEffect list (aNodeDeque_292), calling each effect's renderBloom (method2750) for every pass (method2764/getPassCount) and finishPass (method2756) after each, drawing either straight to the default framebuffer (last pass of the last effect) or back into the working FBO (intermediate passes) via a textured quad. The `i` param only feeds a dead `19 % ((i - 12) / 49)` expression whose result is discarded - confirmed decoy (only call site passes the literal -53)."
method274,enableBloomEffect,"class348_sub5: AbstractBloomEffect, bool: Boolean","effect: AbstractBloomEffect, initFlag: Boolean",medium,"Called from OpenGlRenderer.method3671 (only call site: `method274(aClass348_Sub5_Sub1_7721!!, true)`). Attempts to bring `effect` online: if `effect.method2751(initFlag)` (isInitialized) or `effect.method2758(85)` (initialize) succeeds, registers it in aNodeDeque_292, recomputes shared aggregate bloom state (method281), and if the resize/allocate path (method276) succeeds, resizes the effect to the current viewport (method2754) and sets `effect.aBoolean6621 = true` (enabled flag), returning true. On any failure path, disposes the effect via method278 and falls through. The trailing `if (bool != true) return false; return false` is dead code - both branches return false regardless of `bool`'s value, so the final return is unconditionally false; `initFlag` is otherwise real (forwarded into effect.method2751). Only observed caller always passes `true`."
method275,setViewport,"i: Int, i_9_: Int, i_10_: Int, i_11_: Int, i_12_: Int","width: Int, x: Int, height: Int, y: Int, unused: Int",medium,"Only call site is OpenGlRenderer.method3658(i, i_459_, i_460_, i_461_) -> `method275(i_460_, i, i_461_, i_459_, -1)`. The leading `if (i_12_ != -1) return true` is dead - the only caller always passes -1 for the 5th arg, so this early-return branch never fires in practice. Stores `width`=anInt286 and `height`=anInt275 (confirmed by method272's glVertex2i/glBlitFramebufferEXT usage of anInt286/anInt275 as blit width/height), resizing every active bloom effect via method2754(height, 41.toByte(), width) when the size changed, then calls method276 (ensureFramebuffersAllocated); on success marks a blit as pending (aBoolean289=true) and stores `x`=anInt287/`y`=anInt276 (used as the quad origin in method272's glVertex2i calls)."
method276,ensureFramebuffersAllocated,bool: Boolean,unused: Boolean,medium,"Private. Lazily (re)allocates the GL resources needed for bloom compositing: a shared RenderbufferObject/GlTexture2D depth-stencil target (aClass348_Sub42_Sub2_298/aClass258_Sub3_300, gated by aBoolean293), a pair of colour RenderbufferObject/GlTexture2D targets sized per the shared aggregate state from method281 (aClass348_Sub42_Sub2_296/aClass258_Sub3Array295, gated by aBoolean297), attaches them to aFrameBufferObject_281 (and aFrameBufferObject_285 when MSAA is active, gated by aBoolean294), and finally checks FBO completeness via aFrameBufferObject_284.method1507 (gated by aBoolean299). Returns whether the FBO chain is ready (!aBoolean299). The `bool` param's only effect, `if (bool != false) anInt282 = -21`, writes a companion counter field that is not read anywhere else in this class - dead in practice since all 3 call sites (from method274 and method275) pass the literal `false`."
method278,disposeBloomEffect,"class348_sub5: AbstractBloomEffect, bool: Boolean","effect: AbstractBloomEffect, unused: Boolean",high,"Only call sites are OpenGlRenderer.method3710 and this class's own method274, both always passing `bool = true` - the `if (bool == true)` guard is effectively unconditional in observed usage. Clears `effect.aBoolean6621` (enabled flag), calls `effect.method2763` (dispose, per AbstractBloomEffect.csv) and `effect.method2715` (unresolved in that file, likely a deque-removal helper), then recomputes shared aggregate state via method281."
method279,resetState,i: Byte,unused: Byte,medium,"Only call site is OpenGlRenderer.method3652 (a GL-context teardown/reset routine that also disposes all NativeShaderProgram entries), passing the literal -126. Nulls every FBO/texture field, disposes every registered bloom effect via method2763((-124).toByte()), and resets the stored viewport width/height (anInt275/anInt286) back to 1. The `i` param only feeds a dead `84 % ((-63 - i) / 56)` expression whose result is discarded - confirmed decoy at the single observed call site."
method280,isSupported,i: Int,unused: Int,medium,"Returns whether the primary FBO (aFrameBufferObject_284) was successfully allocated in the constructor - used by OpenGlRenderer's init to decide whether to construct a GlBloomEffect at all (`if (aGlFramebufferBlitter_7720.method280(1)) { aClass348_Sub5_Sub1_7721 = GlBloomEffect(this); ... }`). The `if (i != 1) anInt286 = -99` guard is dead - the only call site always passes the literal 1."
method281,updateAggregateBloomState,i: Byte,unused: Byte,medium,"Private. Iterates every registered AbstractBloomEffect in aNodeDeque_292, taking the max colour-precision tier (effect.method2761, per AbstractBloomEffect.csv: 0 or 1) to pick a shared GL internal texture format (34836/34842/6408 stored in anInt301), summing pass counts (effect.method2764) clamped to 2 (anInt302, used for the second colour-attachment texture in method276), and OR-ing effect.method2759 into a flag (aBoolean303, the depth/stencil-attach toggle referenced in method272's glBlitFramebufferEXT mask and method276's texture-vs-renderbuffer choice). Sets aBoolean297/aBoolean294/aBoolean293 reallocation flags when any of these derived values change, forcing method276 to rebuild the shared FBO resources on the next call. The `i` param only feeds a dead `50 / ((-34 - i) / 45)` expression whose result is discarded - both call sites (method274 passing -94, method278 passing -80) leave it unused, so treated as a confirmed decoy."
method271,renderWidgetModelIcon,"i: Int, widgetComponent: WidgetComponent, i_0_: Byte, i_1_: Int","y: Int, widgetComponent: WidgetComponent, unused: Byte, x: Int",low,"Companion, SEMANTICALLY UNRELATED to bloom/framebuffer blitting - a merged/grab-bag static (matches the 'decompiler merged wrong content' pattern noted for jvmMain companions in PLAN.md). Only call site is FlipTextureNode.kt (`GlFramebufferBlitter.method271(i_25_, class46, (-98).toByte(), i_24_)`), inside a widget-rendering loop branch keyed on `widgetComponent.anInt765`. Looks up the widget's model via `widgetComponent.method425`, then either draws it via FacingDirectionNode.aRenderer6654's KA/A helpers or falls back to NpcType.aAbstractModelRenderer_1365.method976 depending on `KeyboardLayoutCache.anInt3306` - consistent with rendering a small model/NPC preview icon inside an interface widget. `i_0_` (Byte) is never referenced in the method body at all - a genuinely unused parameter, not just an opaque-predicate decoy."
