current_name,recommended_name,current_params,recommended_params,confidence,notes
FA,rotatePitch,i: Int,angle: Int,high,"Overrides AbstractModel.FA (see refactor-notes/commonMain/AbstractModel.csv). Rotates every vertex's (y,z) pair via SpotAnimVector sin/cos tables shr 14 - rotation about local X axis. Also invalidates the cached HoverActionEntry vertex buffer and clears the derived-bounds-valid flag aBoolean5527 (consumed by method692/na/EA/ba/method684)."
method614,getWorkingCopy,"i: Byte, i_4_: Int, bool: Boolean","bufferSlot: Byte, flags: Int, shareBuffers: Boolean",high,"Overrides AbstractModel.method614 (matches AbstractModel.csv exactly: 'picks one of five pairs of pre-allocated scratch buffers by bufferSlot'). Selects one of 5 pairs of shared OpenGlModel placeholders on the owning OpenGlRenderer (aClass64_Sub3_78xx fields) by bufferSlot 1-5, or allocates a fresh OpenGlModel otherwise, then delegates to the private method686 to populate the copy."
method677,uploadOrRebindGpuBuffers,i: Byte,tag: Byte,medium,"Private. When the model has faces (anInt5537!=0) and tag>125: conditionally unbinds/rebinds a texture slot (method688), lazily builds the vertex-buffer object if missing (method678), binds vertex attribute pointers and issues one glDrawElements-style draw per texture-material run (aHa_Sub2_5598.method3759) using the model's face-index ranges (anIntArray5626), then finalizes (method691). Looks like the 'upload geometry to GPU and issue the draw calls' core of GL model rendering."
method678,buildAndUploadPositionColorBuffer,"bool: Boolean, i: Byte","useVbo: Boolean, unused: Byte",medium,"Private. Packs per-vertex position/color/UV shorts (aShortArray5592/5579/5566) into a FloatBuffer (as raw floats or packed shorts depending on aHa_Sub2_5598.aBoolean7775), then either uploads into a persistent VBO (method3733, growing/reusing anByteArrayCodec_5647) when useVbo is true, or builds a fresh client-side ByteArrayCodec otherwise, storing the result into aArchiveFileConditionWrapper_5575's cached buffer. Calls WA()/getAmbient indirectly via a conditional recompute when unused!=27 (decoy-looking guard, always true at both call sites)."
method679,isTriangleWithinViewBounds,"i: Int, i_16_: Int, i_17_: Int, i_18_: Int, i_19_: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int","x: Int, y0: Int, y1: Int, ySplit: Int, xOther: Int, ySplit2: Int, unused: Int, maxY: Int, y2: Int",low,"Private. A 2D interval/edge-overlap test (early-return false on several non-overlap conditions, otherwise a final range comparison) used per-triangle by method684/testFrustumIntersection as a screen-space visibility filter. Exact geometric meaning of each parameter not confidently pinned down given the dense inline boolean logic."
VA,rotateRoll,i: Int,angle: Int,high,"Overrides AbstractModel.VA (matches AbstractModel.csv). Rotates every vertex's (x,y) pair via SpotAnimVector tables - rotation about local Z axis."
method680,computeShadedFaceColor,"i: Int, i_29_: Int, i_30_: Byte, i_31_: Short, i_32_: Int","magicCheck: Int, hue: Int, alpha: Byte, materialId: Short, lightness: Int",medium,"Private. Looks up a base HSL-shaded color via SoundEnvelope.anIntArray179 keyed by a packed hue/lightness index, then if materialId is set, blends in the material's tint bytes (aByte201) and adjusts brightness (aByte216) via aRenderConfig4579.method3, finally packing in `alpha`. Decoy early-return (-13) when magicCheck!=19995 (the only observed call value)."
method618,areTexturesLoaded,none,none,high,"Overrides AbstractModel.method618 (matches AbstractModel.csv exactly). Returns true if no per-face textures, else false until every referenced material (aRenderConfig4579.method4) is loaded."
method613,hideOverlappingFaces,"abstractModel: AbstractModel?, i: Int, i_42_: Int, i_43_: Int, bool: Boolean","other: AbstractModel?, x: Int, y: Int, z: Int, mirrored: Boolean",medium,"Overrides AbstractModel.method613 (matches AbstractModel.csv's abstract contract name/role). GL-specific implementation: for vertices of `other` (offset by x/y/z) that fall within this model's bounds, merges/accumulates NpcSummaryDefinition overlay-color arrays (creating them lazily via MinimapPolygonDrawer.method470/ConfigVarProgress.method2309 snapshots) between the two models and invalidates their cached HoverActionEntry vertex buffers - looks like blending overlapping NPC 'identkit'-style overlay tint data between two co-located composite models rather than pure face-hiding, but keeps the abstract method's established name for consistency."
method623,intersectsFrustum,"i: Int, i_87_: Int, abstractCameraTransform: AbstractCameraTransform?, bool: Boolean, i_88_: Int, i_89_: Int","x: Int, z: Int, camera: AbstractCameraTransform?, mirrored: Boolean, minY: Int, maxY: Int",high,"Overrides AbstractModel.method623 (matches AbstractModel.csv). Delegates to the private method684/testFrustumIntersection with the fixed dispatch token 1566382404."
