current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,i: Int,capacity: Int,high,"Trivial primary constructor delegating straight to ByteBuffer's constructor of the same shape (allocates the backing byte array of the given capacity). The companion's default instance is created as `CipheredPacketBuffer(7500)` (see CircleRasterizer.kt's aClass348_Sub49_Sub2_3813 field), consistent with a fixed-size network packet buffer."
method3404,isOpcodeExtended,i: Int,sentinel: Int,high,"Peeks (without consuming, via IsaacCipher.method778 which does not advance the cipher's internal index, unlike method781 which does) the next buffered byte deciphered against the ISAAC keystream, returning true if the resulting unsigned value is >= 128. Confirmed usage pattern at Client.kt:2692 and SceneNodeDeque.kt:451: after resetting the read position to 0 and reading exactly 1 raw byte from the socket, this is called to decide whether a *second* byte must also be read before decoding the opcode via readOpcode -- i.e. classic 1-or-2-byte deciphered opcode framing. The `if (i != -1510) return true` branch is a dead opaque predicate; every real call site passes exactly -1510."
method3406,initCipher,"i: Int, `is`: IntArray","unused: Int, key: IntArray",high,"Creates a new IsaacCipher from `key` and stores it as the buffer's active cipher. If `unused > -41` also nulls the companion's anIntArray9757 scratch array (a Bresenham-circle midpoint cache shared with CircleDrawer/CircleRasterizer -- see those files' notes; unrelated to ciphering, a cross-class field-reuse artifact). Confirmed call site: SceneNodeDeque.kt:277, establishing the incoming-packet decipher key at connection/login time."
method3407,readOpcode,i: Int,sentinel: Int,high,"Reads and deciphers the packet opcode: decodes one byte via IsaacCipher.method781 (consumes the keystream); if it's < 128, returns it directly; otherwise decodes a second deciphered byte and combines them as `(secondByte + (firstByte-128 shl 8))`, i.e. a 1-or-2-byte big-endian extended opcode, paired with the isOpcodeExtended pre-check. The `if (i != 15295) anIntArray9757 = null` branch is a dead opaque predicate on the shared Bresenham scratch array (see method3406 note); every real call site passes exactly 15295."
method3408,writeCipheredByte,"i: Int, i_5_: Int","value: Int, unusedFlag: Int",high,"Writes one outgoing byte, enciphering it by adding the next ISAAC keystream byte (via IsaacCipher.method781) before storing. If `unusedFlag == 18676` also increments a telemetry counter (anInt9760); the sole confirmed call site (SceneNodeDeque.kt:321) always passes exactly 18676, making that increment a no-op-for-naming-purposes counter rather than meaningful control flow."
method3409,readCipheredBytes,"i: Int, `is`: ByteArray, i_6_: Int, i_7_: Int","length: Int, buffer: ByteArray, offset: Int, sentinel: Int",high,"Reads and deciphers `length` bytes into `buffer` starting at `offset`, only when `sentinel == -32769` (guarding the entire body). The single confirmed call site, Client.kt:3925, always passes -32769, so this always executes there; kept as a sentinel-style guard rather than a dead branch since the only observed caller matches it (per PLAN.md guidance not to over-interpret single-match sentinels as necessarily-dead, but also not necessarily load-bearing logic)."
readBits,readBits,"i: Byte, i_9_: Int","sentinel: Byte, numBits: Int",high,"Already reasonably named. Reads `numBits` bits from the byte array using a running bit-position (anInt9754), assembling the result across a byte boundary as needed via IntPair.anIntArray6972 bit masks. Guarded by `if (sentinel.toInt() != -24) return -126`; every confirmed call site across the repo (ConstantColourTextureNode.kt, GroundDecorEntity.kt, IdentKitRecolor.kt, NpcSummaryDefinition.kt, RegionMapDecoder.kt, SimpleToggleOptionState.kt) passes exactly (-24).toByte(), so the early-return branch is effectively always skipped in practice."
stopBitAccess,stopBitAccess,bool: Boolean,clearFlag: Boolean,high,"Already reasonably named. Converts the running bit-position (anInt9754) back into a byte-array read position (`anInt7197 = (7 + anInt9754) / 8`, rounding up), ending a run of readBits calls. If `clearFlag` is true, also nulls aShortArray9768 (a small constant lookup table initialized once and otherwise never read anywhere in this class -- effectively dead/vestigial). Every confirmed call site (ConstantColourTextureNode.kt, RegionMapDecoder.kt) passes `false`, so the clear branch is dead in observed usage."
startBitAccess,startBitAccess,i: Int,unused: Int,high,"Already reasonably named. Converts the current byte-array read position into a bit position (`anInt9754 = 8 * anInt7197`), beginning a run of readBits calls. Contains a dead decoy local `i_24_ = -126 / ((-15 - unused) / 49)` whose only role is to be computed and discarded; confirmed call sites pass varying literals (-87, -65, 36, 122, -122, and one XOR expression) purely to feed this decoy."
method3415,bitsRemainingInPacket,"i: Int, i_22_: Int","unusedFlag: Int, packetLengthBytes: Int",medium,"Returns `packetLengthBytes*8 - anInt9754`, i.e. how many bits remain before exhausting a packet of the given byte length -- confirmed usage at IdentKitRecolor.kt:81 as a `while (...bitsRemainingInPacket(-62, RadialTextureNode.anInt9341) >= 15)` loop guard before further readBits(15) calls. Also contains `if (unusedFlag >= -58) method3405(50, true)`, an odd side-effecting call into the companion's unrelated JS5-archive-loading counter (method3405); the only confirmed call site passes -62 (which is < -58, so this branch is never actually triggered there) -- flagged as a likely decompiler artifact / dead branch rather than intentional cross-cutting logic."
method3416,setCipher,"i: Int, isaacCipher: IsaacCipher","unused: Int, cipher: IsaacCipher",high,"Simple setter assigning the buffer's active IsaacCipher. Contains a dead decoy local `i_23_ = -103 / ((unused - 57) / 40)` that is computed and discarded. Confirmed call site: SceneNodeDeque.kt:320, swapping in a per-video-stream cipher (TheoraVideoStream.aIsaacCipher_9029) for a specialized use case."
method3405,getLoadedTileShapeResourceCount,"i: Int, bool: Boolean","sentinel: Int, forceRecount: Boolean",high,"Companion/static loading-progress helper: returns 0 if AbstractTileShapeStatics.anIntArray6547 (a list of tile-shape ids) hasn't been populated yet; if `forceRecount` is false and LoadingScreenState.aRenderableEntryArray2636 already exists, short-circuits to `anIntArray6547.size * 2` (the maximum possible count); otherwise counts, across both GlShaderObjectHandle.aJs5Archive_518 and TerrainTileStatics.aJs5Archive_4585, how many of the tile-shape ids report as loaded (via .method421(false, id)), returning the sum. Confirmed real callers: ClientLoadStateMachine.kt:229 and StringCacheNode.kt:38, both passing the exact sentinel 2012104999 used to guard a self-recursive branch (`if (sentinel != 2012104999) getLoadedTileShapeResourceCount(118, false)`) -- meaning that recursive branch is never triggered by real top-level callers (it would otherwise recurse indefinitely, since 118 != 2012104999); the only other caller, method3415, passes 50 but only from inside its own dead branch, so this recursion is dead in practice throughout the codebase. Clearly a texture/model loading-percentage counter unrelated to cipher/packet-buffer duties -- likely relocated here by the decompiler merge process (per PLAN.md guidance), but sharing the companion object with the buffer's own state."
method3411,scheduleTimedNodeValue,"i: Int, i_13_: Int, i_14_: Int","id: Int, unusedFlag: Int, value: Int",low,"Companion/static; unrelated to cipher/packet-buffer duties (uses ConfigValueProvider.method2516, the same helper seen as a merge artifact in ChatEffectsOptionState.kt's method1733). Fetches/creates a named timed node for `id`, calls its method3246(-25490), and sets its anInt9652 field to `value`. Confirmed call site: Client.kt:4343. Best-effort name/params; exact semantics of the timed-node system are not established from this file."
method3413,generateNoiseGrid,"i: Int, i_15_: Int, i_16_: Int, i_17_: Int, i_18_: Int, bool: Boolean, i_19_: Int, f: Float, bool_20_: Boolean","seed: Int, xOffset: Int, rowLength: Int, yOffset: Int, rowCount: Int, unusedFlag: Boolean, startRow: Int, scale: Float, invert: Boolean",low,"Companion/static; unrelated to cipher/packet-buffer duties -- builds and returns a 2D `Array<IntArray?>` of size `rowCount` x `rowLength` by configuring a PerlinNoiseTextureNode (scale stored as a 4096-fixed-point int, plus xOffset/yOffset/seed/invert fields) and filling each row via its method3069. Also calls NpcType.method797(rowCount, rowLength, 120) as an apparent side effect, another cross-class call unrelated to this buffer. Confirmed caller: WaterMaterialPass.kt (twice, for water surface noise generation) -- consistent with this being a noise-texture generator relocated here by the decompiler merge, not real CipheredPacketBuffer logic. Parameter names are best-effort based on the PerlinNoiseTextureNode field assignments observed."
method3414,resetCaches,i: Int,flag: Int,high,"Companion/static. Unconditionally nulls aShortArray9768 (the same vestigial lookup table cleared by stopBitAccess); if `flag == 21515` also nulls the shared Bresenham scratch array anIntArray9757 (see method3406/method3407 notes). Confirmed real (non-dead) call site: Client.kt:761 (`resetCaches(21515)`), so both clears actually occur there."
