current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, waterTextureSet: WaterTextureSet?","renderer: OpenGlRenderer, waterTextureSet: WaterTextureSet?",high,"Primary constructor storing renderer via MaterialPass(renderer) superclass call (inherited field aHa_Sub2_3684). Init block bails out early (do/while(false) break) unless waterTextureSet.aClass258_Sub1_1443 (an env-map cubemap texture) is non-null and the renderer supports the required GL features (aBoolean7791/aBoolean7783). If eligible, compiles a vertex shader (35633) and fragment shader (35632) implementing reflective sun-lit water with environment-map sampling (normalSampler/envMapSampler/sunDir/sunColour/sunExponent uniforms) via TimedTileQueueEntry.method3249, links them via SequencedWallEntity.method2493 into aGlShaderProgramHandle_6274, and sets aBoolean6272 true on success. Confirms this class is one of several selectable water materials driven by MinimapRenderer.kt (slot 8 of aMaterialPassArray1588)."
method2140,bindTexture,"glTexture: GlTexture?, i: Byte, i_0_: Int","texture: GlTexture?, unused: Byte, textureUnit: Int",medium,"Override of MaterialPass.method2140 (named bindTexture in sibling ArbFogMaterialPass/CubeMapMaterialPass/FixedFunctionMaterialPass CSVs). Only performs the fixed-function bind (aHa_Sub2_3684.method3771/method3761) when the GLSL water shader is NOT currently active (!aBoolean6266); when the shader pass is active, texture binding is instead handled inside beginPass/method2134's uniform setup, so this fallback path is skipped. Called from MinimapRenderer.method885 as `.method2140(glTexture, (-98).toByte(), i)`; the fixed -98 decoy byte fails the `if (i >= -89)` guard, so the self-recursive `method2140(null, (-85).toByte(), 27)` branch is dead in practice."
method2139,setLightingFlag,"bool: Boolean, i: Byte","unusedFlag: Boolean, unused: Byte",low,"Override of MaterialPass.method2139, matching the abstract (Boolean, Byte) signature named setLightingFlag in the sibling FixedFunctionMaterialPass override (also fully inert there). Body only increments the call counter anInt6263 and computes a discarded division `-57 / ((-60 - i) / 38)` -- neither parameter has any observable effect. Called from MinimapRenderer.method884 as `.method2139(bool, (-115).toByte())` / `(-101).toByte()`; since the body never branches on either arg, this override contributes nothing at runtime in this class."
method2137,isSupported,i: Int,mode: Int,medium,"Override of MaterialPass.method2137, the GL-capability probe used by MinimapRenderer's init to decide whether to keep this GLSL water pass or fall back (`if (!aMaterialPassArray1588[8]!!.method2137(-33)) aMaterialPassArray1588[8] = aMaterialPassArray1588[4]`) and again via the shared method889 helper (`.method2137(-112)`). SURPRISING: unlike GlslMaterialPass's sibling override (which correctly returns its own 'shader compiled OK' flag), this override's logic is `if (mode >= -5) return true; anInt6267++; return false` and never references aBoolean6272 (the flag this class's own init block sets on successful shader compile) at all. Every observed real call site passes a value well below -5 (-33, -112), so in practice this method ALWAYS returns false regardless of whether the GLSL shaders actually compiled -- MinimapRenderer therefore always replaces this pass with the ScrollTexMaterialPass fallback at slot 8. This looks like a genuinely dead/broken capability check (or an intentional permanent-disable) rather than an ordinary decoy branch; flagged for a second look."
method2134,beginPass,"bool: Boolean, bool_3_: Boolean","unusedFlag: Boolean, skipSetup: Boolean",medium,"Override of MaterialPass.method2134 (beginPass in sibling ArbFogMaterialPass/CubeMapMaterialPass/FixedFunctionMaterialPass CSVs). Only the second param is referenced: setup (fetch the cached env-map cubemap via aHa_Sub2_3684.method3741(444720536), bind the GLSL shader program, upload sunDir/sunColour/sunExponent uniforms) runs when `skipSetup == false`, then sets aBoolean6266 true. The first param (`bool`) is never read anywhere in this override's body -- pure decoy in this class, though it may carry meaning in sibling MaterialPass implementations. Called from MinimapRenderer.method884 as `.method2134(bool, false)`, i.e. skipSetup is always false at the only observed call site, so the setup path always runs there."
method2133,endPass,i: Int,reason: Int,high,"Override of MaterialPass.method2133 (endPass in all sibling Pass classes). Guarded by `reason <= -75`; the only observed call site, MinimapRenderer.method884 (`.method2133(-93)`), satisfies this (-93 <= -75), so the guard is live. When the GLSL shader was active (aBoolean6266), unbinds both textures, disables the program (glUseProgramObjectARB(0)), and clears aBoolean6266 -- the teardown half of the beginPass/method2134 pair."
method2136,applyWaterAnimationUniforms,"i: Int, i_5_: Int, i_6_: Byte","packedTimeScaleBits: Int, packedWaveParamBits: Int, unused: Byte",medium,"Override of MaterialPass.method2136, per-frame uniform-update hook (only runs meaningfully when the GLSL shader is active, aBoolean6266) -- decodes bit-packed animation parameters rather than doing a resize (contrast with CubeMapMaterialPass's method2136, which is a real resize hook). Low 2 bits of `packedTimeScaleBits` select a time-speed multiplier (1/2/4/8x) for the 'time' uniform, higher bits select a power-of-two 'scale' uniform; `packedWaveParamBits` low 16 bits become 'breakWaterDepth' and bits [16..17] become 'breakWaterOffset'. Called from MinimapRenderer.method884 as `.method2136(i, i_1_, (-106).toByte())` / `(-98).toByte()`, both below -42, so the trailing `if (i_6_ >= -42) method2163(false)` call into the companion's audio-reload routine is a dead/decoy branch, never triggered in practice. Exact source/meaning of the two packed config ints (presumably a water-type/material config elsewhere) was not independently confirmed beyond this file."
method2162,buildWebLinkBaseUrl,bool: Boolean,resetOcclusionTimer: Boolean,low,"Companion, SEMANTICALLY UNRELATED to GLSL water rendering -- a merged/grab-bag static (see PLAN.md note on jvmMain companion objects). Builds an 'http://www[-suffix].<sceneProjectorName>.com/l=.../a=.../p=...' URL string by comparing several unrelated NamedIdRecord statics (FixedFunctionWaterPass/NpcAnimationResolver/SpriteArchiveLoader/GroundItemRenderState) to pick a hostname suffix, presumably a locale/build-variant selector. Called from ChatCommandProcessor.kt (the CS2 bytecode VM, per PLAN.md) as a fallback base URL when InputSettingsState.aString1761 is unset -- looks like a 'build external web link' helper invoked by a script instruction (e.g. an in-game 'visit website' link). The `resetOcclusionTimer` param's only effect, `if (bool != false) aLong6276 = -88L`, sets an unrelated occlusion-profiling timer field (aLong6276, read elsewhere by DebugOverlayRenderer as 'Occlude Calc Took: ...us') to a sentinel -- another sign of merged/unrelated companion content rather than a real part of this method's contract."
method2163,reloadAmbientAudioTrack,bool: Boolean,unused: Boolean,low,"Companion, SEMANTICALLY UNRELATED to GLSL water rendering -- a large merged/grab-bag static. Loads a MIDI/audio track (MidiFileBuilder.method2734), sets up a SpriteArchiveLoader for waveform/instrument data, and drives a Class348_Sub16_Sub3 (likely an audio streaming/decoder node) through several setup calls, finally handing off to aSoundChannelMixer_8764.method2088 if a mixer is registered -- i.e. an ambient music track (re)loader, gated behind `SpriteDefinition.anInt7068 == 2` (a load-state flag also referenced in DirectionalLightTextureNode). Called internally as a decoy from method2136 (`if (i_6_ >= -42) method2163(false)`, dead per that method's notes) and externally once from Client.kt (`method2163(!bool)`), the only place its return/behavior is actually exercised."
method2164,resetStaticCaches,bool: Boolean,doReset: Boolean,medium,"Companion. When `doReset` is true, nulls the shared default aSceneProjector_6262 ('game3' fallback scene projector, read by Client.kt as `Client.aSceneProjector_10434 = GlslEnvMaterialPass.aSceneProjector_6262` when no other projector is set) and aBooleanArray6270 (a large per-object/per-region flag array referenced widely, e.g. SceneObjectEntity.kt, ChatCommandProcessor.kt, FrameStatsReset.kt -- looks like an occlusion/culling visibility-flag table, unrelated to this class's own GLSL rendering, another merged-static). Only call site is Client.kt's `method2164(true)`, consistent with a logout/world-reload reset routine."
