current_name,recommended_name,current_params,recommended_params,confidence,notes
method2353,enqueueSceneEntity,"class318_sub1: SceneEntity, bool: Boolean","entity: SceneEntity, flag: Boolean",medium,"Sets entity.aBoolean6387 = flag, appends `entity` to the tail of the internal queue (aDoublyLinkedNodeList_3946.method1869, confirmed to be an insert-at-tail/enqueue by reading DoublyLinkedNodeList.kt: it links the node before the sentinel and unlinks it from any prior list first), increments the volatile queue-size counter anInt3957, then notifies the waiting aSceneLoaderThread_3956 if set. Every external call site found (MinimapRectClipper.kt, 4 call sites bucketing SceneEntity objects by minimap distance into an array of CacheIndexManager instances) passes `bool=false`, so the semantics of `flag=true` on aBoolean6387 could not be confirmed from usage; only method2361 (in this same class) hardcodes true for the equivalent field-set."
method2356,setSceneLoaderThread,"sceneLoaderThread: SceneLoaderThread?, i: Byte","thread: SceneLoaderThread?, unused: Byte",high,"Stores `thread` into aSceneLoaderThread_3956; both call sites (SceneLoaderThread.kt, setting/clearing itself as the manager's registered loader thread) pass the literal (-108).toByte(), so the guarded `if (i.toInt() != -108) method2358(-10, -55, 5)` never fires - and even if it did, method2358(-10, -55, 5) is itself a no-op (see method2358 notes: i=-10 takes the trivial early-return path, discarding the result), confirming this is a decoy branch."
method2359,enqueueSceneModelBuilder,"class318_sub2: SceneModelBuilder, i: Int","builder: SceneModelBuilder, unused: Int",high,"Appends `builder` to the tail of the queue (same DoublyLinkedNodeList.method1869 enqueue pattern as method2353), increments anInt3957, and notifies the loader thread. The `if (i != -1) method2362(45)` branch is dead: both call sites (FloatBuffer.kt, loading NPC scene models) pass i=-1."
method2360,isQueueEmpty,i: Int,unused: Int,high,"Returns `anInt3957 == 0` (whether the pending-entity queue is empty), used by SceneLoaderThread.kt as its wait/exit condition (`aCacheIndexManager_3743.method2360(-112)` and `method2360(70)`). The leading `val i_7_ = 46 % ((i - 10) / 54)` computes and discards a value purely as a side-effect-free decoy expression; it does not throw for the observed call values (-112, 70) but would divide by zero if `i` were ever 10, which is never observed."
method2361,enqueuePriorityEntity,"i: Int, class318_sub1: SceneEntity","unused: Int, entity: SceneEntity",medium,"Sets entity.aBoolean6387 = true unconditionally (contrast with method2353's parameterized flag), enqueues it via the same DoublyLinkedNodeList.method1869 tail-insert, increments anInt3957, and notifies the loader thread. The sole external call site (CharacterRenderState.kt:165) passes i=-15481, exactly matching the internal `if (i != -15481) this.aString3953 = null` guard's comparand, so that branch (which would null out the manager's associated name/region string, aString3953) is dead in practice at the only known call site - a decoy in the same style as AbstractGameSocket's documented opaque predicates."
method2362,dequeueNext,i: Int,unused: Int,high,"Pops and returns the head of the queue (aDoublyLinkedNodeList_3946.method1872(8), confirmed a remove-from-head/poll operation by reading DoublyLinkedNodeList.kt), calls sceneLinkedListNode.method2373(false) on the removed node (likely clearing its 'queued' state/detaching it), and decrements anInt3957. The `i: Int` parameter is never referenced anywhere in the method body - fully unused/decoy (call sites pass 45, 25061 with no effect)."
method2354,isKnownNamedIdRecord,"namedIdRecord: NamedIdRecord?, i: Int","record: NamedIdRecord?, unused: Int",medium,"Companion/static: returns true if `record` reference-equals one of four specific static sentinel NamedIdRecords (FixedFunctionWaterPass.aNamedIdRecord_7361, SpriteArchiveLoader.aNamedIdRecord_382, GroundItemRenderState.aNamedIdRecord_1657, LoadingBarRenderer.aNamedIdRecord_4246). Both call sites in Client.kt pass NpcAnimationResolver.aNamedIdRecord_165 as the record to check, in code paths that look like special-casing a particular NPC/animation resolver sentinel (e.g. 'is this the not-yet-loaded placeholder NPC type'). The `if (i != -1) method2355(...)` branch is dead at Client.kt:1313 (passes i=-1) but is NOT obviously dead at Client.kt:637 (passes `i xor 0x7044.inv()`, a computed value) - could not confirm whether that branch ever actually fires without tracing Client.kt's caller context further."
method2355,resetGlobalLoaderState,"i: Int, i_0_: Byte, bool: Boolean, js5Archive: Js5Archive?, i_1_: Int, i_2_: Int, i_3_: Int","directionValue: Int, unused: Byte, keyboardFlag: Boolean, js5Archive: Js5Archive?, npcActorValue: Int, cacheIndexManagerValue: Int, waterDetailValue: Int",low,"Grab-bag static setter that writes across many unrelated classes in one call: DirectionPath.anInt1059, KeyboardInputSource.aBoolean4275, GlBufferObject.aClass348_Sub16_Sub3_4743 (always nulled), NpcActorEntity.anInt10074, WaterDetailOptionState.anInt5994, SpriteDefinition.anInt7068 (always set to 1), CacheIndexManager.anInt3971, and ModelDefinition.aJs5Archive_1848. This pattern (one function mutating many unrelated statics) is typical of the obfuscator merging/inlining a larger 'reset/reinitialize world state' routine; the sole external call site (ByteBufferStatics.kt:161) confirms it is invoked during some global reset. Naming and param roles are best-effort guesses based purely on the target field names - low confidence given the function's scope has nothing to do with 'cache index management' per se."
method2357,resolvePlayerAnimationId,"i: Int, player: Player","unused: Int, player: Player",low,"Compares the player's current direction/orientation fields (player.anInt10268, aBoolean10213) against a per-player direction/sequence struct (`player.method2422(72.toByte())`, exposing 8 directional int fields anInt2919/2920/2949/2914/2940/2924/2947/2958 - consistent with an 8-compass-direction lookup) to select and return one of three candidate ints (player.anInt10526, anInt10519, or anInt10535, defaulting to anInt10535). This shape (mismatch-vs-8-directions to pick a fallback id) strongly resembles selecting a turn/idle animation id based on facing-direction mismatch, but the exact semantics of the Player fields involved are outside this file's scope and could not be verified. The `i: Int` parameter is completely unused in the method body; all 3 call sites (CharacterRenderState.kt, IdentKitRecolor.kt, TimingCounters.kt) pass literal -1."
method2358,matchesBoundsConfig,"i: Int, i_5_: Int, i_6_: Int","guard: Int, a: Int, b: Int",medium,"If `guard >= -106`, returns true immediately with no side effects (a trivial short-circuit). Otherwise increments anInt3945 and returns `ObjectSpawnDecoder.method1087(12644, b, a) || BoundsConstraintEntry.method2056(a, 107, b)` - both of those helpers perform bit-flag/config-name style checks against fixed magic constants (12644, 107) using `a`/`b` as coordinate-like inputs. The only external call site (OpenGlModel.kt:1758) passes guard=-116 (so the real check executes); the two internal call sites within this same file/class (method2356 with guard=-10, method2354 with guard=-93) both take the trivial `return true` short-circuit path and discard the result, confirming those are dead/no-op invocations. Exact meaning of `a`/`b` (possibly scene/model bounds coordinates) could not be pinned down without deeper tracing of ObjectSpawnDecoder/BoundsConstraintEntry."
