current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, i_27_: Int","sourceRateHz: Int, targetRateHz: Int",high,"Constructor for a polyphase FIR sample-rate converter. Confirmed by call sites in NativeRenderNode.kt:394 (AudioResampler(22050, HslColorConfig.anInt339)) and VorbisOggDecoder.kt:67 (AudioResampler(aVorbisInfo9006.rate, HslColorConfig.anInt339)) - HslColorConfig.anInt339 is the audio device's actual output sample rate (used to build javax.sound AudioFormat in JavaSoundOutput.kt:47), a clearly misnamed static field from decompiler class-merging. If source != target, computes gcd via TerrainTileShape.method2726(-21806, i, i_27_) (a GCD helper, confirmed by its swap-then-Euclid-style body), reduces both rates by the gcd into anInt2164 (source/gcd, becomes the polyphase table's phase count) and anInt2159 (target/gcd, the phase-increment). Builds anIntArrayArray2163, an array of anInt2164 filter-phase tables of 14 fixed-point (Q16, *65536) windowed-sinc coefficients (Hamming-like window via cos(...)*0.46+0.54) each covering a +-7 tap window around the phase's fractional offset - textbook polyphase resampling filter bank construction."
method1268,resampleShorts,"i: Int, is: ShortArray","unusedDecoy: Int, samples: ShortArray",high,"Applies the polyphase FIR filter bank to a 16-bit PCM sample buffer to change its sample rate. Only called from VorbisOggDecoder.kt:79 with literal -56 for the first arg: aAudioResampler_8994!!.method1268(-56, ...). Inside, i_0_ = 14 % ((i - 48) / 33) is computed but never used again anywhere in the method - classic dead/opaque-predicate local, the first Int param has zero effect on behavior. Real logic (only runs if anIntArrayArray2163 != null, i.e. rates actually differ): estimates output length from anInt2159/anInt2164 ratio, does a 14-tap convolution per input sample using anIntArrayArray2163[phase] with `shr 2` scaling, accumulates into an Int buffer, advances output position by variable stride (i_9_ = phase-accumulator / anInt2164) each iteration (correct polyphase resampling stride), then rounds/clamps the accumulator (`(8192 + val) shr 14`, saturate to Short.MIN/MAX) into the returned ShortArray. If anIntArrayArray2163 is null (no resampling needed) the input array is returned unchanged."
method1270,convertToTargetRate,"i: Int, i_12_: Byte","rateOrPosition: Int, unusedDecoy: Byte",medium,"Scales an Int by the resampler's target/source rate ratio (anInt2159 / anInt2164), leaving it unchanged if no resampling is configured. Byte param is a guard: `if (i_12_.toInt() != -85) return 59` - the sole call site (PcmSampleData.kt:14: audioResampler.method1270(this.anInt8988, (-85).toByte())) always passes -85, so the early-return-59 dead path never triggers in practice; the byte value carries no real information. Used in PcmSampleData.method2944 to convert the sample's stored native rate (anInt8988, e.g. 22050 set in AudioClipDefinition.kt:11) into the resampled/target rate after resampleBytes() is applied to the underlying byte buffer."
method1272,resampleBytes,"is: ByteArray, i: Int","samples: ByteArray, unusedDecoy: Int",high,"8-bit-PCM counterpart to resampleShorts (method1268): same polyphase convolution loop over anIntArrayArray2163, but without the `shr 2` prescale and with different output normalization (`(val - -32768) shr 16`, clamped to signed byte range) reflecting the different bit depth. Second Int param is a guard for a reset call: `if (i != 1) method1276(71)` - the only call site (PcmSampleData.kt:13: audioResampler.method1272(this.aByteArray8984!!, 1)) always passes 1, so the call into method1276 (which nulls unrelated widget/model caches - see method1276 below) never actually fires; this is a cross-domain decoy branch, not a real dependency."
method1275,convertSampleOffset,"i: Int, i_25_: Int","unusedDecoy: Int, offset: Int",medium,"Same ratio-scaling as convertToTargetRate (method1270) but adds a constant +6 sample offset after scaling, and computes a dead local `i_26_ = 26 % ((i - -29) / 32)` that is never used - i is a pure decoy (call sites pass -114, -83, -80, all discarded). Used in PcmSampleData.method2944 to remap loop-start/loop-end sample offsets (anInt8985/anInt8986) into the resampled buffer's offset space; the +6 constant likely compensates for the FIR filter's fixed +-7-tap window delay/padding seen in the constructor's coefficient-table construction. Confidence is medium because the exact rationale for the +6 fudge (vs. no offset in convertToTargetRate) is inferred rather than directly documented."
method1269,getMapRegionInterfaceGroup,i: Int,unusedDecoy: Int,low,"Companion/static accessor unrelated to audio resampling - a class-file/JVM artifact from decompiler merging. Guard `if (i != -17096) return null` is always satisfied at every found call site (ChatCommandProcessor.kt:737/785/811/830 and Client.kt:2210 all pass the literal -17096), so this is effectively a no-arg singleton getter returning MapRegionLoader.aClass348_Sub42_Sub14_1243. Exact semantic role of that singleton (an InterfaceComponentGroup) could not be pinned down further from this file alone; name is a best-effort placeholder pending review of MapRegionLoader.kt."
method1271,evictLoadingBarByteCache,i: Int,unusedDecoy: Int,medium,"Unrelated to audio; a cache-maintenance call swept up into this class. Only call site is ConfigArchiveLoader.kt:902 (AudioResampler.method1271(0)), part of a long sequence of `xxx.method587(y)` cache-eviction calls on many different LruByteCache-backed loaders during what looks like a logout/full-cache-clear routine (neighbors include TextureMipDescriptor.aLruByteCache_4346!!.method587(-108), MaterialTypeMarker.aLruByteCache_6517!!.method587(-109), etc). Body does `withLock(LoadingBarRenderer.aLruByteCache_4254!!) { LoadingBarRenderer.aLruByteCache_4254!!.method587(-86); if (i != 0) method1276(25) }` - LruByteCache.method587(i) sweeps/evicts stale cache-entry-reference nodes (confirmed from LruByteCache.kt:150). The `i != 0` branch calling method1276 (clears unrelated widget/model-render caches) is a decoy: the only real caller passes 0, so it never fires."
method1273,buildInlineIconImageTags,"is: IntArray, bool: Boolean","iconIds: IntArray, unusedFlag: Boolean",medium,"Unrelated to audio resampling; builds a chat/widget text fragment made of `<img=N>` placeholder tags, one per valid id in iconIds. For each id, looks up a Loc-type definition via TheoraVideoStream.aLocTypeDefLoader_9036!!.method1408(-12637, id); if it has a valid model/sprite ref (class321.anInt4000 != -1), fetches or lazily loads+caches an AbstractModelRenderer (via SpriteImage.method1521 + FacingDirectionNode.aRenderer6654!!.method3691, cached into SkeletalAnimFrameLoader.aLruByteCache_463), stores it into TileRenderState.aAbstractModelRendererArray4234[slot] (slot starts at BooleanGraphicsOptionState.anInt5850 and increments), and appends ' <img=slot>' to the output. This is the classic RS pattern for embedding icons (e.g. quest/skill icons) inline in chat text. Confirmed callers: ChatMessageStream.kt:97, NativeIndexBuffer.kt:98, SceneModelBuilder.kt:51, all passing bool=true and only using the returned string when the id array is non-null. The `bool != true` branch (nulling aBooleanArray2162) is effectively dead since every found caller passes true."
method1274,setPendingSceneObjectSpawner,sceneObjectSpawner: SceneObjectSpawner?,sceneObjectSpawner: SceneObjectSpawner?,high,"Trivial one-line static setter, unrelated to audio: PlayerSequenceSelector.aSceneObjectSpawner_1208 = sceneObjectSpawner. Called from FireParticleStream.kt:398 and :470. Another example of decompiler class-merging placing an unrelated static into this class."
method1276,clearIconRenderCaches,i: Int,unusedDecoy: Int,medium,"Nulls three unrelated static caches: aWidgetDefinitionArray2169s, anIntArrayArray2165, aBooleanArray2162 (all companion fields of this class, likely backing the icon-tag building in method1273/buildInlineIconImageTags). The Int param is entirely decoy - `val i_35_ = 101 % ((i - -20) / 49)` is computed and discarded, never influencing which caches get cleared. Called for real from Client.kt:850 (method1276(i + -199), presumably a logout/reset path) as well as via decoy-gated branches inside method1272/resampleBytes and method1271/evictLoadingBarByteCache that never actually fire (see those rows)."
