current_name,recommended_name,current_params,recommended_params,confidence,notes
method2421,getNpcOverrideId,i: Byte,decoyFlag: Byte,medium,"Abstract. Feeds getNpcDefinition/method2422's lookup into OpenGlModel.aNpcDefinitionCache_5558. Player overrides it to return anInt10520 (a short decoded from the appearance packet), consistent with players optionally rendering as an NPC costume/override; other subclasses presumably return their own npc id directly."
method2422,getNpcDefinition,i: Byte,decoyFlag: Byte,high,"Looks up an NpcDefinition via getNpcOverrideId/method2421, falling back to the shared 'null npc' definition (NpcDefinition.aNpcDefinition_2931) when the id is -1. Decoy branch (`if (decoyFlag != 72) method2438(...)`) calls the spot-animation queue method with clearly-bogus magic-number args - dead at all real call sites, which always pass 72."
method2409,recomputeFootprintBounds,i: Byte,decoyFlag: Byte,high,"Override (base likely SceneEntity/GroundDecorEntity). Recomputes the four tile-bound shorts (aShort8743/8747/8750/8751) from the entity's world x/y and its size (anInt10280, set by setSize/method2434), i.e. the entity's occupied-tile rectangle used elsewhere for collision/scene-graph lookups."
method2423,advanceAttachmentRotation,"i: Int, i_3_: Int, i_4_: Int","decoyFlag: Int, slot: Int, targetAngle: Int",medium,"Lazily allocates a 12-slot anIntArray10296 (per-slot attachment/equipment rotation state), and smoothly steps `slot`'s current angle toward `targetAngle` (or clears it when targetAngle == -1 and already close enough), using WhirlpoolHash.method1166 as an angle-interpolation helper and class225.anIntArray2907 as a per-slot step-size table. Returns true once the slot has reached (or been cleared to) its target."
method2424,computeEquipmentOrientation,"i: Int, i_14_: Int, i_15_: Int, i_16_: Int, i_17_: Byte, i_18_: Int","angleIndex: Int, width: Int, minAngle: Int, length: Int, decoyFlag: Byte, maxAngle: Int",low,"Rotates the entity's four tile-bound corners by a cos/sin pair from SpotAnimVector.anIntArray1207/1204 indexed by `angleIndex`, projects each corner via RefCountedHandle.method1321 (likely a screen/world coordinate transform), then derives two orientation angles (anInt10302, anInt10208) via atan2 over the projected corners, clamped to (minAngle,maxAngle) when nonzero, and a size value anInt10252. Used to orient a stretched equipment/weapon model across the entity's footprint; exact geometric meaning of the clamps not fully confirmed."
method2425,getBaseSizeOverride,i: Int,decoyFlag: Int,low,"Abstract, feeds getRenderSize/method2426's fallback branch. No implementation visible in this file; Player's override (in Player.kt) returns a small constant (82) or -1."
method2426,getRenderSize,i: Int,unusedFlag: Int,medium,"open. Returns the NPC definition's configured size (class225.anInt2928) if set, else 200 when anInt10207 is the -32768 'unset' sentinel, else -anInt10207. Decoy calls method2377/isRedrawNeeded when unusedFlag != 200."
method2427,resetMovementHistory,i: Int,decoyFlag: Int,medium,"Resets anInt10319 (position-history depth) and anInt10322 (a step/tween counter) to 0 - clears queued movement state. Decoy calls the companion clearStaticCaches/method2429 when decoyFlag < 13."
method2428,updateOrientationSmoothing,i: Int,decoyFlag: Int,medium,"Per-tick facing-angle smoothing update: advances aCompassSmoother_10217 (main body turn) via class225.anInt2917/anInt2948 (turn-speed config) or a size-based fallback, tracks the tick count since the last real turn (anInt10247), and configures two secondary sway smoothers (aCompassSmoother_10315/10316, likely torso/head sway) from class225.anInt2901/2935/2950/2904/2926/2936. Returns the angle delta this tick. Decoy calls method2376 when decoyFlag != 2."
method2430,assignHitsplatSlotValues,"is: IntArray?, is_51_: IntArray?, i: Int","bitmasks: IntArray?, values: IntArray?, decoyFlag: Int",high,"Rebuilds the 12-slot anIntArray10242 (matches PlayerUpdateDecoder's 0x10000 update bit, which decodes an id/value pair array and forwards it here as player.method2430) by, for each (bitmask,value) pair, writing `value` into every slot whose bit is set in `bitmask` - a sparse per-slot value assignment (consistent with per-hitsplat-slot damage/type values). Clears the array entirely when `values` is null."
