current_name,recommended_name,current_params,recommended_params,confidence,notes
"<init>",<init>,"sceneProjector: SceneProjector?, i: Int, bool: Boolean, emoteDefCache: EmoteDefCache?, js5Archive: Js5Archive?, js5Archive_22_: Js5Archive?","sceneProjector: SceneProjector?, tableIndex: Int, isMembersWorld: Boolean, emoteDefCache: EmoteDefCache?, itemDefArchive: Js5Archive?, spriteArchive: Js5Archive?",medium,"Central item-definition cache/loader (class name ub/Class255). Stores the members-world flag (aBoolean3269), the emote/animation definition cache used to strip locked emotes from item inventory-actions, and reads the item-definition archive's index count (anInt3271) at construction. `i`/tableIndex feeds the localized-text lookups (this.anInt3286) used for placeholder examine/name strings on locked items."
method1930,clearWidgetModelCache,i: Int,unusedDecoyId: Int,medium,"Decoy `if (i != -21804) method1930(-35)` is a genuinely unbounded self-recursion if ever triggered (would stack-overflow), not a simple dead branch; the only confirmed real caller (ChatCommandProcessor.kt:1027, a debug/console command) passes the exact literal -21804, so in practice the recursive branch never fires. Clears aLruByteCache_3287 under its lock (a 50-entry LRU, likely cached widget/composite model renderers)."
method1932,getOrBuildWidgetModelRenderer,"var_renderer: Renderer?, i: Int, i_0_: Int, font: RSFont?, compositeNpcModelBuilder: CompositeNpcModelBuilder?, i_1_: Int, bool: Boolean, i_2_: Byte, var_renderer_3_: Renderer?, i_4_: Int, bool_5_: Boolean, i_6_: Int","renderer: Renderer?, itemId: Int, quantity: Int, font: RSFont?, wornEquipmentBuilder: CompositeNpcModelBuilder?, widgetScale: Int, useMainRenderer: Boolean, unusedDecoyId: Byte, secondaryRenderer: Renderer?, zoom: Int, stackable: Boolean, cacheKeyExtra: Int",medium,"Builds (or returns a cached) AbstractModelRenderer for an item icon/widget preview. Looks up the ItemDefinition (via getItemDefinition), applies a quantity-based model variant swap (`anIntArray2831`/`anIntArray2762` - a 10-slot 'stack size threshold -> alternate model id' table matching RS2's stackable item appearance changes), builds the 3D preview via ItemDefinition.method1562/1558-family calls, then caches the resulting renderer keyed by a Crc64Hashable built from (itemId, quantity, zoom, widgetScale, secondaryRenderer.anInt4567, cacheKeyExtra) in aSizeBoundedSoftCache_3288 (unless `useMainRenderer`)."
method1934,setMembersWorldFlag,"i: Byte, bool: Boolean","unusedDecoyId: Byte, isMembersWorld: Boolean",medium,"Decoy `if (i.toInt() != 11) resetLowDetailFlag(...)`-style call to method1935 (result discarded); sole confirmed caller SceneNodeDeque.kt:370 passes 11.toByte(). When `isMembersWorld` actually changes aBoolean3269, triggers clearAllCaches with a decoy-XOR'd argument. aBoolean3269 gates the members-only item name/examine-text stripping seen in getItemDefinition (method1940), consistent with RS2's 'members object' downgrade-on-F2P-world behaviour."
method1936,clearModelRendererCache,i: Int,unusedDecoyId: Int,medium,"Clears aSizeBoundedSoftCache_3288 (the built AbstractModelRenderer soft-cache) under its lock. `i` only feeds a dead `-63 / ((21 - i) / 50)` expression whose result is discarded. Called alongside clearWidgetModelCache from a debug console command (ChatCommandProcessor.kt)."
method1937,resizeCaches,"i: Int, bool: Boolean","maxByteCacheSize: Int, clearFirst: Boolean",low,"Resizes/trims both the item-definition LRU (aLruByteCache_3278) and the widget-model LRU (aLruByteCache_3287) to `maxByteCacheSize` via their method578(2, size) calls, and separately trims the soft cache via a fixed -1491 threshold. Optionally clears all caches first when `clearFirst`. Sole confirmed call site (GlowPostProcessor.kt:134) passes (5, false); exact units of `maxByteCacheSize` (bytes vs entries) not independently confirmed - LruByteCache/SizeBoundedSoftCache internals are outside this batch."
method1938,purgeCaches,i: Int,archiveResetThreshold: Int,medium,"Fully purges all three caches (item-def LRU, widget-model LRU, renderer soft cache) via their method587/method1344 clear calls, and additionally nulls the sprite/item archive reference (aJs5Archive_3268) when `archiveResetThreshold < 105`. Sole confirmed caller (ConfigArchiveLoader.kt:882) passes 126, so the archive-reset branch does NOT fire there (126 is not < 105) - i.e. this looks like a real conditional, not a dead decoy, though only one call site was traced."
method1939,clearAllCaches,i: Int,unusedDecoyId: Int,medium,"Clears all three caches (item-def LRU, widget-model LRU, renderer soft cache). Decoy `if (i > -28) aEmoteDefCache_3292 = null` would drop the emote-definition reference used by getItemDefinition's members-item stripping logic; real callers (InterfaceBounds.kt passes -110, setMembersWorldFlag passes an XOR'd negative value) were not exhaustively range-checked against -28 in this pass, so flagged medium rather than high."
method1940,getItemDefinition,"i: Int, i_13_: Int","unusedDecoyId: Int, itemId: Int",high,"The core item-definition loader/cache getter, called pervasively across the codebase (ItemDefinition.kt, WidgetComponent.kt, CompositeNpcModelBuilder.kt, ModelKeyBuilder.kt, ScriptOpcodeHolder.kt, etc.). Checks the LRU cache first; on miss, reads the item's archive entry, decodes it via ItemDefinition.method1569/method1563, and resolves 'noted'/'certificate' item morphs recursively via two more getItemDefinition calls (anInt2833/anInt2812 fields - matching RS2's linked/noted-item-id resolution pattern). When not on a members world and the item is members-only (aBoolean2783), replaces its name/examine text with shared placeholder string arrays (aStringArray3290/aStringArray3293) and strips its ground/inventory action option table, unless every referenced sub-option's SpotAnim definition (via the emote-def cache) is unlocked. Caches the result before returning."
method1941,getCachedWidgetModelRenderer,"i: Int, i_15_: Byte, i_16_: Int, i_17_: Int, i_18_: Int, i_19_: Int, var_renderer: Renderer?, compositeNpcModelBuilder: CompositeNpcModelBuilder?","cacheKeyExtra: Int, unusedDecoyId: Byte, widgetScale: Int, quantity: Int, itemId: Int, zoom: Int, renderer: Renderer?, wornEquipmentBuilder: CompositeNpcModelBuilder?",medium,"Private helper used only by getOrBuildWidgetModelRenderer. Populates the shared aCrc64Hashable_3289 key object from the given fields (with a decoy `if (unusedDecoyId != -74) aCrc64Hashable_3289 = null`, which would NPE on the very next line if it fired - all confirmed usages pass -74.toByte(), so this decoy is dead) and looks the composed key up in aSizeBoundedSoftCache_3288."
