current_name,recommended_name,current_params,recommended_params,confidence,notes
method1510,getCanvasWidth,,,high,"Returns anInt2702 (crop width) + anInt2703 (left pad) + anInt2698 (right pad) - the full backing-array width including padding, confirmed by CacheArchiveIndexLoader.kt:63 passing it as the 'width' argument alongside method1522()'s height and method1516()'s pixel array to an image-construction call (VorbisOggDecoder.method2238)."
method1511,bleedEdgeColorDiagonal,i: Int,color: Int,high,"Finds or allocates a palette index for `color` in anIntArray2697 (linear scan if <255 entries, else nearest-RGB-distance match, matching the identical logic in method1515), then for every non-first row/column, sets a transparent pixel (palette index 0) to that index if the pixel diagonally up-left is opaque. Confirmed real usage: WidgetComponent.kt:823 calls `spriteImage.method1511(0xffffff.inv() or this.anInt809)` unconditionally whenever a tint color (anInt809) is set on the widget component - a single-neighbor anti-alias/tint-bleed pass applied after any border padding."
method1513,growCanvasMargin,i: Int,margin: Int,high,"Pads the backing byte array(s) (aByteArray2699 and, if present, the alpha plane aByteArray2695) by up to `margin` pixels on each side (clamped so the result never exceeds the pre-padding-computed full width/height from method1510/method1522), shifting the existing pixel data by the new left/top offsets and adjusting anInt2703/anInt2700/anInt2698/anInt2701 (left/top/right/bottom pad fields) accordingly. Confirmed via WidgetComponent.kt:819-820 (`spriteImage.method1513(this.anInt672)` / `method1513(1)`), called with the same `anInt672` border-thickness field that later drives method1515's bleed-color calls - i.e. this reserves the border ring's pixel space before it gets colored."
method1514,flipVertical,,,high,"Reverses row order in-place (and in the optional alpha plane), then swaps anInt2700/anInt2701 (top/bottom pad fields). Confirmed via WidgetComponent.kt:817 (`if (this.aBoolean790) spriteImage.method1514()`) and multiple Tooltip.kt/MapSceneIconDef.kt/CubemapTextureImplSource.kt call sites."
method1515,bleedEdgeColorCardinal,i: Int,color: Int,high,"Same palette-index resolution as method1511, but the transparent-pixel bleed test checks all four cardinal neighbors (left/right/up/down) instead of just the diagonal - a more thorough edge-extension pass. Confirmed via WidgetComponent.kt:821-822, called twice in sequence with different colors (1, then 0xffffff) immediately after method1513's canvas-growing call - i.e. paints a 2-tone (dark+white) outline ring into the newly padded border area, the classic RS 'outlined icon/text' effect."
method1516,toArgbPixels,,,high,"Composites the indexed byte plane (via anIntArray2697 palette lookup) plus optional per-pixel alpha plane (aByteArray2695, shifted into the top byte) into a flat ARGB IntArray sized getCanvasWidth()*getCanvasHeight(), writing rows at their padded offset (anInt2703 + (row+anInt2700)*width). Fully opaque (0xffffff.inv() OR'd in) when no alpha plane exists. Confirmed via CacheArchiveIndexLoader.kt:63 and SpriteTextureNode.kt:17 (`this.anIntArray9232 = spriteImage.method1516()`, feeding the procedural-texture-node's pixel source)."
method1518,flipHorizontal,,,high,"Reverses column order within each row in-place (and in the optional alpha plane), then swaps anInt2703/anInt2698 (left/right pad fields). Confirmed via WidgetComponent.kt:818, CubemapTextureImplSource.kt:52, MapSceneCache.kt:169/174, Tooltip.kt:43/47."
method1520,rotate90,,,medium,"Transposes the backing array(s) via a column-major re-read (`is[i_106_ + i_107_*w]` iterated column-then-row, top-to-bottom becomes left-to-right) and cyclically permutes all four pad fields plus swaps width/height (anInt2696/anInt2702) - a single 90-degree rotation. Confirmed called repeatedly (2-4 times back to back) in Tooltip.kt and MapSceneIconDef.kt to reach non-90-degree-multiple orientations, consistent with a single-step rotate primitive rather than an arbitrary-angle rotator."
method1522,getCanvasHeight,,,high,"Returns anInt2696 (crop height) + anInt2700 (top pad) + anInt2701 (bottom pad) - mirrors method1510/getCanvasWidth; confirmed via the same CacheArchiveIndexLoader.kt:63 call site."
method1524,normalizeCanvas,,,high,"Re-derives the same padded width/height as method1513 would with margin 0, but instead of growing symmetrically it recenters the pixel data at the origin and resets all four pad fields (anInt2698/anInt2700/anInt2701/anInt2703) to 0 - i.e. 'bake in' any existing padding as real pixels and drop the offset bookkeeping. Confirmed via SpriteTextureNode.kt:16 (`spriteImage!!.method1524()`), called once before caching the sprite's pixel data for reuse as a procedural-texture source, where per-pixel offset tracking would be meaningless."
method1512,loadSingleSprite,"js5Archive: Js5Archive, i: Int","archive: Js5Archive, spriteId: Int",high,"Loads the raw bytes for a sprite-sheet resource (js5 table 73) and returns only the first decoded frame via method1517 - a convenience wrapper for single-frame sprite sheets."
