current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aD3dRenderDevice_7340: D3dRenderDevice, js5Archive: Js5Archive?, aNormalMapGenerator_7339: NormalMapGenerator?","device: D3dRenderDevice, js5Archive: Js5Archive?, normalMapGenerator: NormalMapGenerator?",high,"Forwards device to AbstractRenderPass(device). Compiles a single 'transparent_water' vertex shader via js5Archive.method391 when js5Archive != null, normalMapGenerator.method2039(123) (a readiness/capability check on the normal-map generator, distinct tag from the Env-mapped pass's method2041(49)) is true, and vertex-shader-model >= 1.1; otherwise anIDirect3DVertexShader7341 stays null."
method3527,bindRenderable,"i: Int, renderable: Renderable?, i_0_: Int","passId: Int, renderable: Renderable?, unusedDecoy: Int",medium,"Override of the abstract AbstractRenderPass.method3527. Unlike D3dUnderwaterShaderPass's real implementation, this override is pure decoy: `if (unusedDecoy != -16776) onResize(30, 118, -114)` never fires since real call sites always pass -16776 (per BasicGlRenderPass.csv's confirmed sentinel), making this a complete no-op in practice for this pass -- it relies on some other mechanism (or none) to bind renderables for transparent water rendering."
method3521,setPassEnabledNoop,"bool: Boolean, i: Byte","unusedBool: Boolean, unusedDecoy: Byte",medium,"Override of the abstract AbstractRenderPass.method3521 (name kept for override-signature consistency with sibling passes, see D3dEnvMappedWaterPass.csv). NOTE: unlike its siblings, this override is NOT a no-op -- the first statement, a render-config-factory swap (device.method3874(TheoraVideoStream.aRenderConfigFactory_9011, 127, MediaStreamClient.aRenderConfigFactory_3196)), runs unconditionally on every call. Only the second statement (`if (unusedDecoy.toInt() != -103) uploadProjectionMatrixConstant(55)`) is the familiar dead decoy branch (real call sites always pass -103.toByte())."
method3526,onResize,"i: Int, i_1_: Int, i_2_: Int","mode: Int, unusedB: Int, unusedC: Int",medium,"Override of the open AbstractRenderPass.method3526 (name kept for family consistency; likely a misnomer here too, see D3dEnvMappedWaterPass.csv's onResize notes). Real per-frame logic: if normalMapGenerator.aBoolean3458 (a 'single static normal map ready' flag), binds that one normal-map texture and uploads a time-based scroll phase (from the renderer's frame counter aHa_Sub3_4479.anInt8146) to constant register 11; otherwise cycles through a precomputed array of animated normal-map frame textures (anInterface18_Impl3Array3459, indexed by frame-counter modulo) and uploads a zeroed register 11. The `if (mode != 10756) aNormalMapGenerator_7339 = null` branch is a decoy given the shared 10756 sentinel convention (see BasicGlRenderPass.csv), but here it is unusually destructive if ever triggered (nulls out the field this same method depends on)."
method3523,uploadViewBasisConstant,i: Byte,unusedByte: Byte,low,"Override of the open AbstractRenderPass.method3523. When the shader is bound, uploads device.method3948(-22036)'s FloatCameraTransform.method924(unusedByte.toInt() xor 0x7, buffer) to vertex-shader constant register 0. Every real call site passes 12.toByte() (12 xor 7 = 11), matching the tag-11 convention already seen in the sibling passes' identically-named method -- reinforcing the cross-file 'view basis' constant hypothesis, though the precise semantic of tag 11 remains unconfirmed."
method3520,endRenderPass,i: Byte,unusedDecoy: Byte,high,"Override of the abstract AbstractRenderPass.method3520. Only runs when unusedDecoy==87 (true at the one real call site per BasicGlRenderPass.csv, so effectively unconditional in practice): unbinds the vertex shader, restores several texture-stage TrigLookupTables-keyed bindings, and calls device.method3852(9, true) (a texture-stage feature toggle, likely re-enabling a fixed-function texture stage disabled during the pass)."
method3524,uploadProjectionMatrixConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3524. When the shader is bound, uploads aHa_Sub3_4479.method3835(floatBuffer, -104) -- the renderer's transposed projection matrix (see D3dEnvMappedWaterPass.csv's method3524 notes) -- to vertex-shader constant register 4, matching the sibling passes' identical usage."
method3532,uploadTexCoordGenConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3532. When the shader is bound, fetches a texture-matrix-ish value via device.method3848(5).method915(buffer, tag xor 0x28b8) and then scales all 8 returned floats by 0.25 before uploading to vertex-shader constant registers 8-9 (count=2). The 0.25 scale (distinct from the sibling passes, which upload the raw value unscaled) suggests this is adapting a texture-coordinate-generation matrix for a lower-resolution reflection/refraction render target (a common technique: water reflections are often rendered at 1/4 the main framebuffer's linear resolution, i.e. 1/2 width x 1/2 height -> 0.25 area/UV-density scale)."
method3530,isPassSupported,i: Int,unusedInt: Int,high,"Override of the abstract AbstractRenderPass.method3530. Returns `anIDirect3DVertexShader7341 != null` (i.e. the transparent-water shader compiled successfully in init). The `if (i >= -57) updateFogDistanceConstant(-94)` decoy branch matches the pattern already confirmed for this abstract method in BasicGlRenderPass.csv (real call sites pass negative constants that fail this check)."
method3531,uploadViewAndEyeConstants,bool: Boolean,forceRefresh: Boolean,medium,"Override of the open AbstractRenderPass.method3531. When the shader is bound, unconditionally uploads the same register-0 'view basis' value as uploadViewBasisConstant (via device.method3948(-22036) then FloatCameraTransform.method924(11, buffer)); additionally, if forceRefresh, calls uploadProjectionMatrixConstant(46) afterward. Order/gating differs slightly from the sibling passes' versions of this same override (register-0 upload here is unconditional rather than gated on `!forceRefresh`), consistent with this whole AbstractRenderPass override family being independently reimplemented per concrete pass rather than sharing one code path."
method3522,updateFogDistanceConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3522. When the shader is bound, uploads a near/far-derived pair to vertex-shader constant register 10 (using aHa_Sub3_4479.aFloat8115=far, aFloat8173=near, and a `far-512` offset specific to this pass) and calls device.method3894(-28186, anInt8144) (an ARGB fog-color constant upload, same call signature seen in D3dEnvMappedWaterPass's beginRenderPass) directly rather than computing the RGB triple inline as the Env-mapped pass does."
method3525,beginRenderPass,"i: Int, bool: Boolean","passId: Int, useLighting: Boolean",high,"Override of the abstract AbstractRenderPass.method3525. Only runs when passId==15192 (per the shared sentinel convention): conditionally calls uploadViewAndEyeConstants(true), swaps several TrigLookupTables-keyed texture-stage bindings, disables one fixed-function texture stage via device.method3852(9, false) (undone by endRenderPass's method3852(9, true)), binds the transparent-water vertex shader, and runs the full family of constant-upload helpers (uploadViewBasisConstant, uploadTexCoordGenConstant, uploadProjectionMatrixConstant, updateFogDistanceConstant)."
