current_name,recommended_name,current_params,recommended_params,confidence,notes
method3421,readLegacyOptionsBlock,"i: Int, class348_sub49: ByteBuffer?, i_0_: Int","seed: Int, buffer: ByteBuffer?, version: Int",medium,"Only call site is DisplaySettingsConfig.kt:227 inside method3424's else-branch: `method3421(i + 29954, class348_sub49, i_4_)`, where the outer `i` is always 925 (method3424's own sentinel), making the passed seed always 925+29954=30879 - confirmed by the internal check `if (i != 30879) method3428((-10).toByte())` (line 103), i.e. this is NOT a dead guard, it is a real sanity-check that always holds given the single real call path (it would call method3428/getLoadingScreenState purely as a side-effecting decoy if it were ever violated, which is never observed). Sequentially reads unsigned bytes/shorts from the buffer to construct roughly 25 legacy GraphicsOptionState subclass instances (RangedGraphics, DefaultGraphics, WaterDetail, Lighting, CameraDistance, GroundDecor, Boolean, RemoveRoofs, IdleAnimations, TwoState, LightDetail, ShadowQuality, Fog, SimpleToggle, DetailLevel x5, TextureQuality, FlickeringEffects, BinaryGraphics, Brightness, Bloom, SimpleBinary, CustomCursors, DisplayMode, ParticleDetail, SceneryDetail, MultiLevel, Antialias, NoOpGraphics), gated behind `version` (i_0_) threshold checks (>=1,2,3,4,6,7,8,9,...,22) that mirror an incrementally-evolving save-file format across client versions - i.e. this is the fallback parser for settings files saved by older client versions (i_0_ < 23), invoked from method3424 (loadSettingsFromBuffer) when the modern inline-read branch (version>=23) does not apply. On any RuntimeException it rethrows via TextureLoadException.method2929 tagged 'dh.I(...)'."
method3422,getSceneProjector,i: Int,guard: Int,high,"Guard `if (i != 674) method3425(45)`; every real call site across the repo (CustomCursorsOptionState.kt:17/23/38, DefaultGraphicsOptionState.kt:30, GroundDecorOptionState.kt:12, LightingOptionState.kt:11/26/47, SceneryDetailOptionState.kt:26/36/45) passes the literal 674, so the method3425(45) call is a confirmed dead/decoy path. Real behavior: increments anInt7258 and returns the stored aSceneProjector_7269 (the active renderer/scene-projector instance set at construction). Callers compare the result against known static singletons (e.g. `ParticleEmitterNode.aSceneProjector_186`, `GlRectangleTexture.aSceneProjector_8638`) to detect which rendering backend is currently active, in order to gate graphics options that are unsupported/forced under one backend."
method3423,initializeOptionStates,"bool: Boolean, i: Int","forceReset: Boolean, guard: Int",high,"Every call site (all internal to this file: the fresh-settings constructor at line 332 with (true,31286); method3424's catch/else fallbacks at lines 229/233 with (true,31286); method3424's success path at lines 223/231 with (false,31286)) passes the literal 31286 for guard, so the single `if (i != 31286) this.aClass239_Sub4_7220 = null` branch (line 144) is a confirmed dead/decoy path (notably, if it ever did fire it would destructively null out the Lighting option field). Real behavior: for every one of the ~30 GraphicsOptionState-typed fields on this class, if forceReset is true OR the field is currently null, constructs a fresh default-value instance of the appropriate OptionState subclass (several fields - the 7248/7264/7254/7261/7271/7234/7215/7260/7245 'secondary/mirror' fields - are instead constructed by reading the already-initialized 'primary' field's current committed value, e.g. `WaterDetailOptionState(this.aClass239_Sub14_7250!!.method1778(-32350), this)`, matching a recurring primary+snapshot pairing pattern across sibling *OptionState fields). Used both for full re-initialization (forceReset=true: fresh settings object, or a failed/corrupt load) and for 'fill in anything still missing' after a successful partial load (forceReset=false)."
method3424,loadSettingsFromBuffer,"i: Int, class348_sub49: ByteBuffer?","guard: Int, buffer: ByteBuffer?",high,"Entire method body is wrapped in `if (i == 925)`; the only two call sites are the buffer-based constructor (line 343: `method3424(925, class348_sub49)`) and method3425's own decoy call `method3424(21, null)` (line 242), which - because 21 != 925 - is a confirmed complete no-op (the guarded body, including the anInt7266++ counter, never executes for that call). Real logic (925 path): if the buffer is non-null and has backing byte data, reads a version byte i_4_; if i_4_ > 24 treats it as corrupt/future-format and does a full initializeOptionStates(true,...) reset; if i_4_ is 23 or 24 reads all ~30 option fields inline directly (current/modern save format, with ChatEffectsOptionState only present when i_4_>=24); otherwise (i_4_<23) delegates to method3421 (readLegacyOptionsBlock) for older formats, falling back to a full reset on any Exception. Always finishes by calling method3426 (revalidateAllOptions) with guard 36. On RuntimeException rethrows via TextureLoadException.method2929 tagged 'dh.C(...)'."
method3425,isLowSpecGraphicsMode,i: Int,guard: Int,medium,"Guard `if (i > -61) method3424(21, null)`; every real call site found across the repo (this file's own method3422/method3429 decoys pass 45/-10; AntialiasOptionState passes -109/-68/-108; CameraDistanceOptionState -76; CustomCursorsOptionState -122/-114/-125; DefaultGraphicsOptionState -111; IdleAnimationsOptionState -93/-82/-127; LightDetailOptionState -62/-94/-70; LightingOptionState -95/-80/-63; RemoveRoofsOptionState -104/(3 xor 0x4b.inv())/-112; SceneryDetailOptionState (3 xor -70)/-95/-96) is a fixed negative constant <= -61 (0x4b.inv() evaluates to -76, and the 'i xor ...' expressions use the always-3 first argument of the shared GraphicsOptionState.method1714 convention, keeping the result in the same very-negative range), so the method3424(21,null) call is a confirmed dead/no-op path (method3424 requires guard==925 to do anything - see its own notes). The `i` parameter otherwise has zero effect on the return value. Real logic: `aClass239_Sub25_7271.method1830(byte) && aClass239_Sub25_7271.method1829(-32350) == 0 && aLoadingScreenState_7221.method1458(-23688) < 96` - a 3-part AND of (a) a boolean flag read off the 'committed' DisplayModeOptionState snapshot field, (b) that snapshot's stored mode value being 0 (the default/first display-mode entry), and (c) a LoadingScreenState numeric metric being below 96 (the identical 96 threshold recurs verbatim in TextureQualityOptionState and BrightnessOptionState as a hardware-capability/benchmark gate). Roughly nine sibling OptionState classes call this as a shared 'is the hardware/display mode too limited to support this feature' check before enabling/adjusting their own option value, strongly suggesting a general low-spec/basic-rendering-profile predicate rather than anything display-mode-specific; the precise semantics of the two DisplayModeOptionState sub-checks could not be fully confirmed without a deep analysis of DisplayModeOptionState.kt and LoadingScreenState.kt, which are out of scope for this file."
method3426,revalidateAllOptions,i: Byte,guard: Byte,high,"Guard `if (i.toInt() != 36) aLoadingScreenState_7221 = null`; both real call sites (method3424 line 234, method3429 line 321) pass the literal 36.toByte(), so the aLoadingScreenState_7221=null branch is a confirmed dead/decoy path (would be destructive - nulling the loading-screen-state field - if it ever fired). Real logic: uses reflection (`javaClass.getDeclaredFields()`) to find every field on this class assignable to GraphicsOptionState (caching the Class object in aClass7273 to avoid repeat lookups) and calls `.method1716(false)` (each subclass's 'revalidate/normalize value against current hardware/settings' override) on it - i.e. a blanket 're-check every option's stored value is still valid' pass, run after any settings load (method3424) or any single option write (method3429)."
method3427,serializeSettings,i: Int,version: Int,medium,"Allocates a ByteBuffer sized via `AbstractMenuEntryStatics.method1032(i xor 0x18.inv())` and writes `version` as the very first byte, followed by one byte per GraphicsOptionState field's current getter value (e.g. FogOptionState.method1808, BrightnessOptionState.method1743, AntialiasOptionState.method1818, etc., each invoked with that class's own -32350 'getValue' sentinel). The result is consumed two different ways at the real call sites: written directly to a local settings file (GlCubeMapTexture.kt:43 via `randomAccessFileOnDisk!!.method1658(...)`) and embedded into an outbound network packet (Client.kt:4898 and SceneNodeDeque.kt:241, both via `writeBytes(class348_sub49.anInt7197, 0, class348_sub49.aByteArray7154!!, ...)`) - i.e. this is the single serialize routine shared by 'save settings to disk' and 'send settings to server' (likely on login). GlCubeMapTexture.kt and SceneNodeDeque.kt both pass the literal 24 (higher than any version-gate threshold seen in method3421/method3424, consistent with '24' being the current/latest format version); Client.kt passes a computed `i xor 0x2cb0` whose concrete runtime value was not traced back to a literal in this pass."
method3428,getLoadingScreenState,i: Byte,guard: Byte,high,"Guard `if (i >= -73) method3430(false)`; every real call site (BrightnessOptionState -93/-105/-104, DisplayModeOptionState -89/-113/-106/-124, FlickeringEffectsOptionState -80, ParticleDetailOptionState -96, TextureQualityOptionState -84/-85/-105/-104, plus this file's own method3421 decoy -10) passes a byte more negative than -73, so the method3430 (clearStaticCaches) call is a confirmed dead/decoy path here (calling the static-cache-clearing routine as a side effect of a getter would otherwise be a startling bug). Real behavior: trivial getter returning the stored aLoadingScreenState_7221, used throughout the sibling *OptionState classes to query resolution/benchmark-style metrics (via method1458/method1460/method1462/method1456) for hardware-capability support gating."
method3429,applyOptionValue,"i: Byte, graphicsOptionState: GraphicsOptionState?, i_7_: Int","guard: Byte, option: GraphicsOptionState?, value: Int",high,"Guard `if (i.toInt() != 74) method3425(-10)`; every one of the ~80+ real call sites across the repo (ChatCommandProcessor.kt's large clientscript opcode dispatcher, ArchiveResourceProvider.kt, ClientLoadStateMachine.kt, ConfigArchiveLoader.kt, FrameStatsReset.kt, GameClock.kt, GradientLookupEffect.kt, MapSceneIconDef.kt, NanoTimer.kt, OggBitstreamDecoder.kt, PlayerUpdateDecoder.kt, ServerConnectionInfo.kt, SpriteRenderable.kt, WarpTextureNode.kt, WorldMapScene.kt, Client.kt) passes the literal 74.toByte(), confirming the method3425 call is a dead/decoy path. Real logic: calls `option.method1718(value, 72)` (GraphicsOptionState's shared 'try to set a candidate value, falling back through method1714/method1712 if unsupported' helper - see GraphicsOptionState.kt:27) then calls method3426 (revalidateAllOptions) with guard 36 - i.e. this is the single shared 'set one option's value, then re-normalize every option' entry point invoked whenever any individual display setting is changed (by clientscript opcodes, config/archive loading, or various gameplay systems toggling a setting programmatically)."
method3430,clearStaticCaches,bool: Boolean,unused: Boolean,medium,"Only real call site is Client.kt:726 (`method3430(false)`, imported via `import DisplaySettingsConfig.Companion.method3430`), apparently part of a broader 'reset all static/companion state' cleanup pass; also invoked internally as a decoy from method3428's dead guard branch. The `bool` parameter is redundant/dead: `if (bool != false) aShortArrayArray7223 = null` conditionally nulls aShortArrayArray7223, but the very next lines unconditionally null it again along with aClass318_Sub10Array7249, aShortArrayArray7218, aShortArrayArray7268, aShortArrayArray7241 and aShortArrayArrayArray7262 regardless of bool - so the outcome is identical whether bool is true or false. Effectively releases all of this class's static short-array lookup tables (aShortArrayArrayArray7262 is itself just `arrayOf(aShortArrayArray7223, aShortArrayArray7268, aShortArrayArray7218, aShortArrayArray7241)`, built once in the companion `init` block) plus the cached SceneGraphContainer array, presumably as part of a logout/reload cleanup pass."
