current_name,recommended_name,current_params,recommended_params,confidence,notes
method902,resetRotationRoll,i: Int,angle: Int,high,"Abstract override. Builds a fresh rotation-only matrix (translation forced to 0) from the LightingOptionState.aFloatArray5876/5874 cos/sin tables (14-bit angle, `0x3fff` mask): using the R00..R22 mapping recovered from method918's column-major packing (row0=[a5711,a5700,a5704], row1=[a5708,a5722,a5732], row2=[a5736,a5691,a5716]), the result is [[cos,-sin,0],[sin,cos,0],[0,0,1]] -- rotation about the local Z axis (leaves that row/col at identity), matching AbstractModel.csv's VA()/rotateRoll x,y-pair convention. Only internal call site is method931 (dead branch, see there); real external callers not found via grep, but the math is unambiguous."
method914,scaleAxesPostMultiply,"f: Float, f_0_: Float, i: Int, f_1_: Float","sy: Float, sz: Float, gate: Int, sx: Float",medium,"Only runs when `gate==0`; every real call site (AnimatedModelRenderer.kt:260, FixedFunctionWaterPass.kt:51) passes literal `0`, so the guard is always satisfied in practice (not a dead branch, just an always-true magic constant). Multiplies row0+Tx by sx(f_1_), row1+Ty by sy(f), row2+Tz by sz(f_0_) in place -- a non-uniform per-output-axis scale applied on top of the existing transform. Param order (sy,sz,gate,sx) is unusual/non-alphabetic, kept to match the original signature order."
method894,resetPosition,"i: Int, i_2_: Int, i_3_: Int","x: Int, y: Int, z: Int",high,"Abstract override. Sets rotation to identity (R00=R11=R22=1, all off-diagonal 0) and translation to (x,y,z). Confirmed by call sites: DynamicSceneObjectEntity.kt (`class101.method894(this.x, -10 + this.anInt6382, this.y)`) and GroundDecorSceneEntity.kt (`method894(this.x, this.anInt6382, this.y)`) both pass world x, a height/y value, then world z -- classic 'place the camera/transform at this world position with no rotation' reset."
method910,loadIdentity,,,high,"Abstract override. Sets rotation to identity and translation to (0,0,0) -- called from this class's own primary-constructor init block, so this is the transform's baseline reset state."
method915,toShaderMatrixRows01,"fs: FloatArray, i: Int","out: FloatArray, colIndex: Int",medium,"Packs row0=[R00,R01,R02,Tx] into out[0..3] and row1=[R10,R11,R12,Ty] into out[4..7], with R01 written at out[colIndex] instead of a fixed out[1]. Only external call sites are Direct3D water-pass shaders (`SetVertexShaderConstantF(register, method915(buf, idx), 2)` in D3dEnvMappedWaterPass/D3dUnderwaterShaderPass/D3dWaterShaderPass) -- looks like packing 2 of the 3 transform rows into a 2-register (8-float) vertex shader constant; the exact reason `colIndex` varies per caller (sometimes a literal 1, sometimes an expression like `i + -10424`) instead of always being 1 was not resolved."
method903,setViewTransform,"i: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int","x: Int, y: Int, z: Int, angle1: Int, angle2: Int, angle3: Int",medium,"Abstract override. Builds R from three angle lookups (i_6_,i_7_,i_8_) via LightingOptionState sin/cos tables in a compound Euler-angle product (each Rxx term mixes all three cos/sin pairs), then sets translation = -(R * position) row-by-row (`Tx = -(row0 . (x,y,z))`, etc.) -- the textbook 'build a world-to-camera view matrix from a camera position + orientation angles' formula (T = -R*pos). High confidence on the overall purpose from the T=-R*pos pattern; which of angle1/angle2/angle3 corresponds to yaw/pitch/roll was not disentangled from the mixed-product algebra, so param names are placeholders."
method895,resetRotationYaw,i: Int,angle: Int,high,"Abstract override. Builds fresh R=[[cos,0,sin],[0,1,0],[-sin,0,cos]] (row1/col1 held at identity, x/z pair rotated) with translation cleared to 0 -- rotation about the local Y axis, matching AbstractModel.csv's a()/rotateYaw x,z-pair convention. Sibling of resetRotationPitch/resetRotationRoll (method899/method902); no external call sites found via grep, evidence is purely the recovered matrix math."
method899,resetRotationPitch,i: Int,angle: Int,high,"Abstract override. Builds fresh R=[[1,0,0],[0,cos,-sin],[0,sin,cos]] with translation cleared -- rotation about the local X axis (row0/col0 held at identity, y/z pair rotated), matching AbstractModel.csv's FA()/rotatePitch convention. Called e.g. from CompositeNpcModelBuilder.kt/Npc.kt with a compass-derived angle -- consistent with orienting a camera/icon to face a computed direction."
method892,project,"i: Int, i_16_: Int, i_17_: Int, `is`: IntArray","x: Int, y: Int, z: Int, out: IntArray",high,"Abstract override. Computes out = R^T * ((x,y,z) - T) -- world-space point transformed into this camera's local space (inverse of the rigid transform, no perspective divide). Confirmed by AbstractModel.csv's method610/transformLabelledVertices notes, which explicitly call this 'camera.method892 (project)' as used alongside method897 (unproject); also called directly from Direct3dModel.kt/OpenGlModel.kt/SoftwareModel.kt vertex-visibility code with a boolean picking between this and method897."
method916,resetPositionFloat,"f: Float, bool: Boolean, f_18_: Float, f_19_: Float","y: Float, applyFull: Boolean, z: Float, x: Float",medium,"Unconditionally sets Ty=y, Tz=z and forces R00=R11=R22=1 (partial identity); only when `applyFull` is true does it also zero every off-diagonal R term and set Tx=x -- otherwise Tx and the off-diagonal rotation terms are left as whatever they were before the call (a logically odd half-reset). The single call site found (NativeRenderer.kt:316) always passes `true`, so the `false` path is never exercised in practice; effectively behaves like resetPosition (method894) but with Float inputs and a different parameter order (y,z,x)."
method891,translate,"i: Int, i_20_: Int, i_21_: Int","dx: Int, dy: Int, dz: Int",high,"Abstract override. Adds (dx,dy,dz) to the translation (Tx+=dx, Ty+=dy, Tz+=dz) -- a simple incremental camera/transform translate, e.g. `class101_sub2.method891(i, i_35_, 0)` in AnimatedModelRenderer.kt."
