current_name,recommended_name,current_params,recommended_params,confidence,notes
method701,runHoverTriggerScript,"boundsConstraintEntry: BoundsConstraintEntry, i: Int, i_0_: Int","triggerType: BoundsConstraintEntry, entityId: Int, cursorConfig: Int",medium,"Resolves a compiled CS2 script via method1223 and runs it through method711. All three call sites in NativeLibraryUnloader.kt fire it against a BoundingBoxNode 3D hotspot after a hit-test (`class348_sub12.method2799(i_6_, i_7_, 95)`): RegionMapDecoder.aBoundsConstraintEntry_1512 on first mouse-enter, StaticNoiseTexture.aBoundsConstraintEntry_8664 on continued hover, and IsaacCipher.aBoundsConstraintEntry_1298 on mouse-leave - a classic opheld1/opheld2-style hover trigger pair. Also called from ProjectileDefinition.kt and WorldMapImageBuilder.kt (worldmap icon ids 1002/1003/1006/1009), suggesting the same hover/tooltip trigger mechanism is reused for other in-world hotspots. When the resolved script's own trigger type equals one of those same three hover constants, the method additionally writes the current mouse position (adjusted by HeapDiagnosticsHolder.aWidgetComponent_2249 scroll offsets, via GlTexture1D.aInputTracker_8552) into the script's first two int-var slots - implying those slots are mouse X/Y used for tooltip placement."
method1223,resolveOrLoadClientScript,"i: Int, i_5_: Int, i_6_: Int, boundsConstraintEntry: BoundsConstraintEntry","id: Int, altId: Int, magicCheck: Int, triggerType: BoundsConstraintEntry",medium,"Builds a cache key from (triggerType.anInt5167 or id<<10) and looks it up in aCacheLruCache_4036 for an already-compiled script (a MinimapAreaMarkerNode repurposed as a compiled-CS2-script holder - see method711 for its opcode/operand array fields). On a miss it loads raw bytes from the JS5 cache (CameraNodeList.aJs5Archive_1743), decodes them via SceneEntityModel.method2502, tags the result with the trigger type, and caches it. Three candidate keys are tried in sequence (id<<10; (65536+altId)<<10; the fixed constant 0x3fffc00), which looks like a fallback from a specific-region script to a wildcard/default one. `magicCheck` is a decoy: the final lines are `if (i_6_ != 96837648) return null; return null` - both branches return null unconditionally, so the check never changes behavior. The only call site (method701) always passes the literal 96837648 anyway."
method702,promoteConfigLabelToFront,i: Int,configId: Int,low,"Private helper. Looks up a cached label object via method2570(1512932720, i), locates the matching WidgetComponent in WarpTextureNode.aWidgetComponentArrayArray9427!![i ushr 16] (lazily copied into WorldMapTextLabel.aWidgetComponentArrayArray8584 on first use), then shifts every earlier entry down by one slot and places the match at index 0. Mirror image of method714, which instead moves the match to the last slot - together these look like maintaining a most-recently-used ordering of some per-category (`i ushr 16`) list of cached label/value entries. Only reached via CS2 opcode 203 in method710 (`method702(i_257_)`); no other callers, so the exact feature (which UI list this backs) is not confirmed."
method703,notifyVarChangeListeners,i: Int,varId: Int,medium,"Guarded by `TextureLoaderUtil.method2547(i, 84.toByte())` (presumably validates that `i` is a variable/category worth notifying this tick). Iterates every WidgetComponent in WarpTextureNode.aWidgetComponentArrayArray9427!![i] that has a non-null anObjectArray815 (a component's on-change script + literal-arg list, decoded via WidgetComponent.method432 from the widget definition), wraps it in a WidgetActionEntry and runs it through method712(_, 2000000). Matches RS2's on-var-transmit-style mechanism where components with a registered listener script for variable `i` get re-invoked whenever that variable's value changes. Called from ByteBufferStatics.kt, Client.kt:4171, and MapTileShape.kt (`if (!bool) method703(i)`)."
method704,executeClientScriptGameOp,"i: Int, bool: Boolean","opcode: Int, unusedContextFlag: Boolean",medium,"Huge (~2360-line) if/else-chain CS2 (ClientScript2) opcode interpreter, reached only from method711's core loop when the current script opcode is in [5000,10000) (`if (i_490_ < 5000 || i_490_ >= 10000) break; method704(i_490_, bool)`). Implements roughly 300 `if (i == N)` cases against the two VM stacks (anIntArray1149 int stack / aStringArray1152 string stack): worldmap tile/region lookups (MapRegionLoader), loc/obj-type field accessors (TerrainTileStatics.method3985), graphics/audio/display option get/set (IntHashSetStatics.aClass348_Sub51_3959, matching the BooleanGraphicsOptionState/WaterDetailOptionState/... imports at the top of the file), outgoing chat/clan packets (method2148 packet builder + InterfaceComponentGroup.method3243), calendar/date helpers delegating to method709, worldmap render-mode switching via method830, and the csprofile debug hooks (method706/method715). `bool` is accepted purely for signature symmetry with the sibling method710 (both are called identically from method711) but is never read anywhere in this method's ~2360 lines - confirmed unused/decoy here, unlike in method710 where the equivalent flag is load-bearing."
method705,runWidgetActionScript,class348_sub36: WidgetActionEntry,actionEntry: WidgetActionEntry,high,"Public @JvmStatic thin wrapper: `method712(class348_sub36, 200000)`. Called from many files (BlankTextureNode.kt, CharacterRenderState.kt, Client.kt, DragDropController.kt, ItemActionPacketSender.kt, MapRegionLoaderThread.kt, TileRenderState.kt) whenever a widget action/menu entry needs to fire its associated CS2 callback script, always with the same 200000 instruction-count budget."
method706,clearScriptProfilingStats,(none),(none),high,"Empty stub (`/* empty */`). Its only call site is ConfigArchiveLoader.kt's `csprofileclear` debug/GM command, so the intended behaviour is clearly to reset CS2 script profiling counters, but the body has been stripped/stubbed out in this build (mirrors method715, whose two callers are the sibling `csprofileoutputc`/`csprofileoutputt` commands and are also empty)."
method707,sendPublicChatMessage,"string: String, i: Int","message: String, unused: Int",medium,"Guarded by an `am I allowed to chat` check (AsyncTaskHandle.anInt2581 / RangeThresholdTextureNode.aBoolean9103 / PlayerUpdateDecoder.aBoolean1915 / MinimapTriangleDrawer.aBoolean5233). Strips up to two leading mode-prefix substrings off the lowercased text using two independent groups of LocalizedText constants (aLocalizedText_3530..3541, then aLocalizedText_3542..3546 - most likely channel/colour prefix tokens), recording which prefix (if any) matched as two small indices, then builds and sends an outgoing packet (method2148 + InterfaceComponentGroup.method3243(124, ...)) carrying those two indices plus the remaining message text. Only call site is CS2 opcode 5008 in method704 (`method707(string, i)`), which passes the raw opcode value 5008 itself as `i` - and `i` is never referenced anywhere inside method707's body, confirming it as an unused/decoy parameter."
method708,isValidChatCharacter,c: Char,c: Char,high,"Thin wrapper: `return if (WorldMapSceneSoftware.method1693(c, -114)) 1 else 0`. The callee validates printable ASCII (32-126), Latin-1 supplement (160-255), and a short list of special punctuation code points (Euro sign, OE ligature, em dash, oe ligature, Y-diaeresis), returning a Boolean; method708 just adapts that to an Int (1/0) for the CS2 int stack. Only call site is CS2 opcode ~4783 in method710, validating a character popped off the int stack (`method708(i_439_.toChar())`)."
method709,formatDayOffsetAsDate,i: Int,dayOffset: Int,high,"Converts a day count (`i`, offset from a fixed epoch of 11745 days - i.e. roughly early 2002) into a `DD-Mon-YYYY` string using `aCalendar1160` and the month-name table built in `init{}` (aStringArray1176 = Jan..Dec). Single call site is CS2 opcode ~4716 in method710 (`method709(anIntArray1149!![--anInt1173])`), most likely formatting a loc/obj/npc creation or last-updated date for display in a script-driven interface."
