current_name,recommended_name,current_params,recommended_params,confidence,notes
method43,renderMinimapEntity,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",medium,"Part of RenderTarget (cross-ref GroundDecorSceneEntity.csv/SequencedActorEntity.csv/SequencedGroundDecor.csv). Delegates to aSceneObjectAnimator_10155.method1674(decoyId+14217, renderer); `if (decoyId != -14218) resetCubemapLighting/method40(127)` is a decoy side call whose result is discarded, matching the -14218 magic constant confirmed elsewhere as always-passed by real callers."
method2394,getModelHeightOffset,bool: Boolean,decoyFlag: Boolean,high,"Overrides SceneEntity's abstract method2394. Returns aSceneObjectAnimator_10155.method1663(101); `if (decoyFlag != true) aBoolean10153 = false` is a decoy field write, consistent with every sibling override of this slot confirming real callers always pass `true`."
method41,getOrientation,i: Int,decoyId: Int,medium,"Part of RenderTarget. Returns aSceneObjectAnimator_10155.anInt3052; `if (decoyId != -32228) renderInScene/method2387(null, 89)` discards its result -- decoy, using the same -32228 magic constant confirmed elsewhere (WeaveTextureNode.kt) to always be passed by real callers."
method38,isRenderNodeCacheable,i: Int,decoyId: Int,medium,"Part of RenderTarget. Returns aSceneObjectAnimator_10155.method1665(decoyId+18445); `if (decoyId != -18443) aBoolean10148 = false` is a decoy field write using the same -18443 magic guard seen in the sibling classes' overrides of this slot. Note the animator call itself still incorporates `decoyId` (offset by 18445) rather than a fixed literal, unlike the other two Sequenced* classes' plain `method1665(2)`."
method44,initMinimapRenderNode,"i: Int, var_renderer: Renderer?","decoyStage: Int, renderer: Renderer?",medium,"Part of RenderTarget. Only when `decoyStage==836` does it delegate to aSceneObjectAnimator_10155.method1667(116.toByte(), renderer); matches sibling classes' use of 836 as the 'real' trigger value for this hook."
method42,getLocId,i: Int,decoyThreshold: Int,medium,"Part of RenderTarget. `if (decoyThreshold>-62) return 40` short-circuits with a fixed fallback constant; otherwise returns aSceneObjectAnimator_10155.anInt3063. Sibling classes confirm real callers of this abstract slot pass literals at/below the guard threshold, so the fallback is expected dead in practice, not independently re-verified here."
method2387,renderInScene,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",medium,"Overrides SceneEntity's abstract method2387, the main '3D scene' draw path (paired with the lighter renderMinimapEntity/method43). `if (decoyId>=-125) aBoolean10148=false` is a decoy field write; then unconditionally requests a render-ready model from the animator (flag 262144) and, if non-null, positions a camera transform at tile coords (x>>9,y>>9) and submits it via animator.method1670 -- same shape as the sibling ActorEntity/GroundDecor classes' equivalent overrides."
method39,getNodeTypeId,i: Int,decoyDivisor: Int,medium,"Part of RenderTarget (cross-ref GroundDecorSceneEntity.csv and this batch's sibling files). Returns aSceneObjectAnimator_10155.anInt3079; `decoyDivisor` only feeds a discarded modulo expression."
method2376,isRenderable,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2376. Always returns false in both branches -- same always-false shape confirmed in both sibling Sequenced* classes in this batch, closer to DynamicSceneObjectEntity's always-false isOccluder than GroundDecorSceneEntity's real model-loaded check."
method2386,buildAnimatedModel,"i: Int, var_renderer: Renderer?","seqId: Int, renderer: Renderer?",medium,"Overrides SceneEntity's abstract method2386, the core per-frame model builder. Same shape as the sibling Sequenced* classes: requests a render-ready model from the animator (flag 2048), positions a camera transform at (x+aShort8781, anInt6382, y+aShort8769) -- a wall-segment midpoint/end offset pair specific to this class (walls span two tile corners, unlike the single-point ActorEntity/GroundDecor variants), borrows a pooled composite SceneEntityModel via ChatMessageStream.method136(seqId, aBoolean10153, false), submits via animator.method1670, rasters via method615/method608, draws an optional shadow/decal sub-component, updates aBoolean10148 (hasDynamicMaterial-style flag), and lazily builds/refreshes aCircleHitbox_10150."
method2381,getCircleHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",high,"Overrides SceneEntity's abstract method2381. Returns the cached aCircleHitbox_10150 when `decoyId==7`, else null -- identical shape to the confirmed pattern in the other classes analyzed in this batch (DynamicSceneObjectEntity.csv, SequencedActorEntity.csv, SequencedGroundDecor.csv)."
method2377,isModelReady,i: Byte,decoyId: Byte,high,"Overrides SceneEntity's abstract method2377. Returns the cached aBoolean10148 flag (set in buildAnimatedModel/method2386) when `decoyId==122`, else false -- matches the confirmed dead-decoy pattern (real callers always pass 122.toByte())."
method2391,hitTestModel,"var_renderer: Renderer?, i: Int, i_14_: Int, i_15_: Int","renderer: Renderer?, screenX: Int, mouseX: Int, decoyFlag: Int",low,"Overrides SceneEntity's abstract method2391. Builds a detail model via the animator (flag 131072); if null, returns false; if `decoyFlag != 0`, returns true immediately (matching SequencedActorEntity's polarity for this same decoy, opposite of SequencedGroundDecor's); otherwise performs the face-precision raster hit-test (method623/method628 branch on ParticleSystemRenderer.aBoolean3870) at the wall-offset position (x+aShort8781, y+aShort8769) and returns its result."
method2379,getMinimapScaledHeight,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2379. Returns aSceneObjectAnimator_10155.method1664(-119); `if (decoyId != -25675) aBoolean10153 = false` is a decoy field write using the same -25675 magic constant confirmed elsewhere (DynamicSceneObjectEntity.csv) to always be passed by real callers."
method40,resetCubemapLighting,i: Int,resetTrigger: Int,medium,"Part of RenderTarget (cross-ref GroundDecorSceneEntity.csv, keyed on the same -12031 magic guard). Simplest of the three Sequenced* overrides of this slot: only increments a call counter (anInt10156) when `resetTrigger==-12031`; has no model/animator state to actually invalidate, consistent with this class delegating lighting state entirely to the wrapped SceneObjectAnimator."
method2492,resetInboundPacketCaches,i: Int,decoyFlag: Int,medium,"Companion/static, content unrelated to SequencedWallEntity (merged-companion artifact per PLAN.md). Nulls two InboundPacketHeader statics (aInboundPacketHeader_10149/10168) and ActorEntity.anIntArray10172 unconditionally; `if (decoyFlag != 1) anInt10163 = -36` is an additional decoy field write on this class's own otherwise-unused companion counter."
method2493,linkShaderProgram,"var_ha_Sub2: OpenGlRenderer?, i: Int, managedGlResources: Array<ManagedGlResource?>?","renderer: OpenGlRenderer?, expectedLinkStatus: Int, shaderStages: Array<ManagedGlResource?>?",high,"Companion/static, semantically unrelated to SequencedWallEntity (merged-companion artifact). A standard ARB GLSL shader-program linker: verifies every shaderStage has a valid compiled handle, creates a program object (glCreateProgramObjectARB), attaches each stage (glAttachObjectARB), links it (glLinkProgramARB), checks the link status against `expectedLinkStatus` (inverted via glGetObjectParameterivARB(...,35714,...)), logs the info log on failure (glGetInfoLogARB), and on failure detaches all stages and deletes the program object, returning null; on success wraps the linked program in a GlShaderProgramHandle. Standard OpenGL ARB shader-object linking boilerplate, not specific to wall rendering."
