current_name,recommended_name,current_params,recommended_params,confidence,notes
method629,hasFaceAlpha,i: Int,faceIndex: Int,medium,"Private. Returns true if aByteArray5325 (per-face alpha/blend-mode byte, values 0-255=alpha level, -1/-2=special cutout/hidden modes consumed by method657) is non-null and non-zero at faceIndex. Used by method650 to route faces into per-alpha-category render passes."
method630,isPointWithinTriangleBounds,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","x: Int, y: Int, triY0: Int, triY1: Int, triY2: Int, triX0: Int, triX1: Int, triX2: Int",medium,"Private. 2D interval/edge-overlap test: rejects if point Y (i_0_) is outside the min/max of the triangle's screen-Y coords, or point X (i) is left of all three screen-X coords; otherwise passes. Called by method645/testFrustumIntersection as a per-triangle screen-space visibility filter, directly analogous to OpenGlModel.method679 (isTriangleWithinViewBounds), which OpenGlModel.csv itself only pinned down with low confidence for the same reason (dense inline boolean logic)."
method631,invalidateCachedBoundsAndNormals,none,none,high,"Private. Clears the face-normal accumulator caches (aRectangleArray5360/aRectangleArray5313/aIntTripleArray5385, rebuilt by method649) and the derived-bounds-valid flag aBoolean5323 (recomputed by method655). Called after every vertex-mutating rotation (FA/VA/a and their 90/180/270 fast paths method639/641/644/651/652/653)."
EA,getMaxY,none,none,high,"Abstract override (matches AbstractModel.csv/OpenGlModel.csv). Returns cached aShort5365, recomputing bounds via method655 first if aBoolean5323 is stale."
method632,bindThreadScratchBuffers,thread: Thread?,thread: Thread?,medium,"Private. Fetches the calling thread's ParticleSystemState via aHa_Sub1_5353.method3724(thread) and, if it changed, rebinds this model's per-thread screen-space scratch IntArrays (anIntArray5362/5399/5384/5392/5321/5343/5355/5359/5373/5398/5315/5371/5381/5377/5326/5318/5400) to that thread's arrays. Despite the 'ParticleSystemState' class name, in this context it behaves as a per-render-thread scratch-buffer bag for model projection/rasterization, not particle-system state per se. Called from method645/method613/method654 before touching those arrays."
method633,cloneOrAdoptWorkingCopy,"class64_sub1_7_: SoftwareModel, class64_sub1_8_: SoftwareModel, i: Int, bool: Boolean, bool_9_: Boolean","target: SoftwareModel, bufferPoolOwner: SoftwareModel, flags: Int, usingPooledSlot: Boolean, shareBuffers: Boolean",medium,"Private. Called by method614/getWorkingCopy to populate `target` from `this` model's fields (vertex/colour/UV arrays, IdentKitRecolor/ModelTransformParams overlay arrays), selectively deep-copying vs. sharing per the `flags` bitmask. `bufferPoolOwner` supplies/grows the shared backing arrays when a pooled buffer slot is in use; `usingPooledSlot` (derived from bufferSlot!=0 at the method614 call site) adds +100 slack to newly-grown arrays since pooled buffers get reused across differently-sized models over time. `shareBuffers` (passed straight through from getWorkingCopy) triggers a pre-copy flush of pending lighting/normal state (method634/method636) so both copies see consistent baked data before arrays become shared. This is the SoftwareModel-specific deep-copy routine that OpenGlModel.csv's method686 note explicitly calls out as analogous."
method634,bakeFaceLightingLocked,bool: Boolean,clearShadingBytes: Boolean,medium,"Private. Thin locked wrapper around method657 (only actually locks when aHa_Sub1_5353.anInt7485>1, i.e. multi-threaded rendering enabled) - the locked counterpart to method622/beginUpdate's own locking convention."
method619,getFacePriorityNodes,none,none,high,Abstract trivial getter (matches AbstractModel.csv/OpenGlModel.csv) - returns aModelFacePriorityNodeArray5322 directly.
V,getMinX,none,none,high,"Abstract override (matches AbstractModel.csv/OpenGlModel.csv). Returns cached aShort5395, recomputing via method655 if stale."
method635,rasterizeFace,i: Int,faceIndex: Int,medium,"Private. Draws face i via aShadowProjector_5383, choosing method1018 (flat/untextured single light), method1022 (untextured Gouraud, three per-vertex light values from anIntArray5368/5337/5366) or method1024 (textured, using per-vertex UV floats aFloatArrayArray5314/5345 and packed alpha from aByteArray5325) based on whether the face is textured (aShortArray5388) and whether it has per-vertex vs single-vertex lighting (anIntArray5366==-1). Fixed 0/0/0 fade arguments distinguish this from method658/rasterizeFaceWithFade, which passes real per-vertex fade values in the same argument slots."
method615,renderOccludedSimple,"abstractCameraTransform: AbstractCameraTransform?, class318_sub3: SceneOcculder?, i: Int","camera: AbstractCameraTransform?, occulder: SceneOcculder?, priority: Int",high,"Abstract override (matches AbstractModel.csv/OpenGlModel.csv). Delegates to method654 with a hardcoded -1 offsetY."
HA,getMinZ,none,none,high,"Abstract override (matches AbstractModel.csv/OpenGlModel.csv). Returns cached aShort5352, recomputing via method655 if stale."
