current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init> (IntArray upload),"glRenderDevice: GlRenderDevice?, i: Int, i_0_: Int, bool: Boolean, is: IntArray?, i_1_: Int, i_2_: Int","glRenderDevice: GlRenderDevice?, width: Int, height: Int, generateMipmap: Boolean, pixels: IntArray?, srcOffset: Int, unpackAlignment: Int",medium,"Creates a GL_TEXTURE_2D backed by an int-array (BGRA/GroundItemRenderState.aTextureFormatInfo_1662 format) pixel buffer sized width*height. When `generateMipmap` is true and both offset params are 0, delegates to the mipmap-building helper (method233); otherwise does a single glTexImage2Di upload honoring GL_UNPACK_ALIGNMENT=unpackAlignment. Param names inferred from field assignments (anInt8612=width, anInt8604=height) and by analogy with the sibling constructors."
<init>,<init> (ByteArray upload with format),"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, i: Int, i_6_: Int, bool: Boolean, is: ByteArray?, i_7_: Int, i_8_: Int","glRenderDevice: GlRenderDevice?, format: TextureFormatInfo?, width: Int, height: Int, generateMipmap: Boolean, pixels: ByteArray?, srcOffset: Int, unpackAlignment: Int",medium,"Byte-array counterpart of the IntArray constructor: uploads via glTexImage2Dub with an explicit `format`, or builds mipmaps via method230 when `generateMipmap` is true and both offsets are 0."
<init>,<init> (blank texture),"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, movementDirection: MovementDirection?, i: Int, i_47_: Int","glRenderDevice: GlRenderDevice?, format: TextureFormatInfo?, movementDirection: MovementDirection?, width: Int, height: Int",medium,"Allocates an empty (data=null) GL texture of the given size/format - used as a render-target or scratch texture rather than an initial-data upload, since no pixel array param exists at all."
<init>,<init> (FloatArray upload),"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, i: Int, i_49_: Int, bool: Boolean, fs: FloatArray?, i_50_: Int, i_51_: Int","glRenderDevice: GlRenderDevice?, format: TextureFormatInfo?, width: Int, height: Int, generateMipmap: Boolean, pixels: FloatArray?, srcOffset: Int, unpackAlignment: Int",medium,"Float-array counterpart of the other data-upload constructors (used for HDR/float render targets), uploading via glTexImage2Df or building mipmaps via method238 when `generateMipmap` is true and both offsets are 0."
method71,toTexCoordV,"i: Byte, f: Float","unused: Byte, y: Float",high,"Implements Renderable2dTexture.method71/toTexCoordV: divides `y` by anInt8604 (real pixel height) to get a normalized V coordinate. See refactor-notes/commonMain/Renderable2dTexture.csv for full cross-implementation analysis (paired with D3DTexture2D). The Byte guard `if (i >= -24) method242(false)` is a confirmed-dead branch at every real call site (all pass <= -26); the delegated method242(false) call is itself a no-op regardless (see method242 below)."
method67,toTexCoordU,"f: Float, i: Int","x: Float, unused: Int",high,"Implements Renderable2dTexture.method67/toTexCoordU: divides `x` by anInt8612 (real pixel width). See Renderable2dTexture.csv. `if (i <= 69) method72(84)` is a confirmed-dead branch at every real call site (observed literals 71-127, all > 69)."
method240,uploadSubImageFloats,"i: Int, i_9_: Byte, fs: FloatArray?, textureFormatInfo: TextureFormatInfo?, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int","rowLength: Int, unused: Byte, pixels: FloatArray?, format: TextureFormatInfo?, yOffset: Int, srcOffset: Int, xOffset: Int, width: Int, height: Int",medium,"Not part of the Renderable2dTexture interface (Gl2dTexture-specific). Float-array partial texture upload, the natural third sibling to the interface's method68/uploadSubImageInt and method70/uploadSubImageBytes: sets GL_UNPACK_ROW_LENGTH to `rowLength` then calls glTexSubImage2Df(target,0,xOffset,yOffset,width,height,format,...,pixels,srcOffset). Sole call site GlRenderDevice.kt:842 passes the literal `(-126).toByte()` for `unused`, feeding only a discarded `108 / ((-45 - i_9_) / 49)` expression - confirmed decoy."
method70,uploadSubImageBytes,"i: Int, i_27_: Int, i_28_: Byte, i_29_: Int, i_30_: Int, i_31_: Int, i_32_: Int, is: ByteArray?, textureFormatInfo: TextureFormatInfo?","yOffset: Int, srcOffset: Int, unused: Byte, rowLength: Int, height: Int, width: Int, xOffset: Int, pixels: ByteArray?, format: TextureFormatInfo?",medium,"Implements Renderable2dTexture.method70/uploadSubImageBytes. See Renderable2dTexture.csv for full cross-implementation analysis. In this class specifically, `if (i_28_ >= -4) anInt8612 = 33` is a confirmed-dead decoy (real call sites pass `(-45).toByte()`, which is < -4)."
method65,readPixels,"i: Int, is: IntArray, i_33_: Int, i_34_: Int, i_35_: Int, i_36_: Byte, i_37_: Int","top: Int, pixels: IntArray, width: Int, left: Int, height: Int, formatMarker: Byte, destOffset: Int",medium,"Implements Renderable2dTexture.method65/readPixels. See Renderable2dTexture.csv for full cross-implementation analysis (glGetTexImagei full read-back followed by a row-copy loop into the caller's array, gated by `formatMarker == 112`, always true at the one located call site)."
method69,getWidth,bool: Boolean,placeholder: Boolean,medium,"Implements Renderable2dTexture.method69/getWidth: returns anInt8612 (real pixel width) when `placeholder` is false, or the sentinel -121 when true (branch unconfirmed in practice - see Renderable2dTexture.csv)."
