current_name,recommended_name,current_params,recommended_params,confidence,notes
method2818,advanceToNextActiveVoice,(none),(none),medium,"Overrides abstract AudioStreamNode.method2818(): AudioStreamNode?. Loops `aNodeDeque_8848.method1990(...)` (NodeDeque's cursor-continuation 'next' accessor, confirmed by reading NodeDeque.kt: method1995 peeks/starts iteration from the head and sets an internal cursor, method1990 advances that same cursor) skipping any SpriteDefinition-typed voice entries whose aClass348_Sub16_Sub5_7081 (the actual per-voice SampledVoice/synth handle) is null, returning the first one that has a live handle. NodeDeque here (aNodeDeque_8848) holds queued per-note voice entries reusing the SpriteDefinition class as a plain node (another likely decompiler-content-mismatch: 'SpriteDefinition' objects here represent MIDI/synth voice slots, not sprites) - matches sibling override AudioMixerScheduler.method2818 which does the analogous 'pop next active child mixer node' for its own deque."
method2817,mixVoicesIntoBuffer,"is: IntArray, i: Int, i_0_: Int","outBuffer: IntArray, offset: Int, length: Int",high,"Overrides abstract AudioStreamNode.method2817(is,i,i_1_) (the base class's 'mix `length` samples starting at `offset` into `outBuffer`' method, confirmed by AudioMixerScheduler's identically-shaped override and by AudioStreamNode.method2815's dispatcher calling method2817 when the node is not muted). Delegates first to the child mixer aClass348_Sub16_Sub4_8855.method2817 (an AudioMixerScheduler instance, i.e. mixes any scheduled sub-effects), then walks the voice deque (aNodeDeque_8848) mixing each active SpriteDefinition-as-voice's remaining samples via method2825 in chunks bounded by the voice's own remaining-length field (anInt7086), advancing to the next voice via aClass348_Sub16_Sub3_8852.method2852 (a MidiSequencePlayer callback, likely 'has this voice's note ended, should we advance') when a voice chunk completes, skipping voices for which aClass348_Sub16_Sub3_8852.method2847 returns true (likely a 'channel muted/disabled' check)."
method2824,advancePitchEnvelope,"i: Int, i_4_: Byte, class348_sub43: SpriteDefinition","sampleCount: Int, decoyFlag: Byte, voice: SpriteDefinition",medium,"Private helper used by method2819 (the skip/mute-path sibling of method2817). If a per-channel flag bit (aClass348_Sub16_Sub3_8852.anIntArray8895[voice.anInt7067] and 0x4) is set and the voice is in a pitch-bend/vibrato state (voice.anInt7087 < 0), advances a fixed-point pitch-envelope phase accumulator (voice.anInt7082, 20-bit fractional) by `sampleCount` steps of a per-note pitch-step rate (derived from aClass348_Sub16_Sub3_8852.anIntArray8906[voice.anInt7067] / HslColorConfig.anInt339 - HslColorConfig here is almost certainly another decompiler-mismatched *Statics holder for an unrelated constant, not real HSL color data), and if the accumulator would overflow its full cycle, swaps the voice's underlying SampledVoice handle for a re-pitched one via SampledVoice.Companion.method2911, adjusting `sampleCount` down to the post-overflow remainder. This is a pitch/vibrato-sweep envelope stepper paired with the sample-mixing path (method2825 is its counterpart for the mix-and-write case, see below); i_4_ is unused in the body (decoy)."
method2819,skipVoicesInBuffer,i: Int,sampleCount: Int,high,"Overrides abstract AudioStreamNode.method2819(i: Int) (the base class's 'advance `sampleCount` samples without producing output' method, invoked by AudioStreamNode.method2815 when the node is muted). Mirrors method2817's structure but calls method2824 (advance-without-mixing) instead of method2825 (advance-and-mix) for each active voice in the deque, again respecting the aClass348_Sub16_Sub3_8852.method2847 mute-check and .method2852 voice-advance callback."
method2825,mixVoiceSamples,"i: Int, class348_sub43: SpriteDefinition?, i_9_: Int, i_10_: Byte, i_11_: Int, is: IntArray","totalOffset: Int, voice: SpriteDefinition?, offset: Int, decoyFlag: Byte, length: Int, outBuffer: IntArray",medium,"Private helper, the mix-and-write counterpart to method2824's advance-only logic: same per-channel pitch-bend-flag/envelope-phase-accumulator handling as method2824, but instead of just advancing the phase it calls voice.aClass348_Sub16_Sub5_7081.method2817(outBuffer, offset, chunkLength) per sub-chunk to actually write mixed samples (re-pitching the underlying SampledVoice mid-stream via SampledVoice.Companion.method2911 the same way as method2824 when the pitch envelope cycle completes, also toggling loop-direction via method2917(-1) when a per-note flag (aShortArray6795[voice.anInt7071] < 0) is set), then writes the tail `length` samples in one call. Wrapped in try/catch rethrowing via TextureLoadException.method2929 with a formatted debug string ('bea.H(...)') - consistent with the original obfuscated class name Class348_Sub16_Sub1 (the exception format string embeds the pre-deobfuscation class/method identifier, a pattern used throughout this codebase for diagnostics). i_10_ (decoyFlag) is checked once (`if (i_10_.toInt() != -114) method2821()`) - both call sites in method2817 pass -114 so this call to method2821() (see below) never fires - decoy."
method2821,getLoopStateFlag,(none),Int,low,"Overrides abstract AudioStreamNode.method2821(): Int. This override returns a constant 0. Cross-referencing sibling overrides for interpretation: SampledVoice.method2821 returns 0 if two loop-related fields (anInt8969, anInt8972) are both 0, else 1 (suggests '0 = not looping/no remaining loop bounds, 1 = looping'); PcmStreamBuffer.method2821 always returns 1; MidiSequencePlayer.method2821 always returns 0. SynthVoiceGroup (a composite of multiple voices) always reporting 0 is plausible under a 'does this stream loop as a single unit' reading. Only internal reference in this file is the decoy call inside method2825 discussed above, which never fires at runtime; no external call sites found via repo-wide grep. Confidence low given inconsistent sibling semantics and no live external caller to confirm."
method2816,peekOrAdvanceActiveVoice,(none),AudioStreamNode?,medium,"Overrides abstract AudioStreamNode.method2816(): AudioStreamNode?. Peeks the head of the voice deque via aNodeDeque_8848.method1995(4) (start-of-iteration peek, per NodeDeque.kt); if that voice already has a live handle (aClass348_Sub16_Sub5_7081 != null) returns it directly, otherwise delegates to method2818 (advanceToNextActiveVoice) to skip forward to the next one with a handle. Sibling override AudioMixerScheduler.method2816 does the simpler unconditional peek (its deque only ever holds already-active AudioStreamNodes), confirming this override's extra live-check is specific to SynthVoiceGroup's deque of not-yet-materialized voice slots."
method2822,handleIncomingGraphicsOrMediaPacket,"i: Int, class348_sub49_sub2: CipheredPacketBuffer, i_3_: Int","decoyFlag: Int, packet: CipheredPacketBuffer, expectedEndPos: Int",low,"Companion method (not @JvmStatic, unlike its siblings below). Single call site Client.kt:3292, inside a long if/else-if chain in the main packet-dispatch routine comparing `InboundPacketHeader.aInboundPacketHeader_6584` (the currently-received packet's type id) against various named packet-type constants and dispatching to a handler per branch (this branch matches `InboundPacketHeader.aInboundPacketHeader_7323`) - i.e. this is a genuine incoming-server-packet handler, called with i=-101 (which IS <-17, so the inner decode branch is live, not dead). Resets ProjectionCameraTransform.anInt5768=0 and OggMediaStream.aBoolean979=false (both fields from unrelated classes - reinforcing decompiler-content-mismatch), decodes payload via ConstantColourTextureNode.method3094(-21478, packet) then PlayerAppearanceUpdateDecoder.method3612(75, packet) (an imported top-level function alias for a Companion method), optionally debug-prints '---endgpp---' if OggMediaStream.aBoolean979 became true during decode, then asserts the packet's read position (packet.anInt7197) equals `expectedEndPos` or throws. Given the packet-dispatch context and the totally unrelated statics touched, this is almost certainly a misplaced network-packet handler for some other feature (possibly related to a graphics/proc-texture or camera-transform update packet, given the fields it resets) rather than anything to do with audio voice groups - flagged as a strong decompiler-content-mismatch case; specific feature identity not confirmed."
method2823,resetVoiceGroupStatics,i: Int,teardownReason: Int,medium,"@JvmStatic. Single call site Client.kt:1008 `method2823(i + -108)`, inside the large per-tick/teardown routine `method101(i: Byte)` (line 542+) as part of a dense sequence of cleanup calls (adjacent to TerrainChunkBuilder.method370(true), StreamingResourceRequest-family, SynthSoundGenerator.method808() teardown calls documented elsewhere in this batch) - consistent with a 'logout/scene-teardown, drop cached statics' routine. Nulls the companion's aFontMetaRef_8857 and aRgbColorPalette_8853 fields - both thematically unrelated to audio voice mixing (a font-metadata ref and an RGB color palette), reinforcing the unrelated-companion-content pattern. The self-recursive `if (i != 0) method2823(33)` branch's liveness at the real call site could not be conclusively determined (the outer `i` is a Byte teardown-reason parameter whose value at this call isn't statically known from this file alone) - flagged as a probable but unconfirmed decoy, unlike the fully-confirmed-dead decoys elsewhere in this batch."
method2826,createPlatformNanoTimer,i: Int,fallbackFlag: Int,high,"@JvmStatic factory. Single call site RenderbufferObject.kt:109 `MinimapLineDrawer.aNanoTimer_5262 = method2826(15)` (i=15). Tries to construct and return a SystemNanoTimer() (the native Clock.nanos()-backed timer, analyzed elsewhere in this batch), falling back on any Throwable to `if (i != 15) return null else MillisNanoTimer()` - since the only call site passes 15, the fallback path (when reached) always returns the millis-based timer rather than null, so the null-return arm is a decoy at the only observed call site. Cross-references cleanly with SystemNanoTimer.kt and MillisNanoTimer.kt; thematically unrelated to audio voice mixing (a generic timer-construction factory) - another merged-companion case, though a plausible one (many *Statics-ish companions in this codebase host small unrelated factory/utility functions)."
