current_name,recommended_name,current_params,recommended_params,confidence,notes
method1710,getDefaultValue,i: Int,token: Int,high,"Override of GraphicsOptionState.method1710 (abstract, see CustomCursorsOptionState.csv). Returns 112 immediately (skipping the instrumentation counter) unless token==20014, in which case it increments anInt6116 and returns 127 -- the real default value. The one real caller (GraphicsOptionState's own constructor, `method1710(20014)`) always uses the sentinel, so 127 is the value actually produced in practice; 112 is an unreachable decoy result."
method1716,refreshValue,bool: Boolean,forceReset: Boolean,medium,"Override of GraphicsOptionState.method1716 (abstract, see CustomCursorsOptionState.csv). If forceReset, sets the unrelated static anInt6115 to 87 (purpose/consumer not confirmed within this file). The clamp-check `if (this.anInt3138 < 0 && this.anInt3138 > 127) this.anInt3138 = getDefaultValue(20014)` is logically impossible to satisfy (a value cannot be both negative AND greater than 127 simultaneously) -- almost certainly meant to be `< 0 || > 127` and mangled by decompilation/obfuscation, meaning the 'reset out-of-range value to default' fallback can never actually fire. Flagging as a likely-broken dead branch rather than a deliberate decoy."
method1714,getAvailabilityState,"i: Int, i_5_: Int","mode: Int, unused: Int",high,"Override of GraphicsOptionState.method1714 (abstract; named for consistency with CustomCursorsOptionState.csv/DefaultGraphicsOptionState.csv's overrides of the same virtual method). Ignores both parameters entirely and always returns 1 -- this detail-level option reports itself as always available/unrestricted."
method1712,setValue,"i: Int, i_16_: Int","reason: Int, value: Int",high,"Override of GraphicsOptionState.method1712 (abstract, see CustomCursorsOptionState.csv). Stores value into anInt3138; reason is unused apart from a discarded decoy division `63 % ((i - 82) / 35)`."
method1838,getValue,i: Int,unused: Int,high,"Concrete. Returns anInt3138 (the current detail-level value). `unused` is not referenced at all in the body (not even in a decoy expression)."
method1833,hasRenderFlagBits,"i: Byte, i_0_: Int, i_1_: Int","unusedByte: Byte, flags: Int, unused: Int",medium,"Companion/@JvmStatic. Returns `(flags and 0x84080) != 0` -- tests whether any of bits 7, 14, or 19 are set in `flags`. Real call sites (Direct3dModel.kt, SimpleToggleOptionState.kt) always pass a model/face flags int for the second parameter and ignore the return's exact meaning beyond an OR'd 'should this face/model get special handling' condition (e.g. combined with `(0x9000 and i) != 0` and a separate KaraokeSubtitleStream.method2985 check at Direct3dModel.kt:3544). Exact semantic of the 3-bit mask (e.g. specific loc/model render flags) not confirmed; NOTE this method lives in DetailLevelOptionState but is used purely as a generic model/face flag-bit test unrelated to graphics option state, consistent with this codebase's pattern of decompiler-merged unrelated statics (see PLAN.md notes)."
method1834,advanceGroundDecorSettle,"class318_sub1_sub3_sub3: ProjectedGroundDecor, i: Byte","decor: ProjectedGroundDecor, unusedByte: Byte",medium,"Companion/@JvmStatic. Computes a countdown `framesRemaining = decor.anInt10239 - GlGroundShaderPass.anInt7396` and, when unusedByte < 0 (true at the one real call site, Client.kt:4481, which always passes -16.toByte()), interpolates decor.x/decor.y one step closer to a target resting position (derived from decor.anInt10293/anInt10314 and decor.method2436, scaled by 512/256) and, the first time decor.anInt10326 reaches 0, sets its facing rotation via decor.method2440(49, angle) using a 4-way lookup (decor.anInt10231 in 0..3 -> angle 8192/12288/0/4096). Reads as a per-tick 'ground decor spawn-in slide + face direction' animation step, matching this codebase's ProjectedGroundDecor 'spawn/drop-in' visual for placed ground items/objects. NOTE unrelated to graphics option state, likely decompiler-merged statics (see PLAN.md)."
method1835,clearStaticCaches,i: Int,unused: Int,high,"Companion/@JvmStatic. Nulls aFloorOverlayDefinitionArray6114 and InboundPacketHeader.aInboundPacketHeader_6121 -- the standard per-class 'clear cached static state on logout/reload' pattern. The one real call site (Client.kt:837, `method1835(i + -28702)`) passes a computed value, so whether the `if (unused != -28594) anInt6115 = -7` decoy branch is reliably dead could not be confirmed by static analysis alone."
method1836,parseIntRadix,"i: Int, i_6_: Int, bool: Boolean, string: String","unusedTag: Int, radix: Int, allowPlusSign: Boolean, text: String",high,"Companion/@JvmStatic. A generic from-scratch reimplementation of Integer.parseInt(text, radix) with an extra allowPlusSign toggle (permits a leading '+' when true) and manual overflow detection (`if (i_9_ != i_13_ / i_6_) throw NumberFormatException()`). Confirmed real call sites: ColourAdjustment.kt and RegionSceneShifter.kt both call it as `method1836(-123, radix, true, string)` to parse hex/decimal color or coordinate strings. NOTE unrelated to graphics option state -- another decompiler-merged generic utility (see PLAN.md notes), unusedTag is always -123 at both call sites and not referenced in the body."
method1837,hasConfigFlagBit0x800,"i: Int, i_14_: Int, i_15_: Int","unused: Int, decoyThreshold: Int, flags: Int",medium,"Companion/@JvmStatic. Returns `(flags and 0x800) != 0` -- tests bit 11. The `if (decoyThreshold < 41) InboundPacketHeader.aInboundPacketHeader_6121 = null` branch is a decoy: every real call site (Direct3dModel.kt x2, ParticleDefLoader.kt) passes a literal >= 41 (56, 102, 46) for decoyThreshold, so this never fires. Used alongside hasRenderFlagBits at some of the same call sites, consistent with both being generic model/face render-flag bit tests. NOTE unrelated to graphics option state (see PLAN.md notes on decompiler-merged statics)."
