current_name,recommended_name,current_params,recommended_params,confidence,notes
method3978,bakeOverlayTileShading,"i: Int, i_0_: Int, `is`: IntArray, is_1_: IntArray, is_2_: IntArray, is_3_: IntArray, is_4_: IntArray, is_5_: IntArray, is_6_: IntArray, is_7_: IntArray, is_8_: IntArray, is_9_: IntArray, is_10_: IntArray, i_11_: Int, i_12_: Int, i_13_: Int, bool: Boolean","x: Int, z: Int, vertexU: IntArray, vertexV: IntArray, heightAdjust: IntArray, texCoordX: IntArray, texCoordZ: IntArray, alphaValues: IntArray, hslColors: IntArray, altHslColors: IntArray, textureIds: IntArray, altTextureIds: IntArray, materialIds: IntArray, hue: Int, ambient: Int, contrast: Int, mirrored: Boolean","low","Abstract, one of a pair with U() that pre-bakes per-cell vertex colour/lighting data for one (x,z) tile cell. SoftwareTerrainTile's override builds either a `ModelVertexData` (variable-size polygon, when the cell's shape isn't a simple axis-aligned quad) or a single `VertexNormal` (fast path for a plain quad), caching the result into `aModelVertexDataArrayArray8222`/`aVertexNormalArrayArray8215`. It shares heavy structural similarity with U() (same underlay/overlay height-diff pattern via `aByteArrayArray8220`/`aByteArrayArray8232`, same SoundEnvelope HSL lookups, same aRenderConfig4579.method3(materialId) blend/alpha checks) but is invoked for the variable-vertex-count 'overlay/shape' tile geometry (WorldMapScene.kt:1129 passes it several full lookup tables such as ParticleEmitterNode.anIntArrayArray174/MovementDirection.anIntArrayArray1190/BoundingBoxNode.anIntArrayArray6740, themselves reused/decoy-named static fields from unrelated classes -- likely real per-shape texture-coordinate tables). OpenGlTerrainTile's override builds three fixed IntArray(3*n) buffers sized from one of the array params, consistent with baking a triangulated overlay mesh's per-vertex colour/UV data for the GPU. Individual parameter roles beyond the first two (tile x,z) and the trailing bool (mirrored, mirrored from U()'s equivalent slot) are best-effort guesses; full body not exhaustively traced given the file's size (2000+ lines in SoftwareTerrainTile alone)."
method3979,updateVertexShadow,"i: Int, i_14_: Int","x: Int, z: Int","medium","Abstract; single-vertex convenience wrapper. SoftwareTerrainTile's override is `method3992(i, i_452_, 0)` -- i.e. delegates to the same private dispatcher used by method3983/method3984 (which pick one of three cached-data variants: ModelVertexNormal/VertexNormal/SpriteTextureData) but with a hard-coded radius/distance of 0, meaning 'recompute the baked shadow/lighting only at this single tile vertex'. Confirmed real call site: SceneLoaderThread.kt calls `var_s.method3979(i_2_, i_3_)` only after finding, via a per-plane boolean shape mask (OverlayColorTable.aBooleanArrayArrayArray1751) and a colour-id comparison, that a specific tile needs its shadow re-baked following a height-grid mutation (method3982-based height write). OpenGlTerrainTile's override is a pure counter no-op (`anInt8239++`), suggesting the GPU path handles shadow updates through a different (likely batched/async) mechanism and doesn't need this single-vertex hook."
wa,drawTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_15_: Int, i_16_: Int, i_17_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean","low","Abstract, no return value. SoftwareTerrainTile's override is a no-op. OpenGlTerrainTile's override projects the world (x,y,z) into screen space using the renderer's tile-projection constants (anInt7772/anInt7777/anInt7731) and, if a SoftwareSpriteRaster backing buffer exists, calls its `method951(renderNode, screenX, screenY, 70)` -- a raster blit that copies the given RenderNode's cached pixel content into the software-rasterized shadow/hole layer at that screen position. Part of a family with CA()/method3989() that all funnel through the same screen-space projection math; CA is the 'commit/draw' half used after method3989's visibility pre-check (see ModelBatchBase.kt's `if (var_s.method3989(...)) var_s.CA(...)` idiom), while wa appears to be a separate, unconditional draw entry point (its only call context wasn't located in this pass). Confidence is low because wa's own real callers were not found in the files searched -- only its OpenGl implementation body was examined."
ka,raiseBaseHeight,"i: Int, i_18_: Int, i_19_: Int","x: Int, z: Int, height: Int","medium","Abstract. SoftwareTerrainTile's override is a simple clamped max-update: `if (aByteArrayArray8232[x][z] < height) aByteArrayArray8232[x][z] = height.toByte()`. `aByteArrayArray8232` is the tile's 'base/underlay' height-sample byte grid used throughout U()/method3978() to compute a top-minus-base height differential per vertex (`aByteArrayArray8220[x][z] - aByteArrayArray8232[x][z]`) that feeds the per-vertex shading/occlusion calculation (fed into PixelBlender.method2250 as an intensity term). This method only ever raises that base sample, never lowers it -- consistent with accumulating the highest 'floor' contribution seen so far at a grid vertex (e.g. from multiple overlapping tile shapes) before the lighting bake in U()/method3978() runs. Not exhaustively cross-referenced against external call sites in this pass."
method3981,scheduleTileShapeShadowBuild,"class348_sub1: AbstractTileShape, `is`: IntArray","tileShape: AbstractTileShape, edgeTypes: IntArray","medium","Abstract. SoftwareTerrainTile's override is a no-op. OpenGlTerrainTile's override constructs a `TerrainShadowBuilderGl2(renderer, this, tileShape, edgeTypes)` and enqueues it onto an internal NodeDeque work queue (`aNodeDeque_8256.method1999(...)`) -- i.e. schedules asynchronous GPU shadow/edge-mesh construction for this tile's wall/tile shape. Confirmed real call site: RefCountedHandle.kt computes, for each of the tile's boundary vertices, a small classification code (0/2/3/5, based on comparing neighbouring overlay colour-run start/end offsets) into the `is`/`edgeTypes` array before calling `.method3981(class348_sub1, is)` -- consistent with encoding which edges of the tile shape need soft-shadow geometry generated and in what configuration."
method3982,getVertexHeight,"i: Byte, i_20_: Int, i_21_: Int","marker: Byte, z: Int, x: Int","high","Concrete (defined directly on TerrainTile, not abstract). Straight lookup: `return anIntArrayArray4584[x][z]` -- the raw, non-interpolated height at an exact grid vertex (companion to method3986, which bilinearly interpolates height at an arbitrary absolute coordinate). Confirmed real call site LongKeyNode.kt: `var_s.method3982((-86).toByte(), z, x)` used directly as the y-coordinate argument to a render call (`renderer.H(x_local, height, z_local, ...)`). The leading Byte `marker` parameter is a dead opaque predicate: `if (i.toInt() != -86) this.anInt4590 = -59` would corrupt the tile's own z-dimension field if triggered, but every observed call site passes exactly `-86`, so it never fires."
method3983,castShadow,"i: Int, i_22_: Int, i_23_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_24_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, dynamic: Boolean, alpha: Int","low","Abstract, no return value. Sibling of method3984 with one fewer parameter (no explicit fixed-distance override); both are invoked from the same call sites in FloatBuffer.kt guarded by `if (distanceParam >= 0) method3984(...) else method3983(...)`, always passing the same (x=ActorEntity.anInt6111, z=ActorEntity.anInt8502, radius=ActorEntity.anInt10084, shapeMask=FacingDirectionNode.aBooleanArrayArray6656, dynamic flag, alpha) tuple. SoftwareTerrainTile's private helper `method3992` (shared by method3979/method3983/method3984) drives a ShadowProjector/ParticleSystemState-based per-vertex shadow-casting pass over the region covered by `shapeMask`, dispatching further to one of three private renderers depending on which cached per-cell data variant (ModelVertexNormal/VertexNormal/SpriteTextureData) is populated for that cell -- consistent with 'cast/refresh a moving actor's circular ground shadow centred at (x,z) with the given radius/shape mask, using perspective-correct (real terrain-height-based) falloff' since the companion method3984 supplies an explicit override distance where this one relies on live height sampling."
method3984,castShadowAtFixedDistance,"i: Int, i_25_: Int, i_26_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_27_: Int, i_28_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, dynamic: Boolean, distance: Int, alpha: Int","low","Abstract, no return value. Same shadow-casting family as method3983 (see that row) but supplies an explicit `distance` value that SoftwareTerrainTile's private helper stores as `anInt8228` -- used later in method3990's per-vertex falloff math as a flat/fixed divisor instead of the true perspective-correct per-vertex distance (the `anInt8228 == -1` sentinel check in method3990 selects between the two modes). Confirmed call sites in FloatBuffer.kt only invoke this overload when a caller-supplied distance value is `>= 0` (falling back to method3983 otherwise), consistent with 'cast a ground shadow with a caller-specified fixed falloff distance' (e.g. a static/indoor light source) versus the dynamic real-height-based variant."
method3986,getHeight,"i: Int, i_30_: Int, i_31_: Byte","x: Int, z: Int, marker: Byte","high","Concrete (defined directly on TerrainTile). Bilinearly interpolates the height at an arbitrary absolute (x,z) coordinate from the 4 surrounding grid vertices in `anIntArrayArray4584`, using `anInt4592` (tile size in local units) and `anInt4588` (its log2 shift) for the fixed-point interpolation weights; returns 0 if (x,z) falls outside the tile's grid bounds. This is the method referenced from AbstractModel.method626/alignToTerrainSlope (`TerrainTile.method3986`) to sample ground height at a model's footprint corners for slope alignment. The trailing Byte `marker` parameter is a confirmed decoy: `val i_34_ = -78 % ((i_31_ - -53) / 36)` is computed and never used, and real call sites pass differing literal byte constants interchangeably for the same semantic call (e.g. ModelBatchBase.kt uses both `(-109).toByte()` and `72.toByte()` back-to-back against the same tile/coordinates with no observable behavioural difference), confirming it carries no information."
method3987,castShadowOverRegion,"i: Int, i_39_: Int, i_40_: Int, i_41_: Int, i_42_: Int, i_43_: Int, i_44_: Int, bools: Array<BooleanArray?>","baseX: Int, baseZ: Int, scale: Int, xMin: Int, zMin: Int, xMax: Int, zMax: Int, shapeMask: Array<BooleanArray?>","medium","Abstract, no return value. SoftwareTerrainTile's override resets the thread-local ShadowProjector state then dispatches to one of two private per-region shadow rasterizers (method3993 for ModelVertexNormal/SpriteTextureData-backed cells, method3996 for VertexNormal-backed cells) which iterate the `[xMin,xMax)x[zMin,zMax)` bounds and, per `shapeMask` entry, project and draw shadow triangles via ShadowProjector.method1018/1024/1027. Confirmed real call site LongKeyNode.kt: `TerrainTileShape.aTerrainTileArray8801!![plane]!!.method3987(0, 0, 1024, xMin, zMin, xMax, zMax, bools)` inside a loop that builds an occlusion/shape mask via `method536(...)` per cell and is titled around 'shadow region' construction for a 104x104-tile chunk -- consistent with baking actor/NPC drop-shadows onto a bounded region of the tile mesh each update. OpenGlTerrainTile's override instead sets up a full projective-texture matrix (FileExistsCondition.aFloatArray4772, a 4x4-looking float buffer) for GPU shadow-map style rendering, using `scale`(i_40_/i_153_) and the bounds params directly in the matrix math -- confirming these two params are a shadow-casting light's projection scale and origin. Confidence medium: overall shadow-casting purpose is well evidenced but exact per-parameter roles (baseX/baseZ vs the bounds) are inferred from float-matrix arithmetic, not a doc comment."
