current_name,recommended_name,current_params,recommended_params,confidence,notes
method2136,updateTextureAnimationState,"i: Int, i_5_: Int, i_6_: Byte","flags: Int, variant: Int, decoyByte: Byte",high,"Override of abstract MaterialPass.method2136 - cross-referenced directly against the already-documented refactor-notes/jvmMain/MaterialPass.csv, which names this hook 'updateTextureAnimationState' (medium confidence there) from MinimapRenderer call-site evidence. This override implements it for the water-reflection tex-gen pass: derives scroll speeds (f, f_7_) and a texel-scale (f_8_) from bit fields of `i` (bit 0-1 = scroll-speed selector, bits 3-4 = second scroll selector, bit 6 = texel-scale selector, bit 7 = orientation flag `bool`), sets up two glTexGenfv S/T-plane equations scrolling over time via this.aHa_Sub2_3684.anInt7735 (frame/time counter, matches usage pattern in other MaterialPass overrides), and for the water-reflection case (aWaterTextureSet_6259.aBoolean1442) either sets up a third texgen plane or selects one of 16 pre-rendered water-caustic textures from aClass258_Sub3Array1448 indexed by an animated frame counter. The trailing `if (i_6_ >= -42) method2136(-27,-15,(-43).toByte())` self-recursive branch is unreachable from any real caller (no external call sites pass a byte satisfying re-entry meaningfully - this is the same self-recursive-decoy shape already confirmed elsewhere, e.g. NodeDequeStatics.method1991) - decoyByte is otherwise unused."
method2140,bindPassTexture,"glTexture: GlTexture?, i: Byte, i_10_: Int","texture: GlTexture?, decoyByte: Byte, textureUnit: Int",high,"Override of abstract MaterialPass.method2140, named via direct cross-reference to MaterialPass.csv ('bindPassTexture', high confidence there from MinimapRenderer.method885 call-site evidence). Binds the given texture into unit textureUnit via the standard method3771/method3761 pair used identically across all MaterialPass subclasses. The trailing `if (i > -89) method2140(null, 109.toByte(), -112)` is a dead self-recursive decoy consistent with the base class's documented 'byte param is a decoy' finding."
method2133,deactivatePass,i: Int,decoyInt: Int,high,"Override of abstract MaterialPass.method2133, named via MaterialPass.csv cross-reference ('deactivatePass', medium confidence there from MinimapRenderer.method884's pass-switch call site). Ends the GL display list built for this pass (aGlDisplayListFont_6254.method594) and unbinds the texgen texture unit (method3771(byte,null)). `if (i > -75) anInt6248 = -7` is a real-looking side effect but with no confirmed external significance beyond a companion counter reset."
method2134,activatePass,"bool: Boolean, bool_11_: Boolean","active: Boolean, skipMatrixSync: Boolean",high,"Override of abstract MaterialPass.method2134, named via MaterialPass.csv cross-reference ('activatePass', medium confidence there). Restarts the GL display list and, only when aWaterTextureSet_6259.aBoolean1442 (reflection-enabled water), binds the reflection texture (aClass258_Sub3_1446). Param names copied from the base-class CSV's inferred meaning of (active, skipMatrixSync); this override doesn't use bool at all, only bool_11_ (via a dead-looking `if (bool_11_ != false)` which is just `if (bool_11_)`)."
method2139,notifyFrameTick,"bool: Boolean, i: Byte",,medium,"Override of abstract MaterialPass.method2139, cross-referenced against MaterialPass.csv which flags this as a template-method hook that's a no-op in every subclass inspected so far (WaterMaterialPass, GlslMaterialPass) - this override matches that pattern exactly: body is only a dead filler expression (`-52 % ((i - -60) / 38)`, unused) plus a call counter increment, confirming the base CSV's suspicion that this hook simply isn't meaningfully overridden by texture-gen-style passes. Left recommended_params blank per the base class CSV's own convention, pending a subclass with real logic."
method2137,isSupported,i: Int,decoyInt: Int,high,"Override of abstract MaterialPass.method2137, named via direct cross-reference to MaterialPass.csv ('isSupported', high confidence there from MinimapRenderer's GLSL capability-probe call sites). Unconditionally returns true - TexGenMaterialPass uses only ARB/fixed-function texgen, so it's always considered supported (matching the base CSV's note that fixed/ARB-based passes 'simply return true unconditionally')."
method2158,recalculateUiViewportLayout,i: Byte,decoyByte: Byte,low,"@JvmStatic, only executes when i == 56 (single call site pattern: GameDisplayManager.kt:59 and GlGroundShaderPass.kt:208 both call `method2158(56.toByte())`, i.e. the guard is always satisfied). Reads a UI-scale/aspect mode from IntHashSetStatics's nested field chain and, based on whether it equals 1 or 2, computes and assigns a cluster of unrelated statics on LocTypeDefinition, ModelResourceBundle, GameDisplayManager, TimingCounters (viewport width/height/offset-looking values clamped against SocketFactory.anInt3473/NpcReference.anInt6857, which read as 'screen width'/'screen height'). None of the touched fields belong to TexGenMaterialPass or relate to texture generation - a clear decompiler-merged-wrong-content case (this looks like it belongs with UI/viewport layout code, not a water texgen material pass). Confidence is low on the exact per-branch semantics (720x480 vs 1024x768-style breakpoints are plausible given the min() clamps against 800/600 and 1024/768-ish magic numbers, but not confirmed)."
method2159,loadUiIconSpriteIds,"i: Byte, js5Archive: Js5Archive","decoyByte: Byte, js5Archive: Js5Archive",medium,"@JvmStatic. Looks up ~15 named sprite/icon indices from js5Archive.method417 (a 'get named config id, default 0' pattern used identically throughout the config-loading code in this codebase) - hitmarks, hitbar_default, timerbar_default, headicons_pk/prayer, hint_headicons, hint_mapmarkers, mapflag, cross, mapdots, scrollbar, name_icons, floorshadows, compass, otherlevel, hint_mapedge - and stores each into a *different*, unrelated class's static field (NpcReference, DualMaterialContainer, MouseInputTracker, Renderer, ConfigArchiveLoader, TexGenMaterialPass itself for 2 of them, DrawListState, RangedGraphicsOptionState, CameraNodeList, NamedIdRecord, LocTypeDefLoader, RsaVarbitHandler, PerlinTextureProvider, SpriteComponent). This is UI/HUD icon-sprite-id config loading (called once from ClientLoadStateMachine.kt:164 during boot), not texture-gen material pass setup - only 2 of ~15 assignments (anInt3739/anInt9473) actually land on this class's own companion, so it's mostly unrelated content merged here by the decompiler, consistent with the pattern noted across other *Statics/companion objects in this codebase."
method2160,resetStatics,i: Int,marker: Int,high,"@JvmStatic. Nulls aRenderConfig6247 and anIntArray6260 when marker == 0. Only call site Client.kt:1151 (`method2160(0)`) - standard logout/teardown reset, matching the same pattern as sibling *Statics companions."
method2161,sleepMillis,"i: Byte, l: Long","decoyByte: Byte, millis: Long",high,"@JvmStatic. Thin wrapper around FileIoUtil.method2606(byte, long) (confirmed via direct read of FileIoUtil.kt to be `try { Thread.sleep(l) } catch (InterruptedException) {}`), i.e. this is a general-purpose sleep/busy-wait helper, not texture-gen-pass logic. When `millis % 10L == 0L` it oddly splits the sleep into two calls (millis-1, then 1) rather than sleeping millis directly in one call - functionally equivalent total sleep time, so likely just an obfuscation artifact rather than meaningful behavior. Has ~30 call sites across the entire codebase (Client.kt, ConnectionStateType.kt, GameAppletFrame.kt, socket/stream worker classes, etc.), overwhelmingly in `while (queue.anInt1997 == 0) method2161(byte, N)` busy-poll loops waiting on an async load/network result - reinforcing that this is a generic sleep-and-retry primitive that happens to be declared on TexGenMaterialPass's companion rather than on a thread/concurrency utility class (another decompiler-merged-wrong-content case)."
