current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,arg0: hb?,peerContext: hb?,medium,"Private primary constructor (only reachable via the companion factory `a`/`create`), stores the peer context in field `b` and delegates to `IUnknown(b)`. Wraps the real Direct3D9 `IDirect3D9` COM interface."
a,getAdapterDisplayMode,"arg0: Int, arg1: D3DDISPLAYMODE?","adapter: Int, mode: D3DDISPLAYMODE?",high,"Thin wrapper around private native `_GetAdapterDisplayMode`, throwing `fda` (this package's RuntimeException) on failure (`ue.a(97.toByte(), result)` is this codebase's HRESULT-failure check helper, confirmed by every other `_CreateX`/`_GetX` wrapper in IDirect3D.kt/IDirect3DDevice.kt using the identical pattern). Matches real D3D9 `IDirect3D9::GetAdapterDisplayMode(Adapter, pMode)`. Confirmed at call site D3dRenderDevice.kt:277 `anIDirect3D9793!!.a(anInt9799, d3ddisplaymode)`."
a,createDevice,"arg0: Int, arg1: Int, arg2: Canvas?, arg3: Int, arg4: D3DPRESENT_PARAMETERS?","adapter: Int, deviceType: Int, window: Canvas?, behaviorFlags: Int, presentParameters: D3DPRESENT_PARAMETERS?",high,"Wraps private native `_CreateDevice`, allocating a fresh `IDirect3DDevice` and throwing on failure. Matches real D3D9 `IDirect3D9::CreateDevice(Adapter, DeviceType, hFocusWindow, BehaviorFlags, pPresentationParameters, ppReturnedDeviceInterface)` (the `Canvas` here stands in for the native window handle). Confirmed at call site D3dRenderDevice.kt:833 `idirect3d.a(i, i_20_, canvas, i_21_ or 0x40, d3dpresent_parameters)` where `i_21_ or 0x40`/`0x20` are D3DCREATE_* behavior flag combinations retried on `fda` failure."
a,getAdapterIdentifier,"arg0: Int, arg1: Int","adapter: Int, flags: Int",high,"Wraps private native `_GetAdapterIdentifier`. Matches real D3D9 `IDirect3D9::GetAdapterIdentifier(Adapter, Flags, pIdentifier)`. Confirmed at call site D3dRenderDevice.kt:681 `anIDirect3D9793!!.a(anInt9799, 0)`."
CheckDeviceType,CheckDeviceType,"arg0: Int, arg1: Int, arg2: Int, arg3: Int, arg4: Boolean","adapter: Int, deviceType: Int, displayFormat: Int, backBufferFormat: Int, windowed: Boolean",high,"Native method name already matches the real D3D9 API `IDirect3D9::CheckDeviceType(Adapter, DevType, DisplayFormat, BackBufferFormat, Windowed)` exactly; only params were unnamed. Confirmed at D3dRenderDevice.kt:903 `idirect3d.CheckDeviceType(j, k, d3ddisplaymode.Format, anIntArray9790[l1], true)`."
b,getDeviceCaps,"arg0: Int, arg1: Int","adapter: Int, deviceType: Int",high,"Wraps private native `_GetDeviceCaps`. Matches real D3D9 `IDirect3D9::GetDeviceCaps(Adapter, DeviceType, pCaps)`. Confirmed at D3dRenderDevice.kt:810 `idirect3d.b(i, i_20_)`, whose result is checked against `RasterCaps`/`MaxSimultaneousTextures`/`TextureOpCaps`/etc, all real D3DCAPS9 field names, confirming the mapping to D3DCAPS.kt."
CheckDeviceMultiSampleType,CheckDeviceMultiSampleType,"arg0: Int, arg1: Int, arg2: Int, arg3: Boolean, arg4: Int","adapter: Int, deviceType: Int, surfaceFormat: Int, windowed: Boolean, multiSampleType: Int",high,"Native name already matches real D3D9 API `IDirect3D9::CheckDeviceMultiSampleType(Adapter, DeviceType, SurfaceFormat, Windowed, MultiSampleType, pQualityLevels)` (quality-levels out-param omitted here). Confirmed at D3dRenderDevice.kt:384 `anIDirect3D9793!!.CheckDeviceMultiSampleType(anInt9799, anInt9807, aD3DPRESENT_PARAMETERS9800!!.BackBufferFormat, true, 2)`."
_GetAdapterDisplayMode,nativeGetAdapterDisplayMode,"arg0: Int, arg1: D3DDISPLAYMODE?","adapter: Int, mode: D3DDISPLAYMODE?",high,"Private external backing the public `a`/`getAdapterDisplayMode` wrapper above."
_CreateDevice,nativeCreateDevice,"arg0: Int, arg1: Int, arg2: Canvas?, arg3: Int, arg4: D3DPRESENT_PARAMETERS?, arg5: IDirect3DDevice?","adapter: Int, deviceType: Int, window: Canvas?, behaviorFlags: Int, presentParameters: D3DPRESENT_PARAMETERS?, device: IDirect3DDevice?",high,"Private external backing the public `a`/`createDevice` wrapper above; `arg5`/`device` is the caller-allocated out-object the native side fills in (standard pattern in this whole file: allocate the Kotlin wrapper object first, pass it by reference into the native call, native populates its internal handle)."
CheckDepthStencilMatch,CheckDepthStencilMatch,"arg0: Int, arg1: Int, arg2: Int, arg3: Int, arg4: Int","adapter: Int, deviceType: Int, adapterFormat: Int, renderTargetFormat: Int, depthStencilFormat: Int",high,"Native name already matches real D3D9 API `IDirect3D9::CheckDepthStencilMatch(Adapter, DeviceType, AdapterFormat, RenderTargetFormat, DepthStencilFormat)`. Confirmed at D3dRenderDevice.kt:907 `idirect3d.CheckDepthStencilMatch(j, k, d3ddisplaymode.Format, anIntArray9790[l1], anIntArray9809[i2])`."
