current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Primary path constructor: stores the owning DisplaySettingsConfig into aClass348_Sub51_3136 and initializes anInt3138 (the option's current value field) by calling the abstract method1710(20014) - i.e. seeds the option with its subclass-specific default value. Used by the ~30 concrete *OptionState subclasses (BooleanGraphicsOptionState, RangedGraphicsOptionState, DetailLevelOptionState, etc.) for their no-explicit-initial-value constructor."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Secondary constructor variant that takes an explicit initial value (i) instead of deriving it from method1710/getDefaultValue - stores it directly into anInt3138. Every concrete subclass exposes a matching two-constructor pair (see e.g. DefaultGraphicsOptionState.kt, BooleanGraphicsOptionState.kt), confirming this is a real, intentionally-used alternate construction path, not decoy overloading."
method1710,getDefaultValue,i: Int,tag: Int,high,"Abstract. Returns the option's default/current-clamped value; called by both constructors (with tag=20014, the only value ever observed at real call sites) to seed anInt3138. Nearly every override guards `if (tag != 20014) <dead call>` (e.g. DefaultGraphicsOptionState/CameraDistanceOptionState/MultiLevelOptionState recurse into method1716(true); BinaryGraphicsOptionState/RangedGraphicsOptionState return a dead sentinel like -48/118) - all confirmed decoys since every real caller (the constructors, and every subclass's own method1716/method1714 self-calls) passes exactly 20014. Concrete return values vary per subclass (e.g. RangedGraphicsOptionState returns the constant 3, DefaultGraphicsOptionState computes 0 or 1 from SceneProjector/DisplaySettingsConfig state, BinaryGraphicsOptionState returns 0) - i.e. each subclass's real 'what should this setting default to' logic."
method1712,setValue,"i: Int, i_2_: Int","tag: Int, value: Int",high,"Abstract. Every override sets `this.anInt3138 = value` (the second param) unconditionally; the first param (tag) is only ever used in a dead discarded-division expression (e.g. `123 / ((82 - i) / 35)`) in every observed override - confirmed decoy across DefaultGraphicsOptionState/BooleanGraphicsOptionState/RangedGraphicsOptionState/BinaryGraphicsOptionState/MultiLevelOptionState. Called from GraphicsOptionState.method1718/applyValue and from various overrides' own method1716/validateValue paths."
method1714,getOptionKind,"i: Int, i_3_: Int","tag: Int, value: Int",medium,"Abstract. Every override checks `if (tag != 3) <dead decoy branch>` (real callers always pass tag=3, confirmed via GraphicsOptionState.method1718's `method1714(3, i)` and 13+ ChatCommandProcessor.kt CS2-opcode call sites like `...method1714(3, i_226_)`) and returns a small fixed constant ignoring the second param entirely in every subclass body inspected (DefaultGraphicsOptionState/RangedGraphicsOptionState return 3; BooleanGraphicsOptionState/MultiLevelOptionState/BinaryGraphicsOptionState return 1). The 3-vs-1 result matters: GraphicsOptionState.method1718/applyValue only actually calls setValue when the result != 3, and DefaultGraphicsOptionState (a computed/derived option, not user-settable) is the one subclass observed returning 3 - so this looks like a settable(1)-vs-computed/read-only(3) option-kind marker. The second param IS passed real per-call values by callers (constructor-supplied tag 3 plus a caller value in the CS2 opcode dispatcher and DisplaySettingsConfig.method3429), but every override body discards it, so its intended meaning could not be confirmed - kept as 'value' to reflect caller intent rather than callee usage."
method1716,validateValue,bool: Boolean,force: Boolean,medium,"Abstract. Every override re-clamps anInt3138 to its valid range by re-deriving the default via method1710(20014) when out of bounds (e.g. RangedGraphicsOptionState: `if (anInt3138 < 0 || anInt3138 > 4) anInt3138 = method1710(20014)`; ranges vary per subclass: 0-1 for BooleanGraphicsOptionState, 0-2/0-3/0-5 for others). Confirmed real call site: DisplaySettingsConfig.method3426 reflectively iterates every GraphicsOptionState field on the config and calls `.method1716(false)` on each - i.e. a 'validate/reset all display settings to legal values' pass, invoked as part of a broader settings-reload routine. The bool param triggers self-recursive or cross-call decoys in several overrides (e.g. BinaryGraphicsOptionState/BloomGraphicsOptionState: `if (bool != false) method1716(false)`) that are dead at the one real call site (always passes false)."
method1718,applyValue,"i: Int, i_7_: Int","value: Int, tag: Int",high,"Concrete (base class, not overridden). `if (tag < 3) setValue(12, 42)` [dead - see below]; then if `getOptionKind(3, value) != 3` (i.e. this option is settable, not a computed/read-only DefaultGraphicsOptionState-style option), calls `setValue(124, value)` to actually store the new value. Confirmed real call site: DisplaySettingsConfig.method3429 (`graphicsOptionState!!.method1718(i_7_, 72)`), itself called with a user-supplied new setting value - i.e. this is the 'try to apply a new value to this graphics option, unless it's read-only' entry point invoked when the player changes a display setting. The leading `tag < 3` branch is a decoy at this call site since it always passes 72."
method1711,loadTextureMaterialArchives,"i: Int, js5Archive: Js5Archive?, i_0_: Int, js5Archive_1_: Js5Archive?","tag1: Int, materialArchive: Js5Archive?, tag2: Int, overlayArchive: Js5Archive?",medium,"Companion-object utility, semantically unrelated to GraphicsOptionState's settings-management role - a decompiler-merged grab-bag method (per the recurring pattern noted in refactor-notes/PLAN.md). Stores `overlayArchive` into TextureMaterialGroup.aJs5Archive_4843 and `materialArchive` into TextureMaterialGroup.aJs5Archive_1940, wrapped in a try/catch that rethrows via TextureLoadException.method2929 with a formatted diagnostic string literally reading 'su.Q(...)' - i.e. the pre-obfuscation class/method was 'su.Q', confirming this never belonged to Class239/GraphicsOptionState. Only call site: WidgetCache.kt:91 `method1711(7, js5Archive_6_, 2, js5Archive_7_)`."
method3024,clearWorldMapFlagGridAndCutsceneDecompressor,i: Int,unused: Int,medium,"Companion-object utility, semantically unrelated to GraphicsOptionState - another decompiler-merged grab-bag reset combining two unrelated resources: CutsceneSequenceData.aGzipDecompressor_6955 and this class's own aByteArrayArrayArray6962 (see method1717/allocateWorldMapFlagGrid notes - that field is actually the world-map collision/blocking-flag grid used pervasively by WorldMapScene, DirectionPath, NpcType pathfinding, GlCubemapLightPass, CollisionMapAccessor, etc., not anything graphics-option-related). Only call site: Client.kt:918 `GraphicsOptionState.method3024(-100)`. The `i` param is entirely unused in the body."
method1717,allocateWorldMapFlagGrid,"i: Int, i_4_: Int, i_5_: Int, i_6_: Int","sentinel: Int, zLength: Int, xLength: Int, planeCount: Int",medium,"Companion-object utility, semantically unrelated to GraphicsOptionState - allocates aByteArrayArrayArray6962 as a [planeCount][xLength][zLength] 3D byte grid. Confirmed as the world map's collision/blocking-flag data via ~25 call sites across WorldMapScene.kt/WorldMapSceneSoftware.kt/DirectionPath.kt/NpcType.kt/GlCubemapLightPass.kt/CollisionMapAccessor.kt/GroundItemRenderState.kt/RefCountedHandle.kt/CharCodeMap.kt/RsaVarbitHandler.kt, all reading/writing per-plane/x/z bit flags (0x1/0x2/0x4/0x8/0x10) for tile blocking/occlusion - not part of the graphics-options feature area at all, another decompiler class-merging artifact. Only allocation call site: CellNoiseTextureNode.kt:201 `method1717(19278, RangeThresholdTextureNode.Companion.anInt9109, GlCubemapLightPass.anInt7319, 4)` (planeCount=4 matches the 4-plane dungeon/floor model used throughout the world-map code). The `if (sentinel != 19278) method1717(35, 126, -83, 85)` self-recursive branch is a dead decoy - the only real caller always passes 19278."
