current_name,recommended_name,current_params,recommended_params,confidence,notes
method3984,applyTileShapeAndInvalidateRegion,"i: Int, i_0_: Int, i_1_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_2_: Int, i_3_: Int","x: Int, z: Int, radius: Int, mask: Array<BooleanArray?>?, unused: Boolean, shapeVariant: Int, unused2: Int",medium,"Overrides abstract TerrainTile.method3984. Sets anInt5151 (a shape/LOD-variant selector consumed by method3979/invalidateTile) to `shapeVariant`, rebuilds a per-shape height array `fs` by draining `aNodeDeque_5149` (queue of AbstractTileShape entries populated by method3981/addTileShape) and reading each shape's `method2721()` (height) value, uploads it via `q(fs)`/uploadTileShapeHeights, then for every true cell in the (2*radius)x(2*radius) `mask` grid centered on (x,z) that is in-bounds calls `method3979(nx, nz)` to invalidate that neighboring tile. `bool` and `i_3_` are never read in the body — dead/decoy params carried over from the abstract signature."
wa,renderTile,"var_renderNode: RenderNode?, i: Int, i_9_: Int, i_10_: Int, i_11_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, y: Int, worldZ: Int, detail: Int, flag: Boolean",low,"Abstract native method (external override of TerrainTile.wa), no Kotlin body to inspect. By elimination against the sibling native method `CA` in this same file — shown via `ShaderProgram.kt`'s companion `method3437` (decompiler-merged unrelated terrain-shadow-baking code, see PLAN.md note on this pattern) to be a shading/height-blend bake call — `wa` is inferred to be the actual tile draw/render entry taking a RenderNode plus world position and an unspecified detail/flag pair. No direct Kotlin call site found."
method3979,invalidateTile,"i: Int, i_12_: Int","x: Int, z: Int",high,"Dispatches to `anOa5150.method3973()?.method142(this, x, z)` when `anInt5151 < 0` (no active shape-variant override), else `...method147(this, x, z, anInt5151)` — picks between a default rebuild and a rebuild-with-explicit-shape-variant call on the owning renderer (`oa`). Called by method3984/method3983 (region invalidation) for each neighboring tile."
w,dispose,bool: Boolean,force: Boolean,high,"Implements Disposable.w(bool); native-declared with no body visible here, but this is the standard Disposable contract used identically by xa.w/ya.w elsewhere in this batch (native resource release; param likely an 'immediate/blocking release' flag)."
method3978,expandAndBakeTileMesh,"i: Int, i_13_: Int, `is`: IntArray, is_14_: IntArray, is_15_: IntArray, is_16_: IntArray, is_17_: IntArray, is_18_: IntArray, is_19_: IntArray, is_20_: IntArray, is_21_: IntArray, is_22_: IntArray, is_23_: IntArray, i_24_: Int, i_25_: Int, i_26_: Int, bool: Boolean","x: Int, z: Int, vertexX: IntArray, vertexOptionalA: IntArray, vertexZ: IntArray, vertexOptionalB: IntArray, faceVertexA: IntArray, faceVertexB: IntArray, faceVertexC: IntArray, faceColor: IntArray, faceExtra: IntArray, faceFlagA: IntArray, faceFlagB: IntArray, i_24_: Int, i_25_: Int, i_26_: Int, bool: Boolean",low,"For each face/triangle defined by index-triples (is_17_[k], is_18_[k], is_19_[k]) into the vertex arrays `is`/is_15_/is_14_/is_16_, expands per-face values (is_20_, is_21_ if non-null, is_22_, is_23_) into flat arrays replicated across the face's 3 vertices, then calls the native `U`/bakeTriangleMesh only if any is_20_ value != -1 or is_21_ was supplied. Only call site is internal (invoked wherever TerrainTile rebuilds this tile's mesh). Exact per-array semantics (color vs texture vs flag) are a best guess from the flattening pattern, not confirmed against native source."
method3981,addTileShape,"class348_sub1: AbstractTileShape, `is`: IntArray","shape: AbstractTileShape, indices: IntArray",high,"Pushes `shape` onto aNodeDeque_5149 (queue later drained by method3984/method3983 to build the height array passed to q/uploadTileShapeHeights), then calls native `V`/registerTileShapeNative with the shape's identity hash, its anInt6562 id (method2724(-1)), anInt6548 (method2722(124)), anInt6553 (method2717(83.toByte())), anInt6554 (method2723(-1)), anInt6545 (method2720(-1)) and the `indices` array. The magic sentinel args (-1, 124, 83, -20180) are opaque-predicate decoys in AbstractTileShape's getters that never trigger with these particular constants (see AbstractTileShape.kt)."
CA,bakeTileShading,"var_renderNode: RenderNode?, i: Int, i_45_: Int, i_46_: Int, i_47_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, heightDelta: Int, worldZ: Int, unused: Int, flag: Boolean",medium,"Abstract native method (external override of TerrainTile.CA); body not visible in this file, but its call site is recovered from ShaderProgram.kt's companion method3437 — a block of decompiler-merged, unrelated terrain-shadow-baking code sitting in the wrong file (see PLAN.md note on this recurring pattern). There it's invoked as `var_s_7_.CA(var_renderNode, worldX, avgHeightDelta, worldZ, 0, false)` where avgHeightDelta is the average of four method3982 (height-grid lookup) differences between two stacked TerrainTile 'shape' layers — appears to bake a shading/ambient-occlusion offset into the tile's render-node mesh based on height differences between adjacent LOD/plane layers. The trailing arg is always literal 0/false at this call site."
q,uploadTileShapeHeights,fs: FloatArray?,heights: FloatArray?,medium,"Private native method invoked from method3984/method3983 with an array of per-shape height floats gathered by draining aNodeDeque_5149 and reading each AbstractTileShape.method2721() (height) value — pushes the tile's current shape-height data down to the native renderer/mesh."
ka,notifyTileChanged,"i: Int, i_48_: Int, i_49_: Int","x: Int, z: Int, value: Int",low,"Abstract native method inherited from TerrainTile.ka with identical signature; no call site found in the Kotlin sources to confirm semantics. Name is a best-effort guess based on position among the other tile-coordinate methods (invalidateTile takes 2 ints, this takes 3, suggesting an extra value/flag argument)."
<init>,<init>,"private val anOa5150: oa, var_ya: ya?, i: Int, i_50_: Int, `is`: Array<IntArray?>, is_51_: Array<IntArray?>?, i_52_: Int, i_53_: Int, i_54_: Int","renderer: oa, shaderProgram: ya?, x: Int, z: Int, heightGrid: Array<IntArray?>, extraHeightGrid: Array<IntArray?>?, tileSize: Int, i_53_: Int, i_54_: Int",medium,"Primary constructor forwards (x, z, tileSize, heightGrid) up to TerrainTile's constructor and stores anOa5150/var_ya for later use; init block calls native ga(...)/createNativeTile to perform the actual native-side tile construction. `var_ya` here is very likely a native shader-program handle rather than a texture manager — see notes on ya.kt in this same batch (its class header comment 'NativeTextureManager' appears to be a decompiler mis-label; oa.method3702 constructs `ya(this, i)` and returns it typed as ShaderProgram)."
method3989,isRenderable,"var_renderNode: RenderNode?, i: Int, i_55_: Int, i_56_: Int, i_57_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, y: Int, worldZ: Int, detail: Int, flag: Boolean",low,"Overrides abstract TerrainTile.method3989; body is a trivial `return true` stub — this native-backed subclass appears to leave the visibility/culling check unconditionally true in Kotlin, likely because the real check happens inside the native renderer."
V,registerTileShapeNative,"i: Int, i_58_: Int, i_59_: Int, i_60_: Int, i_61_: Int, i_62_: Int, `is`: IntArray?","hashCode: Int, shapeId: Int, field2: Int, kind: Int, field4: Int, field5: Int, indices: IntArray?",medium,"Private native method invoked only from method3981/addTileShape with (shape.hashCode(), shape.method2724(-1), shape.method2722(124), shape.method2717(83.toByte()), shape.method2723(-1), shape.method2720(-1), indices) — registers the shape's identity/properties and vertex indices with the native tile mesh."
YA,commitTileChanges,,,low,"Abstract native no-arg method inherited from TerrainTile.YA; no call site or body available in Kotlin sources to confirm semantics."
method3983,clearTileShapeAndInvalidateRegion,"i: Int, i_63_: Int, i_64_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_65_: Int","x: Int, z: Int, radius: Int, mask: Array<BooleanArray?>?, unused: Boolean, unused2: Int",medium,"Near-identical mirror of method3984 except it resets anInt5151 = -1 (clearing the shape-variant override) instead of setting it, before invalidating the same mask-neighborhood of tiles via method3979/invalidateTile. `bool` and `i_65_` are unused in the body (decoy params, same as in method3984)."
fa,getRenderNode,"i: Int, i_71_: Int, var_renderNode: RenderNode?","x: Int, z: Int, candidate: RenderNode?",medium,"Abstract native method inherited from TerrainTile.fa; cross-referenced via ShaderProgram.kt's decompiler-misplaced method3437, which calls it as `var_s.fa(i_3_, i_2_, var_renderNode)` in a loop that threads the returned node into subsequent CA/bakeTileShading calls across stacked tile layers — consistent with a get-or-create/lookup accessor for the tile's cached RenderNode."
finalize,finalize,,,high,"Standard native-resource cleanup guard: `if (nativeid != 0L) RequestGate.method1947(0, this)` — schedules native disposal via RequestGate when the object is GC'd. Same pattern repeated verbatim in xa.kt/ya.kt in this batch."
ga,createNativeTile,"var_oa: oa?, var_ya: ya?, i: Int, i_72_: Int, `is`: Array<IntArray?>?, is_73_: Array<IntArray?>?, i_74_: Int, i_75_: Int, i_76_: Int","renderer: oa?, shaderProgram: ya?, x: Int, z: Int, heightGrid: Array<IntArray?>?, extraHeightGrid: Array<IntArray?>?, tileSize: Int, i_75_: Int, i_76_: Int",medium,"Private native constructor-helper, called exactly once from the init block with the same arguments the primary constructor received (plus this.anIntArrayArray4584, the inherited height grid) — sets up the native-side tile object and presumably assigns nativeid."
U,bakeTriangleMesh,"i: Int, i_77_: Int, `is`: IntArray?, is_78_: IntArray?, is_79_: IntArray, is_80_: IntArray?, is_81_: IntArray, is_82_: IntArray?, is_83_: IntArray, is_84_: IntArray, i_85_: Int, i_86_: Int, i_87_: Int, bool: Boolean","x: Int, z: Int, vertexX: IntArray?, vertexOptionalA: IntArray?, faceColor: IntArray, vertexOptionalB: IntArray?, vertexZ: IntArray, faceExtra: IntArray?, faceFlagA: IntArray, faceFlagB: IntArray, i_85_: Int, i_86_: Int, i_87_: Int, bool: Boolean",low,"Abstract native method inherited from TerrainTile.U; invoked only from method3978/expandAndBakeTileMesh after it flattens the face-indexed arrays into flat per-vertex-triplicated arrays — this is the actual native mesh-upload call. Exact field semantics of each IntArray are uncertain; names are best-effort based on the flattening logic in method3978."
method3987,invalidateTileRegion,"i: Int, i_88_: Int, i_89_: Int, i_90_: Int, i_91_: Int, i_92_: Int, i_93_: Int, bools: Array<BooleanArray?>","x: Int, i_88_: Int, i_89_: Int, i_90_: Int, i_91_: Int, i_92_: Int, i_93_: Int, mask: Array<BooleanArray?>",medium,"Pure passthrough — delegates directly to `anOa5150.method3973()?.method148(this, x, i_88_, i_89_, i_90_, i_91_, i_92_, i_93_, mask)`, the owning renderer's bulk tile-region-invalidation entry point (a sibling of the method142/method147 calls used by method3979/invalidateTile). Exact meaning of the 6 middle ints (likely a bounding box / origin+size) not resolved without analyzing oa.kt."
