current_name,recommended_name,current_params,recommended_params,confidence,notes
method1554,getHeadModel,"bool: Boolean, i: Int","isFemale: Boolean, unused: Int",medium,"Builds (and format-upgrades if needed via `ModelDefinition.method1092`) a composite ModelDefinition from a gender-selected pair of model ids (`anInt2792`/`anInt2822` primary, `anInt2767`/`anInt2775` secondary), applying this item's recolour (`aShortArray2777`/`aShortArray2771`) and retexture (`aShortArray2785`/`aShortArray2801`) tables. Confirmed as gender-driven via CompositeNpcModelBuilder.kt, whose only call site passes `this.aBoolean2100` (a female/male flag on the composite npc/player model builder) as `bool`. Named 'HeadModel' (vs. the 3-model method1558/'WornModel') because it combines exactly 2 model ids, matching the classic RS ObjType head-slot model pair (headModel/headModel2) rather than the 3-slot worn-body set; not independently verified beyond this file. `unused` only feeds a format-version upgrade threshold check that is always false at the only external call site (-14)."
method1555,isHeadModelReady,"i: Byte, bool: Boolean","unused: Byte, isFemale: Boolean",medium,"Checks whether the archive entries for the same gender-selected model-id pair used by method1554 are cached/loaded (`aJs5Archive_3268.method420`, an 'is entry ready' probe). Confirmed via CompositeNpcModelBuilder.kt passing the same `aBoolean2100` gender flag. `unused` only feeds a dead division expression."
method1556,applyNoteTemplate,"itemDefinition_9_: ItemDefinition?, i: Byte, itemDefinition_10_: ItemDefinition?","template: ItemDefinition?, unused: Byte, owner: ItemDefinition?",medium,"Copies most display/model fields (name, recolour/retexture tables, string overrides, cached model ids) from `template` and a handful of value/appearance fields (`anInt2779`, `anInt2781`, `anInt2825`, `anInt2810`, `anInt2787`, `anInt2826`) from `owner` into `this`. Only call site (ModelHeaderCache.kt) is gated on `itemDefinition.anInt2812 != -1` and loads `template`/`owner` via that same field and `anInt2778` - matching the classic RS 'noted item borrows appearance from a template definition' mechanism. `unused` only gates a redundant `method1554(false, -92)` call when > -5 (true at the only observed value, -29)."
method1557,formatPriceString,"i: Int, i_12_: Int","value: Int, unused: Int",high,"Formats a shop/GE-style price string with colour tags and k/m suffixes: `<100000` plain gold-coloured number, `<10000000` divided by 1000 with a 'k' localized suffix (white), otherwise divided by 1000000 with an 'm' suffix (green). `unused` only sets `this.anInt2788 = -113` when != -11619 (always true at the two observed call sites, -11517/-15, so this is effectively always executed - kept as a mild side-effect rather than a pure decoy)."
method1558,getWornModel,"bool: Boolean, bool_13_: Boolean","isFemale: Boolean, unusedFlag: Boolean",medium,"Like method1554 but combines up to 3 gender-selected model ids (`anInt2815`/`anInt2788`, `anInt2804`/`anInt2760`, `anInt2805`/`anInt2770`) plus this item's recolour/retexture tables and, when not `isFemale`... actually applies scale-offset transforms (`method1099`) based on flag-selected int triples. Confirmed gender-driven via CompositeNpcModelBuilder.kt (`this.aBoolean2100`) and ModelKeyBuilder.kt (`bool`). Named 'WornModel' (3-slot) to distinguish from the 2-slot method1554/'HeadModel'. `unusedFlag` (`bool_13_`, unused Boolean at index [1]) only nulls `this.aHashtable_2757` (the params table) as a side effect when true - real callers pass both true and false so kept as a real (if oddly-placed) flag rather than a confirmed decoy."
method1559,getModel,"compositeNpcModelBuilder: CompositeNpcModelBuilder?, widgetDefinition: WidgetDefinition?, var_renderer: Renderer?, i: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Byte, i_24_: Int","modelBuilder: CompositeNpcModelBuilder?, widget: WidgetDefinition?, renderer: Renderer?, flags: Int, unused: Int, quantity: Int, tint: Int, unusedByte: Byte, shadowOrLighting: Int",medium,"Main item-model getter: if `quantity > 1` and this item has stack-size variants (`anIntArray2762`/`anIntArray2831`, matching the well-known RS 'countObj'/'countCo' stacked-item substitution arrays), recurses into the substituted item's definition first. Otherwise loads/builds the base model from the definitions archive, caches the built `AbstractModel` per (renderer, `anInt2769`) key in the ModelHeaderCache's LRU (`aLruByteCache_3287`), applies recolour/retexture and per-equip-slot palette swaps from `compositeNpcModelBuilder`, then lets `widget` apply any widget-specific transform. `unusedByte` is a decoy (only call sites pass 88.toByte(), matching the guard, so the dead `aString2795 = null` branch never fires)."
method1560,getStackedItem,"i: Int, i_33_: Byte","quantity: Int, unusedByte: Byte",medium,"Companion to method1559's stack-substitution logic: given `quantity`, scans the same `anIntArray2831` threshold table and returns the substituted ItemDefinition for that stack size via `ModelHeaderCache.method1940`, or `this` if no substitution applies. `unusedByte` is a decoy (only call site passes 97.toByte(), matching the guard, so the dead `anIntArray2762 = null` branch never fires)."
method1561,getParamString,"string: String?, i: Int, i_36_: Int","default: String?, key: Int, unused: Int",medium,"Looks up a cached `StringCacheNode` from this item's params hashtable (`aHashtable_2757`, populated from config opcode 249 - the item's ParamID system) by a combined key derived from `key`/`unused`, returning its string or `default` if absent/no params table. `unused` mostly acts as part of the lookup key XOR, but also gates a dead `method1569(25, null)` decode call when != -1511086397 (always true at the two observed call sites, so that branch always fires but its argument, a null buffer, would NPE if actually reached - suggesting it's unreachable in practice for another reason not visible in this file)."
method1562,buildInventoryIconPixels,"i: Int, bool: Boolean, i_37_: Int, var_renderer: Renderer?, var_renderer_38_: Renderer?, RSFont: RSFont?, compositeNpcModelBuilder: CompositeNpcModelBuilder?, i_39_: Int, i_40_: Byte, i_41_: Int","flags: Int, isWorn: Boolean, highlightColor: Int, sceneRenderer: Renderer?, iconRenderer: Renderer?, font: RSFont?, modelBuilder: CompositeNpcModelBuilder?, priceTextMode: Int, unusedByte: Byte, outlineLevel: Int",low,"Renders this item's model into an offscreen 36x32 buffer (camera/lighting setup via `iconRenderer`, e.g. for inventory/shop/bank icon generation) using `getWornModel`/`getHeadModel`-style rendering machinery, then post-processes the resulting pixel array with 1-2 passes of outline dilation (`method1572`) when `outlineLevel >= 1` and optionally stamps a price string (`method1557`) via `font` when `priceTextMode` is 1 or 2. Finally darkens/keys the background (`WhirlpoolHash.method2057`) and returns the ARGB pixel array. `unusedByte` is a decoy (only call site passes -102.toByte(), matching the guard, so the dead `method1554(false, 37)` call never fires)."
method1563,finalizeDefinition,i: Byte,unused: Byte,low,"Only call site (ModelHeaderCache.kt) passes 92.toByte(), which is >= the method's `32` threshold, so the `this.anInt2752 = -31` mutation branch is dead in practice; the method's only observed real effect is incrementing the `anInt2814` call counter. Kept as a real (if currently inert) 'post-decode finalize' step rather than removed."
