current_name,recommended_name,current_params,recommended_params,confidence,notes
method1065,decodeOpcode,"class348_sub49: ByteBuffer, i: Int, i_0_: Int","buffer: ByteBuffer, unused: Int, opcode: Int",high,"Per-opcode decoder called in a loop from method1069/decode. opcode 1 -> aChar1778 = key type char (via MinimapSquareDrawer.method462); opcode 2 -> aChar1779 = value type char; opcode 3 -> aString1774 = default string; opcode 4 -> anInt1764 = default int; opcode 5/6 -> reads a count and builds aHashtable_1767 (sized via CacheArchiveIndexLoader.method340, a next-power-of-two helper) mapping an int key to either a StringCacheNode (opcode 5, string value) or IntKeyNode (opcode 6, int value). Field layout (key type char, value type char, default int, default string, int-keyed map of int/string values) matches RS's 'Enum' config type despite the generic class name. The trailing `if (i != -21424) method1068(...)` is a dead opaque-predicate branch: the only caller (method1069) always invokes this with `i + -21424` where i is always 0 at the sole external call site (CacheArchiveIndexLoader.method337), so the comparand is always exactly -21424 and method1068 never runs from here."
method1066,containsStringValue,"bool: Boolean, string: String","forceRebuild: Boolean, value: String",medium,"Reverse-lookup: hashes `string` via TypedRecordTable.method2179 and searches a lazily-built secondary Hashtable (aHashtable_1770, built by method1071) of StringValueNode entries for a node whose aString7111 equals the given string; returns true if found. `bool` forces the secondary index to be discarded/rebuilt (aHashtable_1770 = null) before the lookup when true. Only call site (ChatCommandProcessor.kt:4224) passes bool=false, so the rebuild-forcing branch is never exercised there; the lazy-build-if-null path (method1071) is what actually populates it on first use."
method1067,containsValue,"bool: Boolean, i: Int","doCheck: Boolean, value: Int",medium,"Reverse lookup for int-valued Enum entries: if aHashtable_1767 is null returns false; if `bool` is not true, returns true immediately without touching anything else (a no-op success stub); otherwise lazily builds the reverse index (method1068) keyed by the entry's value pointing back to its key, then checks whether `value` exists as a key in that reverse index (i.e. whether it appears as a mapped value in the enum). Real usage: ChatCommandProcessor.kt:4215 calls with bool=true (does the real check); CacheArchiveIndex.method1073 calls it with bool=false purely to increment the anInt1773 counter and get a discarded `true` back - effectively a dead/no-op call at that site."
method1068,buildValueToKeyIndex,i: Byte,unused: Byte,high,"Builds aHashtable_1770 as a reverse index over aHashtable_1767's IntKeyNode entries: for each entry (original key in aLong4291, value in anInt6976) inserts a new IntKeyNode keyed by the entry's value (anInt6976) whose payload is the original key (aLong4291). This lets method1067 answer 'does this int value occur among the enum's mapped values' by reverse key lookup. The Byte param `i` is not used anywhere in the body - fully unused/decoy."
method1069,decode,"i: Int, class348_sub49: ByteBuffer","unused: Int, buffer: ByteBuffer",high,"Top-level decode loop: reads an opcode byte (`readUnsignedByte(i + 255)`, i.e. XOR/offset key for the buffer reader, not real data) until it reads 0 (terminator), dispatching each opcode via method1065(buffer, i + -21424, opcode). Sole call site is CacheArchiveIndexLoader.method337 with i=0, so `i + -21424` is always exactly -21424 (see method1065 notes) and the trailing `if (i != 0) aString1774 = null` is also a dead opaque-predicate branch (i is always 0 in practice)."
method1071,buildStringValueIndex,bool: Boolean,unused: Boolean,high,"Builds aHashtable_1770 as a reverse index over aHashtable_1767's StringCacheNode entries: for each entry (string in aString7211, original key in aLong4291) inserts a StringValueNode keyed by the string's hash (via TypedRecordTable.method2179) whose payload is the string plus original key, so method1066 can look up 'does this string value occur in the enum' by hash. `bool` is forwarded into `Hashtable(aHashtable_1767!!.method3475(bool))` (a sizing/mode flag on the underlying Hashtable) but not otherwise branched on here; no external call sites were found (only called internally from method1066 with a literal true), so behavior with false is unconfirmed."
method1073,getIntValue,"bool: Boolean, i: Int","unused: Boolean, key: Int",high,"Returns the int value mapped to `key` in aHashtable_1767 (via IntKeyNode.anInt6976), or the default int (anInt1764) if the table is null or the key is absent - this is the enum's int-value getter. The leading `if (bool != false) method1067(false, -31)` is dead in practice: the only call site (ChatCommandProcessor.kt:4202) always passes bool=false, so this guarded call never fires; even if it did, method1067(false, ...) is itself a no-op per its own notes."
method1074,getStringValue,"i: Int, i_7_: Int","key: Int, unused: Int",medium,"Returns the string value mapped to `key` in aHashtable_1767 (via StringCacheNode.aString7211), falling back to the default string (aString1774) if the table is null or the key is absent - the enum's string-value getter. All observed call sites (ChatCommandProcessor.kt, ItemNameResolver.kt, Player.kt) pass a second argument in the 90-145 range, always > 60, so the leading `if (i_7_ <= 60) return null` guard is never observed to trigger; kept as a plain param since no call site with <=60 was found, but it reads like the same opaque-predicate/decoy-guard idiom seen elsewhere in this codebase rather than meaningful logic."
method1064,resetFontMetaRef,i: Int,unused: Int,high,"Companion/static: unconditionally sets aFontMetaRef_1766 = null; the `if (i != -3) aFontMetaRef_1766 = null` branch is a decoy since the field is set to null again immediately after regardless of the branch outcome, and the sole call site (Client.kt:974) passes -3 anyway. Net effect: clears the cached FontMetaRef."
method1070,ensureIntBufferCapacity,"i: Byte, i_6_: Int","unused: Byte, minSize: Int",medium,"Ensures CipheredPacketBuffer.anIntArray9757 is non-null and at least `i_6_` in size, reallocating with `IntArray(i_6_)` if too small (classic grow-only scratch-buffer pattern). The `if (i < 109) anInt1780 = 10` branch is not exercised by either observed call site (CircleDrawer.kt passes 118.toByte(), CircleRasterizer.kt passes 117.toByte(), both >= 109), so it looks like another dead/decoy branch tied to a shared static anInt1780 whose purpose is unclear from this file alone."
method1072,setModelFacePriorityArchive,"js5Archive: Js5Archive?, i: Byte",js5Archive: Js5Archive?,medium,"Stores the given Js5Archive into ModelFacePriorityNode.aJs5Archive_5964 (a global archive reference used elsewhere for face-priority/model data) and bumps anInt1771. The `if (i >= -91) method1070(...)` branch is dead at the only call site found (TextureLoadExceptionStatics.kt passes -107.toByte(), which is < -91), called during what looks like a broader cache/state reset routine alongside many unrelated static resets."
