current_name,recommended_name,current_params,recommended_params,confidence,notes
init,init,(none),(none),high,"Overrides Applet-style init() (part of the GameApplet interface this class implements alongside AWT Panel); simply calls doApplet(). Already a clear/idiomatic name - no rename needed."
doApplet,doApplet,(none),(none),high,"Sets up launch parameters (setParms) then starts the game client (startClient) - the applet-mode launch path (no separate JFrame window). Already clear."
doFrame,doFrame,(none),(none),high,"Sets up launch parameters, opens a standalone JFrame window (openFrame), then starts the game client - the desktop/standalone-window launch path, used by main(). Already clear."
setParms,setParms,(none),(none),high,"Populates `aProperties1` with the full set of legacy applet parameters (world id, lobby address, cache/cookie settings, RSA-adjacent flags, etc.) consumed via getParameter() elsewhere (e.g. by Client.init()). Already clear."
openFrame,openFrame,(none),(none),high,"Creates and shows the standalone JFrame host window (sets layout, size 765x503, icon images, close operation) and embeds this Loader panel inside it - the desktop-window chrome setup for doFrame(). Already clear."
startClient,startClient,(none),(none),high,"Registers this Loader as the active GameApplet host (provideLoaderApplet), then constructs, inits, and starts a new Client instance - the actual game bootstrap entry point shared by both doApplet() and doFrame(). Already clear."
getParameter,getParameter,arg0: String?,name: String?,high,"Overrides the legacy Applet-style getParameter(String) contract, looked up from `aProperties1` (populated by setParms). Trivial delegation; `name` is a clearer param name than `arg0` but the method itself is already correctly named by its override contract."
getDocumentBase,getDocumentBase,(none),(none),high,"Overrides the legacy Applet contract; simply delegates to getCodeBase(). Already correctly named by its override contract - no change needed."
destroy,destroy,(none),(none),high,"Overrides the legacy Applet contract; empty body (no cleanup implemented). Already correctly named by its override contract."
getPulseComponent,getPulseComponent,(none),(none),high,"Part of the GameApplet interface; returns `this` (the Loader panel itself) as the AWT Component used for the client's render/paint 'pulse' loop. Already clear."
showDocument,showDocument,"url: URL?, target: String?","url: URL?, target: String?",high,"Part of the GameApplet interface (a browser-navigation stub, since this is no longer running inside an actual browser applet host); just prints the requested URL/target to stdout instead of navigating anywhere. Already clear."
getCodeBase,getCodeBase,(none),(none),high,"Overrides the legacy Applet contract; builds a base URL either to the fixed RuneScape world-16 lobby host (`loadRunescape == true`) or to the configurable `address` field (custom/private server), used for asset loading and getDocumentBase(). Already clear."
main,main,args: Array<String>,args: Array<String>,high,"Companion @JvmStatic entry point. Parses simple `-ip/--address`, `-p/--port`, `-d/--debug`, `-t/--trace` CLI flags into the companion's static fields, then constructs a Loader and calls doFrame() to launch the standalone-window client. Already clear."
getDebug,getDebugSuffix,id: Int,id: Int,high,"Companion overload (1 of 3) formatting a colored `<col=00ff00>(id)</col>` debug suffix string, shown only when `debug` is true; otherwise returns an empty string. Used elsewhere (not in this file) to append widget/component ids to on-screen text for debugging. Renamed to disambiguate from the unrelated `getDebug(id, component)` and `getDebug(id, x, y, plane)` overloads, all of which just format different id tuples."
getDebug,getDebugSuffix,"id: Int, component: Int","id: Int, component: Int",high,"Companion overload (2 of 3) - same debug-suffix pattern as the 1-arg version, formatting an `(id - component)` pair. Renamed alongside its sibling overloads for clarity."
getDebug,getDebugSuffix,"id: Int, x: Int, y: Int, plane: Int","id: Int, x: Int, y: Int, plane: Int",high,"Companion overload (3 of 3) - same debug-suffix pattern, formatting an `(id - x, y, plane)` tuple (a game-world coordinate). Renamed alongside its sibling overloads for clarity."
