current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,arg0: hb?,peerContext: hb?,medium,"Primary constructor delegates to `uda(arg0)` (native-heap-tracked peer base, see jaclib.peer.uda) then calls the private native `Init()` in the init block to allocate the native D3DLIGHT9 struct. `arg0`/`hb` is the shared native peer/reference-cleanup context used identically across GeometryBuffer, PixelBuffer, IDirect3D, IDirect3DDevice, IDirect3DBaseTexture constructors in this package - name is a best-effort based on `jaclib.peer.hb`'s role as a PeerReference tracking/cleanup queue, not confirmed from this file alone."
Init,allocateNative,,,medium,"Private external, called once from the init block right after construction. No params/return - almost certainly the native-side allocation of the underlying `D3DLIGHT9` struct that all the `SetX` methods below write into. Never called again after construction."
SetAttenuation,setAttenuation,"arg0: Float, arg1: Float, arg2: Float","constant: Float, linear: Float, quadratic: Float",high,"Matches real D3DLIGHT9.Attenuation0/1/2 fields exactly (3 floats, no extra semantics). Confirmed at call site D3dRenderDevice.kt:338 `aD3DLIGHT9808.SetAttenuation(0.0f, 0.0f, 1.0f / (radius*radius))` - the classic constant=0, linear=0, quadratic=1/r^2 point-light falloff formula."
SetDiffuse,setDiffuse,"arg0: Float, arg1: Float, arg2: Float, arg3: Float","r: Float, g: Float, b: Float, a: Float",high,"Matches real D3DLIGHT9.Diffuse (D3DCOLORVALUE: r,g,b,a). Confirmed at D3dRenderDevice.kt:287 `aD3DLIGHT9789.SetDiffuse(f * this.aFloat8180, this.aFloat8087 * f, f * this.aFloat8168, 0.0f)` - three modulated color channels plus a fixed 0.0 alpha."
SetSpecular,setSpecular,"arg0: Float, arg1: Float, arg2: Float, arg3: Float","r: Float, g: Float, b: Float, a: Float",medium,"Matches real D3DLIGHT9.Specular (D3DCOLORVALUE r,g,b,a) by analogy with SetDiffuse/SetAmbient in the same class; no live call site found in the repo (private, and this class exposes it as `private external fun SetSpecular` - unreachable from outside the class and never invoked internally either), so the specular color of in-game lights is apparently never set (left at native default, likely black/0)."
SetAmbient,setAmbient,"arg0: Float, arg1: Float, arg2: Float, arg3: Float","r: Float, g: Float, b: Float, a: Float",high,"Matches real D3DLIGHT9.Ambient (D3DCOLORVALUE r,g,b,a). Confirmed at D3dRenderDevice.kt:51 `aD3DLIGHT9789.SetAmbient(this.aFloat8180 * this.aFloat8093, ..., i.toFloat())`."
SetSpotParams,setSpotParams,"arg0: Float, arg1: Float, arg2: Float","theta: Float, phi: Float, falloff: Float",medium,"No live call site found (spotlights are declared but this client only appears to use point/directional lights - SetType is only ever called with 1 and 3, i.e. D3DLIGHT_POINT/D3DLIGHT_DIRECTIONAL, never D3DLIGHT_SPOT=2). Name/param order inferred purely from the real D3DLIGHT9 struct's Theta/Phi/Falloff spotlight-cone fields, which are the only 3 remaining floats not covered by the other setters."
SetPosition,setPosition,"arg0: Float, arg1: Float, arg2: Float","x: Float, y: Float, z: Float",high,"Matches real D3DLIGHT9.Position (D3DVECTOR x,y,z). Confirmed at D3dRenderDevice.kt:336 `aD3DLIGHT9808.SetPosition(class348_sub1.method2724(-1).toFloat(), class348_sub1.method2722(123).toFloat(), class348_sub1.method2717(115.toByte()).toFloat())` - a world-space point light position derived from an actor/scene node's coordinates."
SetDirection,setDirection,"arg0: Float, arg1: Float, arg2: Float","x: Float, y: Float, z: Float",high,"Matches real D3DLIGHT9.Direction (D3DVECTOR x,y,z). Confirmed at D3dRenderDevice.kt:189 `aD3DLIGHT9789.SetDirection(-this.aFloatArray8170[0], -this.aFloatArray8170[1], -this.aFloatArray8170[2])` - negated sun/directional-light vector."
SetRange,setRange,arg0: Float,range: Float,high,"Matches real D3DLIGHT9.Range field. Confirmed at D3dRenderDevice.kt:339 `aD3DLIGHT9808.SetRange(class348_sub1.method2723(-1).toFloat())` - light falloff distance derived from the same accessor used for the attenuation quadratic term's radius."
SetType,setType,arg0: Int,type: Int,high,"Matches real D3DLIGHT9.Type (D3DLIGHTTYPE enum: 1=D3DLIGHT_POINT, 2=D3DLIGHT_SPOT, 3=D3DLIGHT_DIRECTIONAL). Confirmed at D3dRenderDevice.kt:673-675 `aD3DLIGHT9789.SetType(3)` / `aD3DLIGHT9796!!.SetType(3)` (both directional sun/ambient-fill lights) and `aD3DLIGHT9808.SetType(1)` (per-object point light)."
