current_name,recommended_name,current_params,recommended_params,confidence,notes
method890,worldToLocalInPlace,is: IntArray,point: IntArray,medium,"In-place transform of a world-space point (point[0..2]=x,y,z) into this transform's local/camera space: subtracts translation components then multiplies by the 3x3 rotation matrix, writing result back into the same array. Mirror-image of method897 (local->world). Verified in MatrixCameraTransform/FloatCameraTransform/ProjectionCameraTransform implementations; the translation fields subtracted are the same three fields (re)assigned by method891/method894/method892, confirming they represent this transform's position."
method891,translate,"i: Int, i_0_: Int, i_1_: Int","dx: Int, dy: Int, dz: Int",high,"Adds the three params directly onto the transform's translation components (this.aFloatXXXX += param) in all three concrete subclasses (Matrix/Float/ProjectionCameraTransform) - classic incremental translate. Called e.g. from AnimatedModelRenderer.kt and FlipTextureNode.kt with per-frame offsets. Parameter->axis order is consistent with method892/894/897/903's position params."
method892,worldToLocal,"i: Int, i_2_: Int, i_3_: Int, is: IntArray","x: Int, y: Int, z: Int, out: IntArray",medium,"Same operation as method890 (subtract translation, then rotate by the 3x3 matrix) but takes explicit x/y/z instead of reading them from the output array; result written into `is`/out. Effectively worldToLocal(point) with separate in/out. Companion of method897 (local->world, adds translation instead of subtracting)."
method894,setPosition,"i: Int, i_12_: Int, i_13_: Int","x: Int, y: Int, z: Int",high,"Sets translation fields directly from the 3 params (not additive, unlike method891) and simultaneously resets the rotation part of the matrix to identity in all three subclasses. Effectively 'reset transform to identity rotation at this position'. Called e.g. from WaterDetailOptionState.kt for camera/reflection setup."
method895,setYaw,i: Int,angle: Int,medium-high,"Resets the 3x3 rotation matrix to a single-axis rotation built from a sin/cos lookup table (angle masked with 0x3fff, i.e. 14-bit angle 0..16383) - leaves one diagonal element fixed at 1.0 (same diagonal method896 leaves untouched when it does a post-multiply rotation about the same axis, confirmed by comparing which matrix fields each method writes). At the only found call site chain (FlipTextureNode.kt ~470/478) this axis is always paired with method896 which is applied to the 'yaw'-labelled model rotation field (anInt675), giving reasonable confidence this is the yaw axis, though the true world-axis identity (X/Y/Z) could not be independently confirmed - see method899/method902 for the other two axes found by the same reasoning (paired with 'pitch' and 'roll' fields respectively)."
method896,rotateYaw,i: Int,angle: Int,medium-high,"Post-multiplies the existing rotation matrix by a rotation about the same axis that method895 resets to (confirmed by inspecting which of the three diagonal matrix fields each method leaves unmodified - 896 modifies exactly the two diagonals that 895 does NOT set to 1). At call sites (FlipTextureNode.kt ~471/478) this is always invoked with the model's 'yaw'-style rotation field (anInt675) in both code paths, unlike method900/method908 which correspond to pitch/roll respectively."
method897,localToWorld,"i: Int, i_14_: Int, i_15_: Int, is: IntArray","x: Int, y: Int, z: Int, out: IntArray",medium,"Rotates the (x,y,z) point by the 3x3 matrix and then ADDS the translation components (opposite order/sign from method892's worldToLocal, which subtracts translation first then rotates). Used e.g. in ActorEntity.kt (`aAbstractCameraTransform_9114!!.method897(...)`) to project a local offset into world/scene space."
method898,copyFrom,abstractCameraTransform_16_: AbstractCameraTransform?,other: AbstractCameraTransform?,high,"Casts the argument to the concrete subclass type and copies every rotation+translation float field from it onto `this`. Pure state copy/assignment, confirmed identical pattern in all three concrete subclasses (Matrix/Float/ProjectionCameraTransform)."
method899,setPitch,i: Int,angle: Int,medium-high,"Same pattern as method895/method902 (reset-to-identity-then-rotate-one-axis using the 14-bit angle lookup table), but leaves a different diagonal element fixed - paired with method900 (which modifies the other two diagonals, confirmed via field-level diffing). At FlipTextureNode.kt ~470/480 this pair (899 first-call / 900 second-call) is always invoked with the model's 'pitch'-style rotation field (anInt757), in both the aBoolean784-branch and its else-branch."
method900,rotatePitch,i: Int,angle: Int,medium-high,"Post-multiply rotation about the same axis as method899 (see method899 notes for the field-diffing evidence and call-site correlation with the 'pitch' angle field anInt757)."
