current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,component: Component?,component: Component?,high,"Constructor: calls FloatBuffer.method3402((-82).toByte()) (an unrelated static touch/init call, purpose not resolved from this file) then immediately calls attachToComponent(component, 2) i.e. attaches this listener to the given AWT Component right away."
method2697,pollNextChar,i: Int,unusedDecoy: Int,high,"Overrides KeyboardInputSource.method2697 (abstract fun method2697(i: Int): CharStreamReader?). Dequeues and returns the head of the processed character/key-event queue aNodeDeque_6541 via NodeDeque.method1997(8) (a poll-style dequeue, confirmed used the same way elsewhere as a FIFO 'take next' op). The `i` param is a decoy: `if (i != 0) aBooleanArray6543 = null` would wipe the per-key down-state array, but the only found caller (Client.kt:1572/1588: method2697(0)) always passes 0, so this destructive branch never fires in practice."
method2696,isKeyDown,"i: Int, i_0_: Int","keyCode: Int, unusedDecoy: Int",high,"Overrides KeyboardInputSource.method2696 (abstract fun method2696(i, i_0_): Boolean). Bounds-checks keyCode against the 112-slot aBooleanArray6543 down-state array and returns its value (false if out of [0,112) range). The second param triggers `method2700(119.toByte())` when i_0_ >= -120, but method2700 only does real work when its arg equals -104 (119 != -104), so this call is a no-op dead branch regardless of i_0_. Callers (ChatCommandProcessor.kt, Client.kt, LongKeyNode.kt, NpcDefinitionCache.kt, SpriteMaskShape.kt - dozens of sites via LoadProgressCounters.aKeyboardInputSource_2449) pass keyCode values like 81/82/86/etc and varying negative decoy bytes (-120..-128), confirming the second param carries no real signal."
method2700,detachListenersAndResetState,i: Byte,unusedDecoy: Byte,medium,"Private helper; body only executes when i.toInt() == -104. Both call sites in this file pass the literal (-104).toByte() (line 64 inside detach/method2698, line 161 inside attachToComponent/method2706's pre-clean step), so the guard is always satisfied in practice - the Byte param carries no information, it could have been a no-arg method. When triggered: removes this as KeyListener/FocusListener from aComponent6544, nulls the component ref, clears all 112 down-state flags, clears the char queue (aNodeDeque_6541.method1996(116)) and clears the raw event queue with a computed clear-mode arg (aNodeDeque_6542!!.method1996(i.toInt() xor 0x1b.inv())) - an obfuscated but real (non-decoy) constant since i is always -104 here."
keyPressed,keyPressed,keyevent: KeyEvent,keyevent: KeyEvent,high,"java.awt.event.KeyListener override, name is already correct/idiomatic. @Synchronized. Delegates to mapAndEnqueueKeyEvent(keyevent, 0, 0) i.e. dispatches a 'pressed' (eventType 0) raw event."
method2701,mapAndEnqueueKeyEvent,"keyevent: KeyEvent, i: Int, i_2_: Int","keyevent: KeyEvent, unusedBaseline: Int, eventType: Int",high,"Maps the raw AWT keycode through GlIndexBufferArb.anIntArray8507 (an AWT-keycode -> internal-keycode lookup table) to get an internal code; bit 0x80 in the mapped value appears to flag 'requires special handling on release' (`if (i_2_ == 0 && (mapped and 0x80) != 0) mapped = 0 else mapped = mapped and 0x80.inv()`), i.e. on press (eventType 0) certain mapped keys are suppressed entirely, on release (eventType 1) the flag bit is always stripped. If the resulting code differs from `i` (both call sites - keyPressed and keyReleased - pass i=0 as a fixed baseline, so this is really just 'code != 0'), enqueues a raw KeyEventNode via enqueueRawEvent(mappedCode, 128, '\\u0000', eventType) and consumes the AWT event. `i` is effectively a decoy/fixed baseline rather than a meaningful parameter."
method2698,detach,i: Int,unusedDecoy: Int,high,"Overrides KeyboardInputSource.method2698 (abstract fun method2698(i: Int)). Real detach logic: calls detachListenersAndResetState((-104).toByte()) (always fires, see above). The Int param is a decoy: `if (i != 14174) aNodeDeque_6542 = null` never triggers because the sole caller, NpcReference.kt:48, passes the literal 14174."
method2702,enqueueRawEvent,"i: Int, i_4_: Int, c: Char, i_5_: Int","keyCode: Int, unusedDecoy: Int, char: Char, eventType: Int",high,"Builds a KeyEventNode (anInt4767=keyCode, aChar4761=char, anInt4771=eventType, aLong4764=timestamp from GameClock.method599(-102)) and pushes it onto the raw input queue aNodeDeque_6542 via NodeDeque.method1999(node, -20180) (an enqueue/addLast-style op used identically throughout the codebase). i_4_ is a decoy: `if (i_4_ != 128) aComponent6544 = null` never fires because every call site in this file (mapAndEnqueueKeyEvent, keyTyped, focusLost) passes the literal 128."
keyReleased,keyReleased,keyevent: KeyEvent,keyevent: KeyEvent,high,"KeyListener override, name already correct. @Synchronized. Delegates to mapAndEnqueueKeyEvent(keyevent, 0, 1) i.e. 'released' (eventType 1)."
keyTyped,keyTyped,keyevent: KeyEvent,keyevent: KeyEvent,high,"KeyListener override, name already correct. @Synchronized. Filters the typed char through ObjectSpawnDecoder.method1089(-125, c) (likely a printable/valid-char check) and, if accepted, enqueues a synthetic event via enqueueRawEvent(-1, 128, c, 3) - keyCode -1 and eventType 3 mark this as a 'typed character' pass-through event (see pollAndDispatchEvents where anInt4771==3 pushes the node straight through unmodified)."
