current_name,recommended_name,current_params,recommended_params,confidence,notes
method2136,updateTextureAnimationState,"i: Int, i_3_: Int, i_4_: Byte","flags: Int, variant: Int, decoyByte: Byte",high,"Override of abstract MaterialPass.method2136; cross-referenced with MaterialPass.csv's recommended name for the same abstract hook. If `decoyByte>=-42` clears the cached 1D water-height texture (aClass258_Sub4_6285). If bit 0 of `flags` is set and the water uses reflection (aWaterTextureSet_6278.aBoolean1442), computes a scrolling texgen plane driven by the renderer's millisecond clock (anInt7735 % 4000) via glTexGenfv; otherwise picks a frame from aClass258_Sub3Array1444 indexed by a 16-step animation counter derived from the same clock. Clearly the per-frame water-scroll-texture update."
method2134,activatePass,"bool: Boolean, bool_6_: Boolean","enabled: Boolean, skipReflectionSetup: Boolean",medium,"Override of abstract MaterialPass.method2134 (beginPass/activatePass per MaterialPass.csv). When the renderer has an active reflection texture (anInt7782>0), sets up an eye-linear texgen plane for planar water reflection, blends it in with method3744(...,770,0.5f), and binds aClass258_Sub4_6285 (the water-height ramp texture built in <init>/method2167). Also advances the display-list-font underwater text capture (aGlDisplayListFont_6284.method594) and pushes a scaled or GL_TEXTURE-mode matrix depending on `skipReflectionSetup`."
method2167,buildTexGenDisplayLists,i: Int,decoyFlag: Int,medium,"Private helper invoked once from <init> with the literal -21405; builds a 2-slot GlDisplayListFont capturing the enable/disable bracket for GL_TEXTURE_GEN_{S,T} scrolling-water texgen state (glTexGeni/glTexEnvf/glEnable(3168)), plus an extra reflection-normal texgen branch when the water set uses reflections (aBoolean1442). The `if (i != -21405) method2137(-18)` branch is a decoy/dead branch since the only call site passes exactly -21405."
method2137,isSupported,i: Int,decoyFlag: Int,high,"Override of abstract MaterialPass.method2137 (isSupported per MaterialPass.csv/CubeMapMaterialPass.csv naming). Both branches (`i>-5` and fallthrough) return true unconditionally -- this scrolling-water pass is always considered supported once constructed; `decoyFlag` has no effect on the outcome."
method2133,deactivatePass,i: Int,decoyFlag: Int,medium,"Override of abstract MaterialPass.method2133 (endPass/deactivatePass per MaterialPass.csv). Advances the display-list-font text capture (method594('\\u0001',...)), if a reflection was active (anInt7782>0) unbinds the reflection texture and resets blend factors, and if `decoyFlag>-75` clears the cached height texture; finally pops the GL_TEXTURE matrix pushed in activatePass."
method2140,bindPassTexture,"glTexture: GlTexture?, i: Byte, i_9_: Int","texture: GlTexture?, decoyByte: Byte, textureUnit: Int",low,"Override of abstract MaterialPass.method2140 (bindPassTexture per CubeMapMaterialPass.csv). Body only increments a call counter when `decoyByte<-89`; the supplied texture/textureUnit parameters are never referenced, so this override appears to be an intentional no-op stub for this pass (scrolling water doesn't accept externally bound textures)."
method2139,notifyFrameTick,"bool: Boolean, i: Byte","enabled: Boolean, decoyByte: Byte",medium,"Override of abstract MaterialPass.method2139 (per-frame hook; notifyFrameTick per MaterialPass.csv). Sets a fixed texture-env combine mode via renderer.method3729(260, ..., 8448); the `i_18_ = 107 % ((-60 - i) / 38)` expression result is discarded -- dead/decoy computation matching the pattern seen in sibling MaterialPass overrides."
method2165,removeFriend,"bool: Boolean, string: String?","notifyServer: Boolean, name: String?",high,"Companion/static method whose content is unrelated to ScrollTexMaterialPass -- decompiler-merged content (see PLAN.md notes). Only call site is ChatCommandProcessor.kt (`i == 3606` CS2 opcode) as `method2165(true, string)`, always with notifyServer=true (the `if (bool != true)` branch is dead). Searches the friends-list parallel arrays (WaterTextureSet.aStringArray1441 = names, FixedFunctionMaterialPass.aStringArray6205, Renderer.anIntArray4578, GlBufferObject.aStringArray4744, NpcCountAccessor.anIntArray2280, ObjectSpawnDecoder.aBooleanArray1806 -- all likewise misplaced statics forming one friends-list record) for a name match (case-normalized via method2127), shifts all later entries down by one to remove it, decrements the friend count (HslAdjustTextureNode.anInt9383), and sends an outbound 'remove friend' packet built via WaterMaterialPass.method2148."
method2166,clearTitleArchiveAndShaderUniformCache,i: Int,resetKey: Int,medium,"Companion/static method, likely another merged-content artifact: nulls aJs5Archive_6277 (used elsewhere, e.g. ClientLoadStateMachine.kt, as the loading-screen/title-image Js5 archive -- unrelated to scrolling water) and anIntArray6290 (a 2048-entry int array read/written across many renderer/option-state files via a shared index counter ShaderState.anInt6513, consistent with a shader-uniform-location or GL-name cache) when `resetKey == 6336`. Only call site is Client.kt:1149 (`method2166(i xor 0x18ac)`); whether 6336 is reliably reached wasn't independently traced, so the guard's liveness is not fully confirmed."
method2168,clearCachedSceneCollisionEntry,"i: Int, i_7_: Int, i_8_: Int","plane: Int, x: Int, z: Int",medium,"Companion/static method operating on HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029 (a [plane][x][z] grid of SceneCollisionEntry) -- unrelated to ScrollTexMaterialPass, another merged-companion artifact. Looks up the entry at the given grid cell and, if present, releases two cached sub-objects (aClass318_Sub1_Sub5_4395/4407) via ParticleDefLoader.method1376 before nulling them. Only call site is WorldMapSceneSoftware.kt, gated on an `i == 1` branch alongside sibling collision/decor update calls, consistent with 'evict cached hint-arrow render state for this tile' during scene/collision updates."
