current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Trivial constructor, forwards `renderer` straight to super(AbstractBloomEffect(renderer)). No other logic; matches AbstractBloomEffect.csv's own `<init>` row for the shared `aHa_Sub2_6618` renderer-handle field."
method2756,finishPass,"i: Byte, i_0_: Int","unused: Byte, passIndex: Int",medium,"Override of AbstractBloomEffect.method2756/finishPass (see refactor-notes/jvmMain/AbstractBloomEffect.csv). Unbinds the shader program (glUseProgramObjectARB(0)), toggles renderer GL state pair `method3738(-15039,1)`/`method3738(-15039,0)`, and draws with a null texture via `method3771((-86).toByte(), null)` in between. The Byte param only feeds a discarded `-98 / ((i - 44) / 38)` local - confirmed decoy, matching the abstract CSV's note that this method's Byte param's role was never pinned down beyond 'unused decoy'. Called once per pass from GlFramebufferBlitter's per-frame bloom loop."
method2750,renderBloom,"class258_sub3: GlTexture2D?, class258_sub3_2_: GlTexture2D?, i: Int, i_3_: Byte","unusedSceneTexture: GlTexture2D?, inputTexture: GlTexture2D?, passIndex: Int, unusedFlag: Byte",high,"Override of AbstractBloomEffect.method2750/renderBloom (see AbstractBloomEffect.csv, which documented this exact override in detail). Full bright-pass/downsample/gaussian-blur/composite bloom pipeline: thresholds `inputTexture` via aGlShaderProgramHandle_8842 into a 256x256 FBO (or, once the mip-chain aClass258_Sub3Array8837 exists from a prior resize, iteratively downsamples it through that chain via aFrameBufferObject_8844), applies a two-pass separable gaussian blur (aGlShaderProgramHandle_8822, horizontal then vertical step vectors 0.00390625=1/256), then composites scene+bloom via aGlShaderProgramHandle_8836 back onto `unusedSceneTexture`'s render target. Confirms the abstract CSV's finding that `unusedSceneTexture` (1st param) and `passIndex` (3rd param) are never read in this body. `unusedFlag` (4th param, Byte): `if (i_3_ <= 98) aClass258_Sub3_8835 = null` - the only call site (GlFramebufferBlitter.method272) always passes the literal 103 (>98), so this branch is dead in practice, consistent with the abstract CSV's 'kept as plain flag rather than confirmed-always-false' caveat."
method2754,resize,"i: Int, i_14_: Byte, i_15_: Int","height: Int, thresholdFlag: Byte, width: Int",high,"Override of AbstractBloomEffect.method2754/resize (see AbstractBloomEffect.csv). Always stores `height` into anInt8833; when `thresholdFlag >= 7` also stores `width` (anInt8841) and, if the downsampled (clamped-to-4096, halved-to-<=256) dimensions changed from the previous call, disposes and rebuilds the aClass258_Sub3Array8837 mip-chain of half-sized GlTexture2D levels (format 34842) used by method2750/renderBloom's multi-pass downsample. Matches the abstract CSV's finding that both observed call sites (GlFramebufferBlitter, flags 55 and 41) are >=7, so the low-flag skip path is unproven as dead but was never observed taken."
method2763,dispose,i: Byte,unused: Byte,high,"Override of AbstractBloomEffect.method2763/dispose (see AbstractBloomEffect.csv). Nulls every GL resource field (4 shader handles, 3 textures/mip-array, 2 FBOs). The `if (i > -123) method2756(...)` cleanup-draw call is dead at both observed call sites (GlFramebufferBlitter passes -126 and -124, both <= -123) - confirmed decoy, matching the abstract CSV exactly."
method2751,isInitialized,bool: Boolean,unused: Boolean,medium,"Override of AbstractBloomEffect.method2751/isInitialized (see AbstractBloomEffect.csv). Returns `aFrameBufferObject_8825 != null` (true once method2758/initialize has allocated the working FBO). The self-recursive `method2751(true)` fired when `bool != true` is a decoy whose return value is discarded - matches the abstract CSV's note that the only real call site's OR short-circuit makes this path rarely/never exercised meaningfully."
method2767,areAllRenderTargetsReady,i: Byte,unused: Byte,medium,"NOT an override (no abstract/open counterpart in AbstractBloomEffect - this is a GlBloomEffect-only addition). Early-returns false unless `unused.toInt() == 104`; otherwise returns the logical AND of 3 OpenGlRenderer capability/state booleans (aBoolean7820, aBoolean7783, aBoolean7818) - the same 3-flag AND used inline inside method2758/initialize's own readiness check. No call sites found anywhere in the repo (appears unused/dead), so the Byte-guard's real-vs-decoy status can't be confirmed from callers; named for its body's evident purpose (mirrors the FBO/shader-readiness gate in initialize)."
method2761,getColorPrecisionTier,bool: Boolean,unused: Boolean,medium,"Override of AbstractBloomEffect.method2761/getColorPrecisionTier (see AbstractBloomEffect.csv). Returns 1 (base class returns 0) and, when `unused` is false, sets anInt8833 = -77 as a side effect (base class instead makes an unrelated decoy call into its own companion's method2757/reconnect state machine when false). The sole call site (GlFramebufferBlitter.method281) always passes `true`, so this side-effect branch is dead in practice, matching the abstract CSV's finding."
method2758,initialize,i: Int,minSizeThreshold: Int,high,"Override of AbstractBloomEffect.method2758/initialize (see AbstractBloomEffect.csv, which documented this exact override). Allocates the working FrameBufferObject plus two 256x256 GlTexture2D render targets, compiles four GLSL shader programs (bright-pass threshold w/ rectangle- and 2D-texture variants, composite, and a 17-tap separable gaussian blur kernel with hand-tuned weights), and returns true only if all four shader handles compiled successfully. The `if (i < 84) aFrameBufferObject_8844 = null` guard is dead at the only observed call site, GlFramebufferBlitter.method274, which always passes 85 (>=84) - confirmed decoy, matching the abstract CSV exactly."
method2765,clearCameraRotationStub,i: Int,unused: Int,low,"Companion/@JvmStatic, nulls the static aCameraRotationStub_8832 field (a CameraRotationStub instance unrelated to bloom rendering, likely a decompiler-merged grab-bag field per PLAN.md's recurring pattern for jvmMain companion objects). No call sites found anywhere in the repo besides its own dead self-recursive branch (`if (i != 2048) method2765(52)`, which would itself never terminate if ever reached with a non-2048 argument - flagged as a suspicious decoy since it's a true self-recursion with no base-case guard other than the equality check)."
