current_name,recommended_name,current_params,recommended_params,confidence,notes
method504,advanceSubtitleStreamPackets,i: Int,magicCheck: Int,"medium","Drains packets from the active KaraokeSubtitleStream (found by scanning aHashtable_1011) while it's still in its header phase (anInt6868<=8) or the audio clock (method519) has passed its next-subtitle-cue time (method2984), then re-resolves the active language track via method509/selectSubtitleLanguageTrack. Both call sites (method505, method517) always pass the literal 1999, so `if (i != 1999) aByteArray995 = null` is a dead decoy branch that would otherwise wipe the read buffer."
method505,decodeNextVideoPacket,i: Byte,magicCheck: Byte,"medium","Pulls Ogg pages (via method521/getOrCreateStreamForNextPage) until the Theora stream yields a packet, handling the case where a page belongs to the subtitle stream by delegating to method504/advanceSubtitleStreamPackets; if no more pages and EOF reached (aBoolean991), triggers method511 (drain/prebuffer) and returns. Feeds the packet to the Theora decoder via method2963 with the constant 16384. `magicCheck` only conditionally nulls the cached OggPage (anOggPage981) when < 58; both call sites pass 98/less, so effectively always nulls it."
method506,getTheoraVideoStreamIfActive,bool: Boolean,returnNull: Boolean,"medium","Returns the active TheoraVideoStream (aClass348_Sub23_Sub2_1001) unless `returnNull` is true, in which case it returns null. Only live call site (CubemapTextureGlSource.kt:212) passes `false`, so the null-returning branch is unused today; kept as documented rather than assumed dead, since it's a simple boolean-gated getter rather than a magic-number decoy."
method507,isAudioPlaybackBehindSchedule,bool: Boolean,forceDrain: Boolean,"medium","When `forceDrain` is true, first calls method511(-113) (drain/prebuffer non-video streams) as a side effect, then reports whether more Vorbis audio should be decoded: if a Theora video stream is present, compares elapsed Vorbis playtime (method2980) against video frame timing (method2976/method2979); with no video, compares against a fixed frame-rate estimate (method2977). Drives the decode-ahead loops in method511/method517 (`while (i < 10 && method507(false))`)."
method508,closeAllStreams,i: Int,unused: Int,"high","Idempotent close (guarded by !aBoolean1007): iterates every registered OggBitstreamDecoder in aHashtable_1011, calling its abstract close hook (method2961) and releasing its OggStreamState (.a()), then releases the shared OggPacket/OggPage/OggSyncState and sets the closed flag aBoolean1007=true. `unused` only flips aBoolean991 (EOF flag) as a side effect and XORs into the hashtable iteration key, without changing which entries are visited in practice."
method509,selectSubtitleLanguageTrack,"i: Int, string: String?","unused: Int, languageCode: String?","medium","Sets the desired subtitle language (aString1009 = languageCode). If null, clears the active KaraokeSubtitleStream. Otherwise, if the currently active subtitle stream's language (method2986) no longer matches, drops it, then rescans aHashtable_1011 for a KaraokeSubtitleStream whose header language matches and adopts it as active. Confirms Kate multi-language subtitle track selection."
method510,isPlaybackFinished,i: Byte,magicCheck: Byte,"low","Returns false while the stream is neither closed (aBoolean1007) nor at EOF (aBoolean991); otherwise true if there's no Vorbis decoder or its buffered-audio count (method2969) is drained (<=0) — used at the one call site (StreamingResourceRequest.kt:44) to decide whether to trigger cache/resource cleanup (OpenGlModel.method690). `magicCheck` only feeds an unused local computation (`65 / ((i - -74) / 47)`) with no effect on the return value."
method511,drainAndPrebufferStreams,i: Int,mode: Int,"low","For every registered decoder other than the active Theora video stream, drains any pending packets (discarding them via method2963 with an XOR-obfuscated constant that reduces to 16384). If a Theora stream is active, optionally calls method518/fatalConfigError-adjacent path when mode != -2 (dead in current call graph — see notes on method518's real call sites being elsewhere), then decodes up to 10 audio frames ahead while method507/isAudioPlaybackBehindSchedule keeps returning true, falling back to method508/closeAllStreams if the video stream runs out of packets first."
method512,getVorbisDecoderChecked,i: Int,magicCheck: Int,"low","Getter for the active VorbisOggDecoder. Contains a self-recursive call `method512(120)` when `magicCheck != 0` that would infinitely recurse if ever reached (120 != 0), but the only live call site (StreamingResourceRequest.kt:54) passes the literal 0, so this decoy branch is never executed — flagged as a latent landmine rather than reinterpreted as intentional behavior."
method513,getSubtitleStreamAndClearVorbis,i: Int,magicCheck: Int,"low","Getter for the active KaraokeSubtitleStream (aClass348_Sub23_Sub4_999), with the side effect of nulling the unrelated Vorbis decoder reference (aClass348_Sub23_Sub1_1008) when `magicCheck != 50`. Only call site (GlslMaterialPass.kt:176) passes a non-constant expression (`i_15_ + 1431655815`) so this side effect may actually fire at runtime unlike most of this file's other magic-number guards — worth a second look if audio ever unexpectedly stops after that call path runs."
method514,toggleAudioPause,"i: Byte, bool: Boolean","magicCheck: Byte, muted: Boolean","medium","If a Vorbis decoder is active, mutes/unmutes its associated audio line (method2971 then .method2833(1, muted)). Sets the EOF flag aBoolean991=true when `magicCheck <= 114` (always true at the one call site, FontDefinition.kt:402, which passes 116 — wait, 116 > 114, so this branch is actually skipped there; kept literal). Unconditionally flips aBoolean1006, which method517/update's main loop checks as a 'paused' gate (`if (!aBoolean1006) { ... }`), so this method is effectively a play/pause toggle."
method516,readIntoBuffer,"i: Byte, is: ByteArray?","magicCheck: Byte, buffer: ByteArray?","high","Abstract stream-read hook (see OggCacheStream's override of the same signature, named consistently there); called from method521/getOrCreateStreamForNextPage to pull raw bytes to feed the Ogg sync state."
method517,update,i: Int,mode: Int,"medium","Main per-tick demux/decode pump, only active when `mode == -2` and not paused (!aBoolean1006). Repeatedly pulls the next Ogg page/stream via method521, and depending on stream type: feeds Vorbis packets and interleaves subtitle/video advancing (method504) while capping buffered audio at 50 packets; drains and prebuffers when the page belongs to the active Theora stream; or generically decodes packets for any other registered stream, catching the very first subtitle packet to trigger method509/selectSubtitleLanguageTrack. Loops until closed (aBoolean1007) or no more pages available."
method519,getCurrentPlaybackTimeSeconds,i: Int,magicCheck: Int,"medium","Returns elapsed playback time: Vorbis decode time (method2973) if present, else Theora granule time (method2980), else 0.0. `magicCheck` only feeds a discarded local (`6 % ((magicCheck - 89) / 35)`) that exists purely to divide-by-zero/crash on certain inputs (e.g. magicCheck==89) — an obfuscator artifact rather than meaningful logic; no call site passes 89."
method521,getOrCreateStreamForNextPage,i: Int,requireSerialMatch: Int,"medium","Pulls the next Ogg page from the sync state (reading more raw bytes via method516/readIntoBuffer as needed, setting EOF aBoolean991 on -1), then either looks up the existing OggBitstreamDecoder for that page's stream serial number, or — for a beginning-of-stream (BOS) page — sniffs the header packet to construct the right decoder subtype: TheoraVideoStream, VorbisOggDecoder, KaraokeSubtitleStream (headers starting with the ASCII tag 'kate'), or NullOggStream as a catch-all, registering it in aHashtable_1011 keyed by serial number."
method515,fillCircleScanlineSpans,"i: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","glListId: Int, centerX: Int, rowIndex: Int, radius: Int, unused: Int, magicCheck: Int","low","Entirely unrelated to Ogg media: a midpoint-circle-style scanline algorithm (classic squared-error circle rasterization) that emits horizontal spans via GlElementArrayBuffer.method1156 indexed into WidgetDefinition.anIntArrayArray255 — looks like a circular UI element (e.g. minimap mask or radial gauge) fill routine misplaced here by the decompiler, per the PLAN.md 'decompiler-merged wrong content' pattern. `magicCheck` only feeds a discarded local; no external call sites found in the repo (dead/unreferenced), so parameter roles are a best guess from the arithmetic alone."
method518,fatalConfigError,"string: String?, i: Byte","reason: String?, magicCheck: Byte","medium","Unconditionally calls `System.exit(1)` before doing anything else (the counter increment and discarded local after it are unreachable dead code). Both live call sites (Client.kt:1981/1989) pass a short tag ('language'/'game') identifying which required applet/launch parameter was missing or invalid, so despite living in this Ogg-related class this is really a generic 'fatal startup validation failure' abort routine (further decompiler-merged content)."
method520,isRenderTargetTextureUpToDate,"renderTarget: RenderTarget, i: Int","renderTarget: RenderTarget, expectedFrame: Int","medium","Looks up the sequence/texture definition bound to `renderTarget` and returns true if it has no texture (anInt875 == -1), if its frame index matches `expectedFrame`, or if TextureDefinition.method1593 reports it's otherwise current. Used by GlCubeMapTexture.kt (ANDed across all 6 cubemap faces, always passing -1 for `expectedFrame`) to decide whether a cubemap needs re-rendering — another instance of texture/rendering logic living in this class's companion rather than Ogg media code."
