current_name,recommended_name,current_params,recommended_params,confidence,notes
method1689,placeSceneLoc,"i: Int, i_0_: Int, i_1_: Int, var_renderer: Renderer?, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, collisionMap: CollisionMap?","x: Int, plane: Int, locId: Int, renderer: Renderer?, tileIndex: Int, hashFlags: Int, shapeType: Int, z: Int, sequenceId: Int, orientation: Int, collisionMap: CollisionMap?",low,"Exception wrapper embeds original obfuscated name ""vaa.W"". Looks up a loc/seq config class51 = aSeqDefinitionCache_9195.method2005(0, i_1_) (fields anInt961/anInt926 = size, anInt953/anInt909 = hook offsets, anInt920 = collision type, aBoolean876/896 = clip flags, anInt883 = roof/height threshold). Dispatches on i_4_ (shape/type values 0-9, 22) to construct one of GroundDecorSceneEntity/WallSceneEntity/ModelGroundDecor/SequencedGroundDecor/NpcActorEntity/SequencedActorEntity/ModelWallEntity/SequencedWallEntity, registers it via method770/method850/method3254/method388, then flags collisionMap cells via method3496/3505/3510. i_3_ is xored against magic constants in several guard checks (e.g. `i_3_ xor 0x7e6f.inv()`) that look like opaque-predicate/decoy bit tests rather than meaningful flags. i_6_ selects the NpcActorEntity vs SequencedActorEntity branch (bool_17_, tied to whether the loc has no color/texture overrides)."
method1690,resolveRenderTargetByKind,"i: Int, i_35_: Int, i_36_: Int, i_37_: Int, i_38_: Int","kind: Int, z: Int, x: Int, plane: Int, decoyCheck: Int",low,"Private helper, anInt5822 counter. Dispatches on `i` (0-3) to fetch a RenderTarget from one of four unrelated static providers (OpenGlRenderNode.method3297, InvertTextureNode.method3135, ClickFeedbackTask.method1353 using a lazily-cached Class token aClass5827, MidiSequencePlayer.method2878), all cast to RenderTarget? - a classic decompiler-merged-statics lookup table rather than one cohesive API. i_38_ is compared to literal 30987; callers only ever pass 30987, so the `method1698(-120)` branch is dead (opaque predicate)."
method1691,decodeMapSquareTileData,"i: Int, var_renderer: Renderer?, class348_sub49: ByteBuffer?, is: IntArray?, i_39_: Int, i_40_: Byte","z: Int, renderer: Renderer?, buffer: ByteBuffer?, boundsOut: IntArray?, x: Int, decoyByte: Byte",low,"Whole body is guarded by `!aBoolean3109` (no-op otherwise, suggesting aBoolean3109 is a ""simplified/overview"" world-map mode flag inherited from WorldMapScene). Reads a tagged byte stream: opcode 0 -> new ModelLightingConfig; opcode 1 -> reads SoundEnvelope entries and, when renderer.method3704()>0, positions them via anIntArrayArrayArray3122 height grid and registers them via MinimapAreaMarkerNode.method3276; opcode 2 -> merges into modelLightingConfig; opcode 128 -> fills the 5-slot `is` bounds array from the buffer; opcode 129 -> fills/clears the 4 quadrant blend byte grids aByteArrayArrayArray3104[0..3] in 4x4 blocks; any other opcode throws IllegalStateException. Matches the usual RS map-square underlay/overlay + sound-emitter decode pass, reused here for the world map's software renderer."
method1692,readLocsForMapSquare,"i: Int, i_73_: Int, is: ByteArray?, i_74_: Int, i_75_: Int, var_renderer: Renderer?, i_76_: Int, i_77_: Int, i_78_: Int, collisionMaps: Array<CollisionMap?>?, i_79_: Int","z: Int, rotation: Int, locData: ByteArray?, squareX: Int, squareZ: Int, renderer: Renderer?, offsetX: Int, offsetZ: Int, decoyCheck: Int, collisionMaps: Array<CollisionMap?>?, plane: Int",low,"Exception tag ""vaa.S"". Standard RS loc-list decode: outer loop reads a delta loc id via method3334, inner loop reads a packed position/attribute smart via readSmart, splitting local x/y (0x3f each) and plane, then shape (>>2) and rotation (&0x3) from a following byte; computes world tile coords via TileTransform.method1908 / method1045 and calls method1689(...) to place the loc if it falls inside the 8x8 (i_74_,i_75_) square. i_78_ is compared to literal 7 and the mismatch branch (`method1693('ﾸ', -54)`) looks unreachable at real call sites (decoy)."
method1694,placeTileRenderTarget,"collisionMap: CollisionMap?, i: Int, i_93_: Int, var_renderer: Renderer?, i_94_: Int, i_95_: Int, i_96_: Byte","collisionMap: CollisionMap?, kind: Int, z: Int, renderer: Renderer?, x: Int, plane: Int, decoyByte: Byte",low,"Exception tag ""vaa.U"". Resolves a RenderTarget via method1690(...) for this tile, then dispatches on `i` (0-3): 0 -> method3058 + collision flag update via method3506 + roof-text calls to method2987; 1 -> method2168; 2 -> AsyncResourceRequest.method3253 + collision update via method3509; 3 -> method2879 + method3499. i_96_ compared to literal 66 only sets a dead counter (anInt5819) never read elsewhere in the file - decoy."
method1695,readLocsForRegion,"is: ByteArray?, collisionMaps: Array<CollisionMap?>?, i: Int, var_renderer: Renderer?, i_99_: Int, i_100_: Int","locData: ByteArray?, collisionMaps: Array<CollisionMap?>?, z: Int, renderer: Renderer?, x: Int, decoyOrRotation: Int",low,"Exception tag ""vaa.R"". Same delta-id/smart-position decode loop pattern as method1692, but the whole body is wrapped in `if (i_100_ == 1359)`. The one real call site is `method1695(null, null, -32, null, -51, 80)` inside method1689 (passes 80, not 1359), so the body is dead code at that call site - a textbook opaque-predicate guard per the PLAN's methodology notes."
method1696,decodeMapSquareTileDataRelative,"class348_sub49: ByteBuffer?, bool: Boolean, i: Int, i_116_: Int, i_117_: Int, i_118_: Int, i_119_: Int, i_120_: Int, var_renderer: Renderer?, is: IntArray?, i_121_: Int","buffer: ByteBuffer?, skipBlendClear: Boolean, z: Int, localTileBits: Int, worldX: Int, quadrant: Int, rotation: Int, worldZ: Int, renderer: Renderer?, boundsOut: IntArray?, plane: Int",low,"Exception tag ""vaa.O"". Near-duplicate of method1691's opcode loop (same opcodes 0/1/2/128/129) but computes an 8x8 sub-square window (i_123_/i_124_ = 8*(i_116_ and 7)) to filter which SoundEnvelope entries apply, and writes only into aByteArrayArrayArray3104[i_118_] (one quadrant) instead of all four. Likely originally an overload of the same routine as method1691, one for a whole map square and one relative to a render window."
method1697,flushDirtyTextureRegions,"bool: Boolean, var_renderer: Renderer?, i: Int","skip: Boolean, renderer: Renderer?, plane: Int",low,"Exception tag ""vaa.T"". Calls the companion's method2686() first. Unless `bool`, scans the aByteArrayArrayArray3108 per-tile dirty-flag grid: bit 0x2 triggers a method258 refresh; bit 0x4 expands a rectangular dirty region (bounded to 10 tiles in each direction) via a flood-fill-like scan, redraws the merged block via method1966, and clears bit 0x4 via a WhirlpoolHash.method2057 bit-clear; finishes with RenderQueueState.method2616(12). If `i < -6`, the whole aByteArrayArrayArray3108 grid is discarded (teardown path)."
method1693,isRenderableCharacter,"c: Char, i: Int","char: Char, decoyDepth: Int",high,"Companion object. Validates a char against the client's custom renderable charset: ASCII printable (32-126), Latin-1 supplement (160-255), plus the cp1252 symbol remaps also seen in ByteBuffer.kt's writeString path (8364=€, 338=Œ, 8212=—, 339=œ, 376=Ÿ), confirming this is the ""can this character be displayed with the font/string encoding"" check. `i` is a self-recursive decoy (`if (i > -100) method1693('ﾣ', 97)`, result discarded)."
method1698,clearTileRenderStateCache,i: Int,decoy: Int,medium,"Companion object, @JvmStatic. Nulls the companion singleton aTileRenderState_5821. `if (i != 1) method1698(-10)` is a self-recursive decoy; real call sites only ever pass 30987 or -120 (never 1), so the recursive branch is always taken but has no additional effect since it recomputes the same null assignment."
method2336,cancelMatchingCharacterAnimation,"npcConfig: NpcConfig, i: Int, i_1_: Int, i_2_: Int, i_3_: Int","npcConfig: NpcConfig, x: Int, z: Int, plane: Int, decoy: Int",low,"Companion object. Walks MapSceneIconDef.aNodeDeque_2859 (a NodeDeque<CharacterRenderState>) for an entry at world position (x<<9, z<<9, plane) whose NpcConfig id matches, disposes its two SpriteDrawTarget-like handles via SpriteDefinition's disposer, calls method2715 (looks like ""stop/cancel animation""), then breaks. i_3_ only conditionally writes an unrelated static (FloorOverlayDefinition.anInt3941) - looks like leftover decompiler noise, not used by this method's logic."
method2686,refreshHintArrowRenderStates,(none),(none),low,"Companion object, private-looking helper (no params). Iterates HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029[plane][x][z]; for each non-null entry, re-registers up to two ""actor"" children (method2519 placement + method2380/2392 commit/mark-updated calls), any WidgetNodeLink-chained entities, and one more child via NodeDequeStatics.method1992 - consistent with a per-frame refresh of hint-arrow/message-bubble overlay markers tied to the world map's scene grid. Called at the top of method1697."
