current_name,recommended_name,current_params,recommended_params,confidence,notes
R,nativeDispose,"l: Long, bool: Boolean","nativeId: Long, fromFinalizer: Boolean",high,"Private external backing w(bool) (Disposable)."
P,nativeDrawImageRegion,"l: Long, i: Int, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int","nativeId: Long, x: Int, y: Int, srcX: Int, srcY: Int, w: Int, h: Int, mode: Int",low,"Private external backing method965. AbstractModelRenderer.method965 is abstract with no real wrapper body in commonMain, so the exact draw semantics are inferred only from the 7-int shape (position + region + mode), consistent with the class's dual role as an image/camera surface (header: NativeCamera)."
method964,drawImage,"i: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int","x: Int, y: Int, mode: Int, colorArgb: Int, flag: Int",high,"Confirmed via RSFont.method2566/method2583: an AbstractModelRenderer built from a sprite's pixel data (oa.method3691, used for inline <img=> tags) is drawn with class105.method964(x, y, mode, colorArgb, 1) — mode 0 tints with colorArgb, mode 1 draws unmodified; the trailing arg is always 1 (possibly an always-true alpha/flag)."
RA,nativeDrawImageRegionScaled,"l: Long, i: Int, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int","nativeId: Long, x: Int, y: Int, w: Int, h: Int, srcX: Int, srcY: Int, srcW: Int, mode: Int",low,"Private external backing method982 (8 ints), which is itself wrapped by AbstractModelRenderer.method970/973 with trailing constant args (1 / 1,0,1,1) appended — consistent with a scaled/blitted image draw, but the precise field order is unconfirmed."
UA,nativeDrawRotatedSprite,"l: Long, f: Float, f_17_: Float, f_18_: Float, f_19_: Float, f_20_: Float, f_21_: Float, i: Int, l_22_: Long, i_23_: Int, i_24_: Int","nativeId: Long, x1: Float, y1: Float, x2: Float, y2: Float, x3: Float, y3: Float, angleFlag: Int, spriteNativeId: Long, i: Int, j: Int",medium,"Private external backing method983. AbstractModelRenderer.method967 computes three rotated corner points of a width x height rectangle (using method966()/method980() as width/height) from an anchor+offset+angle, then calls method975 -> method983(x1,y1,x2,y2,x3,y3,1,sprite,i,j) — i.e. draws a rotated, sprite-textured quad."
wa,getWidth,l: Long,nativeId: Long,high,"Private external backing method966(): Int. Used as method966().toFloat() for the rectangle width in AbstractModelRenderer.method961/967's corner-rotation math, and as a glyph advance width in RSFont (i += renderer.method966())."
M,getSurfaceHeight,l: Long,nativeId: Long,medium,"Private external backing method971(): Int. Paired with method969 (getSurfaceWidth) and passed together into Renderer.method3624 (create Marker) in method3681 — likely the pixel dimensions of this object's off-screen render-target surface, as distinct from method966/980 (content width/height used for icon rotation math)."
method963,drawSpriteMasked,"i: Int, i_25_: Int, var_sprite: Sprite?, i_26_: Int, i_27_: Int","x: Int, y: Int, sprite: Sprite?, i: Int, j: Int",low,"Public wrapper around V(nativeId, x, y, (sprite as na).nativeid, i, j). AbstractModelRenderer.method963 is abstract with no real-code caller found in this batch."
method984,setPalette,`is`: IntArray?,colors: IntArray?,medium,"Public wrapper around CA(nativeId, colors). Plausible given this class is sometimes constructed directly from a SpriteImage's palette (anIntArray2697) elsewhere (oa.method3691/constructors)."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool); calls R(nativeId, bool)."
