current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,ActorEntity,"i: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int","x: Int, height: Int, y: Int, plane: Int, footprintTileIndex: Int, sizeFlags: Int",medium,"Base constructor shared by NpcActorEntity/SequencedActorEntity. Maps positionally to inherited SceneEntity fields: x=i, anInt6382=i_11_ (used as the middle arg of the recurring `renderer.method3705().method894(this.x, this.anInt6382, this.y)` triple in both subclasses, i.e. a world 'height'/elevation value), y=i_12_, plane=i_13_ (SceneEntity.plane byte), aByte6376=i_14_ (note: NOT i_13_ - the constructor deliberately swaps which raw param feeds plane vs aByte6376), aShort8759=i_15_ (a per-actor multi-tile 'footprint size/direction' bitmask; only 1/2/4/8/16/32/64/128 values are ever tested against it in method2384/method125). aByte6376's exact role is uncertain: NpcActorEntity uses it (values 0..3) to index TerrainTileShape.aTerrainTileArray8801, suggesting a secondary-tile/quadrant slot for multi-tile NPCs, but the unrelated SceneEntity.method2390 helper separately overwrites the same field to a sentinel 33 for an unconnected wall-shape-collection feature - the field is evidently reused for different purposes on different code paths, so the param name is a best-effort guess."
method2384,collectFootprintTileShapes,"class348_sub1s: Array<AbstractTileShape?>?, i: Int","outShapes: Array<AbstractTileShape?>?, unused: Int",medium,"Override of abstract SceneEntity.method2384. Converts this actor's world x/y to tile coords (shr anInt4459), then computes a 0..8 '3x3 neighbor position' index by comparing those tile coords against the loaded scene's base tile coords (anInt6111/anInt8502 - confirmed as the scene/view center via CharacterRenderState.kt's `i_5_ >= anInt6111-16 && <= anInt6111+16` bounds check) and looks up anIntArray8797[index] (a fixed 9-entry bitmask table). If this actor's aShort8759 footprint flag intersects that table value, or matches one of the 8 individual direction bits (1/2/4/8/16/32/64/128), each additionally gated by an edge-of-map guard like `i_0_ > 0`, it delegates to SceneEntity.method2390 with an adjusted neighbouring tile coordinate to gather that tile's AbstractTileShape entries into outShapes, returning the populated count. Net effect: gather the tile-shape data for a multi-tile actor's footprint, including whichever neighbouring tile(s) it overlaps when standing at/near the edge of the currently loaded scene. The `i` param is a confirmed decoy - only used in a discarded expression `-103 / ((i - -14) / 61)`; its only call site (WidgetTextConfig.kt:285) always passes the literal 49."
method2382,isFootprintTerrainClipInvalid,i: Byte,guard: Byte,low,"Override of abstract SceneEntity.method2382. Guard `if (guard>=-51) return false`; the only observed call site (CharacterRenderState.kt:162) always passes -79 so the guard is always satisfied in practice (kept as a real param since no evidence it's a pure decoy, just never observed to trip). Delegates to the companion helper method125(y-tile, x-tile, plane, this, 120.toByte()). At its only call site it's OR'd with `!method2378(0)` inside CharacterRenderState.method2778 to decide whether an actor overlapping a given map tile should be queued for redraw, so this reads as a secondary 'does this actor's footprint fail some terrain/rasterization check and therefore need redraw' gate on top of the 'is this tile in the loaded scene' check from method2378. The precise game feature backing method125's quad-projection logic (see below) was not conclusively identified, hence low confidence on the exact name."
method2378,isTileWithinLoadedScene,i: Int,unused: Int,medium,"Override of abstract SceneEntity.method2378. Returns `aBooleanArrayArray1572[tileX-relOffset][tileY-relOffset]`, a 2D grid indexed by this actor's tile position relative to the loaded scene's base coords (anInt6111/anInt8502) plus a margin offset (anInt10084) - i.e. 'is this actor's current tile within the currently-loaded/valid scene bounds'. The `i` param is a confirmed decoy: the only call site (CharacterRenderState.kt:162) always passes 0, and the `if (i != 0) method2378(-104)` branch is a self-recursive call whose result is discarded - the classic dead-decoy pattern used throughout this codebase."
method125,checkFootprintAgainstTerrain,"i: Int, i_0_: Int, i_1_: Int, class318_sub1_sub4: ActorEntity?, i_2_: Byte","y: Int, x: Int, plane: Int, actor: ActorEntity?, guard: Byte",low,"Companion helper backing method2382. Bails out via the aBoolean9307/aBoolean351 feature-enable flags, a readiness counter `anInt2946<100`, and method164(plane, x, constByte, y) (a memoized per-tile terrain-quad-consistency check, see below); also requires guard.toInt()==120 - the only call site always passes 120.toByte(), so this never varies in practice (kept as a real check since it's a real comparison, just never observed false). Computes a terrain height at (x,y,plane) via TerrainTile.method3982 and a second bound via actor.method2394(true) (SceneEntity's abstract per-subclass 'model top' getter), then switches on actor.aShort8759 (the same multi-tile size/direction bitmask used by method2384): bits 1/2/4/8 (cardinal single-tile overlap) each run two method2169 quad-projection checks against a neighbouring tile's terrain height, bits 16/32/64/128 (diagonal/corner overlap) each run one method1084 call, and any other value falls through to a bare 'return true' after the terrain-height setup (a no-op success for plain 1x1-tile actors). Reads as a screen-space rasterization/occlusion validity test for a multi-tile actor's footprint quads against terrain, but the precise game feature (e.g. avoiding clipping artifacts vs. invalidating a redraw cache) was not conclusively identified."
method1084,checkDiagonalFootprintQuad,"i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int, i_12_: Int","topHeight: Int, tileUnit: Int, groundHeight: Int, baseX: Int, baseZ: Int, tileUnit2: Int, unused: Int",low,"Called only from method125 for the 4 diagonal/corner footprint-size bits (16/32/64/128), always passing the static field anInt9037 for both tile-unit params and the literal 18507 for the last parameter, which this method's body never reads at all (confirmed unused across all 4 call sites - a pure reserved/decoy parameter). Builds a diamond/corner quad from the given base coordinate and tile-unit size, then dispatches 6 method2169 quad-projection checks, picking between two mirrored orderings depending on how the static fields anInt1974/anInt9360 compare to the local coordinates - this looks like numerically-stable winding-order selection rather than gameplay logic."
method2169,projectAndTestTriangle,"i: Int, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int, i_17_: Int, bool: Boolean","x0: Int, x1: Int, z1: Int, x2: Int, z2: Int, y0: Int, y1: Int, y2: Int, z0: Int, abort: Boolean",low,"Projects 3 world-space points (each passed in as an (x,z,y)-ish triple) through the shared static camera via 3 calls to method1422, overwriting each coordinate in place with its screen-space projection, then forwards the reordered results to method3125 to rasterize/test the resulting screen triangle, returning its Boolean result. The `abort` (bool) parameter is checked as `if (bool != false) return false` but every call site in this file (from method125, method1084 and method164) always passes literal `false`, so that early-return branch is a confirmed dead/opaque-predicate path in practice. Exact per-parameter axis roles (which of x0..z0 is really x/y/z) could not be pinned down with confidence from this file alone; names are best-effort placeholders reflecting the observed (x,z,y) grouping pattern."
method1422,projectWorldPointToScreen,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int","worldA: Int, worldB: Int, worldC: Int, guard: Int",low,"Projects a single world-space point through the shared static camera (aAbstractCameraTransform_9114) via its method897, writing the result into the shared scratch buffer anIntArray10172; returns false if the projected depth (anIntArray10172[2]) is below a 50-unit near-clip threshold, otherwise perspective-divides the X/Y outputs using static scale/offset fields (anInt1962/anInt1202/anInt9759/anInt8498), matching a typical `screen = scale*value/depth + offset` formula. The `guard` parameter is always passed the literal -7596 by all 3 call sites in this file (all from method2169) - a pure dispatch-constant decoy that never varies."
method163,getResourceLoaderCounter,i: Int,unused: Int,low,"Delegates straight to ResourceLoaderThread.method2325 (itself a trivial getter for anInt3920, also ignoring its own Byte parameter), completely ignoring `i`. The only external call site (ProportionalScrollbarComponent.kt) uses the result as a divisor in a percentage-style calculation for a world-map polygon icon's proportional scrollbar. This looks like an unrelated 'expose a ResourceLoaderThread counter as a static accessor' utility that ended up grouped into ActorEntity's companion object by the decompiler rather than anything actor-specific - name and role are a best-effort guess."
method164,isTerrainTileQuadConsistent,"i: Int, i_0_: Int, i_1_: Byte, i_2_: Int","plane: Int, x: Int, guard: Byte, z: Int",medium,"Memoized per-tile check keyed by anIntArrayArrayArray4356[plane][x][z] (a 3D cache of a signed generation counter anInt3049: a stored value equal to anInt3049 means cached-true, equal to -anInt3049 means cached-false, otherwise recompute). Feature-gated by the same aBoolean9307/aBoolean351/anInt2946<100 checks as method125, and returns false immediately if the 'current' and 'previous' terrain-tile-array references (aTerrainTileArray4142 vs aTerrainTileArray5191) are literally the same object - i.e. skips recomputation whenever the terrain snapshot hasn't been reloaded since last time. Otherwise it projects/tests two quads built from the tile's 4 terrain-height corners (via TerrainTile.method3982) using two method2169 calls; if both pass it caches+returns true, else it caches+returns false. Backs method125's per-tile validity gate - reads as 'has this tile's terrain geometry stayed consistent/projectable since it was last checked'."
