current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"anInt6815: Int, anInt6820: Int, anInt6811: Int, anInt6806: Int, anInt6810: Int, anInt6809: Int, anInt6812: Int, anInt6819: Int, anInt6813: Int","plane: Int, left: Int, top: Int, right: Int, bottom: Int, innerLeft: Int, innerTop: Int, innerRight: Int, innerBottom: Int",medium,"Constructor for a clickable-region record queued onto an InterfaceComponentGroup's NodeDeque. Holds two rectangles: an 'outer' rect (anInt6820/6806 = left/right, anInt6811/6810 = top/bottom, tested by method2934/method2935) and a separate 'inner'/clipped rect (anInt6809/6819 = left/right, anInt6812/6813 = top/bottom, tested by method2939 and aggregated by InterfaceComponentGroup.method3240 into the group's overall bounding box) plus a `plane`/id field (anInt6815) checked in method2935. Exact reason for two distinct rectangles (e.g. full widget bounds vs. visible/scroll-clipped bounds) not confirmed from this file alone."
method2934,containsPoint,"i: Int, i_0_: Int, i_1_: Int","unused: Int, x: Int, y: Int",high,"Point-in-outer-rect test: `x in [left,right] && y in [top,bottom]`. First param is a decoy sentinel compared against the literal 3589 (both call sites in InterfaceComponentGroup.kt pass exactly 3589, so the dead `method2941(...)` branch never fires)."
method2935,containsPointOnPlane,"i: Int, i_2_: Int, i_3_: Int, bool: Boolean","y: Int, x: Int, plane: Int, unused: Boolean",high,"Like method2934 but also requires `plane == anInt6815`; used by InterfaceComponentGroup.method3236 as the primary hit test for a click at (x,y) on a given plane. `bool` is a decoy - both call sites pass `true`, so the `anInt6811 = -84` mutation branch never fires."
method2937,computeOuterLocalOffset,"i: Int, i_4_: Int, i_5_: Int, is: IntArray","x: Int, y: Int, unused: Int, out: IntArray",high,"Writes `out[0] = plane`, `out[1] = x + left - innerLeft` (wait: uses anInt6809/anInt6820, the outer-left/inner-left pair) and `out[2] = y - innerTop + top`, i.e. converts a point that already passed method2939's inner-rect test into coordinates relative to this bounds' origin. `i_5_` is a decoy sentinel (only call site passes the literal -3069, matching the guard, so the `anInt6810 = -14` mutation never fires)."
method2939,containsPointInInnerBounds,"i: Int, i_7_: Int, i_8_: Int","x: Int, mode: Int, y: Int",medium,"Point-in-inner-rect test using the second rectangle (innerLeft/innerRight/innerTop/innerBottom). `mode` gates an early `return true` when `mode != 2`; the only call site (InterfaceComponentGroup.method3239) always passes the literal 2, so the real containment check always executes there - kept as a real mode selector rather than a decoy since it does change behavior, just never observed at a non-2 value."
method2940,computeInnerLocalOffset,"i: Int, bool: Boolean, is: IntArray, i_9_: Int","y: Int, unused: Boolean, out: IntArray, x: Int",high,"Companion of method2937 for the inner rectangle: `out[0] = 0` (plane fixed at 0), `out[2] = y - top + innerTop`, `out[1] = x - left + innerLeft`. `bool` is a decoy - both call sites pass `true`, so the `innerTop = -26` mutation branch never fires."
method2936,disposeSharedFont,i: Byte,unused: Byte,medium,"Companion. Nulls the shared static `aFontMetaRef_6814` when `unused == -25`. Only call site (Client.kt) passes -25.toByte(), so the guard is always true there - effectively an unconditional dispose in practice."
method2938,resetGameCaches,i: Byte,minResetLevel: Byte,high,"Companion. Large 'clear/reset all definition and resource caches' routine: nulls or resets ~20 different Loader/Cache statics across unrelated classes (LocDefinitionCache, ParticleDefLoader, ModelDefinitionLoader, SeqDefinitionCache, BufferedMessageQueue, ModelHeaderCache, WidgetCache, MapElementDefinitionCache, VarbitDefLoader, ParticleAmountCache, NpcDefinitionCache, TextureDefinitionLoader, ConfigDefinitionLoader, LocTypeDefLoader, EmoteDefCache, MapSceneCache, SpriteStore, MapSceneDefLoader, ItemDefinitionLoader, WorldMapImageBuilder, ModelDefinitionCache), then calls several other reset helpers and conditionally clears `CacheLruCache.aByteArrayArray3882`. Called from ConfigArchiveLoader (disconnect/reload), DelegatingRenderCanvas, InputStream_Sub1 (socket teardown), NormalMapTextureNode, and TileRenderState - consistent with a logout/reconnect cache-flush routine. `minResetLevel > 53` gates an additional block that clears ~35 Js5Archive handles and 4 more LruByteCaches; every observed call site (62-127) is above 53, so that extra-reset path is always taken in practice, but is kept as a real threshold since it plausibly guards a lighter-weight reset at lower levels not exercised here."
method2941,createInputTracker,"component: Component?, i: Int, bool: Boolean","component: Component?, unused: Int, hasWheel: Boolean",high,"Companion factory. Attempts to reflectively construct a `MouseWheelInputTracker` (falling back to plain `MouseInputTracker` if that class/constructor is unavailable, e.g. on older JVMs without wheel support). Only call sites (Client.kt, NpcReference.kt) always pass `true` for `bool` and 0 for `i`; `i` only controls whether the catch block returns null vs. constructs the fallback (kept as real since the observed value 0 does take the fallback-construct path)."
method2942,updateCompassWidgetComponent,"widgetComponent: WidgetComponent, i: Byte","widgetComponent: WidgetComponent, unused: Byte",low,"Companion. Only runs when `widgetComponent.anInt765` matches `TextureMetadataProvider.anInt4610` (a specific widget-component type id). Clears position offsets if the local player has no name set, otherwise computes a rotating offset via `sin(cameraAngle/40.0)` (GlGroundShaderPass.anInt7396) and copies several player-state fields (colour, plane, etc.) into the widget component - looks like updating a rotating minimap/compass-style widget graphic tied to the local player, but the exact widget is not confirmed from this file alone. Only call site (FlipTextureNode.kt) guards on `class46.anInt765 != 0` before calling."
method2375,resetSocketStreamCache,i: Int,unused: Int,high,"Companion. Resets `SocketStreamWorker.aLruByteCache_2671` (calls its `method590(0)`). Called once from method2938's cache-reset routine with the literal 16127."
