current_name,recommended_name,current_params,recommended_params,confidence,notes
method31,getLoadProgress,i: Int,opcode: Int,medium,"ArchiveFileCondition override (see refactor-notes/commonMain/ArchiveFileCondition.csv for the interface-wide naming rationale: implementations return a 0-100 'how loaded is this resource' percentage). Here it calls NoiseTextureGenerator.method547(aString4807, 7468) where aString4807 is a native-library name (this class is constructed as `ConfigVarProgress(\"jaclib\")`, `(\"jaggl\")`, `(\"jagdx\")`, `(\"sw3d\")`, `(\"hw3d\")`, etc. in BinaryGraphicsOptionState.kt) -- method547 checks a privileged-operation flag, an already-loaded cache, then downloads/extracts the named native library and returns -1 (not available) or a 0-100 percentage. If the result is outside 0..100, this method sets aBoolean4824 = true (load-failed flag, see method2313) and clamps the return to 100. The leading decoy expression `88 % ((-43 - i) / 62)` discards `opcode` entirely."
method32,getConditionTag,i: Int,opcode: Int,medium,"ArchiveFileCondition override. Always returns the shared singleton CollisionFlagQuery.aCollisionFlagQuery_1199 (a type-tag constant, per the interface-wide pattern documented in ArchiveFileCondition.csv) and, as a side effect, nulls the companion's aStringArray4818 unless `opcode == -15004`. The only real call path (SlotBinding.method2025) always passes the fixed constant -15004, so the null-out branch is dead in practice -- consistent with the same dead 'i != -15004' guard seen in the other ArchiveFileCondition implementations."
method2313,hasLoadFailed,i: Int,guard: Int,medium,"Returns aBoolean4824 (set true by getLoadProgress/method31 when the native-library load percentage came back outside 0..100). Call sites (BinaryGraphicsOptionState.kt) use it as `if (!configVarProgress.method2313(...)) disableOption()`, i.e. true means the associated native library (jaclib/jaggl/jagdx/jagmisc/sw3d/hw3d/jagtheora) failed to load and the corresponding graphics option should be disabled. Guards a companion call `if (guard <= 99) method2309(-35, null)` whose only effect (given a null ByteArray) is an immediate no-op return -- effectively a dead/harmless call at the observed guard values (102, 103, 124)."
method2307,queueGroundTintBlend,"i: Int, l: Long, i_0_: Int, i_1_: Int","hue: Int, packedParams: Long, blendA: Int, thresholdCount: Int",low,"Companion/static; no call sites found anywhere in the repo for this method (dead/unused, or only invoked reflectively/from code outside the searched tree). Unpacks a bit-packed Long (`packedParams`) into three sub-fields via shifts/masks (bits 14-18, bits 20-25 masked with 0x37d8b0, and bits 32+ masked to 31 bits) and dispatches to PixelBlender.method2252 with different argument orders depending on whether the second sub-field is one of {10, 11, 22} or not, in the latter case first looking up a GradientLookupEffect.aSeqDefinitionCache_9195 entry and remixing its HSL-style fields. This method's content (PixelBlender/GradientLookupEffect) looks unrelated to ConfigVarProgress's own ArchiveFileCondition/native-library-progress purpose -- likely decompiler-merged statics from a different original class, per the known pattern noted in refactor-notes/PLAN.md for jvmMain companion files. Naming and param roles are low-confidence guesses."
method2308,isSpecialBlendMode,"i: Byte, i_8_: Int","unused: Byte, mode: Int",low,"Companion/static, returns Boolean. Only call site is inside method2307/queueGroundTintBlend: `if (thresholdCount <= 3) Companion.method2308((-121).toByte(), 59)` -- the return value is discarded there, only the side effect matters: unconditionally sets anIntArray4822 = null whenever `unused != 26` (always true at the one observed call, since -121 != 26 -- so this is a real, non-decoy side effect, not dead code). The boolean result checks whether `mode` is one of a fixed set {15, 2, 30, 49, 51, 50, 6}; at the only call site mode=59, which is not in the set, so it returns false there. Unrelated to this class's ArchiveFileCondition purpose -- see method2307 notes on likely misplaced statics."
method2309,copyByteArray,"i: Int, is: ByteArray?","unused: Int, source: ByteArray?",high,"Companion/static. Returns null if `source` is null, else allocates a same-sized ByteArray and copies via ArrayCopyUtil.method1577, returning the copy. Confirmed real usage: Direct3dModel.kt/OpenGlModel.kt call `ConfigVarProgress.method2309(-106|-114|-37|-91, byteArray)` to snapshot a model's per-face byte array (e.g. into aHeadIconRenderer/npcSummaryDefinition.aByteArray1948/2069) before further mutation. The `if (unused >= -9) anInt4814 = 49` branch is dead in practice -- every observed call site passes a negative value <= -37, well below -9."
method2310,clearWorldLabelCaches,i: Byte,unused: Byte,low,"Companion/static, no call sites found in the repo (dead/unused, or invoked from code outside the searched tree). Nulls out most of the companion's array/string/renderer fields (aStringArray4818, anIntArray4819/4822/4813/4817/4806/4812, aAbstractModelRenderer_4808) -- a bulk reset of the same 'floating world-space label' field group that OpenGlRenderer.kt populates per-slot (position/color/renderer for on-screen text tags, e.g. player/NPC overhead names or ground markers). The leading `if (unused < 65) anIntArray4819 = null` is redundant with the unconditional null-out three lines later, so its guard is functionally moot regardless of the argument. Unrelated to ArchiveFileCondition/native-library-progress -- see method2307 notes."
method2311,scheduleTimedTileEvent,"i: Byte, i_12_: Int","unused: Byte, tileArg: Int",low,"Companion/static. Creates a TimedTileQueueEntry via NamedTimedNode.method2516(tileArg, 105.toByte(), 16) and calls its method3251(-16058). Single call site: ChatCommandProcessor.kt:3060, `ConfigVarProgress.method2311((-109).toByte(), widgetComponent.anInt830)`, gated by `widgetComponent.anInt704 == -1` -- i.e. triggered for a specific widget-component state, passing the widget's id as `tileArg`. The trailing `126 / ((i - -54) / 38)` is a discarded decoy expression. Exact game-semantic of the scheduled entry not confirmed; name is best-effort based on the NamedTimedNode/TimedTileQueueEntry machinery shared with other 'method2516' call sites in this codebase."
method2312,processCameraSplineStructs,"i: Int, i_14_: Int, nodeDeque: NodeDeque?, i_15_: Int, var_renderer: Renderer?","unused: Int, param1: Int, nodeDeque: NodeDeque?, param2: Int, renderer: Renderer?",low,"Companion/static, no call sites found in the repo (dead/unused, or invoked from code outside the searched tree). Unless TerrainTileShape.aBoolean8805 is set, drains `nodeDeque` as a queue of CameraSplineNode entries, looks up each one's StructConfig via MapRegionLoader.aConfigDefinitionLoader_1238.method1225 (the same struct-config loader analyzed in ConfigDefinitionLoader.kt), and if FlipTextureNode.method589 accepts the struct, calls ModelLightingConfig.method1425(...) and conditionally NoiseTextureGenerator.method549(...) -- a per-camera-spline-node struct-driven lighting/effect application pass, structurally similar to a scene-object processing loop elsewhere in this codebase (CollisionMap.kt has a near-identical MapRegionLoader.method1225 lookup pattern). The `if (unused == -13084) break` is a do/while(false)-wrapped early-exit that (with no call sites to confirm real argument values) cannot be confirmed live or dead."
<clinit>,initFloatingLabelArrays,,,high,"Companion init block: allocates anIntArray4812/4806/4813/4817/4822/4819 and aStringArray4818 all to size anInt4814 (default 50) and sets anInt4816 = 0. Purely trivial fixed-size array setup for the 'floating world-space label' field group described in method2310's notes; no branching logic."
