current_name,recommended_name,current_params,recommended_params,confidence,notes
method745,drawMapAreaShapePolygon,"var_renderer: Renderer, class348_sub21: CameraSplineNode, structConfig: StructConfig","renderer: Renderer, anchorNode: CameraSplineNode, areaShape: StructConfig",medium,"Transforms `areaShape`'s world-space outline (structConfig.anIntArray591, x/z offset pairs relative to `anchorNode`'s stored world position) into screen coordinates using the current world-to-screen viewport mapping (anInt1272/1276/1262/1268, set by setViewportBounds/method751), fills the polygon via PolygonFiller.method2620 (colour from structConfig.anIntArray572 indexed by structConfig.aByteArray564), and if structConfig.anInt584 > 0 strokes each edge with a textured line (renderer.method3674), otherwise a plain line (renderer.method3645). Sole call site ModelLightingConfig.kt:173 draws this immediately after computing a world-map area label's bounds, so this looks like drawing an area/region boundary shape on the world-map overview alongside its name label."
method746,clearLoaderReferences,(none),(none),medium,"Nulls every cache/loader companion field (aLocDefinitionCache_1239, aParticleDefLoader_1240, aSeqDefinitionCache_1245, aConfigDefinitionLoader_1238, aTextureDefinitionLoader_1242, anVarResolver_1244, aClass348_Sub42_Sub14_1243, aJs5Archive_1237, aHashtable_1241, and the per-region scratch arrays/grid). Sole call site Client.kt, inside a very long teardown/logout reset sequence alongside dozens of other `methodXxx()` calls on unrelated managers."
method747,projectNodeToScreen,"var_renderer: Renderer?, class348_sub21: CameraSplineNode, i: Int, i_15_: Int, i_16_: Int, i_17_: Int","unusedRenderer: Renderer?, node: CameraSplineNode, scaleX: Int, scaleY: Int, offsetX: Int, offsetY: Int",medium,"Private helper, sole caller is projectIconNodesToScreen/method762. Computes `node`'s screen position from its stored world offset (node.anInt6852/anInt6851) via `anInt1272 + (offsetX + scaleX*(worldX-anInt1274) shr 16)` (and similarly for Y using anInt1268/anInt1257), storing into node.anInt6853/anInt6855. `unusedRenderer` is never referenced in the body - confirmed decoy, just threaded through from callers that don't need it here."
method748,drawRegionOverview,var_renderer: Renderer,renderer: Renderer,medium,"Public entry point. Computes the world-to-screen scale factors from the current viewport bounds (set by setViewportBounds) and delegates to renderRegionTiles/method765 with a zero pan offset - i.e. renders the fully-loaded region's tiles/locs once, without panning. Confirmed called from CollisionMap.kt and MapElementDecor.kt only once the loading-screen state machine (LinkedListNodeStatics.anInt4290) reaches >=100, i.e. after the region-overview preview shown during loading has finished loading, to draw the final static preview image."
method749,clearRegionLoadBuffers,(none),(none),medium,"Nulls all of the per-region scratch buffers populated by loadAreaData/method756 and parseAreaTileRecord/method750 (aByteArray1273/1256/1275/1258, aShortArray1270/1261, anIntArray1260, aHashtable_1271, aDoublyLinkedNodeListArrayArrayArray1269) but leaves the long-lived loader/config references (aJs5Archive_1237 etc, cleared separately by clearLoaderReferences/method746) intact. Confirmed called from LoadingScreenImageNode.method3177 when tearing down the loading-screen state machine (resetting anInt4290=0), consistent with 'free this region's temporary load scratch data' rather than a full shutdown."
method750,parseAreaTileRecord,"var_renderer: Renderer?, class348_sub49: ByteBuffer, i: Int, i_21_: Int, i_22_: Int, i_23_: Int, is: IntArray, is_24_: IntArray","unusedRenderer: Renderer?, buffer: ByteBuffer, chunkX: Int, chunkZ: Int, localX: Int, localZ: Int, overlayIds: IntArray, underlayIds: IntArray",medium,"Private, called only from loadAreaData/method756 once per tile while parsing the region 'area' file. Reads one control byte: if its low bit is 0, it's a simple single-value tile (bit1 selects writing into aByteArray1273 (overlay id) vs aByteArray1256/aByteArray1275 (underlay id + a following raw byte), looked up from `overlayIds`/`underlayIds` unless the raw-byte-follows sentinel 63 is used); if the low bit is 1, it's a multi-entry tile (1-4 loc entries per tile, each with an id/rotation/shape byte and optional extra bytes), stored either directly (first entry, into aByteArray1273/1256/1275/aShortArray1261/aByteArray1258, with overflow lists for >1 ids caught in aHashtable_1271) or, for entries beyond plane 0, into the per-plane aDoublyLinkedNodeListArrayArrayArray1269 grid as TileUnderlayShadow records. `unusedRenderer` is never read in the body - confirmed decoy, threaded through unused from loadAreaData."
method751,setViewportBounds,"i: Int, i_40_: Int, i_41_: Int, i_42_: Int, i_43_: Int, i_44_: Int, i_45_: Int, i_46_: Int","worldMinX: Int, worldMinZ: Int, worldMaxX: Int, worldMaxZ: Int, screenMinX: Int, screenMinY: Int, screenMaxX: Int, screenMaxY: Int",high,"Stores the world-space bounding box (converted to region-local coords by subtracting anInt1266/anInt1263, the region base x/z) into anInt1274/anInt1265/anInt1257/anInt1277, and the target screen-space bounding box directly into anInt1272/anInt1262/anInt1276/anInt1268. This is the shared world-to-screen viewport transform consumed by renderRegionTiles/method765, projectNodeToScreen/method747, and drawMapAreaShapePolygon/method745. Confirmed called from CollisionMap.kt and MapElementDecor.kt immediately before drawRegionOverview/method748, always passing coordinates derived from MapRegionLoader.anInt1266/anInt1259/anInt1263/anInt1267 (region base + size) on one side and screen-space rectangle params on the other."
method752,initialize,"js5Archive: Js5Archive?, locDefinitionCache: LocDefinitionCache?, particleDefLoader: ParticleDefLoader?, seqDefinitionCache: SeqDefinitionCache?, configDefinitionLoader: ConfigDefinitionLoader?, textureDefinitionLoader: TextureDefinitionLoader?, varResolver: VarResolver?","(same)",high,"Stores all 7 loader/config references into the companion fields, clears aHashtable_1241, then loads the 'details' js5 group and, for every entry id returned, builds an InterfaceComponentGroup via ModelDefinitionLoader.method1205 and stores it in aHashtable_1241 keyed by its own id field (anInt9628) - i.e. loads the table of named world-map 'areas' (used later by getAreaById/getAreaAtPosition). Finally calls CachedRgbNoiseTexture.method566(true, false, 11.toByte()) (rebuilds/primes an unrelated noise texture cache - likely triggered here simply because both happen during the same load stage). Sole call site ClientLoadStateMachine.kt, once per world/region (re)load."
method753,buildMapIconSpawnQueue,(none),(none),medium,"Private, called only at the end of loadAreaData/method756. Scans every tile's primary loc-icon id (aShortArray1261, or its aHashtable_1271 overflow list when the value is the 65535 sentinel) plus every plane's aDoublyLinkedNodeListArrayArrayArray1269 TileUnderlayShadow lists, resolves each id via aSeqDefinitionCache_1245.method2005 (following a varbit-resolved variant via method480 when the config has variants), and for each resolved id with a valid render-icon (anInt921 != -1) creates a CameraSplineNode carrying the tile's local (x,z) and pushes it onto aNodeDeque_1254 - i.e. builds the queue of positioned icon nodes later consumed by getPositionedMapIcons/method758 and projectIconNodesToScreen/method762 to draw loc icons on the region overview."
method754,setActiveArea,i: Int,areaId: Int,high,"Looks up `areaId` in aHashtable_1241 and stores the matching InterfaceComponentGroup ('map area' record) into aClass348_Sub42_Sub14_1243 - the 'currently active area' used throughout this class (loadAreaData reads its aString9625 region name, buildMapIconSpawnQueue/renderRegionTiles read its bounds/colour-override/zoom-tier fields). Confirmed sole call site ModelDataCache.kt passing a resolved id."
