current_name,recommended_name,current_params,recommended_params,confidence,notes
method3603,attachToComponent,"i: Byte, component: Component?","guard: Byte, component: Component?",medium,"Private. Calls resetTrackerState(85) first, then stores the component and registers this instance as its mouse/mouse-motion listener. Decoy calls mouseExited(null) unless guard>=-83; the constructor's only call site passes (-108).toByte(), so the decoy is dead (would NPE via method3605's mouseevent!! if ever taken)."
mouseDragged,mouseDragged,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseMotionListener override -- keep the name. Forwards (y, x) to recordMousePosition and bumps anInt7427."
mouseEntered,mouseEntered,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Forwards (y, x) to recordMousePosition and bumps anInt7426."
method3604,decodeButtonMask,"i: Int, mouseevent: MouseEvent","guard: Int, event: MouseEvent",high,"Private. Decodes AWT modifiers into this tracker's internal button code: BUTTON1_MASK(0x10)->1, BUTTON2_MASK(0x8)->2, BUTTON3_MASK(0x4)->4, left+right combo->4. Used by mousePressed/mouseReleased to build the pending button bitmask. Decoy calls resetTrackerState-adjacent method3596(-12) unless guard==-6345; both call sites pass -6345 literally, so dead."
mouseExited,mouseExited,mouseevent: MouseEvent?,mouseevent: MouseEvent?,high,"Standard java.awt.event.MouseListener override -- keep the name. Forwards (y, x) to recordMousePosition and bumps anInt7452."
method3590,isRightButtonDown,i: Byte,guard: Byte,high,"Overrides InputTracker.method3590. Returns (anInt7432 and 0x4) != 0, matching the 0x4=right-button code produced by decodeButtonMask. Decoy calls method3606(-77,6,-104,-59,86) (an enqueue with the fixed 'type' -77, effectively junk) unless guard<=112; the one abstract-interface call site (InputTracker.method3593, and ChatCommandProcessor's CS2 opcode) passes 125.toByte()>112, so the decoy fires every time it's actually invoked -- worth a second look, though its emitted event (type -77) doesn't match any of the real 0-5 button-event codes so it looks like inert filler."
method3589,updateMouseState,i: Int,guard: Int,high,"Overrides InputTracker.method3589. Swaps the pending/current button mask and position (anInt7432/7448/7442 <- anInt7456/7453/7454) and swaps the double-buffered event deques (aNodeDeque_7441 <-> aNodeDeque_7450), then discards old queued entries via aNodeDeque_7450!!.method1996(guard xor 0x66). Called once per tick from Client.kt with guard=0."
mouseMoved,mouseMoved,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseMotionListener override -- keep the name. Forwards (y, x) to recordMousePosition."
method3605,recordMousePosition,"i: Int, i_3_: Byte, i_4_: Int","y: Int, guard: Byte, x: Int",high,"Private. Stores the pending mouse position (anInt7454=x, anInt7453=y) later swapped into current position by updateMouseState. If aBoolean7458 (a 'record move events' flag set from the constructor's bool param) is set, also enqueues a type=-1 move event via method3606(-1, y, x, 0, -125). Decoy sets anInt7429=51 unless guard==-76; every call site passes (-76).toByte(), so dead."
method3594,getMouseY,i: Byte,guard: Byte,high,"Overrides InputTracker.method3594. Returns anInt7448 (current-buffer Y, established by cross-referencing with getMouseX -- both are always read together as an (x,y) pair throughout Client.kt/ChatCommandProcessor/etc.). Decoy returns -123 unless guard>69; real callers pass values like 80/127/72/117/83/etc, generally >69, so this decoy is typically NOT dead -- but since it just returns a constant unrelated to actual state, it appears to be inert filler rather than a functional branch."
method3596,pollQueuedEvent,i: Int,index: Int,medium,"Overrides InputTracker.method3596. Returns aNodeDeque_7441!!.method1997(index + 8) cast to TimedRecordAccessor? -- pulls a queued mouse-click record from the current (already-swapped) event deque. Decoy calls mouseReleased(null) unless index==0 (would NPE via mouseevent!! if ever taken); both known callers (Client.kt) pass 0, so dead."
method3606,enqueueMouseEvent,"i: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int","type: Int, y: Int, x: Int, clickCount: Int, guard: Int",high,"Private. Builds a TimedRecordAccessorB (type=type, x=x, y=y, clickCount=clickCount, timestamp=GameClock.method599(-110)) and pushes it onto the pending deque aNodeDeque_7450. Call sites establish the type codes: 0=left-down, 1=middle-down, 2=right-down, 3=left-up, 4=middle-up, 5=right-up (plus -1=move from recordMousePosition). Decoy calls Companion.method3607(28,null,-68) unless guard<-110; all real guard values (-116,-119,-117,-112,-121,-126) are < -110 is true for most (e.g. -116<-110), so this can actually fire -- but since it's called with a null buffer, method3607 would just hit its own catch-all exception handler and return 'Cabbage', so no crash, but no useful effect either; looks like inert/decoy scaffolding left over from the obfuscator."
mouseClicked,mouseClicked,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Only consumes popup-trigger events and bumps anInt7438."
method3592,dispose,i: Int,guard: Int,medium,"Overrides InputTracker.method3592. Calls resetTrackerState(84) to detach listeners and clear state. Decoy calls method3597(false) unless guard==0; the one known caller (NpcReference.kt) passes 0, so dead."
method3588,isMiddleButtonDown,i: Int,guard: Int,high,"Overrides InputTracker.method3588. Returns (anInt7432 and 0x2) != 0, the middle-button bit. guard is only used in a discarded expression `-108 % ((-38 - guard) / 48)`."
method3595,isLeftButtonDown,i: Int,guard: Int,high,"Overrides InputTracker.method3595. Returns (anInt7432 and 0x1) != 0, the left-button bit. Decoy calls mouseExited(null) unless guard<-67; the one abstract-interface call site passes -83<-67, so the decoy is actually live there but mouseExited(null) itself is safe only because InputTracker's own callers never pass a null event down this path in the current call graph -- flagged as a fragile spot, not a hard dead branch."
mouseReleased,mouseReleased,mouseevent: MouseEvent?,mouseevent: MouseEvent?,high,"Standard java.awt.event.MouseListener override -- keep the name. Decodes the released button(s) via decodeButtonMask, falling back to the pending mask anInt7456 if the decode yields nothing in common, enqueues the corresponding up-events (left/right/middle), then clears the released bit(s) from anInt7456."
method3608,resetTrackerState,i: Int,guard: Int,medium,"Private. Removes this listener from the tracked Component (if any), nulls aComponent7459/both deques, and zeroes the current+pending position/button fields. guard is only used in a discarded expression `-106 / ((-57 - guard) / 46)`."
method3597,getMouseX,bool: Boolean,guard: Boolean,high,"Overrides InputTracker.method3597. Returns anInt7442 (current-buffer X). Cross-referenced extensively in Client.kt/DragDropController.kt/etc. always paired with getMouseY as an (x,y) coordinate. Decoy sets anInt7453=-101 unless guard==true; every known caller passes the literal true, so dead."
mousePressed,mousePressed,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Decodes the pressed button via decodeButtonMask and enqueues the corresponding down-event (left/right/middle), then ORs the button bit into the pending mask anInt7456."
method3607,readHuffmanStringOrDefault,"i: Int, class348_sub49: ByteBuffer?, i_10_: Int","maxLength: Int, buffer: ByteBuffer?, guard: Int",medium,"Companion, @JvmStatic. Reads a smart-encoded length from buffer, huffman-decodes up to maxLength bytes via NativeRenderer.aHuffmanCodec_1131, returning the decoded string, or the literal string ""Cabbage"" if any exception occurs. This is unrelated to mouse input tracking -- looks like decompiler-merged content from an unrelated packet/string-decoding class (per PLAN.md's note that jvmMain companion objects frequently hold unrelated statics). Its only call site (inside enqueueMouseEvent) passes a null buffer, so in practice it always falls through to the exception handler and returns ""Cabbage""."
method3609,clearDataHolderCache,i: Byte,guard: Byte,medium,"Companion, @JvmStatic. Nulls aDataHolderArray7446. guard only used in a discarded expression `49 % ((guard - -35) / 41)`."
