current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Primary constructor. Requires `renderer.aBoolean7820` (an FBO-extension-supported flag) to be true, stores the renderer handle, and allocates one GL framebuffer object via `glGenFramebuffersEXT` into the shared scratch array `DualMaterialContainer.anIntArray1635`, caching the resulting handle in anInt4891."
method45,unbindReadFramebuffer,i: Byte,unused: Byte,high,"StagedInitializer override. Unbinds the GL_READ_FRAMEBUFFER_EXT target (glBindFramebufferEXT(36008,0)) and, only when i==-47, clears the 0x1 'read-bound' bit and refreshes the cached target enum. See refactor-notes/commonMain/StagedInitializer.csv for cross-referenced call-site analysis (paired with method49/bindReadFramebuffer); every real call site passes -47 so the guard reliably fires."
method46,bindFramebuffer,i: Int,unused: Int,high,"StagedInitializer override. Binds this object as the combined GL_FRAMEBUFFER_EXT target, sets the 0x4 bit. See StagedInitializer.csv - the `if (i != -11762) anInt4889 = 110` branch is a confirmed-dead opaque predicate (every call site passes -11762)."
method47,bindDrawFramebuffer,i: Int,unused: Int,high,"StagedInitializer override. Binds GL_DRAW_FRAMEBUFFER_EXT, sets the 0x2 bit. See StagedInitializer.csv - `i` is XOR'd into a value passed to the ignoring private helper method1504, pure decoy."
method48,unbindFramebuffer,i: Int,unused: Int,high,"StagedInitializer override. Unbinds GL_FRAMEBUFFER_EXT (glBindFramebufferEXT(36160,0)), clears the 0x4 bit. See StagedInitializer.csv - the local `i_25_ = 46 % ((84 - i) / 32)` is dead/decoy."
method49,bindReadFramebuffer,i: Int,unused: Int,high,"StagedInitializer override. Binds GL_READ_FRAMEBUFFER_EXT to this object, sets the 0x1 bit. See StagedInitializer.csv - `if (i != -27141) aBoolean4888 = false` is a confirmed-dead opaque predicate (every call site passes -27141)."
method50,unbindDrawFramebuffer,i: Int,unused: Int,high,"StagedInitializer override. Unbinds GL_DRAW_FRAMEBUFFER_EXT, clears the 0x2 bit. See StagedInitializer.csv - `i + 32374` is passed to the argument-ignoring private helper, decoy."
method1498,attachCubeMapFace,"i: Int, i_0_: Int, i_1_: Int, class258_sub2: GlTextureCubeMap","mipLevel: Int, unused: Int, attachmentSlot: Int, texture: GlTextureCubeMap",medium,"Public wrapper around private method1502 (`method1502(0, (-38).toByte(), texture, mipLevel, attachmentSlot)` - note the wrapper's own params are reordered/renamed relative to method1502's signature: this method's `i` maps to method1502's mip-level arg, `i_1_` maps to its attachment-slot arg). `i_0_` only gates `if (i_0_ < -49) anInt4887++`, an isolated counter increment with no other effect observed; sole call site CubemapTextureGlSource.kt:47 passes `i + -65591` which is always deeply negative given realistic mip indices, so the counter increment likely does fire but its purpose (a diagnostics counter) is not otherwise used."
method1500,detachAttachment,"i: Int, i_2_: Int","unused: Int, attachmentSlot: Int",high,"Disposes and clears the attachment at `attachmentSlot` (calls IndexedDisposable.method37 on the tracked texture/renderbuffer, then nulls the array slot and clears the corresponding bit in anInt4884). All 8 observed call sites (CubemapTextureGlSource, GlFramebufferBlitter x6, GlowPostProcessor, OpenGlRenderer) pass the literal `2983` for `i`, making `if (i != 2983) anInt4891 = -116` (which would corrupt the cached FBO handle) a confirmed-dead opaque predicate."
method1502,attachCubeMapFaceInternal,"i: Int, i_20_: Byte, class258_sub2: GlTextureCubeMap, i_21_: Int, i_22_: Int","unused: Int, unusedFlag: Byte, texture: GlTextureCubeMap, attachmentSlot: Int, faceOrLevel: Int",medium,"Private. Requires a target bound (anInt4873 != -1). On the first attachment to a not-yet-used bit pattern, caches texture.anInt8538 into both anInt4882 and anInt4886 as the FBO's shared width/height (cube faces are square, hence one field for both dimensions); on subsequent attachments, throws if the new texture's size disagrees. Calls texture.method1961(currentTarget, faceOrLevel, glAttachmentEnum, mipLevel, -1) to perform the actual GL attach, tracks the texture in anIndexedDisposableArray4875[attachmentSlot], and sets the corresponding bit in anInt4884. Sole call site (via method1498) always passes `i_20_ = -38`, so `if (i_20_ > -16) aBoolean4888 = false` is a confirmed-dead branch; `i` (first param) is likewise always 0 from the only call site and otherwise unused."
