current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,initializeSentinel,,,high,"Instance init block: points the sentinel node (aSceneLinkedListNode_3166) to itself in both directions (next=self, prev=self), the standard 'empty circular doubly-linked list with sentinel' setup. SceneLinkedListNode's own aSceneLinkedListNode_3976/aSceneLinkedListNode_3970 fields are confirmed as next/prev respectively via its method2373 unlink logic."
method1869,insertHead,"i: Int, sceneLinkedListNode: SceneLinkedListNode","reason: Int, node: SceneLinkedListNode",high,"Unlinks `node` first if it's already linked elsewhere (SceneLinkedListNode.method2373), then splices it in immediately after the sentinel (sentinel.next), making it the new first/head element. Used pervasively across the codebase (CacheIndexManager, IdentKitRecolor, MapElementDecor, ProjectileNode, SceneGraphContainer, SceneObjectSpawner, etc.) as the generic 'add to this list/pool' operation, always with varying decoy-looking first int args and a real node as the second arg. The `if (i > -81) aSceneLinkedListNode_3167 = null` reset of the shared iteration cursor is real (not obviously decoy) since real call sites use many different int values."
method1870,getFirst,i: Int,reason: Int,high,"Returns the sentinel's next node (or null if the list is empty), and primes the shared iteration cursor (aSceneLinkedListNode_3167) to that node's own next. Confirmed real usage in ChatMessageStream.kt, guarded by a preceding isEmpty() check and cast to SceneEntityModel -- used as a simple 'peek at first pooled element' rather than as the start of a sustained traversal (no matching forward-iterator consumer of the primed cursor was found in this codebase)."
method1871,isEmpty,i: Byte,reason: Byte,high,"Returns true when the sentinel's prev pointer is itself (classic empty-circular-list check). Confirmed via ChatMessageStream.kt guarding a getFirst() call. The `if (i <= 98) method1879(true)` call is a real (non-decoy-looking) side effect at the one confirmed call site (111.toByte() > 98, so it's dead there specifically, but other callers with smaller byte values would trigger it)."
method1872,getLast,i: Int,reason: Int,high,"Returns the sentinel's prev node (tail), or null if empty, and primes the shared cursor to that node's own prev -- pairs with method1878 to walk the list backward from the tail. Confirmed real usage in this file's own method1877 companion helper: `method1872(8)` followed by repeated `method1878(...)` calls in a while loop, the canonical get-last/get-previous traversal idiom."
method1874,size,i: Int,initial: Int,high,"Walks the list from the sentinel via prev pointers back to the sentinel, counting nodes starting from `initial`. Confirmed via OutgoingPacketNode.kt: `... + OpenGlModel.aDoublyLinkedNodeList_2077!!.method1874(0) + ...` printed as a 'particle system count' -- i.e. a plain size() where the accumulator is always seeded with 0 in practice."
method1875,removeLast,i: Int,reason: Int,high,"Reads the sentinel's prev node (tail); if the list is non-empty, unlinks it (SceneLinkedListNode.method2373) and returns it -- a pop-from-tail used repeatedly across the codebase (AbstractRenderPass, AsyncTaskHandle, SceneObjectSpawner) as an object-pool 'acquire a free instance' operation, always called with the literal 60."
method1876,clear,i: Byte,reason: Byte,high,"Repeatedly pops and unlinks the tail until the list is empty, then clears the shared cursor -- but only runs at all when `reason.toInt() == -45`; every real call site (ConfigArchiveLoader.kt, FrameStatsReset.kt, RegionSceneShifter.kt) passes exactly (-45).toByte(), so the guard is always satisfied in practice (not a dead branch, just a fixed opcode-shaped parameter)."
method1878,getPrevious,i: Byte,reason: Byte,high,"Continues a backward traversal started by getLast(): returns the current cursor node (or null once the cursor reaches the sentinel, at which point it resets the cursor to null) and advances the cursor to that node's prev. Confirmed paired with method1872 in this file's own method1877 (`while (class318_sub10 != null) { ...; class318_sub10 = ...method1878(124.toByte()) }`)."
method1873,resetCachedPacketDescriptor,i: Byte,unused: Byte,medium,"Companion/static, unrelated to the linked-list itself: nulls the companion field aFontMetaRef_3165 (unconditionally, twice -- the `if (i > -111)` guard on the first null-out is a dead redundant check since the line below always nulls it anyway). aFontMetaRef_3165 is read elsewhere (CharacterRenderState.kt) as an argument to the same outgoing-packet-builder helper (`method2148(fontMetaRef, isaacCipher, i)`) seen in FixedFunctionWaterPass/WaterMaterialPass, i.e. it caches a packet-type descriptor -- unrelated to a generic doubly-linked list, and called once from Client.kt during what looks like a shutdown/reset sequence."
method1877,processSceneGraphContainers,"var_renderer: Renderer?, i: Int","renderer: Renderer?, reason: Int",medium,"Companion/static: pops (getLast+getPrevious) every SceneGraphContainer currently queued in OpenGlModel's DoublyLinkedNodeList and, for any flagged dirty (aBoolean6482), calls its method2528(renderer) to refresh/render it. The single confirmed external call (GlTexture3D.kt: `method1877(NativeLibraryState.aRenderer171, -69)`) makes the internal decoy self-recursion (`if (i >= -20) method1877(null, -112)`) dead there (-69 < -20); a differently-valued caller could in principle trigger one harmless extra recursive pass with a null renderer."
method1879,setCollisionArraySource,bool: Boolean,useAlternate: Boolean,medium,"Companion/static: swaps several unrelated statics (HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029, ActorEntity.aTerrainTileArray5191) between two alternate sources depending on `useAlternate`, and recomputes MapAreaDefinition.anInt2524 from the resulting array's size. Called for real with both true and false from DelegatingRenderCanvas.kt and GlTexture3D.kt (display/resolution-mode-switching code), so this looks like a 'point collision/terrain-tile data at the fullscreen-sized vs windowed-sized arrays' toggle -- unrelated to the doubly-linked-list class it's declared in, consistent with this codebase's pattern of companion objects absorbing unrelated merged statics."
