current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,parseFontData,`is`: ByteArray?,fontBytes: ByteArray?,medium,"Primary constructor body (via ByteBuffer wrapper). Reads a format/version byte that must be 0 (throws RuntimeException otherwise) then a boolean 'has kerning table' flag, then a flat 256-entry base char-width table into aByteArray1986. If kerning is present: reads two 256-entry unsigned-byte tables (is_43_=per-char kerning-array lengths, is_44_=per-char base offsets), two delta-encoded ByteArrays per char (is_47_/is_51_, built by running-sum decode of signed byte deltas), then for every (row,col) char-code pair except space(32)/nbsp(160) computes aByteArrayArray1979[row][col] via FlickeringEffectsOptionState.method1756(...) -- a bounding-box-overlap-based kerning delta calculation. anInt1992 (default line height/advance) is then set to is_44_[32]+is_43_[32] (the space character's offset+length) if kerning is present, else read directly as a plain byte. Two more bytes are read and discarded (reserved/padding), then anInt1988 (baseline/top offset, confirmed via method1185's height formula) and anInt1993 (bottom margin/descent, same formula) are read. Overall shape (base widths + optional pairwise kerning matrix + line-height/baseline/descent metrics) is a confident match for a classic OSRS bitmap-font binary format; the exact meaning of is_44_ vs is_43_ individually, and why anInt1992 is derived from the space character specifically, are best-effort inferences from field usage rather than fully re-derived math."
method1181,truncateToWidth,"abstractModelRenderers: Array<AbstractModelRenderer?>?, i: Int, string: String?, i_0_: Byte","images: Array<AbstractModelRenderer?>?, maxWidth: Int, text: String?, unusedThreshold: Byte",high,"If the whole string already fits in maxWidth (per method1186), returns it unchanged; otherwise walks the string char-by-char (decoding HTML-style entities `<lt>`,`<gt>`,`<nbsp>`,`<shy>`,`<times>`,`<euro>`,`<copy>`,`<reg>` and inline `<img=n>` tags that add an image's width via images[n].method966()), accumulating pixel width plus kerning via aByteArrayArray1979, and returns the longest prefix that still fits followed by '...' once the running width plus the '...' width would exceed maxWidth. Classic 'ellipsize long tooltip/tab text' helper (only call site RSFont.kt:133 always passes 55.toByte()); the `unusedThreshold < 54` check (nulling the shared aFontMetaRef_1987 cache) is dead in practice since 55 is never < 54."
method1182,getKerningOffset,"i: Int, i_10_: Byte, c: Char","prevCharCode: Int, unusedThreshold: Byte, c: Char",high,"Returns aByteArrayArray1979[prevCharCode][c.code] (0 if the font has no kerning table). Confirmed via RSFont.kt call sites that accumulate string width char-by-char, only invoking this when the previous char code (i_5_/i_108_) is not -1. The `unusedThreshold > -47` branch (nulls aFontMetaRef_1987) is dead: both real call sites pass -104.toByte() and -90.toByte(), neither of which is > -47."
method1183,measureLineWidth,"bool: Boolean, string: String?","alwaysTrueFlag: Boolean, text: String?",medium,"Thin wrapper returning method1186(text, null, false) -- single-line pixel width with no inline images. Every call site in the repo passes literal `true` for the first param, so the `if (bool != true) method1181(null, 54, null, 21.toByte())` branch never fires; that branch would be a no-op anyway since method1181 with a null string returns null almost immediately (only bumping the anInt1989 telemetry counter) -- effectively a decoy/dead param, kept as a plain Boolean since no other value is ever observed."
method1184,getCharWidth,"i: Byte, i_11_: Int","unusedThreshold: Byte, charCode: Int",high,"Returns the base (non-kerned) width of charCode from aByteArray1986. The `unusedThreshold != -48` branch (which would null out the whole kerning table aByteArrayArray1979) is dead in practice -- every call site, internal and external, always passes (-48).toByte()."
method1185,computeWrappedTextHeight,"abstractModelRenderers: Array<AbstractModelRenderer?>?, i: Int, i_12_: Int, i_13_: Int, string: String?","images: Array<AbstractModelRenderer?>?, lineHeightSentinel: Int, lineHeight: Int, maxWidth: Int, text: String?",medium,"Word-wraps text to maxWidth via method1188 to get a line count, then returns anInt1988 (baseline/top offset) + (lineCount-1)*lineHeight + anInt1993 (descent/bottom offset) -- total pixel height of the wrapped text block. `lineHeight` is replaced by the font's own default (this.anInt1992) whenever it equals `lineHeightSentinel` (call sites pass (0,0) to request the default, or a real per-widget line-height value alongside a 0 sentinel, e.g. FlipTextureNode.kt passes (class46.anInt673, class46.anInt709) as (lineHeight, maxWidth) with sentinel 0). Exact intent of tying the sentinel to a second parameter rather than a fixed constant like -1 is unusual but consistently used this way at all 3 call sites."
method1186,measureStringWidth,"string: String?, abstractModelRenderers: Array<AbstractModelRenderer?>?, bool: Boolean","text: String?, images: Array<AbstractModelRenderer?>?, resetLineHeightFlag: Boolean",medium,"Single-line (no wrapping) pixel width of text, decoding the same HTML-style entities and `<img=n>` tags as method1181, adding kerning via aByteArrayArray1979. Unusually for a pure 'measure' method, if resetLineHeightFlag is true it also sets this.anInt1993 = 95 as a side effect before measuring -- most call sites pass a literal `false` (RegionSceneLoader.kt, ChatCommandProcessor.kt) but ChatMessageStream.kt:98 passes a variable `bool`, so this side effect cannot be confirmed fully dead; flagged as suspicious obfuscator-era coupling rather than over-interpreted as intentional design."
method1187,computeWrappedTextMaxWidth,"string: String?, bool: Boolean, i: Int, abstractModelRenderers: Array<AbstractModelRenderer?>?","text: String?, resetBaselineFlag: Boolean, maxWidth: Int, images: Array<AbstractModelRenderer?>?",medium,"Word-wraps text to maxWidth via method1188, then returns the widest of the resulting lines (each re-measured via method1186). Like method1186, has a side effect unrelated to its return value: if resetBaselineFlag is true, sets this.anInt1988 = -58 before computing. Most call sites (Tooltip.kt, ChatCommandProcessor.kt) pass literal `false`, but FlipTextureNode.kt:363 passes a variable `bool_15_`, so the side effect is not conclusively dead code -- flagged rather than assumed inert."
method1188,wordWrapText,"string: String?, `is`: IntArray?, strings: Array<String?>?, i: Byte, abstractModelRenderers: Array<AbstractModelRenderer?>?","text: String?, maxWidthPerLine: IntArray?, outLines: Array<String?>?, formatCheck: Byte, images: Array<AbstractModelRenderer?>?",high,"Core word-wrap tokenizer: splits text into lines written into outLines, breaking at literal `<br>` tags and at the last space/soft-hyphen before a line would exceed maxWidthPerLine[lineIndex] (cyclic: once outLines fills up, further overflow uses maxWidthPerLine[last]), decoding the same HTML-style entities and `<img=n>` tags as method1181/1186, accumulating width via method1184 (char width) plus aByteArrayArray1979 kerning. Returns the number of lines produced (or 0 if outLines fills up before the string ends). The `formatCheck != 87` branch calling method1190(...) is dead in practice -- all 3 call sites (2 external, 1 internal via method1185/1187/1190) always pass 87.toByte()."
method1190,countWrappedLines,"abstractModelRenderers: Array<AbstractModelRenderer?>?, i: Int, string: String?, i_42_: Int","images: Array<AbstractModelRenderer?>?, modeFlag: Int, text: String?, maxWidth: Int",medium,"Thin wrapper around method1188 using a single-element maxWidthPerLine array (i.e. every wrapped line uses the same maxWidth) -- returns the resulting line count. The `modeFlag != 1` branch (which would reset the font's default line height, this.anInt1992 = -13) is dead in practice: both call sites (ChatCommandProcessor.kt, Tooltip.kt) always pass modeFlag=1."
